20201223,徐汇,斜土路,内环内，低总价三房，电梯高层，采光好，钥匙随时可看必看好房,970万,3室2厅 | 111.07平米 | 南 | 简装 | 高楼层(共26层) | 2001年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_60PxQc0aq_1.jpg.296x216.jpg
20201223,徐汇,斜土路,炎虹路76弄 2室0厅 南新上,425万,2室0厅 | 48.87平米 | 南 | 简装 | 中楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6hYYSFCPR_1.jpg.296x216.jpg
20201223,徐汇,斜土路,鐡飞人心尚南北通风1房1厅前无遮挡中间位置诚意出售中房主自荐,290万,1室1厅 | 40.29平米 | 南 | 简装 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1PsV2KDMr_1.jpg.296x216.jpg
20201223,徐汇,斜土路,此房满五年唯一，面积大，朝南采光无遮挡房主自荐,659万,3室1厅 | 94.1平米 | 南 北 | 简装 | 高楼层(共6层) | 1965年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xIUWWW6aO_1.jpg.296x216.jpg
20201223,徐汇,斜土路,南北全明两房，户型方正，一梯两户.楼间距大，看花园,1120万,2室2厅 | 122.11平米 | 南 | 简装 | 低楼层(共18层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dRAZvobGD_1.jpg.296x216.jpg
20201223,徐汇,斜土路,专业设计师精心打造，美丽与实用结合，两房使用面积大,516万,2室2厅 | 56.78平米 | 南 | 精装 | 中楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_x2fLVPjUl_1.jpg.296x216.jpg
20201223,徐汇,斜土路,衡园成熟小区大三房 自住优选 交通购物配套好,1978万,3室2厅 | 172.69平米 | 南 北 | 精装 | 中楼层(共21层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_byRdo45FO_1.jpg.296x216.jpg
20201223,徐汇,斜土路,茶陵小区精装一室半，采光好，业主诚意卖新上,296万,1室1厅 | 38.36平米 | 南 | 精装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_z4OpsWD4n_1.jpg.296x216.jpg
20201223,徐汇,斜土路,内环内 地铁口 96年房龄 中低区双南全明户型新上,550万,2室1厅 | 64.45平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4vmHGL6Fc_1.jpg.296x216.jpg
20201223,徐汇,斜土路,徐汇内环内，06年品质小区，近徐汇滨江，高区视野好。房主自荐,905万,2室1厅 | 107.09平米 | 南 | 精装 | 高楼层(共23层) | 2006年建 | 板塔结合,http://image1.ljcdn.com/110000-inspection/pc1_35zESWKQ5_1.jpg.296x216.jpg
20201223,徐汇,斜土路,电梯三房，南北通格局，配套设施齐全，拎包入住。,1500万,3室2厅 | 170.97平米 | 南 | 精装 | 低楼层(共18层) | 1999年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-9aa0c0f2-4e74-4e64-82f7-67247574b7e2.jpg.296x216.jpg
20201223,徐汇,斜土路,售后公房+满五唯一+17平超大露台房主自荐,690万,3室1厅 | 86.62平米 | 南 东 西 | 简装 | 低楼层(共18层) | 1990年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_Usa3V4BPt_1.jpg.296x216.jpg
20201223,徐汇,斜土路,内环内06年小区 带40平院子 精装带CAC+地暖,1400万,3室2厅 | 134.87平米 | 南 | 其他 | 低楼层(共26层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7lF1oA3ma_1.jpg.296x216.jpg
20201223,徐汇,斜土路,03年品质小区，满五唯一，1梯2户，得房率高房主自荐,860万,2室2厅 | 101.77平米 | 南 | 简装 | 低楼层(共28层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YbfJg06Er_1.jpg.296x216.jpg
20201223,徐汇,斜土路,茶陵65弄蕞新房龄 98年房龄 顶楼复式附带19平的露台,930万,3室2厅 | 123.07平米 | 南 | 精装 | 高楼层(共5层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_18Kb3Gi0Z_1.jpg.296x216.jpg
20201223,徐汇,斜土路,徐汇内环内+06年品质小区+南北通+30平小花园,1528万,3室2厅 | 155.43平米 | 南 | 毛坯 | 低楼层(共13层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Z8iTBFuqn_1.jpg.296x216.jpg
20201223,徐汇,斜土路,品质小区+厅南北通透+户型超正+三房两卫+层高优越,1250万,3室2厅 | 146.77平米 | 南 北 | 简装 | 低楼层(共24层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2stsdEcuc_1.jpg.296x216.jpg
20201223,徐汇,斜土路,总价实惠小三房，房东诚意出售，旁边这样房源少,460万,3室1厅 | 68.64平米 | 南 | 简装 | 高楼层(共7层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tIRtIuCtk_1.jpg.296x216.jpg
20201223,徐汇,斜土路,内环内徐汇滨江，地铁口全明一房一厅 ，小区干净整洁,275万,1室1厅 | 37.23平米 | 南 | 精装 | 高楼层(共5层) | 1977年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yUWjdZ812_1.jpg.296x216.jpg
20201223,徐汇,斜土路,内环内，精装修，满五年唯一看房方便房主自荐,318万,1室1厅 | 40.29平米 | 南 北 | 精装 | 高楼层(共7层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/8e857abd-3649-4c36-9580-52a70e070370_1000.jpg.296x216.jpg
20201223,徐汇,斜土路,鐡飞人1984年南带阳台1房半诚意出售位置好4/7/12号线,288万,1室1厅 | 37.1平米 | 南 | 简装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MWcfJRvpA_1.jpg.296x216.jpg
20201223,徐汇,斜土路,徐汇内环内88年小区精装大一室半，拎包入住,350万,1室1厅 | 47.74平米 | 南 北 | 精装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_erSzGOSPj_1.jpg.296x216.jpg
20201223,徐汇,斜土路,南北通+中间楼层+业主诚意出售+看房随房主自荐,338万,1室1厅 | 46.28平米 | 南 | 简装 | 中楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Cj8wuKTT5_1.jpg.296x216.jpg
20201223,徐汇,斜土路,朝南一门关，精装修，低楼层，交通方便，可拎包入住房主自荐,259万,1室0厅 | 33.18平米 | 南 | 精装 | 低楼层(共5层) | 1958年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XKFvy5SIV_1.jpg.296x216.jpg
20201223,徐汇,斜土路,内环内电梯房， 楼层高，视野好，全明户型，带车位,585万,2室1厅 | 90.2平米 | 北 | 简装 | 中楼层(共15层) | 1988年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_U3ZvpCSl5_1.jpg.296x216.jpg
20201223,徐汇,斜土路,小户型 全明的户型 全天采光 高区看滨江房主自荐,880万,1室2厅 | 74.96平米 | 东南 | 简装 | 高楼层(共25层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cnqgT9Avx_1.jpg.296x216.jpg
20201223,徐汇,斜土路,徐汇大木桥路450弄双南64平480万,480万,2室0厅 | 64.31平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pAJqwqBSE_1.jpg.296x216.jpg
20201223,徐汇,斜土路,电梯一房一厅满五年  近地铁 业主诚意出售,389万,1室1厅 | 53.95平米 | 东 | 简装 | 中楼层(共20层) | 1989年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_E9az2mqiK_1.jpg.296x216.jpg
20201223,徐汇,斜土路,嘉善路+打浦桥地铁 近日月光 朝南 精装 一室 拎包入住,280万,1室1厅 | 35.57平米 | 南 北 | 简装 | 高楼层(共6层) | 1978年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_468LDySoq_1.jpg.296x216.jpg
20201223,徐汇,斜土路,一梯两户税费各付（买家只交契税）94年房龄近9/12号线,688万,2室1厅 | 82.09平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_69vLSDrqz_1.jpg.296x216.jpg
20201223,徐汇,斜土路,新上 大木小区 低区 边套 一房 采光好 全天无遮挡,310万,1室0厅 | 33.19平米 | 南 | 简装 | 低楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XIPYTNGTx_1.jpg.296x216.jpg
20201223,徐汇,斜土路,品质小区+满五唯一+自带大花园+交通便利+看房提前约,1400万,3室2厅 | 144.76平米 | 南 | 精装 | 低楼层(共8层) | 2006年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-92b26439-8ed8-4b85-b021-37b69ab75e74.jpg.296x216.jpg
20201223,徐汇,斜土路,中山新村三室！三室！！三室！！,557万,3室0厅 | 72.24平米 | 南 | 简装 | 6层 | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_g7UHh7oXh_1.jpg.296x216.jpg
20201223,徐汇,斜土路,内环内，品质小区，2013年次新房,1120万,3室2厅 | 145平米 | 南 | 精装 | 18层 | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2Q0QcWnNd_1.jpg.296x216.jpg
20201223,徐汇,斜土路,汇峰鼎园 3室2厅 南,2068万,3室2厅 | 153.18平米 | 南 | 精装 | 中楼层(共32层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8lU8PtWG0_1.jpg.296x216.jpg
20201223,徐汇,斜土路,装修保养很好，满五不唯一，简约一室半,315万,1室1厅 | 40.26平米 | 南 | 简装 | 高楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tt7y4YCaW_1.jpg.296x216.jpg
20201223,徐汇,斜土路,次顶楼，南北两房，精致户型，满五不唯一,412万,2室1厅 | 49.1平米 | 南 | 简装 | 高楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8QqRJqJpW_1.jpg.296x216.jpg
20201223,徐汇,斜土路,肇嘉浜路 电梯两房  房型方正 采光无遮挡 位置优越房主自荐,525万,2室1厅 | 72平米 | 东北 | 简装 | 低楼层(共14层) | 1986年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_wlK3YPl1G_1.jpg.296x216.jpg
20201223,徐汇,斜土路,新湖云庭 2室2厅 西南房主自荐,865万,2室2厅 | 111.34平米 | 西南 | 简装 | 高楼层(共23层) | 2005年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/00eb21d8-3f7c-418e-b797-df27d3c156d2_1000.jpg.296x216.jpg
20201223,徐汇,斜土路,朝南带阳台，1993年房龄，一梯四户，诚意出售房主自荐,256万,1室0厅 | 32.43平米 | 南 | 简装 | 中楼层(共7层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5XeTQUN1U_1.jpg.296x216.jpg
20201223,徐汇,斜土路,电梯两房 +产权清晰 +满五年唯一+ 诚意出售,442万,2室0厅 | 65.26平米 | 北 | 简装 | 中楼层(共16层) | 1991年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/test-ac45b3b7-eef5-45f4-ad29-76488b39a729.png.296x216.jpg
20201223,徐汇,斜土路,中区，西边套，全明三房，免增值税，楼道干净，安静,980万,3室2厅 | 126.51平米 | 南 | 简装 | 中楼层(共18层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_e9Mpkygwt_1.jpg.296x216.jpg
20201223,徐汇,斜土路,1992年+高区三房+板块少有+轨交便利+医疗保障房主自荐,565万,3室1厅 | 89.24平米 | 南 北 | 精装 | 高楼层(共7层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uaOf2AazW_1.jpg.296x216.jpg
20201223,徐汇,斜土路,户型好视野采光棒  崭新的精装修  停车 看房方便,1649万,3室1厅 | 167平米 | 南 | 精装 | 中楼层(共26层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_c8jbnEBiZ_1.jpg.296x216.jpg
20201223,徐汇,斜土路,满五唯一，南北通，产权清晰无风险，业主诚意出售房主自荐,897万,3室1厅 | 127.74平米 | 南 | 精装 | 中楼层(共18层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vG3tmkEMc_1.jpg.296x216.jpg
20201223,徐汇,斜土路,价低租高，房多税少 ，出有地铁公交，回来不等电梯,850万,3室2厅 | 125.35平米 | 东 南 | 简装 | 低楼层(共24层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2dE6z4v1M_1.jpg.296x216.jpg
20201223,徐汇,斜土路,内环内电梯高层小三房，总价低，采光充足，适合老人,980万,3室1厅 | 111平米 | 南 北 | 简装 | 中楼层(共26层) | 2001年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_kj0sUviWc_1.jpg.296x216.jpg
20201223,徐汇,斜土路,银亿品质小区，2013年次新房 西边套全明，,1400万,3室2厅 | 166.18平米 | 南 | 简装 | 18层 | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iISpuMtDN_1.jpg.296x216.jpg
20201223,徐汇,斜土路,内环内06年小区+满五唯一+三开间朝南+联体阳台+院子,1018万,2室2厅 | 110.1平米 | 南 | 精装 | 低楼层(共12层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JutlWvJhx_1.jpg.296x216.jpg
20201223,徐汇,斜土路,电梯三房，精装修，临地铁，配套齐全，随时可看房主自荐,970万,3室2厅 | 137.27平米 | 南 北 | 精装 | 中楼层(共24层) | 1999年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/prod-74cf1d1c-b1a6-4f49-a933-a504c81693c4.jpg.296x216.jpg
20201223,徐汇,斜土路,精装修，低总价，交通便利，看房方便,199万,1室0厅 | 29平米 | 北 | 精装 | 低楼层(共5层) | 1958年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bfBHA10Fq_1.jpg.296x216.jpg
20201223,徐汇,斜土路,小户型 精装修 总价低 交通便利 业主诚意出售,225万,1室0厅 | 28.36平米 | 北 | 简装 | 6层 | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AWQo9ldba_1.jpg.296x216.jpg
20201223,徐汇,斜土路,近地铁，近海华、打浦桥、日月光,310万,1室0厅 | 35.57平米 | 南 | 简装 | 中楼层(共6层) | 1978年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_aP6XVyApm_1.jpg.296x216.jpg
20201223,徐汇,斜土路,大木桥路450弄 2室0厅 东南新上,339万,2室0厅 | 52.01平米 | 东南 | 其他 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TljXgigSb_1.jpg.296x216.jpg
20201223,徐汇,斜土路,房型正气朝南，厅朝南带大阳台，诚意出售，看小区花园,1118万,2室2厅 | 125.02平米 | 南 西 | 精装 | 低楼层(共27层) | 2004年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/test-d90a697c-b2c3-4e08-9b5b-ed2f895ed975.png.296x216.jpg
20201223,徐汇,斜土路,满五年，边套采光好，总价低，税费低。,439万,2室2厅 | 60.23平米 | 东 | 简装 | 低楼层(共20层) | 1989年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_NS3wzjkD2_1.jpg.296x216.jpg
20201223,徐汇,斜土路,急售精装南北两房、满五唯一、看房方便，诚售可看可谈,400万,2室1厅 | 50.34平米 | 南 北 | 精装 | 高楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pImpElUnm_1.jpg.296x216.jpg
20201223,徐汇,斜土路,朝南一门关+精装修+近地铁4号/12号线，有钥匙随时可看,375万,1室1厅 | 43.54平米 | 南 | 简装 | 中楼层(共7层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DniRkcfCP_1.jpg.296x216.jpg
20201223,徐汇,斜土路,西木小区 3室1厅 南 北,540万,3室1厅 | 70.84平米 | 南 北 | 简装 | 低楼层(共4层) | 1958年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uh4dDVndI_1.jpg.296x216.jpg
20201223,徐汇,斜土路,边套三房+1996年房龄（非加层）1梯2户+楼道整洁有地砖,773万,3室1厅 | 95.37平米 | 北 南 | 精装 | 中楼层(共5层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fqjNX0p7K_1.jpg.296x216.jpg
20201223,徐汇,斜土路,双轨交&肇嘉浜路沿线总价低&电梯三房&满五唯一房主自荐,810万,3室1厅 | 111.66平米 | 东 南 | 简装 | 18层 | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_GGJfaMZ6f_1.jpg.296x216.jpg
20201223,徐汇,斜土路,随时可看+婚房装修+视野开阔+两房朝南,480万,2室1厅 | 68平米 | 南 | 精装 | 高楼层(共5层) | 1996年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_lh2a1VRIi_1.jpg.296x216.jpg
20201223,徐汇,斜土路,92年房龄＋一梯两户＋全明户型＋高得房率房主自荐,610万,3室1厅 | 79.43平米 | 南 北 | 简装 | 高楼层(共7层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bMNRt0hHh_1.jpg.296x216.jpg
20201223,徐汇,斜土路,此房是一房一厅的格局，楼层好，视野宽阔，采光充足房主自荐,359万,1室1厅 | 49.22平米 | 南 | 简装 | 高楼层(共7层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gGtX4YaNF_1.jpg.296x216.jpg
20201223,徐汇,斜土路,88年+近地铁+精装+采光全天无挡。,335万,1室1厅 | 42.87平米 | 南 | 精装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JvT2MAazF_1.jpg.296x216.jpg
20201223,徐汇,斜土路,鐡飞人婚房装修浅色风格西边套南北全明户型采光通风佳,400万,2室1厅 | 53.25平米 | 南 | 精装 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LXuLN7K4Z_1.jpg.296x216.jpg
20201223,徐汇,斜土路,全明两房+嘉善路+楼层好+医院近+配套好,488万,2室1厅 | 59平米 | 南 | 精装 | 低楼层(共17层) | 1993年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_aObgAtJ2t_1.jpg.296x216.jpg
20201223,徐汇,斜土路,1997年房龄+楼梯房+一梯两户+采光充足+交通便利房主自荐,540万,2室1厅 | 73.86平米 | 南 | 精装 | 高楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_l473quBoe_1.jpg.296x216.jpg
20201223,徐汇,斜土路,电梯一房+教科研+4/12大木桥路地铁+满五唯一,273万,1室1厅 | 36.44平米 | 北 | 精装 | 低楼层(共16层) | 1988年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_NaPEmLNVC_1.jpg.296x216.jpg
20201223,徐汇,斜土路,小木桥路101弄 1室1厅 南 北,330万,1室1厅 | 45平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Q8rglLc3e_1.jpg.296x216.jpg
20201223,徐汇,斜土路,黄埔日月光精装一房+朝南一室户+全明户型+采光好,260万,1室1厅 | 33.7平米 | 南 | 精装 | 高楼层(共6层) | 1980年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-b52f51e8-fc0d-429f-9d3c-b0f50be5c202.jpg.296x216.jpg
20201223,徐汇,斜土路,挑战极限小户型！！！！！！！！楼层好！一门关！！,169万,1室0厅 | 29平米 | 北 | 简装 | 中楼层(共5层) | 1958年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-5ea768f6-ad72-4f53-9777-feedd319d33a.jpg.296x216.jpg
20201223,徐汇,斜土路,一室一厅税费少，面积大，地铁口，看房方便,256万,1室1厅 | 42.99平米 | 南 | 简装 | 高楼层(共5层) | 1954年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_CKh3ONH2r_1.jpg.296x216.jpg
20201223,徐汇,斜土路,房龄新小区整体92年竣工满五唯一税费少，装修保养好,270万,1室0厅 | 32.87平米 | 南 | 精装 | 中楼层(共7层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PkVVHN1bq_1.jpg.296x216.jpg
20201223,徐汇,斜土路,地铁口 一梯三户 诚意出售 看房提前预约房主自荐,404万,2室0厅 | 52.36平米 | 南 | 毛坯 | 低楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-b6ef0cdc-0dd3-4ea1-9491-83bf9c617e6f.jpg.296x216.jpg
20201223,徐汇,斜土路,朝南一门关 采光充足 楼层好 视野宽阔 配套齐全,243万,1室0厅 | 34.43平米 | 南 | 简装 | 中楼层(共5层) | 1958年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EWVzBhwZ0_1.jpg.296x216.jpg
20201223,徐汇,斜土路,电梯小高层+格局好大三房+业主诚意出售+位置安静,980万,3室2厅 | 129.48平米 | 南 | 精装 | 低楼层(共8层) | 1999年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_xVaKuiaX0_1.jpg.296x216.jpg
20201223,徐汇,斜土路,房型正气 业主诚意出售 没有户口,368万,2室1厅 | 49.29平米 | 南 北 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vm8lxB5hf_1.jpg.296x216.jpg
20201223,徐汇,斜土路,徐汇区 大木桥路450弄两房4号线交通方便房主自荐,365万,2室1厅 | 56.33平米 | 东南 | 简装 | 中楼层(共7层) | 1989年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_qCC8qWQdl_1.jpg.296x216.jpg
20201223,徐汇,斜土路,标准朝南一室一厅，全明户型，中间楼层,228万,1室1厅 | 36.68平米 | 南 | 毛坯 | 中楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_YcxR3v5Pp_1.jpg.296x216.jpg
20201223,徐汇,斜土路,斜土路1620号 2室1厅 南 北,395万,2室1厅 | 51.09平米 | 南 北 | 简装 | 中楼层(共16层) | 1988年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/3bb35d0b-0832-482b-bcbf-6c2cfc93eab1_1000.jpg.296x216.jpg
20201223,徐汇,斜土路,东边套+复式+精装修+4/12号地铁口房主自荐,228万,1室1厅 | 30.33平米 | 东 南 | 精装 | 低楼层(共5层) | 1958年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Witjkv2Oz_1.jpg.296x216.jpg
20201223,徐汇,斜土路,鐡飞人喜鹊东边套南北通风1房1厅装修好得房率85近滨江,297万,1室1厅 | 37.52平米 | 南 | 精装 | 低楼层(共5层) | 1977年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jg6QcnYrl_1.jpg.296x216.jpg
20201223,徐汇,斜土路,近地铁4/12+楼道干净+小区正在美丽家园改造+随时看房,255万,1室1厅 | 39.18平米 | 南 | 简装 | 高楼层(共5层) | 1971年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pyPmyQWPK_1.jpg.296x216.jpg
20201223,徐汇,斜土路,全南格局+高区江景全天采光+产权车位+大阳台+诚意出售,1180万,3室2厅 | 128.1平米 | 南 | 精装 | 高楼层(共30层) | 2003年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_SSY6NPDFN_1.jpg.296x216.jpg
20201223,徐汇,斜土路,大三房，低总价，业主诚意，前方采光无遮挡房主自荐,1080万,3室2厅 | 126.62平米 | 南 北 | 精装 | 低楼层(共28层) | 2003年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_li2gLx3kN_1.jpg.296x216.jpg
20201223,徐汇,斜土路,动迁房+满五唯一+配套完善+电梯大两房,780万,2室1厅 | 108.82平米 | 东北 | 精装 | 高楼层(共24层) | 1998年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_1fKHkeVIZ_1.jpg.296x216.jpg
20201223,徐汇,斜土路,税费少，花园小区，人车分流，一梯两户,950万,3室2厅 | 102.95平米 | 南 | 简装 | 中楼层(共7层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IDlL0uiUE_1.jpg.296x216.jpg
