20201223,浦东,北蔡,满五唯一+精装带地暖+三房2卫+有车位+高区景观必看好房,1070万,3室2厅 | 119.33平米 | 南 北 | 精装 | 中楼层(共20层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zqJfQJijU_1.jpg.296x216.jpg
20201223,浦东,北蔡,满五唯一    零个税    位置安静   边套全明必看好房,900万,2室2厅 | 85.32平米 | 南 | 精装 | 17层 | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RCSFCOh4H_1.jpg.296x216.jpg
20201223,浦东,北蔡,空中别墅,满五唯一,双轨出行,业主诚意出售必看好房,980万,4室3厅 | 159.43平米 | 南 北 | 精装 | 高楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_A338z0kPq_1.jpg.296x216.jpg
20201223,浦东,北蔡,近地铁，满五唯一，全明户型，三梯队必看好房,469万,3室1厅 | 98.42平米 | 南 北 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7NA1sHfvC_1.jpg.296x216.jpg
20201223,浦东,北蔡,昌邑品质大一房+满五唯一+中间楼层，你想要的诗和远方必看好房,338万,1室1厅 | 56.76平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6lypq1ikF_1.jpg.296x216.jpg
20201223,浦东,北蔡,地铁口200米，双南户型，一梯两户，不靠路，看房方便必看好房,378万,2室1厅 | 72.88平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_52QaKeEIO_1.jpg.296x216.jpg
20201223,浦东,北蔡,小区中间位置 交通方便 经典小户型 看房方便必看好房,285万,1室1厅 | 54.26平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FnzO3g6dy_1.jpg.296x216.jpg
20201223,浦东,北蔡,近地铁，中环内，中间楼层川杨河景观房。必看好房,225万,1室1厅 | 40.64平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AynRcMnik_1.jpg.296x216.jpg
20201223,浦东,北蔡,30万精装修，首付只要108万，非顶楼满五年，价位可谈必看好房,309万,2室1厅 | 66.04平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dosR8kLaH_1.jpg.296x216.jpg
20201223,浦东,北蔡,近地铁+满五唯一+小区央座+诚意出售必看好房,237万,1室1厅 | 42.64平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yxdzBHlPG_1.jpg.296x216.jpg
20201223,浦东,北蔡,满五年唯一税费少全明边套采光好低楼层非底楼必看好房,325万,2室1厅 | 60.01平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gZz6bfzS9_1.jpg.296x216.jpg
20201223,浦东,北蔡,新出昌邑中高区电梯一房，欢迎品鉴必看好房,450万,1室1厅 | 58.18平米 | 南 | 简装 | 中楼层(共12层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_THSvog43J_1.jpg.296x216.jpg
20201223,浦东,北蔡,双南一房无遮挡采光充足，很安静，7/13号线地铁便利必看好房,248万,1室1厅 | 41.88平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_oOItDOxv2_1.jpg.296x216.jpg
20201223,浦东,北蔡,15年次新房，高区三房朝南视野采光好，一手动迁税少必看好房,900万,3室2厅 | 126.9平米 | 南 | 简装 | 高楼层(共15层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8Buw0GxCV_1.jpg.296x216.jpg
20201223,浦东,北蔡,顶楼带阁储物间 02年小区双南户型 精装可拎包入住必看好房,410万,2室1厅 | 75.75平米 | 南 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-a48ee1ec-32b6-45bd-9296-50d0ca6a0151.jpg.296x216.jpg
20201223,浦东,北蔡,2005年平顶复式，30平南北双露台，满五唯一，价位可谈必看好房,606万,3室2厅 | 139.44平米 | 南 | 精装 | 高楼层(共7层) | 2005年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-c76d7c29-934a-4db4-b357-97f924c80ec3.jpg.296x216.jpg
20201223,浦东,北蔡,双轨地铁7/13号线+采光无遮挡+闹中取静+配套齐全必看好房,400万,1室1厅 | 54.16平米 | 南 | 简装 | 低楼层(共6层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wHRFjpM7C_1.jpg.296x216.jpg
20201223,浦东,北蔡,满五年唯一 近地铁 诚意出售 采光好 房型好必看好房,390万,2室1厅 | 68.89平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Jxaq2otak_1.jpg.296x216.jpg
20201223,浦东,北蔡,靠芳华路地铁站 一手动迁 税费少  精装修保养好必看好房,388万,2室1厅 | 75.02平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_oF4QqANwV_1.jpg.296x216.jpg
20201223,浦东,北蔡,此房满两年，高区，业主诚意出售，小区景观位置！！！必看好房,1370万,3室2厅 | 122.56平米 | 南 | 精装 | 中楼层(共24层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_opXS5HHlQ_1.jpg.296x216.jpg
20201223,浦东,北蔡,中间楼层精装修，满五唯一，固定租赁车位，近7号线必看好房,290万,1室1厅 | 52.7平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gChkrOGPz_1.jpg.296x216.jpg
20201223,浦东,北蔡,天池双轨交汇，南北两房，配套成熟，税费少，诚意出售必看好房,320万,2室1厅 | 53.68平米 | 南 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4m6gsNutl_1.jpg.296x216.jpg
20201223,浦东,北蔡,年前就要卖掉，首付106万，满五年唯一，13号线700米。必看好房,305万,2室1厅 | 66.04平米 | 南 北 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_COLpPj1Ic_1.jpg.296x216.jpg
20201223,浦东,北蔡,一手动迁税费低，双轨交通便利，看房方便必看好房,680万,3室1厅 | 96.24平米 | 南 | 精装 | 中楼层(共18层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_poMf4vDp1_1.jpg.296x216.jpg
20201223,浦东,北蔡,双南全明、一手动迁税费低、近地铁必看好房,258万,1室1厅 | 45.78平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MKskcKhEt_1.jpg.296x216.jpg
20201223,浦东,北蔡,双开间朝南+全明户型+中间楼层+精装修+通风采光无忧必看好房,415万,1室2厅 | 53.49平米 | 南 | 精装 | 中楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MEwdc1Rhd_1.jpg.296x216.jpg
20201223,浦东,北蔡,18年精装修+小户型 +楼层好+拎包入住。必看好房,210万,1室1厅 | 33.49平米 | 南 | 精装 | 中楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6SuWDDG0c_1.jpg.296x216.jpg
20201223,浦东,北蔡,边套户型，采光好，交通便利，上班方便必看好房,339万,2室1厅 | 63.58平米 | 南 | 简装 | 高楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FzgnIGRdI_1.jpg.296x216.jpg
20201223,浦东,北蔡,中间楼层+满五唯一+花木街道+前后无遮挡+七号线地铁口必看好房,325万,2室1厅 | 51.9平米 | 南 北 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ltUDoIU8D_1.jpg.296x216.jpg
20201223,浦东,北蔡,南北通三房+全明户型+2016年精装修+拎包入住必看好房,595万,3室1厅 | 102.2平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_cU8jfWxqd_1.jpg.296x216.jpg
20201223,浦东,北蔡,电梯洋房，中间楼层，南北通透。必看好房,650万,3室2厅 | 106.58平米 | 南 北 | 简装 | 中楼层(共12层) | 2002年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_Jfvsd0lRp_1.jpg.296x216.jpg
20201223,浦东,北蔡,满五唯一，中间楼层两房，税费低必看好房,248万,2室1厅 | 58.62平米 | 北 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ybM2nKq0d_1.jpg.296x216.jpg
20201223,浦东,北蔡,一手动迁  税费少  中间楼层  位置好  不靠马路必看好房,310万,2室1厅 | 58.15平米 | 南 | 精装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7twH9tcRb_1.jpg.296x216.jpg
20201223,浦东,北蔡,7号线地铁口 南北通 位置好 户型正气 税费少 看房随时必看好房,298万,1室1厅 | 52.67平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_gHTOqV6QR_1.jpg.296x216.jpg
20201223,浦东,北蔡,双阳台，东边户，非顶楼，地铁口，房东诚意出售必看好房,445万,2室1厅 | 80.75平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_M2HbSqUOi_1.jpg.296x216.jpg
20201223,浦东,北蔡,99年商品房+一梯两户两房朝南+中间位置+无户口无抵押必看好房,285万,2室1厅 | 60.3平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Jx2RlmIhT_1.jpg.296x216.jpg
20201223,浦东,北蔡,满五年，开发商统一装修，人车分流，十三号线地铁口必看好房,920万,2室2厅 | 87.7平米 | 南 | 精装 | 中楼层(共17层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GhGjdkNOI_1.jpg.296x216.jpg
20201223,浦东,北蔡,小区优位置  附带大花园地下室必看好房,755万,2室2厅 | 90.05平米 | 南 | 简装 | 低楼层(共7层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LKwA4e0CG.jpg.296x216.jpg
20201223,浦东,北蔡,采光无限好 地铁口全明户型，精装修拎包入住；必看好房,435万,2室1厅 | 73.44平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_06fmw5Zqe_1.jpg.296x216.jpg
20201223,浦东,北蔡,中间楼层 双南户型 简单装修 诚心出售！必看好房,310万,2室1厅 | 66.42平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nWsoPa2EL_1.jpg.296x216.jpg
20201223,浦东,北蔡,近18号线地铁  满五唯一  得房率高   采光通风好必看好房,395万,3室1厅 | 87.93平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lp9l86n8z_1.jpg.296x216.jpg
20201223,浦东,北蔡,中间楼层   小区翻新  18号线芳芯路地铁口必看好房,254万,1室1厅 | 52平米 | 南 | 精装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ITxAUWIOP_1.jpg.296x216.jpg
20201223,浦东,北蔡,2000年商品房+三房朝南+2楼+南北通风必看好房,499万,3室2厅 | 104.01平米 | 南 | 简装 | 低楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-6b4d6bf0-ac92-4c90-a797-da3c4e815fde.png.296x216.jpg
20201223,浦东,北蔡,一街区中间楼层+房东诚意出售+20平大露台+采光无遮挡必看好房,560万,2室2厅 | 73.24平米 | 南 | 简装 | 中楼层(共5层) | 2008年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/37b15091-3faa-43fc-9812-6288aa15c271.png.296x216.jpg
20201223,浦东,北蔡,一室户，精装修，中间楼层，位置安静必看好房,225万,1室1厅 | 33.26平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/2bf0dea4-3d10-4f11-872e-b2b67dca8bc5.png.296x216.jpg
20201223,浦东,北蔡,满五年唯一  双南户型 采光很好  阳台正对小区小广场必看好房,305万,2室1厅 | 59.03平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8CCMyey5I_1.jpg.296x216.jpg
20201223,浦东,北蔡,浦东星河湾泳池全景房+视野开阔+优选房源+诚意出售,2900万,4室3厅 | 301.31平米 | 南 | 精装 | 中楼层(共17层) | 2010年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-b7430c46-494a-4e33-8dc2-eadc7af8524b.jpg.296x216.jpg
20201223,浦东,北蔡,昌邑小两房，满五唯一，双南户型房主自荐,375万,2室1厅 | 63.96平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DeHnmsfcS_1.jpg.296x216.jpg
20201223,浦东,北蔡,花木街道+小区央座+双南边套全明户型+婚房装修诚意售房主自荐,460万,2室1厅 | 71.97平米 | 南 北 | 精装 | 高楼层(共5层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yJssMcDKK_1.jpg.296x216.jpg
20201223,浦东,北蔡,次新房别墅，有电梯，诚意出售，看房方便，,2898万,4室2厅 | 255.92平米 | 南 | 精装 | 4层 | 2017年建 | 板楼 | 联排别墅,http://image1.ljcdn.com/110000-inspection/pc1_Z8OrFcwpn_1.jpg.296x216.jpg
20201223,浦东,北蔡,楼层好，视野开阔，南北通，配套齐全！房主自荐,420万,1室1厅 | 54.33平米 | 南 | 简装 | 中楼层(共18层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rzzSL6wlY_1.jpg.296x216.jpg
20201223,浦东,北蔡,新上精装笋盘，双南全明，看房方便，进才学府，近地铁房主自荐,375万,2室1厅 | 58.48平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wwmYOjjId_1.jpg.296x216.jpg
20201223,浦东,北蔡,税费各付，房东诚意出售，幼小初高配套齐全,520万,3室2厅 | 85.55平米 | 南 | 毛坯 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FtvawgixD_1.jpg.296x216.jpg
20201223,浦东,北蔡,二手买进，诚意出售，随时看房，房屋格局好新上,420万,2室1厅 | 71.44平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CF6CNRnYL_1.jpg.296x216.jpg
20201223,浦东,北蔡,南北通透，采光充足，视野宽阔，交通便利,1330万,3室2厅 | 126.79平米 | 南 北 | 精装 | 高楼层(共27层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PSzIWS0Ji_1.jpg.296x216.jpg
20201223,浦东,北蔡,满五唯一+电梯3层复式+有车位另算+视野开阔层高达5米,1420万,4室3厅 | 159.14平米 | 南 北 | 简装 | 高楼层(共20层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_l2sRMxy5i_1.jpg.296x216.jpg
20201223,浦东,北蔡,三房朝南全明户型，三轨交通，满五唯一，业主急售新上,550万,3室1厅 | 94.59平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Kn4pcOBt9_1.jpg.296x216.jpg
20201223,浦东,北蔡,满五唯一+七号线地铁口+低楼层带花园+南北通户型++房主自荐,335万,2室1厅 | 58.45平米 | 南 北 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vt07UFKMJ_1.jpg.296x216.jpg
20201223,浦东,北蔡,中内环小一房，配套成熟，近13号线地铁，停车宽松,420万,1室1厅 | 55.26平米 | 南 北 | 精装 | 高楼层(共6层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_C8Hbvs6ti_1.jpg.296x216.jpg
20201223,浦东,北蔡,莲溪八村 1室1厅 南,260万,1室1厅 | 48.7平米 | 南 | 简装 | 高楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-74529e6a-9487-4173-a2c2-ab43c2ee04c0.png.296x216.jpg
20201223,浦东,北蔡,中环内精装修一房+刚需客户+停车方便,220万,1室1厅 | 49.76平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IBiS18RdL_1.jpg.296x216.jpg
20201223,浦东,北蔡,莲溪一村 2室1厅 南新上,350万,2室1厅 | 62.83平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4c83I8X7i_1.jpg.296x216.jpg
20201223,浦东,北蔡,20万精装修+满五唯一非底层+半小时达陆家嘴，商品房！新上,392万,2室2厅 | 74.76平米 | 南 北 | 精装 | 低楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BTmCaGFyd_1.jpg.296x216.jpg
20201223,浦东,北蔡,60㎡大花园  满五唯一  地铁站230米  八角餐厅,950万,3室2厅 | 123.78平米 | 南 | 精装 | 低楼层(共7层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cYhOWzKiw_1.jpg.296x216.jpg
20201223,浦东,北蔡,满五唯一，带大花园，近地铁，诚意出售房主自荐,435万,2室1厅 | 70.22平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Cl4tcUdsf_1.jpg.296x216.jpg
20201223,浦东,北蔡,全明户型+塑胶跑道+固定租赁车位+健身楼层+双地铁房主自荐,499万,3室1厅 | 94.4平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_u8XcIRp7i_1.jpg.296x216.jpg
20201223,浦东,北蔡,商品房，正气大一室，客厅带外阳台，满五年唯一,320万,1室1厅 | 60.55平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KqsluxKBx_1.jpg.296x216.jpg
20201223,浦东,北蔡,中间楼层，南北通透。总价低，内环内街道管辖。房主自荐,305万,1室1厅 | 46.04平米 | 南 北 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dObz0XbMT_1.jpg.296x216.jpg
20201223,浦东,北蔡,满五年开发商统一装修，人车分流，十三号线华鹏路站新上,945万,2室2厅 | 86.72平米 | 南 | 精装 | 中楼层(共17层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Z5tuEZLaq_2.jpg.296x216.jpg
20201223,浦东,北蔡,此房一手动迁，近地铁，交通便利。,719万,3室2厅 | 115.71平米 | 南 北 | 毛坯 | 低楼层(共15层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zt6fWtFBO_1.jpg.296x216.jpg
20201223,浦东,北蔡,全明户型，近13号，18号线地铁，两个卧室朝南新上,388万,2室1厅 | 71.95平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8O49Pos30_1.jpg.296x216.jpg
20201223,浦东,北蔡,满五唯一税费少，双南户型采光好，双轨交通配套成熟新上,390万,2室1厅 | 71.95平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Q3ijvhTtS_1.jpg.296x216.jpg
20201223,浦东,北蔡,大华锦绣华城(四街区) 1室1厅 南新上,430万,1室1厅 | 54.42平米 | 南 | 精装 | 高楼层(共6层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_o95P3BAoC_1.jpg.296x216.jpg
20201223,浦东,北蔡,满五唯一＋小区位置好，可看花园＋精装修业主诚意出售新上,365万,2室1厅 | 63.52平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Pvr7Ri3yN_1.jpg.296x216.jpg
20201223,浦东,北蔡,万邦都市花园 2室2厅 南 北新上,820万,2室2厅 | 88.82平米 | 南 北 | 精装 | 中楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NwW1fjgfW_1.jpg.296x216.jpg
20201223,浦东,北蔡,艾东小区 1室1厅 南新上,248万,1室1厅 | 45.63平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9rwCjr60W_1.jpg.296x216.jpg
20201223,浦东,北蔡,宝华海尚郡领 4室2厅 南新上,1616万,4室2厅 | 156.58平米 | 南 | 简装 | 中楼层(共27层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Xk4a518Vw_1.jpg.296x216.jpg
20201223,浦东,北蔡,此房满五年，楼层好，客厅带窗户，产权清晰，采光好新上,460万,2室2厅 | 82.38平米 | 南 | 简装 | 中楼层(共7层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qAVWklwyu_1.jpg.296x216.jpg
20201223,浦东,北蔡,满五唯一税少，精装拎包入住，高区南北通采光通风好,1010万,3室2厅 | 110.04平米 | 南 北 | 精装 | 高楼层(共16层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qucqhjsCy_1.jpg.296x216.jpg
20201223,浦东,北蔡,一手动迁，满五唯一 小区中间位置房主自荐,335万,2室1厅 | 57.61平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uFyjJUmbJ_1.jpg.296x216.jpg
