20201223,浦东,金桥,精装两房，满五唯一，不靠路，一梯两户，通风采光好！必看好房,285万,2室1厅 | 53.33平米 | 南 北 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_M1rfi38zl_1.jpg.296x216.jpg
20201223,浦东,金桥,同方锦城C区位置好房型正业主诚意出售必看好房,675万,2室2厅 | 117.32平米 | 南 | 精装 | 低楼层(共11层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Wi1ruHUFe_1.jpg.296x216.jpg
20201223,浦东,金桥,看房方便，满五唯一，中间楼层。必看好房,440万,3室1厅 | 83.53平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lX2JsWFLk_1.jpg.296x216.jpg
20201223,浦东,金桥,中间楼层，满五年唯一，采光视野好，边套。必看好房,335万,2室1厅 | 60.66平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Ojp4kyxc2_1.jpg.296x216.jpg
20201223,浦东,金桥,同方锦城C区房型正气位置好大两房业主诚意出售必看好房,660万,2室2厅 | 96.78平米 | 南 北 | 精装 | 中楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VMRosLRHW_1.jpg.296x216.jpg
20201223,浦东,金桥,楼层好，位置好，装修精美，拎包入住。必看好房,290万,2室1厅 | 61.22平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5wmtPzdfe_1.jpg.296x216.jpg
20201223,浦东,金桥,精装修，中低楼层，1+1户型，竹园近地铁，满五唯一！必看好房,295万,1室1厅 | 45.45平米 | 南 | 精装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YGbUP6p6E_1.jpg.296x216.jpg
20201223,浦东,金桥,双朝南两房，婚房精装修，距东陆路地铁站900米必看好房,280万,2室1厅 | 56.82平米 | 南 | 精装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CmUXiKLly_1.jpg.296x216.jpg
20201223,浦东,金桥,婚房装修，可以领包入住，南北户型，采光充足，近地铁必看好房,272万,2室2厅 | 52.96平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PjRrUrJRV_1.jpg.296x216.jpg
20201223,浦东,金桥,金桥唯一的模范小区，户型正气，满五唯一，房东诚心卖必看好房,269万,1室1厅 | 50.93平米 | 南 | 简装 | 高楼层(共7层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gz3cjFeB6_1.jpg.296x216.jpg
20201223,浦东,金桥,9号线台儿庄路站 电梯中高楼层 金桥公园 业主诚售必看好房,325万,2室1厅 | 73.32平米 | 东南 | 精装 | 中楼层(共24层) | 2002年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_uJJGD3fwq_1.jpg.296x216.jpg
20201223,浦东,金桥,6号线博兴路地铁站，精装修，楼层佳看，可拎包入住。必看好房,195万,2室0厅 | 36.39平米 | 南 | 精装 | 中楼层(共5层) | 1953年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CesqIOwoD_1.jpg.296x216.jpg
20201223,浦东,金桥,6号线五莲路站，总价低，税费少，采光通风棒，近地铁必看好房,228万,2室1厅 | 49.2平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MXJW4R2lc_1.jpg.296x216.jpg
20201223,浦东,金桥,九号线2004商品房，电梯景观楼层，满五唯一无个税必看好房,645万,1室1厅 | 79.34平米 | 南 | 精装 | 高楼层(共11层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bIVpeVj84_1.jpg.296x216.jpg
20201223,浦东,金桥,南北两房，厅大房间大，视野宽阔，通风采光好还近地铁必看好房,309万,2室1厅 | 65.28平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FxKNU5dlj_1.jpg.296x216.jpg
20201223,浦东,金桥,健身楼层，精装大一房，视野开阔，采光充足看房方便必看好房,249万,1室1厅 | 53.49平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1UeX32RSq_1.jpg.296x216.jpg
20201223,浦东,金桥,2003年商品电梯房，户型正气，直达陆家嘴，诚心出售必看好房,285万,1室1厅 | 55.26平米 | 南 | 简装 | 低楼层(共24层) | 2004年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_IrrjiiBJM_1.jpg.296x216.jpg
20201223,浦东,金桥,中层一房，近地铁，一梯两户，业主置换无嫌恶。必看好房,225万,1室1厅 | 40.94平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lwXNPLEoS_1.jpg.296x216.jpg
20201223,浦东,金桥,《9号线金桥站》中间楼层，安静位置，户型正气必看好房,415万,1室1厅 | 61.85平米 | 南 | 简装 | 中楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_p79HniIrr_1.jpg.296x216.jpg
20201223,浦东,金桥,中间楼层总价低两房朝南户型正气，位置佳通风采光好。必看好房,289万,2室1厅 | 54.42平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_c3iTlYPWz_1.jpg.296x216.jpg
20201223,浦东,金桥,6号线  金桥路站  商品房 临河位置安静 全明两房必看好房,495万,2室1厅 | 82.34平米 | 南 北 | 简装 | 低楼层(共11层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GCu6slAuB_1.jpg.296x216.jpg
20201223,浦东,金桥,九号线金桥站，闹市静谧，大天井必看好房,420万,3室1厅 | 91.84平米 | 南 | 简装 | 低楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FdrSqG0TQ_1.jpg.296x216.jpg
20201223,浦东,金桥,此房近9号线地铁 一梯二房，户型方正采光好 满五唯一必看好房,418万,3室1厅 | 92.02平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nNiLuCeJw_1.jpg.296x216.jpg
20201223,浦东,金桥,精装修 地铁口 9号线 金桥站 成熟配套 拎包可住必看好房,440万,3室1厅 | 88平米 | 南 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zMMaZnKd6_1.jpg.296x216.jpg
20201223,浦东,金桥,2000年商品房+经典南北通户型+中间楼层位置好+诚意售必看好房,495万,2室1厅 | 76.41平米 | 南 | 简装 | 中楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_obKdewHeD_1.jpg.296x216.jpg
20201223,浦东,金桥,花园位置，采光强，南北通，园林式小区，诚意出售必看好房,672万,2室2厅 | 100.18平米 | 南 | 简装 | 低楼层(共11层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iqSpqoeP9_1.jpg.296x216.jpg
20201223,浦东,金桥,金巷电梯高层 满五唯一 双南全明户型 视野开阔必看好房,395万,2室1厅 | 73.77平米 | 南 | 简装 | 高楼层(共24层) | 2002年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_FzSluSFZw_1.jpg.296x216.jpg
20201223,浦东,金桥,一手动迁，产权清晰，无抵押，看房方便，诚意出售必看好房,285万,2室1厅 | 70.69平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PCkxQClBu_1.jpg.296x216.jpg
20201223,浦东,金桥,一梯两户+全明户型+位置好+业主诚意出售必看好房,337万,2室1厅 | 63.9平米 | 南 | 精装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vTWNPQi5j_1.jpg.296x216.jpg
20201223,浦东,金桥,电梯正气两房，总价低，交通方便，视野宽阔，采光足。必看好房,420万,2室1厅 | 87.43平米 | 南 北 | 简装 | 中楼层(共24层) | 2004年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_iXIa2Nedr_1.jpg.296x216.jpg
20201223,浦东,金桥,中楼层+毛坯一房+一手动迁税少！总价低*诚心出售*必看好房,350万,1室1厅 | 41.66平米 | 南 | 毛坯 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_36ad8CBwd_1.jpg.296x216.jpg
20201223,浦东,金桥,近地铁电梯好房，南北通风格局，视野宽阔，采光充足必看好房,628万,2室2厅 | 101.51平米 | 南 | 简装 | 低楼层(共16层) | 2005年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/ab8371a8-65b1-45c0-9af6-5cc2ebcf9c54.png.296x216.jpg
20201223,浦东,金桥,丽都成品：买进价高，免征增值税和个税必看好房,768万,3室2厅 | 115.34平米 | 南 | 精装 | 高楼层(共17层) | 2005年建 | 板楼,http://image1.ljcdn.com/x-se/shfdfs-image/20170804/1c6fc05b-3deb-4c1e-97e5-1cbc427c5d28.jpg.296x216.jpg
20201223,浦东,金桥,高楼层采光通风好，房型方正得房率高，生活配套齐全。,300万,2室1厅 | 66.82平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bYsDKDneg_1.jpg.296x216.jpg
20201223,浦东,金桥,位置好、全天采光、顶楼复式、南北正通、看房随时新上,650万,3室2厅 | 132.97平米 | 南 北 | 简装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1FOFSZf8E_1.jpg.296x216.jpg
20201223,浦东,金桥,金桥新村一街坊 2室1厅 南新上,273万,2室1厅 | 52.96平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fjZgl13Wq_1.jpg.296x216.jpg
20201223,浦东,金桥,社区央坐 精品四房 品质小区 改善住房  欲购从速新上,1100万,4室2厅 | 149平米 | 南 | 精装 | 中楼层(共11层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QeXWuJ7Qc_3.jpg.296x216.jpg
20201223,浦东,金桥,售后公房 四站世纪大道 金桥商圈 随时看房房主自荐,330万,2室1厅 | 74.8平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xWJauSx8n_1.jpg.296x216.jpg
20201223,浦东,金桥,满五唯一，一手动迁，业主诚心出售。新上,220万,2室1厅 | 45.74平米 | 南 | 简装 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vhO0QTKDd_1.jpg.296x216.jpg
20201223,浦东,金桥,清水苑二期，花园位置，满五年唯一，有阁楼，利用率高新上,440万,2室1厅 | 70平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_js2k9bO5T_1.jpg.296x216.jpg
20201223,浦东,金桥,房东诚意卖 看房方便 价格可谈 可以签字新上,380万,2室2厅 | 77.09平米 | 西南 南 | 精装 | 低楼层(共24层) | 2004年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_ekkargNVs_1.jpg.296x216.jpg
20201223,浦东,金桥,产权清晰，精装自住，临地铁，刚需神盘，诚意出售。新上,325万,2室1厅 | 64.53平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EKcT2tjfI_1.jpg.296x216.jpg
20201223,浦东,金桥,新出三房三卫，带大露台视野好，满五唯一诚意出售,820万,3室2厅 | 106.69平米 | 南 | 简装 | 高楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_i1AB1FweK_1.jpg.296x216.jpg
20201223,浦东,金桥,05年商品房，地铁口， 南北户型，靠着别墅，采光极好房主自荐,650万,3室2厅 | 101.97平米 | 南 | 简装 | 低楼层(共7层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sMVHQjRHw_1.jpg.296x216.jpg
20201223,浦东,金桥,满五年唯一 西边套 产权清晰 采光足 地铁9号线台儿庄,435万,2室1厅 | 71.33平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jg8WpXRuo_1.jpg.296x216.jpg
20201223,浦东,金桥,2003年商品房，买进价格高，没增值税，近地铁9号线房主自荐,580万,2室2厅 | 88.63平米 | 南 | 精装 | 低楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ycCJkOIO3_1.jpg.296x216.jpg
20201223,浦东,金桥,2005年品质小区，低总价一房，看房方便,358万,1室1厅 | 55.97平米 | 南 | 简装 | 低楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_eNyFQ7mH2_1.jpg.296x216.jpg
20201223,浦东,金桥,楼层好，花园位置，边套采光好，满五唯一一手动迁房主自荐,630万,3室2厅 | 86.72平米 | 南 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vtK2R0aLx_1.jpg.296x216.jpg
20201223,浦东,金桥,小区中间位置，采光好，精装修，业主诚意房主自荐,310万,2室1厅 | 67.87平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KtNNKV2Tt_1.jpg.296x216.jpg
20201223,浦东,金桥,南北通透，前后无遮挡采光好，不靠路，近地铁，满五年房主自荐,350万,2室1厅 | 75.48平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wyf3iGfmf_1.jpg.296x216.jpg
20201223,浦东,金桥,商品房  精装修  位置很好  税费少房主自荐,382万,2室1厅 | 60.94平米 | 南 | 精装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gSIx1qh5a_1.jpg.296x216.jpg
20201223,浦东,金桥,楼层好，户型正气，价格能谈，急售中!房主自荐,895万,3室2厅 | 118.02平米 | 南 | 精装 | 低楼层(共11层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ApEAJuVMI_1.jpg.296x216.jpg
20201223,浦东,金桥,《9号线金桥站》满五唯一，南北通正气两房，交通便利,600万,2室2厅 | 92.75平米 | 南 北 | 简装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XYEJqD0Rp_1.jpg.296x216.jpg
20201223,浦东,金桥,位置安静、满五唯一、景观楼层、全天采光、看房随时,530万,3室1厅 | 96.33平米 | 南 北 | 简装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HiNDinudI_1.jpg.296x216.jpg
20201223,浦东,金桥,满五唯一，南北格局，采光无遮挡，看房方便，诚售,480万,2室1厅 | 76.77平米 | 南 | 精装 | 低楼层(共11层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4ZrJrFp6O_1.jpg.296x216.jpg
20201223,浦东,金桥,精装修，带阁楼，小区花园位置，双轨相交，配套齐全。新上,360万,1室1厅 | 54.89平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QfVWr3p4C_1.jpg.296x216.jpg
20201223,浦东,金桥,非顶楼  双南两房  商品房   看房随时新上,430万,2室2厅 | 70.23平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_aklzL9KXY_1.jpg.296x216.jpg
20201223,浦东,金桥,沪南船舶小区 1室1厅 南新上,235万,1室1厅 | 37.36平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0JkZm0nog_1.jpg.296x216.jpg
20201223,浦东,金桥,金舟苑 2室2厅 南新上,560万,2室2厅 | 86.32平米 | 南 | 简装 | 中楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6FUybtqvS_1.jpg.296x216.jpg
20201223,浦东,金桥,此房是中间楼层 原始动迁 税费少，采光好，视野开阔，,260万,1室1厅 | 42.42平米 | 南 | 精装 | 中楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mBm9JwJSv_1.jpg.296x216.jpg
20201223,浦东,金桥,交通便捷的双南两房 全明户型 采光好 满五唯一 税费少房主自荐,415万,2室1厅 | 67.43平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EoSjhPps7_1.jpg.296x216.jpg
20201223,浦东,金桥,精装修，税费少，视野宽阔，采光充足，配套齐全,290万,2室1厅 | 57.15平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vKT1gHNRc_1.jpg.296x216.jpg
20201223,浦东,金桥,售后公房无增值税，南北两房刚需户型,280万,2室1厅 | 59.47平米 | 西南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UQvavYdm5_1.jpg.296x216.jpg
20201223,浦东,金桥,房子装修好，房东诚意卖，看房方便，价格可以谈,420万,2室2厅 | 84.91平米 | 东南 | 精装 | 高楼层(共24层) | 2004年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_AgoVt7Wvg_1.jpg.296x216.jpg
20201223,浦东,金桥,近地铁，小区中间位置，业主诚意出售，采光好,320万,2室1厅 | 63.64平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QTL00aLdP_1.jpg.296x216.jpg
20201223,浦东,金桥,金桥花苑 1室1厅 南房主自荐,373万,1室1厅 | 50.73平米 | 南 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bucgjI7wL_1.jpg.296x216.jpg
20201223,浦东,金桥,近地铁6号线五莲路 文峰广场 配套齐全 满五年唯一房主自荐,245万,1室1厅 | 49.96平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Xaasa0K7U_1.jpg.296x216.jpg
20201223,浦东,金桥,一手动迁满五唯一，高楼层通风采光好，双南户型房主自荐,339万,2室1厅 | 69.38平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_j6sjjPdCB_1.jpg.296x216.jpg
20201223,浦东,金桥,@动迁满五年@非顶楼+全明通透*中间位置*诚心出售房主自荐,505万,3室1厅 | 75.3平米 | 南 北 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_L70t8ywwD_1.jpg.296x216.jpg
20201223,浦东,金桥,空中别墅+顶楼复式 视野景观好露台可以利用+上车好房房主自荐,1250万,5室3厅 | 200.21平米 | 南 | 简装 | 高楼层(共11层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gpS89Kjlb_1.jpg.296x216.jpg
20201223,浦东,金桥,上泰雅苑  景观复式  满五唯一  随时可看  诚意出售,1080万,5室3厅 | 181.25平米 | 南 | 简装 | 高楼层(共8层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vw5KfQHWr_1.jpg.296x216.jpg
20201223,浦东,金桥,98年商品房，中环边，双轨交通，近公园，楼层佳房主自荐,418万,2室1厅 | 70.14平米 | 南 北 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9hTKohM9C_1.jpg.296x216.jpg
20201223,浦东,金桥,《9号线金桥站地铁》五年唯一，带阁楼,430万,1室1厅 | 61.56平米 | 南 | 简装 | 高楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-15570501-3bcf-4bd1-9bcc-1bcd4804d7d2.jpg.296x216.jpg
20201223,浦东,金桥,原始三房带阁楼，拎包入住，随时看房房主自荐,440万,3室1厅 | 87.52平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nO7Y2RiFn_1.jpg.296x216.jpg
20201223,浦东,金桥,江南山水  南北户型   中间楼层   随时可看  诚意出售房主自荐,650万,2室2厅 | 95.48平米 | 南 | 简装 | 中楼层(共11层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FdOnZDOEo_1.jpg.296x216.jpg
20201223,浦东,金桥,楼层好，采光充足，户型方正，高层视野好房主自荐,670万,3室2厅 | 145.89平米 | 南 | 简装 | 高楼层(共24层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_41Y6HvhWm_1.jpg.296x216.jpg
20201223,浦东,金桥,商品品质小区视野开阔阳光直射 南北户型五莲路地铁站,868万,3室2厅 | 129.19平米 | 南 | 简装 | 中楼层(共11层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xQbtiZXYu_1.jpg.296x216.jpg
20201223,浦东,金桥,精装修大客厅+9号线近中环+近商场近公园房主自荐,350万,2室2厅 | 75.48平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NCk4oHyjz_1.jpg.296x216.jpg
20201223,浦东,金桥,格局未改动 楼层好位置好 毛坯易改动,488万,2室1厅 | 78.65平米 | 南 | 毛坯 | 高楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lONcZHScK_1.jpg.296x216.jpg
20201223,浦东,金桥,采光好， 位置好，不靠路，随时方便看房，总价低,295万,2室1厅 | 61.57平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ICTFRol4V_1.jpg.296x216.jpg
