20201223,普陀,曹杨,曹杨九村 1室1厅 南必看好房,199万,1室1厅 | 36.12平米 | 南 | 精装 | 高楼层(共7层) | 1977年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qnf0RKIes_1.jpg.296x216.jpg
20201223,普陀,曹杨,加装电梯好房，前面游泳馆，后面花园，天然氧吧,900万,3室2厅 | 121.89平米 | 南 北 | 简装 | 高楼层(共7层) | 1999年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-2cb8de20-cc84-47fc-8a21-f17070a47168.jpg.296x216.jpg
20201223,普陀,曹杨,急急急 此房户型方正  视野开阔 配套齐全 交通便利房主自荐,850万,3室2厅 | 153.97平米 | 东南 东 | 简装 | 高楼层(共21层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wZcuNGNw9_1.jpg.296x216.jpg
20201223,普陀,曹杨,两房两厅，高楼层，三轨交汇，户型方正,846万,2室2厅 | 186.03平米 | 东 南 | 毛坯 | 中楼层(共29层) | 2000年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_z7uVkOimy_1.jpg.296x216.jpg
20201223,普陀,曹杨,近地铁  满五唯一  业主诚意出售房主自荐,345万,3室1厅 | 58.27平米 | 南 | 精装 | 低楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_Zoyx46Ih6_1.jpg.296x216.jpg
20201223,普陀,曹杨,近曹杨公园   出行方便   商圈成熟   业主置换房主自荐,898万,3室2厅 | 125.59平米 | 南 | 简装 | 低楼层(共7层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_V3vqYmvqZ_1.jpg.296x216.jpg
20201223,普陀,曹杨,曹杨六村(沙溪园) 2室1厅 南,420万,2室1厅 | 74.63平米 | 南 | 简装 | 高楼层(共6层) | 1972年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hcyM7uil3_1.jpg.296x216.jpg
20201223,普陀,曹杨,楼层好，配套设施齐全，生活交通便利。,216万,1室1厅 | 40.38平米 | 南 | 简装 | 中楼层(共5层) | 1957年建 | 板楼,http://image1.ljcdn.com/110000-inspection/e9710f68-f28d-4c7d-8d82-8b0683384aa9_1000.jpg.296x216.jpg
20201223,普陀,曹杨,满年唯一，楼层适中不靠马路，近华师大长风公园新上,320万,2室1厅 | 47.8平米 | 南 | 简装 | 中楼层(共6层) | 1978年建 | 板楼,http://image1.ljcdn.com/110000-inspection/30571ba2-46fb-4b90-9c84-42c6d9d9d32e_1000.jpg.296x216.jpg
20201223,普陀,曹杨,[装修中]精装修交房，拎包入住，烫金楼层全明新上,255万,1室1厅 | 42.46平米 | 南 | 精装 | 中楼层(共7层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GexOatJPO_1.jpg.296x216.jpg
20201223,普陀,曹杨,满五唯一，双南两房，业主诚意出售，看房方便,328万,2室0厅 | 49.54平米 | 南 | 简装 | 高楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d8489d12-d09b-40ef-874d-f4772ace7a2b_1000.jpg.296x216.jpg
20201223,普陀,曹杨,2010年次新住宅，花园小区，24H安保，满五税费少！,720万,1室2厅 | 84.27平米 | 南 | 简装 | 低楼层(共16层) | 2010年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-498889d9-f6ac-4500-a844-3408e4ef3c6e.jpg.296x216.jpg
20201223,普陀,曹杨,房子满五年的电梯房次顶楼采光视野开阔保养好诚意出售房主自荐,570万,2室2厅 | 105.81平米 | 西 | 简装 | 高楼层(共23层) | 1999年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/0edfb669-1d15-47ff-8380-1fbe776c58a3_1000.jpg.296x216.jpg
20201223,普陀,曹杨,全明户型，厨卫全明，楼层佳，采光无遮挡！,198万,1室1厅 | 40.38平米 | 南 | 精装 | 中楼层(共5层) | 1957年建 | 板楼,http://image1.ljcdn.com/110000-inspection/74f3d0d8-1f19-4182-ba1b-7e4023de2347_1000.jpg.296x216.jpg
20201223,普陀,曹杨,急急急 到价签字  精装修 拎包入住   税费少房主自荐,389万,1室1厅 | 52.64平米 | 东 西 | 简装 | 低楼层(共13层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KKoD6BDaF_1.jpg.296x216.jpg
20201223,普陀,曹杨,一室一厅格局，户型正气，1991年楼龄，24h随时看房,265万,1室1厅 | 44平米 | 南 | 简装 | 中楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iz0KNTJvk_1.jpg.296x216.jpg
20201223,普陀,曹杨,一房一厅，满五唯一，低楼层诚意售房,240万,1室1厅 | 39.34平米 | 南 | 简装 | 低楼层(共6层) | 1978年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ieA8CplAN_1.jpg.296x216.jpg
20201223,普陀,曹杨,诚意出售-高品质-宜家风-精装修好房—可直接拎包入住房主自荐,218万,1室1厅 | 37.31平米 | 南 | 精装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pWIbiheTc_1.jpg.296x216.jpg
20201223,普陀,曹杨,装修好 房型佳 满五唯一 近地铁,495万,2室1厅 | 86.16平米 | 南 东南 | 简装 | 低楼层(共24层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/9caed733-5862-466e-a834-0885d91f62a8_1000.jpg.296x216.jpg
20201223,普陀,曹杨,南北2房 四轨交汇 紧挨环球港 小区美丽家园了,360万,2室1厅 | 53.17平米 | 南 北 | 简装 | 中楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LYomkxp0p_1.jpg.296x216.jpg
20201223,普陀,曹杨,曹杨七村+中间楼层+双南两房+全明户型房主自荐,320万,2室0厅 | 49.1平米 | 南 | 简装 | 中楼层(共7层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/bd295f05-3f4e-4b8e-8828-115242ad11d6_1000.jpg.296x216.jpg
20201223,普陀,曹杨,兰苑公寓 2室1厅 西南,600万,2室1厅 | 81.89平米 | 西南 | 简装 | 中楼层(共6层)  | 暂无数据,http://image1.ljcdn.com/110000-inspection/pc1_QTlYkGP1o_1.jpg.296x216.jpg
20201223,普陀,曹杨,售后公房，电梯房，户型方正，采光无遮挡，近地铁,490万,2室1厅 | 78.65平米 | 南 | 简装 | 低楼层(共20层) | 1995年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/988925f3-8730-4693-b1cc-e8238e95d010_1000.jpg.296x216.jpg
20201223,普陀,曹杨,曹杨二村+精装修+双南双阳台两房,339万,2室0厅 | 54.94平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d80b2979-5ab9-46bb-9967-454c4afe6070_1000.jpg.296x216.jpg
20201223,普陀,曹杨,满二年，南北通，视野宽阔，楼层好，诚意售，随时看房,240万,1室1厅 | 38.56平米 | 南 | 精装 | 中楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JNqCwuOuM_1.jpg.296x216.jpg
20201223,普陀,曹杨,曹杨六村(兰溪园) 2室1厅 南,335万,2室1厅 | 55.47平米 | 南 | 简装 | 低楼层(共7层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jrEQKksZT_1.jpg.296x216.jpg
20201223,普陀,曹杨,满五唯一，户型方正，采光明媚，看房方便,183万,1室1厅 | 36.59平米 | 南 | 简装 | 高楼层(共7层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HJ0MhKPy0_1.jpg.296x216.jpg
20201223,普陀,曹杨,精装朝南1室户，近地铁，采光视野好，楼层佳,205万,1室1厅 | 35.26平米 | 南 | 简装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kuuhETUrV_1.jpg.296x216.jpg
20201223,普陀,曹杨,西边套两房，中间楼层，满五唯一，3/4/11号线曹杨路站,290万,2室0厅 | 48.81平米 | 南 | 简装 | 中楼层(共5层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_T8czbelmv_1.jpg.296x216.jpg
20201223,普陀,曹杨,【店长推荐】带20平露台一房价买两房，得房率高,295万,2室1厅 | 50.61平米 | 南 | 精装 | 高楼层(共7层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_V2QugazVq_1.jpg.296x216.jpg
20201223,普陀,曹杨,曹杨低总价两房，近地铁，交通方便,260万,2室1厅 | 51.57平米 | 南 | 简装 | 高楼层(共5层) | 1956年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QFkz2beki_1.jpg.296x216.jpg
20201223,普陀,曹杨,3房南北通一楼带天井，小区中间位置，生活便利,460万,3室1厅 | 69.16平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3GJLsTN49_1.jpg.296x216.jpg
20201223,普陀,曹杨,梅岭苑大三房南北通两房朝南全明户型看房随时商品房,850万,3室2厅 | 134.7平米 | 南 | 简装 | 高楼层(共24层) | 2000年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_J9Penj6Gw_1.jpg.296x216.jpg
20201223,普陀,曹杨,梅岭苑正规两房两厅2000年商品房高区景观房诚意出售,565万,2室2厅 | 88.82平米 | 南 | 精装 | 中楼层(共24层) | 2000年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/23cc8408-f155-4203-b9b4-e2fec3a0210b_1000.jpg.296x216.jpg
20201223,普陀,曹杨,电梯房，楼层佳，视野开阔，业主诚意出售！！！,590万,2室2厅 | 108.67平米 | 南 | 简装 | 高楼层(共23层) | 1999年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_PJQXexJIM_2.jpg.296x216.jpg
20201223,普陀,曹杨,顶楼复式，小区中间位置，品质小区，欢迎实地看房,1470万,5室3厅 | 226.11平米 | 南 北 | 简装 | 高楼层(共12层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6lITzGi2a_1.jpg.296x216.jpg
20201223,普陀,曹杨,一梯两户 双南双阳台 大客厅 生活配套齐 交通便利,388万,2室2厅 | 71.25平米 | 南 北 | 精装 | 高楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-c298243f-dda1-4540-bc6a-24aae151c2c3.jpg.296x216.jpg
20201223,普陀,曹杨,总价低一室户靠地铁13，3，4号线金沙江路站一梯四,238万,1室1厅 | 35.75平米 | 南 | 精装 | 低楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NQzrMbVmI_1.jpg.296x216.jpg
20201223,普陀,曹杨,满五唯一 近环球港 近地铁 交通便利 生活配套齐全,245万,1室0厅 | 43.09平米 | 南 | 简装 | 中楼层(共5层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ccef736f-0180-4df8-bc60-53caa6127faf_1000.jpg.296x216.jpg
20201223,普陀,曹杨,【金质小区兰花园】闹中取静，中间楼层，91年房龄！,235万,1室1厅 | 43.1平米 | 南 | 简装 | 高楼层(共7层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3rhVZlV8Z_1.jpg.296x216.jpg
20201223,普陀,曹杨,售后公房减增值税，视野开阔，精装修，轨交便利采光好,480万,2室1厅 | 74平米 | 西南 | 精装 | 中楼层(共24层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9NN80Ua4w_1.jpg.296x216.jpg
20201223,普陀,曹杨,曹杨五村(金岭园) 2室1厅 南,260万,2室1厅 | 43.36平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/29cc86dd-0bb7-40e2-9c92-2484d577cbcb_1000.jpg.296x216.jpg
20201223,普陀,曹杨,内环边上 轨道3，4，13号线 视野开阔 房型正气,728万,3室2厅 | 131.24平米 | 西北 | 简装 | 高楼层(共24层) | 1996年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/pc1_JJH2tJFov_1.jpg.296x216.jpg
20201223,普陀,曹杨,新装电梯  近地铁 临曹杨公园  户型正气  傍水而居,1030万,3室2厅 | 147.47平米 | 南 | 简装 | 高楼层(共7层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pdKwr5Kkn_1.jpg.296x216.jpg
20201223,普陀,曹杨,香山苑精装全明+满五唯一+诚意售+高区景观+拎包入住,708万,2室2厅 | 113.73平米 | 南 | 精装 | 低楼层(共24层) | 1999年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_s9ICa9zFO_1.jpg.296x216.jpg
20201223,普陀,曹杨,曹杨九村 2室1厅 南,315万,2室1厅 | 48.89平米 | 南 | 精装 | 高楼层(共6层) | 1978年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pAfnlUepL_1.jpg.296x216.jpg
20201223,普陀,曹杨,两年只出一套，近3.4.11号线地铁站，有地下产权车位房主自荐,830万,2室2厅 | 100.65平米 | 南 | 简装 | 高楼层(共18层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/0bfbed47-199b-4356-bbe5-da495816d318_1000.jpg.296x216.jpg
20201223,普陀,曹杨,昨夜冬风凋碧树，万都园中宜居住，满五唯一 看房方便,768万,3室2厅 | 111.86平米 | 南 | 精装 | 高楼层(共14层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/96c19d6e-1fff-4949-9257-02ec319c3f5b_1000.jpg.296x216.jpg
20201223,普陀,曹杨,香山苑大两房+满五唯一+产权清晰+高区景观+拎包入住！,710万,2室2厅 | 109.86平米 | 南 | 简装 | 高楼层(共24层) | 1999年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/a6e8f0fe-6c97-49a0-b9f4-67de8becd1ed_1000.jpg.296x216.jpg
20201223,普陀,曹杨,南北通透，与环球港相邻，3/4/13号线金沙江路地铁站,670万,3室1厅 | 104.21平米 | 南 北 | 简装 | 低楼层(共8层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/fbc8aed0-7543-4751-9110-0fa073a75ead_1000.jpg.296x216.jpg
20201223,普陀,曹杨,西部秀苑 2室2厅 南,898万,2室2厅 | 110.52平米 | 南 | 精装 | 中楼层(共21层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/c7cfe49f-a4b0-4d7a-b5c1-7c556cff97fc_1000.jpg.296x216.jpg
20201223,普陀,曹杨,小区中间位置，产权清晰，业主诚意，高区无遮挡。房主自荐,1200万,4室2厅 | 155.16平米 | 南 | 简装 | 高楼层(共13层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/7797420b-2345-49ce-ac68-abb3ec15c7ba_1000.jpg.296x216.jpg
20201223,普陀,曹杨,满五唯一减税，位置安静，南北通风三房全明，配套成熟房主自荐,980万,3室2厅 | 123.69平米 | 南 | 简装 | 中楼层(共12层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/fefda4ce-1b67-4ccf-a2ff-6419b77e1847_1000.jpg.296x216.jpg
20201223,普陀,曹杨,买进价高税少，有产权车位，南北通风全明，精装修可住,950万,3室2厅 | 123.69平米 | 南 | 精装 | 中楼层(共12层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fGfrSKhlU_1.jpg.296x216.jpg
20201223,普陀,曹杨,南向采光无遮挡，无抵押，无查封，业主诚意卖,360万,2室1厅 | 60.73平米 | 南 | 简装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WLv69ICgF_1.jpg.296x216.jpg
20201223,普陀,曹杨,高区双南景观+前无遮挡+产权清晰+房东诚意+看房方便！,650万,2室2厅 | 101.7平米 | 南 | 简装 | 中楼层(共24层) | 1999年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_NctsmVMFE_1.jpg.296x216.jpg
20201223,普陀,曹杨,香山苑精装全明+满五唯一+诚意售+高区景观+拎包入住,695万,2室2厅 | 113.73平米 | 南 | 简装 | 低楼层(共24层) | 1999年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_WulX5fZG4_1.jpg.296x216.jpg
20201223,普陀,曹杨,4楼，大二房二厅，全明户型，诚意的业主！房主自荐,565万,2室2厅 | 105.81平米 | 西南 | 简装 | 低楼层(共23层) | 1999年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/test-23180c7b-4fab-4a7c-a9c4-d54050ee4fe3.png.296x216.jpg
20201223,普陀,曹杨,区交通也方便，小户型，值得你详细了解。不容错过房主自荐,178万,1室1厅 | 33.72平米 | 南 | 精装 | 中楼层(共5层) | 1957年建 | 板楼,http://image1.ljcdn.com/310000-inspection/4bb2b037-24d0-412e-b193-c7667a5491d2_1000.jpg.296x216.jpg
20201223,普陀,曹杨,满五不唯一，税费低，南北采光无遮挡，近地铁,156万,1室0厅 | 28.68平米 | 南 | 简装 | 高楼层(共7层) | 1977年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mtPMd5cXd_1.jpg.296x216.jpg
20201223,普陀,曹杨,带阁楼！四轨相交一室户，户型方正采光好,190万,1室0厅 | 29.94平米 | 南 | 简装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PmEOrsVU4_1.jpg.296x216.jpg
20201223,普陀,曹杨,杏园一楼+南北 通明+吧 交通便利+诚意出售,324万,2室1厅 | 49.84平米 | 南 | 简装 | 低楼层(共5层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/01b8d1a0-ae33-4310-b49d-55e7c6955e2b_1000.jpg.296x216.jpg
20201223,普陀,曹杨,六村/兰溪园，三轨交汇，仰望环球港！地理位置优越！房主自荐,285万,2室1厅 | 55.95平米 | 西北 | 简装 | 低楼层(共26层) | 1991年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_Jla5XfCLA_1.jpg.296x216.jpg
20201223,普陀,曹杨,此房满5不唯一楼层好采光充足业主诚心出售配套齐全房主自荐,324万,1室1厅 | 49.12平米 | 南 | 简装 | 中楼层(共22层) | 1991年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_D4Q8vIR15_1.jpg.296x216.jpg
20201223,普陀,曹杨,叔叔阿姨看过来：0楼梯带花园，满五唯一，边套全明！房主自荐,262万,1室1厅 | 43.1平米 | 南 | 简装 | 低楼层(共7层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_oovqFMdu6_1.jpg.296x216.jpg
20201223,普陀,曹杨,枫桥路地铁口，中间楼层，电梯两房,478万,2室1厅 | 70.27平米 | 东南 | 简装 | 中楼层(共22层) | 1995年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/2dbc6588-ae04-4e44-b530-114f191ca6bd_1000.jpg.296x216.jpg
20201223,普陀,曹杨,业主诚意出售  近地铁 南北户型  中间楼层,255万,2室0厅 | 49.47平米 | 南 | 简装 | 中楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/674497d8-4cbf-4b2c-a6bf-148ccf29cd21_1000.jpg.296x216.jpg
20201223,普陀,曹杨,正规双南两房，中间楼层老少皆宜，视野开阔无遮挡,360万,2室0厅 | 59.5平米 | 南 | 简装 | 中楼层(共6层) | 1978年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_y61pIKDsY_1.jpg.296x216.jpg
20201223,普陀,曹杨,房东诚意出售房源！，满五唯一税费少，楼层佳,230万,1室0厅 | 39.62平米 | 南 | 简装 | 中楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-cc2e76ed-bb48-44af-9c90-e5e5ebbdca3a.jpg.296x216.jpg
20201223,普陀,曹杨,满五唯一 格局通透 采光好无遮挡 交通便利,430万,2室1厅 | 70.15平米 | 东南 | 简装 | 中楼层(共22层) | 1992年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/prod-4ef051b7-4397-4542-9b93-0ce97a37f063.jpg.296x216.jpg
20201223,普陀,曹杨,小户型，全明，有钥匙，看房方便,160万,1室1厅 | 29.44平米 | 西北 | 毛坯 | 中楼层(共5层) | 1957年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_aW3GINL5t_1.jpg.296x216.jpg
20201223,普陀,曹杨,满五唯一 多轨交汇  底楼带天井  看房方便 业主置换,199万,1室0厅 | 27.96平米 | 南 | 简装 | 低楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mMltd08bC_1.jpg.296x216.jpg
