20201223,浦东,杨思前滩,杨思前滩：大平层，空调，带地暖，人车分流自带会所。必看好房,2450万,4室2厅 | 400.68平米 | 南 北 | 精装 | 低楼层(共5层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_oXC2L4Ibq_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,前滩CBD+板式三房+满五唯一+商品房品质+楼层好必看好房,670万,3室2厅 | 108.08平米 | 南 | 精装 | 中楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fziz9syDP_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩CBD+近地铁+中间楼层+三线交轨+居家装修必看好房,296万,2室1厅 | 55平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0YnlqgvOg_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩，板式南北两房，采光棒，满五唯一，诚意出售必看好房,550万,2室2厅 | 93.39平米 | 南 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9X2VSxKnl.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩：双南户型+满五年+随时可签+采光日照无遮挡必看好房,579万,2室2厅 | 75.26平米 | 南 | 精装 | 低楼层(共11层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kK9pNBgde_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩+8号线杨思站+南北2大房间+一梯两户+婚房装修必看好房,408万,2室1厅 | 65.58平米 | 南 | 精装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mPFVmfRju_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩+华二+精装一房+三轨交汇+高区景观楼层必看好房,936万,1室1厅 | 50.54平米 | 南 | 精装 | 高楼层(共33层) | 2018年建 | 板塔结合,http://image1.ljcdn.com/110000-inspection/0817413c-ce49-410d-ab5c-35e7a799968a_1000.jpg.296x216.jpg
20201223,浦东,杨思前滩,中环内品质两房，楼层视野采光佳，急售税少环境优美必看好房,430万,2室1厅 | 78.71平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uCZwxWBVx_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩+三线交轨+版式三房+中间楼层必看好房,630万,3室2厅 | 103.16平米 | 南 | 简装 | 中楼层(共5层) | 1999年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_TbKKkF1cm_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩+满五年唯一+飞机户型++南北通透+交通便利必看好房,740万,3室2厅 | 123.71平米 | 南 北 | 简装 | 中楼层(共11层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WaONHZSsB_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩+中环内+6号线地铁站+位置好+诚意出售必看好房,580万,3室2厅 | 88.68平米 | 南 | 简装 | 中楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/5c561644-1f79-4311-a8e6-f8821bf333e2_1000.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩+婚房装修入住+东边套全明++8号线杨思站口必看好房,290万,2室1厅 | 57.26平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/4f99c0ce-3225-4767-980f-e8f4bce8873f_1000.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩+CBD+6 8 11三轨交+三开间朝南+ 02年商品房必看好房,577万,3室1厅 | 88.87平米 | 南 北 | 简装 | 高楼层(共5层) | 2002年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-94f6931c-0a96-4ece-85b0-e73b91f4b3f6.jpg.296x216.jpg
20201223,浦东,杨思前滩,地铁口精装2房， 前滩C/Bd辐射人气旺，配套成熟必看好房,388万,2室2厅 | 72.31平米 | 南 北 | 精装 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/e87f9525-a4ad-4920-99a9-a8d425d54fce_1000.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩+客厅带阳台+买一层给一层+多层复式+花园位置必看好房,306万,1室1厅 | 56平米 | 南 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IXxhw3DFR_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,前滩杨思 次新房，品质高，近地铁。楼层好，房型好，必看好房,699万,2室2厅 | 99.89平米 | 南 北 | 精装 | 低楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/95945abf-93c8-446d-b285-94801a746616_1000.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩+房子满五年，环境好，交通方便，诚意出售必看好房,718万,2室2厅 | 99.96平米 | 南 北 | 精装 | 中楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_n18LIXD4D_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩+一手动迁+免增值税+南北格局+好采光+带阁楼必看好房,770万,5室4厅 | 112.47平米 | 北 南 | 精装 | 高楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BJj0W93bT_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩+售后公房+全明户型+南北通+杨思地铁站必看好房,325万,2室1厅 | 58.57平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DbKR2rjRC_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,前滩CBD板块+电梯品质小区+业主诚意出售房主自荐,1300万,4室2厅 | 123.98平米 | 南 | 精装 | 中楼层(共6层) | 2010年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-d223efcb-9aea-4d2e-bf11-16a743d1dbf0.jpg.296x216.jpg
20201223,浦东,杨思前滩,三林世博家园(新浦路199弄) 3室2厅 南新上,460万,3室2厅 | 73.95平米 | 南 | 简装 | 高楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IMSMSll4f_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,三林前滩+动迁+满五年+电梯高区+户型方正+诚意出售,330万,1室1厅 | 64.64平米 | 南 | 简装 | 高楼层(共22层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rSjpUb1av_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩+满五唯一+无个税+工作日随时看房主自荐,2350万,4室2厅 | 320.56平米 | 南 | 精装 | 下叠(共4层) | 2011年建 | 板楼 | 叠拼别墅,http://image1.ljcdn.com/310000-inspection/prod-97832f4a-3ac8-4631-8dd8-9556d7cbf9c9.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩+精装修+八号线地铁口+看房方便新上,235万,1室1厅 | 40.1平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_eNqbM3KQi_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩板块+6号线高青路+80平米花园+地下产权车位房主自荐,1580万,4室2厅 | 168.11平米 | 南 北 | 精装 | 低楼层(共8层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QB6MbUkCQ_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩＋税费少＋近8号线杨思＋全明户型＋视野好,310万,2室1厅 | 58.57平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NmJUxkKqy_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩+两年前装修18万+拎包入住+诚意出售房主自荐,235万,1室1厅 | 41.79平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PHj1TytUe_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩+配套齐全+采光佳+一手动迁+税费少,540万,2室2厅 | 72.92平米 | 南 | 简装 | 低楼层(共18层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EKkFUqklC_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,三林世博家园+电梯中间楼层+精装修新上,460万,2室1厅 | 85.46平米 | 南 北 | 简装 | 中楼层(共22层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5P0CKGwiK_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩+低总价顶楼复式+大露台+随时看房房主自荐,660万,3室2厅 | 129平米 | 南 北 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-2dd0c001-faaf-41a0-a115-ee5748a32a1b.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩+顶楼复式+中芯位置+三条地铁+大露台+视野佳房主自荐,920万,4室2厅 | 147.63平米 | 南 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qTdjmlVzr.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩+万科品质/一楼50平花园+地铁6/8/11号线房主自荐,1380万,4室2厅 | 123.98平米 | 南 | 精装 | 低楼层(共6层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uPL93ccfP_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩+三轨+175平精装复式+50平大露台+地暖落地窗,1080万,4室4厅 | 175.39平米 | 南 北 | 精装 | 高楼层(共5层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jPc6es3KD.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩+超大复式+买一层得一层+小区心脏位置+诚意卖房主自荐,618万,3室2厅 | 126.93平米 | 南 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Etky8Jjt0_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩+三林世博家园+满五唯一+电梯高层+精装修,540万,3室2厅 | 95.64平米 | 南 北 | 精装 | 高楼层(共11层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nSd4nKlNp_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,三林世博家园390弄满二唯一电梯中间楼层，业主诚出。,470万,2室1厅 | 85.26平米 | 南 | 简装 | 高楼层(共24层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_N97jfsg5Y_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,前滩CBD+一楼带花园+板式两房+地铁三轨房主自荐,610万,2室1厅 | 84.71平米 | 南 | 精装 | 低楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HKT4fWpgo_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩+8号线杨思地铁口+满五唯一+业主诚意出售房主自荐,300万,2室2厅 | 52.6平米 | 南 | 简装 | 中楼层(共7层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5WaL6UaPV_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩+满五唯一+居家精装修+花园位置+电梯小三房房主自荐,550万,3室1厅 | 96.73平米 | 南 北 | 精装 | 低楼层(共17层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NEkvpz8fT_2.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩+金色中环杨思高青区域+明珠+固定车位+商品房,898万,3室2厅 | 111.65平米 | 南 | 精装 | 中楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wBqudIFiw_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,三林世博家园(大道站路94弄) 2室1厅 南,440万,2室1厅 | 84平米 | 南 | 精装 | 中楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_umAeu9Cic_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩+世博家园560弄+小区有花园+停车方便+精装修新上,430万,2室1厅 | 73.2平米 | 南 | 精装 | 低楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fKmE2rjup_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,中间楼层+精装修大两房+一手动迁税少+户型方正新上,445万,2室2厅 | 85.12平米 | 南 | 精装 | 中楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vkmYcQOCQ_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩+中间楼层+花园位置+有钥匙看房方便,445万,2室2厅 | 73.19平米 | 南 | 毛坯 | 中楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JI1jggtxG_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩+8号线地铁口+精装修+南北两房+看房方便,290万,2室1厅 | 52.87平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OzikkKUcJ_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,此房南北板式格局，满五唯一，楼层好  房型佳！,800万,3室2厅 | 116.42平米 | 南 北 | 精装 | 中楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RKqaPRdES_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,上南站地铁口 南北通 拎包入住 急售新上,598万,2室2厅 | 92.16平米 | 南 北 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jWA5aYBF0_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩+独门独户+自家门口可停车+有储物间+好房房主自荐,699万,2室2厅 | 81.63平米 | 南 | 精装 | 低楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DkS8LQknh_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩+河景+8号线杨思60米+中楼层+东边套+闹中取静房主自荐,265万,2室1厅 | 47.46平米 | 南 北 东 | 精装 | 中楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gHOc9JC2W_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩+大面积4房+中间位置 +满五年唯一+ 精装修房主自荐,1720万,4室2厅 | 161.09平米 | 南 | 精装 | 中楼层(共8层) | 2007年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-615a57c9-223d-459a-8fbb-e53dad1dbef8.jpg.296x216.jpg
20201223,浦东,杨思前滩,高区景观房，带您一览前滩的美景,1228万,1室2厅 | 74平米 | 南 | 精装 | 高楼层(共33层) | 2018年建 | 板塔结合,http://image1.ljcdn.com/110000-inspection/pc1_8cPUsuFmg_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩+高层景观+四轨交接+户型方正房主自荐,920万,3室2厅 | 126.16平米 | 南 | 精装 | 11层 | 2004年建 | 板楼,http://image1.ljcdn.com/310000-inspection/256723d7-8bf6-4646-8932-dabf2886da91_1000.jpg.296x216.jpg
20201223,浦东,杨思前滩,小区花园位置+楼层好+精装修+近地铁+税费少+诚意出售,295万,1室1厅 | 56.94平米 | 南 | 简装 | 中楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LwChaQc3t_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩+02年商品房近地铁一梯三户一楼带花园房主自荐,428万,2室1厅 | 65.63平米 | 南 | 简装 | 低楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7x5pj6ZIV_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩+太古里+6/8/11三地铁交汇+有钥匙+一梯两户房主自荐,280万,1室1厅 | 48.11平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KVeLTA2bO_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩 花园位置，视野开阔，房东诚意出售，近地铁房主自荐,275万,2室1厅 | 53.93平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ENVD6AZhc_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,电梯南北两房 带阁楼 视野开阔 位置好 两卫 看房方便房主自荐,486万,2室2厅 | 78.25平米 | 南 | 精装 | 高楼层(共11层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rfFaNRpUh_2.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩+近8号线杨思站+单价低+全明户型房主自荐,230万,1室1厅 | 47.46平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_d35B0KnMb_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,满五唯一+好明珠+税费少+小区品质高,735万,2室2厅 | 77.48平米 | 南 | 精装 | 低楼层(共18层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QDsH6qJ3h_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,捡漏房源+满五唯一＋带花园＋明珠C+拎包入住房主自荐,705万,2室2厅 | 96.58平米 | 南 | 简装 | 低楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WDVUMXW1X_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩+优质楼层+四开间朝南+6 8  11三轨交汇房主自荐,610万,3室2厅 | 98.12平米 | 南 | 简装 | 低楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/e336e050-9923-479f-a133-4aa7c008bfc5_1000.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩+满五唯一+婚房装修+采光充足+配套齐全房主自荐,365万,2室1厅 | 67.58平米 | 南 北 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/fbe95d2e-99f5-4ed6-b8ed-93c33fd42ebd_1000.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩+CBD+三轨交汇（6/8/11）+板式三房房主自荐,760万,3室2厅 | 108.22平米 | 南 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Jhh3BJ8uD_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩+精装三房+花园位置+户型方正+诚意出售,638万,3室2厅 | 127.76平米 | 南 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_g5q0XjyKj_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩＋拎包入住＋阁楼2个小间＋出行方便＋店长荐,345万,1室1厅 | 55.77平米 | 南 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rgZL2Yn2z_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩+中环内地铁口+低总价+中间位置+业主诚意房主自荐,428万,2室2厅 | 79.03平米 | 南 | 精装 | 高楼层(共7层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_o49zuQMc9_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩，精装两房，一手动迁，满五唯一,605万,2室2厅 | 80平米 | 南 北 | 精装 | 中楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6pV74IJw4_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,此房，满五+婚房装修带阁楼+花园位置不靠路。新上,320万,1室1厅 | 56.68平米 | 南 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LgfBVx1bl_1.jpg.296x216.jpg
20201223,浦东,杨思前滩,杨思前滩+大复式+精装修+业主诚意出售房主自荐,850万,4室2厅 | 140平米 | 南 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/8fadebe4-8355-45e7-8416-15e2cb7c5e46_1000.jpg.296x216.jpg
