20201223,浦东,宣桥,精装婚房装修 宣桥三房装修best一套 房东诚心卖呢必看好房,240万,4室2厅 | 120.29平米 | 南 北 | 精装 | 高楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/08a9b52c-8d7f-4711-9e50-125f5c640aa8_1000.jpg.296x216.jpg
20201223,浦东,宣桥,南北通 简装 中间楼层 大两房 采光好房主自荐,210万,2室2厅 | 105平米 | 南 北 | 简装 | 中楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/eba47c80-c524-4bc8-b3ba-6210b4909081_1000.jpg.296x216.jpg
20201223,浦东,宣桥,靠河景观房，中等楼层，税费少，房型正气 适合居住房主自荐,225万,2室2厅 | 104.68平米 | 南 | 毛坯 | 中楼层(共11层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/0c9a04e0-e0d8-4415-8bd7-b986ebe108b2_1000.jpg.296x216.jpg
20201223,浦东,宣桥,主卧卫生间干湿分离，三开间朝南，卧室带弧形飘窗房主自荐,239万,3室2厅 | 121.98平米 | 南 | 毛坯 | 高楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/fef9b8e7-e267-484c-9f4b-b2000d006c65_1000.jpg.296x216.jpg
20201223,浦东,宣桥,简装大三房 诚心出售 看房随时房主自荐,228万,3室2厅 | 120.29平米 | 南 | 简装 | 低楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/e8e55312-3cff-453a-9938-b0447fc72efa_1000.jpg.296x216.jpg
20201223,浦东,宣桥,vr房，户型正气，业主诚心卖。房主自荐,203万,2室2厅 | 92.29平米 | 南 北 | 简装 | 高楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/e844c770-e105-4684-ad01-5441ec59ccdb_1000.jpg.296x216.jpg
20201223,浦东,宣桥,欣菊苑 南北通透大两房 满五年税费少 精装修楼层中层,218万,2室2厅 | 105.23平米 | 南 北 | 精装 | 中楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/fe8dd8c1-db70-4663-9f2c-bf84c3911880_1000.jpg.296x216.jpg
20201223,浦东,宣桥,宣桥三房两厅上佳之选不容错过！房主自荐,242万,3室2厅 | 120.9平米 | 南 北 | 精装 | 低楼层(共6层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/773c0769-c566-4da2-b60c-2cbff6ccccc1_1000.jpg.296x216.jpg
20201223,浦东,宣桥,总价低，户型整齐，宣桥南北通正两房,182万,2室1厅 | 77.08平米 | 南 | 精装 | 低楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d1e6050e-5524-4b6e-b976-58a95379208f_1000.jpg.296x216.jpg
20201223,浦东,宣桥,靠河景观房，电梯房，税费少，房型正气 适合居住,170万,1室1厅 | 68.64平米 | 南 | 精装 | 高楼层(共11层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/2fb85e49-a5b9-49a5-aaac-84b7b3185bab_1000.jpg.296x216.jpg
20201223,浦东,宣桥,一手动迁房，满五年唯一，带阁楼，精装修，看房方便，房主自荐,182万,2室1厅 | 77.18平米 | 南 | 精装 | 高楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/12ad0e36-8cc9-4f53-8aff-553f926a7826_1000.jpg.296x216.jpg
20201223,浦东,宣桥,不可错过！首付30+买沪房，欢迎看房房主自荐,129万,1室1厅 | 54.61平米 | 南 | 毛坯 | 低楼层(共5层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MgXvnM2Dl_1.jpg.296x216.jpg
20201223,浦东,宣桥,店长力荐！！温馨一居！婚房装修+税费各付，请君鉴赏房主自荐,142.9万,1室1厅 | 54.45平米 | 南 北 | 精装 | 低楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kditDpmu1_1.jpg.296x216.jpg
20201223,浦东,宣桥,房子是2007年.一手动迁.自住装修.房子是一体二户房主自荐,235万,3室2厅 | 120.29平米 | 南 | 毛坯 | 高楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/3c0ec147-3147-444e-95f3-6cea0cab9195_1000.jpg.296x216.jpg
20201223,浦东,宣桥,欣梅苑三房二厅二卫.一手动迁简装房主自荐,225万,3室2厅 | 121.7平米 | 南 | 简装 | 中楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/00141a1f-808f-4e7e-844d-da034d2f9f9e_1000.jpg.296x216.jpg
20201223,浦东,宣桥,精装修精品小套房 中楼层  价格接近市场成交价房主自荐,155万,1室2厅 | 64平米 | 南 北 | 精装 | 中楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/26691f3e-8887-49b5-a587-6a19f0e3bc45_1000.jpg.296x216.jpg
20201223,浦东,宣桥,南北双阳台，配套齐全，一手动迁业主置换诚心卖房主自荐,243万,3室2厅 | 120.64平米 | 南 | 简装 | 中楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/2b92135d-4af1-4f3c-8ecf-7b54963f04fe_1000.jpg.296x216.jpg
20201223,浦东,宣桥,一梯两户，清水毛坯，满五唯一省税房主自荐,260万,3室2厅 | 129.07平米 | 南 | 毛坯 | 高楼层(共11层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/a39417d5-acff-4918-abe5-c96ef51df6e6_1000.jpg.296x216.jpg
20201223,浦东,宣桥,欣兰苑 精装修高层区 满五年唯一税费少 业主诚心售房主自荐,197万,2室2厅 | 94平米 | 南 北 | 精装 | 高楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/999d3766-8414-46c6-8636-f44f97de4434_1000.jpg.296x216.jpg
20201223,浦东,宣桥,宣桥 两房  精装修  楼层适中 配套齐全房主自荐,225万,2室2厅 | 103.78平米 | 南 | 精装 | 中楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/3b2e9897-97ae-4773-8c7a-6fdc66515f78_1000.jpg.296x216.jpg
20201223,浦东,宣桥,宣桥电梯好房 诚心出售 走过路过瞅瞅哦,225万,2室2厅 | 95.29平米 | 南 | 精装 | 中楼层(共11层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/87e714d6-041e-4a18-9c2e-2be04489f381_1000.jpg.296x216.jpg
20201223,浦东,宣桥,方正三房 南北户型 业主诚售 价格可谈房主自荐,240万,3室2厅 | 117平米 | 南 | 精装 | 中楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/94450616-8b68-41c1-b24b-f2273a365300_1000.jpg.296x216.jpg
20201223,浦东,宣桥,今日笋盘！宣桥两房+带阁楼+南北通+精装修-诚意卖房主自荐,220万,2室2厅 | 92.83平米 | 南 | 精装 | 高楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/4026f430-8f4a-48e2-a055-cd9997defae9_1000.jpg.296x216.jpg
20201223,浦东,宣桥,配套齐全 南北正通格局好 满五税费少房主自荐,230万,3室2厅 | 118平米 | 南 北 | 简装 | 低楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/29c0f747-005e-4e9a-b367-8da088dffb0d_1000.jpg.296x216.jpg
20201223,浦东,宣桥,双鱼座女孩推荐，主卧和客厅都朝南，绿化高，满2年！,155万,1室2厅 | 66.94平米 | 暂无数据 | 精装 | 低楼层(共11层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/e10d8124-d5fd-4775-a144-b7fee929b18e_1000.jpg.296x216.jpg
20201223,浦东,宣桥,自住精装修，中间楼层，视野采光好，价格可谈，随时看房主自荐,180万,2室1厅 | 77.08平米 | 南 | 简装 | 中楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/3abcfaa9-04db-44f1-876d-ecf891e80f4b_1000.jpg.296x216.jpg
20201223,浦东,宣桥,店长推荐 婚房装修 业主置换程序出售房主自荐,208万,2室2厅 | 105平米 | 南 北 | 精装 | 中楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-367dd298-8865-4755-94d4-00c101009294.jpg.296x216.jpg
20201223,浦东,宣桥,小兰子强烈推荐 中间好楼层 翻新欧式风格,205万,2室2厅 | 93.97平米 | 南 北 | 精装 | 中楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/1b69a284-3f9c-479c-a5a2-beb4f2f5a69e_1000.jpg.296x216.jpg
20201223,浦东,宣桥,精品一室户，中间楼层，税费各付，看房方便,138万,1室1厅 | 54.59平米 | 南 | 毛坯 | 中楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/cc1d3834-2f2a-4b39-ab6a-d5bdaf777ada_1000.jpg.296x216.jpg
20201223,浦东,宣桥,欣松苑 二房中等装修 一手动迁可以马上过户,200万,2室2厅 | 93.47平米 | 南 | 简装 | 低楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/310000-inspection/rsp_pic_upload52fade7b-16e3-4705-8e9d-3d1679108d62.jpg.296x216.jpg
20201223,浦东,宣桥,欣春苑 三房二厅二卫.精装修 房子是一手动迁房主自荐,280万,3室2厅 | 129平米 | 南 北 | 精装 | 中楼层(共11层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/81f75213-9071-446a-9a16-96ca8880c2b0.jpeg.296x216.jpg
20201223,浦东,宣桥,小区中间位置 采光视野好 精装修可拎包入住 诚心出售,195万,2室2厅 | 93.03平米 | 南 | 简装 | 高楼层(共6层) | 2008年建 | 板楼,
20201223,浦东,宣桥,宣桥小户型，电梯房 南北通，不靠路 业主诚意卖房主自荐,215万,2室2厅 | 95.29平米 | 南 北 | 精装 | 高楼层(共11层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/c737bb63-5854-46db-8d6e-56c07c4d2b00_1000.jpg.296x216.jpg
20201223,浦东,宣桥,16号野生动物园站 宣桥大三房，带电梯，南北通有钥匙,260万,3室2厅 | 129.07平米 | 南 北 | 毛坯 | 低楼层(共11层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/50a99a03-6232-474d-8b23-7130acb0dd6d_1000.jpg.296x216.jpg
20201223,浦东,宣桥,店长推荐！宣桥小两房，中层楼层 精装修可拎包入住新上,180万,2室1厅 | 77.08平米 | 南 北 | 精装 | 中楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/659636e3-6654-42ca-869e-5ce50297876d_1000.jpg.296x216.jpg
20201223,浦东,宣桥,两房两厅，楼梯房非底楼低楼层，出行方便房主自荐,198万,2室2厅 | 94.16平米 | 南 | 简装 | 低楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/a57944b6-131b-4ab4-9b39-54aa4737c012_1000.jpg.296x216.jpg
20201223,浦东,宣桥,欣菊苑 1室1厅 南房主自荐,140万,1室1厅 | 54.29平米 | 南 | 简装 | 低楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/6a4777ed-541a-450e-bfcf-6ecad3e647a5_1000.jpg.296x216.jpg
20201223,浦东,宣桥,欣松苑，中层，毛坯 ，一手动迁，预约看房,270万,3室2厅 | 121.79平米 | 南 | 毛坯 | 低楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20171213/c3d49d90-051a-4e00-a311-1a9c8ebcdad9.jpg.296x216.jpg
