20201223,静安,阳城,近静安大融城 行知路地铁站旁的两居室必看好房,448万,2室2厅 | 73.89平米 | 南 | 精装 | 低楼层(共14层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WWkMZeVsT_1.jpg.296x216.jpg
20201223,静安,阳城,此房位置好，户型正气，2年前婚房装修，房东诚意出售房主自荐,243万,1室1厅 | 41.9平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XlTFO5pAn_2.jpg.296x216.jpg
20201223,静安,阳城,阳城世家苑 一楼带地下室  满五唯一 精装修 产权车位房主自荐,738万,2室2厅 | 128平米 | 南 | 精装 | 低楼层(共7层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WRURl4pr8_1.jpg.296x216.jpg
20201223,静安,阳城,高品质，低总价，开发商统一精装修，采光视野无遮挡,520万,1室2厅 | 73.13平米 | 南 | 精装 | 高楼层(共10层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vQYYM7AA4_1.jpg.296x216.jpg
20201223,静安,阳城,婚房装修，拎包即住，业主诚意出售，随时可看房主自荐,565万,3室1厅 | 85.4平米 | 南 | 精装 | 低楼层(共15层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9jGhyW2Ml_1.jpg.296x216.jpg
20201223,静安,阳城,永和雅园 2室2厅 南,660万,2室2厅 | 88.07平米 | 南 | 简装 | 高楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PHIMrj1iS_1.jpg.296x216.jpg
20201223,静安,阳城,一手动迁+钥匙房+边套全明+位置安静+价格可谈房主自荐,508万,2室1厅 | 71.32平米 | 南 北 | 简装 | 中楼层(共15层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yFLQNNE6P.jpg.296x216.jpg
20201223,静安,阳城,万荣很少出一楼带天井两房 全明户型 看房提前预约,315万,2室1厅 | 51.2平米 | 南 北 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bJPxprx7r_1.jpg.296x216.jpg
20201223,静安,阳城,近大华三路地铁精装一室户 一路之隔大融城 生活方便新上,195万,1室0厅 | 35.4平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_55UsbRBjU_1.jpg.296x216.jpg
20201223,静安,阳城,永和丽园 2室1厅 南 北,495万,2室1厅 | 70.28平米 | 南 北 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QjqjIyXJG_1.jpg.296x216.jpg
20201223,静安,阳城,一楼带地下室两居，满五唯一，产权清晰，贵都品质！,600万,2室2厅 | 130.66平米 | 南 | 毛坯 | 低楼层(共12层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SWsBtPzWf_1.jpg.296x216.jpg
20201223,静安,阳城,龙盛佳苑！7号线行知路地铁口，带10平天井，有钥匙！房主自荐,393万,2室1厅 | 59.85平米 | 南 | 简装 | 低楼层(共15层) | 2011年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_7fJqyNjdd_1.jpg.296x216.jpg
20201223,静安,阳城,总价低南北两房 普通住宅满五年唯一 购房成本低房主自荐,350万,2室1厅 | 67.05平米 | 南 | 简装 | 6层 | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_eyjj1T1eR.jpg.296x216.jpg
20201223,静安,阳城,永和苑优质两房，南北格局，户型方正，满五唯一,525万,2室2厅 | 92.28平米 | 南 | 简装 | 低楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lAMCTtOGq_1.jpg.296x216.jpg
20201223,静安,阳城,中间楼层，南北两房，售后公房，满五唯一,350万,2室1厅 | 62.53平米 | 南 | 简装 | 6层 | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_81nmLBNc8_1.jpg.296x216.jpg
20201223,静安,阳城,龙盛佳苑 2室1厅 南,440万,2室1厅 | 65.25平米 | 南 | 简装 | 低楼层(共15层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AZZcL7Tfn_1.jpg.296x216.jpg
20201223,静安,阳城,地矿小区 2室1厅 南,230万,2室1厅 | 44.17平米 | 南 | 精装 | 6层 | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WcsvJJ84w_1.jpg.296x216.jpg
20201223,静安,阳城,满五唯一阳光房，全明户型，无住户，随时看房,230万,1室1厅 | 48.41平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fDuhqHxzo_1.jpg.296x216.jpg
20201223,静安,阳城,一梯两户双南全明大两房，业主自住精装修，拎包入住,448万,2室1厅 | 78.01平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_abWIX98wk_1.jpg.296x216.jpg
20201223,静安,阳城,电梯房+满五唯一+南北户型+大融城,698万,2室2厅 | 92.53平米 | 南 北 | 精装 | 低楼层(共14层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uo2gYsEk9_1.jpg.296x216.jpg
20201223,静安,阳城,大宁音乐广场旁精装大一房，全明户型,340万,1室1厅 | 53.54平米 | 南 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_S2B2RrzKk_1.jpg.296x216.jpg
20201223,静安,阳城,静安区阳城板块大复式，不临街，视野开阔,949万,5室3厅 | 187.78平米 | 南 | 简装 | 高楼层(共7层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wYGg349xy_1.jpg.296x216.jpg
20201223,静安,阳城,边套全明，售后公房税费低，采光明亮，诚意出售,330万,2室1厅 | 56.52平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_podvfmwLg_1.jpg.296x216.jpg
20201223,静安,阳城,南北户型格局，楼层好，视野宽阔，采光充房主自荐,810万,3室2厅 | 124.15平米 | 南 | 精装 | 中楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DOWIKGfRw_1.jpg.296x216.jpg
20201223,静安,阳城,新静安，大融城旁，小区单价低，产权清晰，税费少,250万,1室1厅 | 48.41平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6O59edDIF_1.jpg.296x216.jpg
20201223,静安,阳城,此房满五唯一，全明户型，位置好，得房率高。房主自荐,998万,5室2厅 | 181.64平米 | 南 北 | 精装 | 高楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Dp0PqywYC_1.jpg.296x216.jpg
20201223,静安,阳城,中间楼层，户型方正，满五唯一，阳城安家其乐融融,685万,2室2厅 | 114.83平米 | 南 北 | 简装 | 中楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tPdoOxU5s_1.jpg.296x216.jpg
20201223,静安,阳城,2房改3房，景观房，楼间距大。,783万,3室2厅 | 111.82平米 | 南 | 精装 | 低楼层(共11层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YTGaElZfd_1.jpg.296x216.jpg
20201223,静安,阳城,永和苑 5室2厅 南 北,768万,5室2厅 | 176.06平米 | 南 北 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZzJ0yHxHV_1.jpg.296x216.jpg
20201223,静安,阳城,顶楼复式带大露台，采光好，满五唯一无个税，不靠马路,880万,4室3厅 | 156.79平米 | 南 | 精装 | 高楼层(共7层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1I3l0a7wz_1.jpg.296x216.jpg
20201223,静安,阳城,全明三房户型，背靠大融城+行知路，交通生活都方便,700万,3室1厅 | 108.32平米 | 南 北 | 精装 | 6层 | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6OCKfJibZ_1.jpg.296x216.jpg
20201223,静安,阳城,静安区，大宁大融城，业主诚意出售三房，低总价高价值,468万,3室2厅 | 88.14平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kLfsUu9qb_1.jpg.296x216.jpg
20201223,静安,阳城,大宁音乐广场旁精美3房，带子母车位，拎包入住,720万,3室1厅 | 113.23平米 | 南 | 精装 | 低楼层(共8层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tycQ4M3tJ_1.jpg.296x216.jpg
20201223,静安,阳城,这套房子四开间朝南+全明户型+大宁音乐广场,980万,3室2厅 | 135.99平米 | 南 | 简装 | 低楼层(共14层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3m81ookh0_1.jpg.296x216.jpg
20201223,静安,阳城,顶楼复式  有露台  一手动迁税无 不靠马路  户型正气,812万,4室3厅 | 119.54平米 | 南 | 简装 | 高楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_U18fuzpLG_1.jpg.296x216.jpg
20201223,静安,阳城,阳城大宁，满五唯一，采光视野好，配套齐全，交通便利,218万,1室1厅 | 44平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HCK6WESjZ_1.jpg.296x216.jpg
20201223,静安,阳城,一楼带天井南北通两房 全明户型户型正气 看房方便,335万,2室1厅 | 53.36平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9Ivbmt49x_1.jpg.296x216.jpg
20201223,静安,阳城,精装+安静位置+一楼不用怕楼梯+户型舒适！诚意出售,470万,2室1厅 | 70.43平米 | 南 | 精装 | 低楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-12e652f3-abb4-48de-85ab-7c9514901177.jpg.296x216.jpg
20201223,静安,阳城,大宁板块精致两房+南北格局+得房率高+业主诚意出售房主自荐,315万,2室1厅 | 55.11平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xC4hdRQ6A_2.jpg.296x216.jpg
20201223,静安,阳城,位置安静，三个房间朝南，采光好满5年唯一税费少。,777万,3室2厅 | 136.94平米 | 南 | 简装 | 低楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_GVQ5rYKcT_1.jpg.296x216.jpg
20201223,静安,阳城,诚意售价格面谈南北通精装修全明一房通风好采光不遮挡房主自荐,395万,1室1厅 | 58.67平米 | 南 北 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_mjkvX39BH_1.jpg.296x216.jpg
20201223,静安,阳城,满五唯一，经典三房，南北格局，带电梯精装修。房主自荐,650万,3室2厅 | 109.08平米 | 南 | 精装 | 低楼层(共11层) | 2002年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-6da91b0c-531c-462f-a48b-b8d556379dc1.jpg.296x216.jpg
20201223,静安,阳城,此房满五唯一，税费低 精装修 格局好,880万,3室2厅 | 130.94平米 | 南 北 | 精装 | 低楼层(共11层) | 2005年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-539319da-0d28-4ad7-8130-46fe205ca158.png.296x216.jpg
20201223,静安,阳城,1梯3户、面宽3.3米大一房，自住婚房，保养好，楼层5楼房主自荐,243万,1室1厅 | 42.09平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-7c1f59b8-254d-4301-83f0-4ed4778a4e1d.png.296x216.jpg
20201223,静安,阳城,大融城好楼层一室户 配套齐全 交通方便,195万,1室1厅 | 32.77平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xxOxG1jis_1.jpg.296x216.jpg
20201223,静安,阳城,静安区，阳城贵都，满五年，近7号线行知路地铁,678万,2室2厅 | 143平米 | 南 | 精装 | 低楼层(共12层) | 2010年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_ZAbMRIQW3_1.jpg.296x216.jpg
20201223,静安,阳城,小户型，功能性强，整个房间很敞亮！采光好,325万,2室1厅 | 60.93平米 | 南 北 | 简装 | 6层 | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AB9pJpPdp_1.jpg.296x216.jpg
20201223,静安,阳城,中间楼层房型正气，南北通透精装一房，满五唯一税费少,415万,1室1厅 | 59平米 | 南 北 | 简装 | 中楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2CGsrbVMb_1.jpg.296x216.jpg
20201223,静安,阳城,一梯两户全明大一房，生活配套齐全，广场聚集,315万,1室1厅 | 60.01平米 | 南 北 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dxfkZO71l_1.jpg.296x216.jpg
20201223,静安,阳城,大融城精装一室一厅 楼层好 看房方便,285万,1室1厅 | 52.29平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_whCPM9Wvn_1.jpg.296x216.jpg
20201223,静安,阳城,万荣小区 2室1厅 南,380万,2室1厅 | 66.64平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Mjyfhl0Hy_1.jpg.296x216.jpg
20201223,静安,阳城,品质小区，朝南精装一室户，闹中取静，宜居好房,250万,1室1厅 | 41.13平米 | 南 | 其他 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_W2WrXxdB6_1.jpg.296x216.jpg
20201223,静安,阳城,静安精装1房 好房不等人 大宁商圈  看房方便,229万,1室1厅 | 42.55平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zVXqW0tM8_1.jpg.296x216.jpg
20201223,静安,阳城,北海新苑 1室1厅 南,260万,1室1厅 | 48.41平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_soCqDpxaM_1.jpg.296x216.jpg
20201223,静安,阳城,精装修一房一厅 业主诚意出售 楼层好位置安静 总价低房主自荐,215万,1室1厅 | 40.72平米 | 南 北 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1KDOleVYZ_1.jpg.296x216.jpg
20201223,静安,阳城,满五年唯一   南北房    房东诚意出售看房方便,315万,2室1厅 | 52.14平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lUlTKTNDR_1.jpg.296x216.jpg
20201223,静安,阳城,小区内面积大，单价大，20M大花园，业主诚意100分房主自荐,810万,3室2厅 | 134.02平米 | 南 | 精装 | 6层 | 2003年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-93f75309-25d8-4601-a0cc-dbc68c817343.jpg.296x216.jpg
20201223,静安,阳城,静安区精装2房 好房不等人 大宁商圈  看房方便房主自荐,299万,2室1厅 | 53.83平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xux8pAYbn_1.jpg.296x216.jpg
20201223,静安,阳城,new 精装修，品质宜居小区，拎包入住，满五唯一税费低房主自荐,215万,1室1厅 | 41.01平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vCryidgFE_1.jpg.296x216.jpg
20201223,静安,阳城,大宁阳城，音乐广场，满五唯一，采光视野佳。,220万,1室1厅 | 41.08平米 | 南 | 毛坯 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vD2ZRjf9m_1.jpg.296x216.jpg
20201223,静安,阳城,满五 安静楼间距大 交通便利 配套完善房主自荐,785万,4室2厅 | 154.67平米 | 南 | 精装 | 高楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vODykCpt2_1.jpg.296x216.jpg
20201223,静安,阳城,万荣小区 1室1厅 南,230万,1室1厅 | 43.5平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_7a5Cdcs0W_1.jpg.296x216.jpg
20201223,静安,阳城,一手动迁，满五唯一，税费少，诚意出售，一梯两户！,465万,2室1厅 | 77.68平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_36WoOt8DG_1.jpg.296x216.jpg
20201223,静安,阳城,物华园 4室2厅 南,860万,4室2厅 | 183.31平米 | 南 | 精装 | 低楼层(共9层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/0a9b4817c18a9707670506bd932c91da-074.jpg.296x216.jpg
20201223,静安,阳城,景峰苑 2室1厅 南新上,310万,2室1厅 | 55.32平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,
20201223,静安,阳城,此房南北通透 格局好，中间层方便出行，业主诚意出售新上,225万,1室1厅 | 41.06平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-ffcd7de6-7580-4797-b7bd-38c6eabc7767.png.296x216.jpg
20201223,静安,阳城,阳城花园 3室2厅 东南 南,850万,3室2厅 | 125.23平米 | 东南 南 | 简装 | 中楼层(共11层) | 2002年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/138e5e7e-3f58-453f-84cf-2551d4f4a5bd.png.296x216.jpg
20201223,静安,阳城,阳城美景 3室2厅 南 北,760万,3室2厅 | 122.04平米 | 南 北 | 精装 | 低楼层(共5层) | 2005年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/standard_52fbf42a-42ed-48e2-811a-d82bd00aecd6.png.296x216.jpg
20201223,静安,阳城,满五唯一，税费低，安静位置，户型正气，房龄新,698万,2室2厅 | 98.31平米 | 南 北 | 精装 | 低楼层(共12层) | 2008年建 | 板楼,
20201223,静安,阳城,恒凌公寓 2室1厅 南 北,595万,2室1厅 | 87.5平米 | 南 北 | 毛坯 | 高楼层(共11层) | 2003年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/2c5400c3-0a9e-45a0-a566-f066feb9d54e.png.296x216.jpg
20201223,静安,阳城,居家小户型背靠大融城交通便利~,250万,2室1厅 | 44.24平米 | 南 北 | 简装 | 6层 | 1996年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/3de55955-03d6-4afc-a49f-e5eb1e497c4a.png.296x216.jpg
20201223,静安,阳城,客厅主卧朝南-采光足通风好-增值个税免征-地铁行知站,680万,2室2厅 | 100.45平米 | 南 | 精装 | 中楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_d3RDWMg9f_1.jpg.296x216.jpg
20201223,静安,阳城,边套全明，采光无遮挡，舒适小三房，税费低，诚意出售,510万,3室2厅 | 92.23平米 | 南 | 简装 | 6层 | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GE984CN0x_1.jpg.296x216.jpg
20201223,静安,阳城,中间楼层 精装修  7号线行知路站  大融城购物广场,570万,2室2厅 | 78.92平米 | 东南 | 精装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lZ3xvPOtc_1.jpg.296x216.jpg
20201223,静安,阳城,万荣小区 1室1厅 南,243万,1室1厅 | 42.48平米 | 南 | 毛坯 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TXekh2sFf_1.jpg.296x216.jpg
20201223,静安,阳城,复式房  位置安静 使用面积大 2个入户门 做两套房子,950万,2室1厅 | 89平米 | 南 | 简装 | 高楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uInAhrrvZ_1.jpg.296x216.jpg
20201223,静安,阳城,亿润苑 7室3厅 南,2350万,7室3厅 | 298.89平米 | 南 | 精装 | 中楼层(共4层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BSpmrZw19_1.jpg.296x216.jpg
