20201223,虹口,鲁迅公园,虹口花苑+边套全明一室+配套成熟+一梯两户+商品房必看好房,249万,1室1厅 | 40平米 | 南 | 简装 | 高楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mq0hNQU3z_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,边套全明采光无遮挡，享受清晨第1缕阳光，独享好时光房主自荐,299万,2室2厅 | 54.51平米 | 东 南 | 精装 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_W2nZANrOy_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,3/8号线双轨交通，低楼层带天井，配套齐全,308万,2室0厅 | 44.95平米 | 南 | 精装 | 低楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BbCjiPkAn_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,板式南北通大四房，近地铁虹口足球场站，居家温馨舒适,1380万,4室3厅 | 170.88平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yDfxlPopb_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,虹口龙之梦旁 一梯两户 全明户型带正规厅 业主诚售,490万,2室1厅 | 82.69平米 | 南 北 | 精装 | 高楼层(共7层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GEcLQTRlT_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,店长推荐急售房！3号&8号双规交汇+近鲁迅公园+非顶层房主自荐,220万,1室1厅 | 34.55平米 | 南 | 精装 | 高楼层(共6层) | 1978年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BldrlBgAy_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,精装两房，一梯三户，近虹口足球场3/8号，龙之梦。房主自荐,303万,2室1厅 | 53.22平米 | 东 | 精装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dCIBWyDCY_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,美丽家园小区 高楼层一室一厅 边套全明房主自荐,256万,1室1厅 | 37.38平米 | 南 | 简装 | 高楼层(共5层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Q4FFszTr4_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,店长推荐，鲁迅公园，南北边套两房，低楼层，诚意卖房主自荐,298万,2室1厅 | 47.99平米 | 南 | 简装 | 低楼层(共5层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cHmPefOtR_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,双南两房，满五不唯一，采光好，户型好，诚意出售,308万,2室0厅 | 50.76平米 | 南 | 简装 | 高楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8oNRhdDdI_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,近鲁迅公园，轨道交通3/8号线虹口足球场，温馨小户型新上,248万,1室1厅 | 37.76平米 | 南 | 简装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JAuolIY5v_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,虹口龙之梦旁精装修满五唯一，二手买进税少，连体阳台房主自荐,930万,2室2厅 | 110.71平米 | 南 | 精装 | 中楼层(共28层) | 2001年建 | 板塔结合,http://image1.ljcdn.com/110000-inspection/pc1_01Q0eYaJM_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,建设新村 3室1厅 南,620万,3室1厅 | 97.41平米 | 南 | 简装 | 中楼层(共5层) | 1954年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0SlVMyZdc_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,近西藏北路地铁站新出大两房，两房朝南，南北通风房主自荐,620万,2室2厅 | 97.47平米 | 南 | 简装 | 低楼层(共18层) | 2000年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_8BAiFIcBm_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,同心路上精装修南北通一房一厅，近8号线3号线地铁口房主自荐,232万,1室1厅 | 40.31平米 | 南 | 精装 | 高楼层(共7层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KxeTgTGem_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,近地铁、出行方便，两房，龙之梦,303万,2室0厅 | 45.03平米 | 南 北 | 毛坯 | 中楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LCu1m7NMd_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,虹口公园板块，板式南北两房，二手买进税少，楼层好,650万,2室2厅 | 95.47平米 | 南 | 简装 | 中楼层(共4层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FNPSvNkyf_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,近地铁  一房一厅   诚意出售房主自荐,256万,1室1厅 | 40.07平米 | 东 | 毛坯 | 中楼层(共7层) | 1985年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_JqQwSdQ5G_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,祥德路152号 1室0厅 南新上,205万,1室0厅 | 33.4平米 | 南 | 精装 | 中楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JEYrsTg1j_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,高区视野好！林园式小区，外销房建筑质量好+得房率高,880万,2室2厅 | 117.6平米 | 南 | 精装 | 中楼层(共18层) | 1991年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_6hSzxCDDP_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,精装一房，龙之梦商圈，3和8号线地铁，采光好户型正,193万,1室0厅 | 29.75平米 | 南 | 精装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zDvMRP5cs_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,朝南一门关，中低楼层，适宜居住人群多,190万,1室0厅 | 37.65平米 | 南 | 简装 | 中楼层(共5层) | 1958年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0ALtjoZEm_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,紧挨鲁迅公园，满五年，配套成熟，无遮挡，出行方便。,295万,1室1厅 | 42.41平米 | 南 | 简装 | 中楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ee54ce90-7e1a-4d56-bf3e-bae1260211d0_1000.jpg.296x216.jpg
20201223,虹口,鲁迅公园,北郊93年房龄精装修全明低总价房主自荐,263万,1室1厅 | 35.33平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YeMR59JIP_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,鲁迅公园，朝南一室户，诚意出售,235万,1室1厅 | 34.89平米 | 东南 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_rvpO1c9R0_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,满五唯一，税少，房东诚意出售。房主自荐,240万,1室1厅 | 39平米 | 南 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HH4gM5gtg_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,售后公房，小区环境好，边套全明，美丽家园，靠地铁！房主自荐,630万,2室1厅 | 94.41平米 | 东南 | 简装 | 24层 | 1998年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_GXfTXLRSN_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,出门是天然氧吧鲁迅公园+3/8号线虹口足球场+闹中取静,700万,3室1厅 | 105.26平米 | 东南 | 精装 | 中楼层(共20层) | 1998年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_YYokSK1hg_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,恒城花苑 满五唯一，双地铁十，四线，高区，景观房。,820万,3室2厅 | 118.62平米 | 西南 | 简装 | 高楼层(共24层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/815e2220-b94d-4bce-bb67-cee39f0c4df3_1000.jpg.296x216.jpg
20201223,虹口,鲁迅公园,内环内电梯小两房+地铁3/8号线虹口足球场鲁迅公园房主自荐,510万,2室1厅 | 71.23平米 | 东南 | 精装 | 低楼层(共19层) | 1990年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_svFWSlN2l_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,南北通两房，精装修，高楼层采光好，视野开阔房主自荐,348万,2室1厅 | 51.3平米 | 南 | 精装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wggWpPdJd_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,虹口公园边+近3/8号虹足+低总价三房+诚意出售,720万,3室2厅 | 121.92平米 | 西 | 简装 | 低楼层(共20层) | 1998年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_rDC6IDgtD_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,欧阳路364弄 1室0厅 南,210万,1室0厅 | 30.6平米 | 南 | 简装 | 低楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RNqm2Tc44_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,年底满五，名下唯一，婚房精装修，北卧落地窗,270万,2室1厅 | 44.13平米 | 南 | 精装 | 中楼层(共6层) | 1958年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fBJRhOLeb_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,恒城花苑 2室2厅 东南,728万,2室2厅 | 101.35平米 | 东南 | 精装 | 中楼层(共24层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_gI6Zeqb3q_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,内环内带露台+阁楼40平+一梯两户+3/8号地铁口房主自荐,820万,3室2厅 | 94.88平米 | 南 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kRyzR6Sbr_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,俯瞰整个鲁迅公园，甜爱大楼中高区三房，配套成熟,800万,3室2厅 | 121.92平米 | 西南 | 毛坯 | 中楼层(共20层) | 1998年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_vqLNZ6Umq_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,无噪音，无遮挡，满五年唯一，两房朝南全明，产权清晰房主自荐,636万,2室2厅 | 97.47平米 | 南 | 精装 | 低楼层(共18层) | 2000年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_JYnv58hgh_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,内环内小区+沿河而建闹中取静+3/8号线+龙之梦鲁迅公园房主自荐,637万,2室2厅 | 87.78平米 | 南 | 精装 | 高楼层(共7层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hOq1pLDb1_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,低总价、小两房、双轨交站、出行方便、诚心出售房主自荐,255万,2室0厅 | 43.54平米 | 西南 | 毛坯 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_M2oMHzImY_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,房屋楼栋位置好，主卧朝南采光好。房主自荐,220万,1室0厅 | 35.36平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4W59S3ydP_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,满五唯一精心装修，双轨交通诚意出售,195万,1室0厅 | 35.38平米 | 南 | 精装 | 中楼层(共5层) | 1960年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MOAEe5oLN_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,04年竣工次新房 看房方便 户型正气.房主自荐,745万,2室1厅 | 95.67平米 | 南 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WJNPGPI8f_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,1997年朝南一室一厅，小户型总价低，全明前排无遮挡房主自荐,273万,1室1厅 | 43.7平米 | 南 | 简装 | 中楼层(共5层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Pwj1HCicI_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,边套全明，四轨交通,有车位，诚意出售,800万,2室2厅 | 101.35平米 | 东南 | 精装 | 低楼层(共26层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_57jAAT3lV_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,电梯全明3房，南北通风，西边套全明户型。采光无遮挡,827万,3室1厅 | 114.98平米 | 南 | 简装 | 24层 | 1998年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_BOZtsh8i7_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,龙之梦、鲁迅公园旁，出门就是3/8线,1梯2户，厨卫全明,520万,2室1厅 | 83.69平米 | 南 | 简装 | 高楼层(共7层) | 1996年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-61044221-7e71-4417-9e03-18a57e89d50f.jpg.296x216.jpg
20201223,虹口,鲁迅公园,3/8/4/10号线交汇+精装修+全明户型+看房方便,290万,2室1厅 | 39.41平米 | 南 | 精装 | 高楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GFiozzW70_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,欧五中区楼层，闹中取静！美丽小区，环境优美！好房子,214万,1室0厅 | 31.08平米 | 南 | 简装 | 中楼层(共6层) | 1979年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_qL0rlTHIL_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,8号线地铁口，小区安静，诚意出售，看房方便房主自荐,770万,3室2厅 | 128.73平米 | 南 北 | 精装 | 中楼层(共12层) | 1998年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_3Kk3YW96Z_1.jpg.296x216.jpg
