20201223,宝山,大华,全明南北通， 低于市场价十万，安静位置  随时看房必看好房,349万,2室1厅 | 71.39平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZHl9NNwn8_1.jpg.296x216.jpg
20201223,宝山,大华,中环一号(三期) 2室2厅 南房主自荐,560万,2室2厅 | 85.03平米 | 南 | 精装 | 中楼层(共18层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hNaWBEQul_1.jpg.296x216.jpg
20201223,宝山,大华,中环新出 xi 有 三层复式，有小花园，采光足，总价低,500万,2室2厅 | 108.01平米 | 南 | 简装 | 18层 | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xfFwspzy6_1.jpg.296x216.jpg
20201223,宝山,大华,此房到一月份满五唯一，买进价高，税费少，南北通透,556万,2室2厅 | 94.08平米 | 南 北 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1roMC9onr_1.jpg.296x216.jpg
20201223,宝山,大华,电梯三房 临河景观 采光充足 视野开阔 幽静宜居,840万,3室2厅 | 131.98平米 | 南 | 精装 | 中楼层(共11层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vCAfLCttc_1.jpg.296x216.jpg
20201223,宝山,大华,欧泊花郡 小两房 高楼层采光充足 无遮挡 精装修新上,480万,2室2厅 | 70.86平米 | 南 | 精装 | 高楼层(共18层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ue6R151c9_1.jpg.296x216.jpg
20201223,宝山,大华,顶复，空中别墅，户型好，税费少，诚意出售!,735万,3室2厅 | 156.45平米 | 南 北 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_weNnhjFsC_1.jpg.296x216.jpg
20201223,宝山,大华,买进价格高 装修风格独特 采光充足 实用面积大房主自荐,545万,2室2厅 | 133.74平米 | 南 北 | 精装 | 低楼层(共5层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5aFGFOa25_1.jpg.296x216.jpg
20201223,宝山,大华,一楼大复式  新好装修 拎包入住 有车位 接受置换客户房主自荐,780万,3室2厅 | 171.81平米 | 南 北 | 精装 | 低楼层(共6层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bk2cyK7cV_1.jpg.296x216.jpg
20201223,宝山,大华,一楼底复，精装修，拎包入住，产权清晰房主自荐,710万,3室2厅 | 146.95平米 | 南 北 | 精装 | 低楼层(共14层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WEQGeuimO_1.jpg.296x216.jpg
20201223,宝山,大华,此房满五唯一 户型优质 配套设施齐全 交通便利,880万,4室2厅 | 174.55平米 | 南 北 | 简装 | 低楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_46w2W3L36_1.jpg.296x216.jpg
20201223,宝山,大华,电梯高区，精装修，通透全明，居住感好。有产权车位。房主自荐,765万,3室2厅 | 126.45平米 | 南 | 精装 | 高楼层(共12层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fOe1qmzuz_1.jpg.296x216.jpg
20201223,宝山,大华,精品宜居好房源，适宜三代同堂家庭居住,680万,4室2厅 | 154.21平米 | 南 北 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_r1X3i9q9R_1.jpg.296x216.jpg
20201223,宝山,大华,南北通透全明，视野开阔，采光充足，配套设施齐全房主自荐,598万,3室2厅 | 128.37平米 | 南 北 | 简装 | 高楼层(共5层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Rh5Yevb05_1.jpg.296x216.jpg
20201223,宝山,大华,空中别墅，电梯顶复，全明户型，税费少，诚售房主自荐,1065万,4室2厅 | 203.36平米 | 南 北 | 简装 | 高楼层(共11层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_y5ZfiUcoV_1.jpg.296x216.jpg
20201223,宝山,大华,别墅社区 万里挑一户型 精装两房 拎包入住房主自荐,530万,2室2厅 | 79.54平米 | 东 | 精装 | 中楼层(共4层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bbCX7R375_1.jpg.296x216.jpg
20201223,宝山,大华,复式大宅 五复六复七 有露台 户型好 有钥匙看房方便,1300万,5室4厅 | 259.83平米 | 南 | 简装 | 高楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NBZ6T4bzP_1.jpg.296x216.jpg
20201223,宝山,大华,远景二期电梯大三房  产权清晰房主自荐,720万,3室2厅 | 120.79平米 | 南 北 | 简装 | 低楼层(共11层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8dwRW2a3M_1.jpg.296x216.jpg
20201223,宝山,大华,此房满五唯一，标准全明户型带大阳台，双南卧室双阳台,535万,3室2厅 | 107.18平米 | 南 北 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bSmBlxQXp_1.jpg.296x216.jpg
20201223,宝山,大华,飞机大三房 满五年 两卫 电梯高区 板式南北通三开间南新上,790万,3室2厅 | 127.83平米 | 南 北 | 精装 | 中楼层(共11层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0BuJJeNTq_1.jpg.296x216.jpg
20201223,宝山,大华,房子满五唯一 位置好 双南大两房 随时看房,370万,2室1厅 | 71.12平米 | 南 北 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_z0FzFgDv2_1.jpg.296x216.jpg
20201223,宝山,大华,位置好，花园小区，实用三房，看房方便，诚意出售,605万,3室2厅 | 114.61平米 | 南 北 | 精装 | 低楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EX2SFxjFX_1.jpg.296x216.jpg
20201223,宝山,大华,好房子！水岸蓝桥，带80万精装全屋地暖，小区中间位置房主自荐,1050万,3室2厅 | 157.64平米 | 南 北 | 精装 | 低楼层(共18层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Bo43nOqcz_1.jpg.296x216.jpg
20201223,宝山,大华,精装三房 双朝南 近地铁 可拎包入住房主自荐,490万,3室1厅 | 96.08平米 | 南 北 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YoDP8yzKJ_1.jpg.296x216.jpg
20201223,宝山,大华,满五唯一 税费少 楼层好 视野好 采光充足 精装修,585万,2室2厅 | 92.12平米 | 南 北 | 精装 | 中楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2iJY1GWOn_1.jpg.296x216.jpg
20201223,宝山,大华,梧桐城邦(二期) 4室4厅 南 北房主自荐,719万,4室4厅 | 176.4平米 | 南 北 | 精装 | 低楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BwxIOsW3R_1.jpg.296x216.jpg
20201223,宝山,大华,满五唯一，地铁口，得房率高，居住舒适度高房主自荐,980万,5室3厅 | 193.68平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_g23iWDek9_1.jpg.296x216.jpg
20201223,宝山,大华,售后公房，满五唯一，双南户型，看房方便！！！新上,325万,2室0厅 | 66.24平米 | 南 | 简装 | 高楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_482CLQWnU_1.jpg.296x216.jpg
20201223,宝山,大华,满五唯一，靠河有花园，精装修 有车位，近中环！房主自荐,1980万,6室2厅 | 343.59平米 | 东南 南 | 精装 | 3层 | 2010年建 | 板楼 | 联排别墅,http://image1.ljcdn.com/110000-inspection/pc1_ONXBohMgn_1.jpg.296x216.jpg
20201223,宝山,大华,南边无遮挡+户型佳+有花园 业主急售。房主自荐,750万,3室2厅 | 148.95平米 | 南 北 | 简装 | 低楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_aO7KaPMJO_1.jpg.296x216.jpg
20201223,宝山,大华,嘉华苑顶复有露台，南北通，买进高，满五唯一税少！房主自荐,730万,4室2厅 | 141.01平米 | 南 北 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lZ5waQoor_1.jpg.296x216.jpg
20201223,宝山,大华,康泰新城  中环内 近臻如板块  成熟社区 出行方便房主自荐,585万,3室2厅 | 119.46平米 | 南 北 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LrZ37ZpSR_1.jpg.296x216.jpg
20201223,宝山,大华,满五年，南北通户型，户型方正，有阁楼，视野充足房主自荐,670万,3室2厅 | 128平米 | 东南 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_eHu59BZUC_1.jpg.296x216.jpg
20201223,宝山,大华,业主精装，大花园，采光无遮挡，诚意出售房主自荐,715万,3室2厅 | 165平米 | 南 | 精装 | 低楼层(共18层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YWHwDXe9h_1.jpg.296x216.jpg
20201223,宝山,大华,非顶楼，精装修，满五唯一，税费少，近地铁，南北户型,275万,1室1厅 | 49.7平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YCeO6ve4P_1.jpg.296x216.jpg
20201223,宝山,大华,精装修，地铁两房，南北通，满五唯一随时可,659万,2室2厅 | 96.9平米 | 南 | 精装 | 低楼层(共14层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qrdnITSJJ_1.jpg.296x216.jpg
20201223,宝山,大华,中环一号(二期) 2室2厅 南,498万,2室2厅 | 75.87平米 | 南 | 精装 | 18层 | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GrcD4l3ap_1.jpg.296x216.jpg
20201223,宝山,大华,南北通两房，安静位置，采光好，诚意出售，欢迎咨询房主自荐,358万,2室1厅 | 66.35平米 | 南 北 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2S2L6e5zk_1.jpg.296x216.jpg
20201223,宝山,大华,水岸蓝桥(公寓) 2室2厅 南 北,710万,2室2厅 | 90.05平米 | 南 北 | 精装 | 中楼层(共18层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hE8KdDiXR_1.jpg.296x216.jpg
20201223,宝山,大华,水岸蓝桥二期，带产权车位，超低税费，阳光无遮挡！房主自荐,568万,2室2厅 | 87.27平米 | 南 北 | 精装 | 低楼层(共14层) | 2007年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-e65332ea-30a3-46f3-ac7f-9cd701271504.jpg.296x216.jpg
20201223,宝山,大华,三代同堂精装修三房两卫，转角大阳台房主自荐,648万,3室2厅 | 128.49平米 | 西南 | 精装 | 低楼层(共14层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iY7gXPVF0_1.jpg.296x216.jpg
20201223,宝山,大华,一梯两户，户型方正，满五唯一，无个税，得房率达85%房主自荐,730万,3室2厅 | 126.4平米 | 南 | 精装 | 中楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1pPj2a8o9_1.jpg.296x216.jpg
20201223,宝山,大华,铂金华府一楼温馨复式楼 附带40平花园 精装四房房主自荐,860万,4室3厅 | 166.64平米 | 南 北 | 精装 | 低楼层(共14层) | 2009年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-bdbbcf49-e031-45ec-bd89-06c0f917a4a7.jpg.296x216.jpg
20201223,宝山,大华,大华一村  近大华三路地铁 中楼层 采光好新上,320万,2室1厅 | 62.52平米 | 南 | 简装 | 中楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_M4kByOFgt_1.jpg.296x216.jpg
20201223,宝山,大华,文华苑 价格好谈 次顶楼 全明户型 一居室房主自荐,280万,1室1厅 | 53.16平米 | 南 北 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ciibVxNsb_1.jpg.296x216.jpg
20201223,宝山,大华,采光无遮挡，南北通透，近地铁，,293万,1室1厅 | 52.77平米 | 南 北 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Jcisgq6hu_1.jpg.296x216.jpg
20201223,宝山,大华,水韵华庭 4室2厅 南,1350万,4室2厅 | 206.89平米 | 南 | 简装 | 高楼层(共17层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DhXhKk69i_1.jpg.296x216.jpg
20201223,宝山,大华,双南户型，通风采光好，位置好，业主诚意出售,340万,2室1厅 | 65.59平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sXyf4GnCN_1.jpg.296x216.jpg
20201223,宝山,大华,中环边交通便利，业主诚意出售，产权清晰，到价签字,570万,3室2厅 | 121平米 | 南 北 | 精装 | 低楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dOzxL4WeR_1.jpg.296x216.jpg
20201223,宝山,大华,落地窗，满五年唯一税少，生活便利，诚意出售！,830万,3室2厅 | 115.03平米 | 南 北 | 精装 | 低楼层(共14层) | 2008年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_j7EntiYTC_1.jpg.296x216.jpg
