20201223,嘉定,江桥,近地铁万达出行购物方便 业主诚心出售看中价格可谈必看好房,365万,2室2厅 | 73.2平米 | 南 北 | 简装 | 中楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/c60a864a-bc80-4c0e-a118-9ea2b12f7d94_1000.jpg.296x216.jpg
20201223,嘉定,江桥,低楼层，看房方便。诚意出售税费低必看好房,234万,1室2厅 | 56.1平米 | 南 | 简装 | 低楼层(共15层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HFb74GvGf_1.jpg.296x216.jpg
20201223,嘉定,江桥,中间楼层，产权清晰，无抵押无贷款，诚心出售必看好房,345万,2室2厅 | 80.58平米 | 南 北 | 精装 | 中楼层(共6层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bQZxorysk_1.jpg.296x216.jpg
20201223,嘉定,江桥,绿地 双南户型 精装修 中间楼层 交通便利 诚心出售必看好房,323万,2室1厅 | 75.93平米 | 南 | 精装 | 低楼层(共15层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/da20b5c2-165a-4a7e-88d6-8de9b8fdfe4f_1000.jpg.296x216.jpg
20201223,嘉定,江桥,精装南北三房  满五唯一 近地铁 近万达广场 大虹桥必看好房,388万,3室1厅 | 96.67平米 | 南 北 | 精装 | 低楼层(共11层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/a8ee6c0b-e711-4acf-a68b-29c0b615c8a0_1000.jpg.296x216.jpg
20201223,嘉定,江桥,大虹桥近地铁人车分流纯商品房小区，房子满两年必看好房,415万,2室2厅 | 84.5平米 | 南 | 精装 | 低楼层(共12层) | 2013年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_Ps5N2yma0_1.jpg.296x216.jpg
20201223,嘉定,江桥,14号线嘉怡路站700米+采光好+满五唯一+无增值税必看好房,252万,1室1厅 | 56.13平米 | 南 北 | 简装 | 低楼层(共17层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3sXDT584v_1.jpg.296x216.jpg
20201223,嘉定,江桥,北虹桥品质小区，2010年次新小区，满五唯一必看好房,348万,1室2厅 | 67.34平米 | 南 | 精装 | 低楼层(共17层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/5d1830e1-73b8-4ccf-b201-b0763cbf8b90_1000.jpg.296x216.jpg
20201223,嘉定,江桥,绿地新江桥城 双南户型 动迁房 环境好 交通便利必看好房,315万,2室2厅 | 77.24平米 | 南 | 毛坯 | 低楼层(共15层) | 2011年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-ede44449-629b-444b-9a42-a0ec4fe57da2.jpg.296x216.jpg
20201223,嘉定,江桥,满五年唯一，精装修，08年小区，环境好，诚意出售。。必看好房,308万,2室2厅 | 72.36平米 | 南 北 | 精装 | 高楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/062c6a1e-57ee-49ac-948e-c37a69ecc2f7_1000.jpg.296x216.jpg
20201223,嘉定,江桥,南北通透格局好，楼层号，视野佳，离14号地铁线600米必看好房,430万,2室2厅 | 83.95平米 | 北 南 | 精装 | 中楼层(共13层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3VVWkiq6a_1.jpg.296x216.jpg
20201223,嘉定,江桥,万达广场，大虹桥+13号线14号线双轨交+婚房装修随时签必看好房,425万,2室2厅 | 91.47平米 | 南 | 精装 | 中楼层(共14层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KCVO0kLbn_1.jpg.296x216.jpg
20201223,嘉定,江桥,小区位置好，小三房，2+1户型，南北通透采光佳。必看好房,465万,3室1厅 | 88.94平米 | 北 南 | 简装 | 高楼层(共17层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/2ab15baa-06de-402f-bdf7-38cce7286fb0_1000.jpg.296x216.jpg
20201223,嘉定,江桥,一手动迁满五，中高楼层，13号线金运路站万达商圈必看好房,226.9万,1室2厅 | 52.83平米 | 南 | 精装 | 中楼层(共11层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/85d812ae-1551-4821-a9e9-f0923ad85cb3_1000.jpg.296x216.jpg
20201223,嘉定,江桥,总价低 非顶楼 有钥匙 随时看 两房必看好房,205万,2室1厅 | 60.27平米 | 南 北 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HKBHgZwZ7_1.jpg.296x216.jpg
20201223,嘉定,江桥,江桥+13号线+14号线大虹桥商品房小区，配套交通齐全必看好房,315万,2室1厅 | 84.62平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_brJRth5AF_1.jpg.296x216.jpg
20201223,嘉定,江桥,次新房 位置佳  三房全明户型  采光通风好必看好房,425万,3室2厅 | 90.85平米 | 南 北 | 简装 | 低楼层(共15层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/676edc9b-d17a-43a3-a527-8b79a344a803.JPG.296x216.jpg
20201223,嘉定,江桥,14号地铁口嘉怡路+满五唯一+双南户型新上,282万,2室1厅 | 70.56平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_aZgyqcueg_1.jpg.296x216.jpg
20201223,嘉定,江桥,动迁房，看房方便，南北方正大三房,620万,3室2厅 | 132平米 | 南 北 | 毛坯 | 低楼层(共13层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/c21c657e-ee48-49d5-b4ad-4f437c0a8196_1000.jpg.296x216.jpg
20201223,嘉定,江桥,大虹桥板块 近地铁13号线金运路地铁站 万达广场,570万,3室2厅 | 121.06平米 | 南 | 精装 | 低楼层(共13层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/aa727238-3230-44c2-ab72-a470e588b953_1000.jpg.296x216.jpg
20201223,嘉定,江桥,双轨交，地铁300米，好楼层，精装三房，业主诚心出售新上,495万,3室2厅 | 127.18平米 | 南 | 精装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_POfKoK14a_1.jpg.296x216.jpg
20201223,嘉定,江桥,北虹桥+三轨交+满五唯一+老装修+诚意出售新上,289万,2室2厅 | 72.61平米 | 南 北 | 精装 | 低楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3FOn7hicU_1.jpg.296x216.jpg
20201223,嘉定,江桥,此房一手动迁满五年唯一，中高楼层，采光视野好。,305万,2室2厅 | 77.33平米 | 南 北 | 毛坯 | 中楼层(共18层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_H82F7Vgcm_1.jpg.296x216.jpg
20201223,嘉定,江桥,北虹桥+江桥+嘉城+M14号线600米+产权车位房主自荐,523万,3室2厅 | 120平米 | 南 北 | 简装 | 高楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NpeR8TbHg_1.jpg.296x216.jpg
20201223,嘉定,江桥,北虹桥品质小区 正规四房，含车位 人车分流，近14号线房主自荐,550万,4室2厅 | 110.32平米 | 南 北 | 精装 | 低楼层(共12层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9Okfz7mAY_1.jpg.296x216.jpg
20201223,嘉定,江桥,位置好+楼层好+地铁口小区+商品房带电梯+临万达广场房主自荐,383万,2室2厅 | 75.57平米 | 南 | 精装 | 中楼层(共7层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/3416eb26-b8a6-448c-ba02-fca71e3bc4a7_1000.jpg.296x216.jpg
20201223,嘉定,江桥,大虹桥+14号线+低总价+好楼层+诚心卖,280万,2室1厅 | 71.02平米 | 南 北 | 毛坯 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Ep5xm7v4X_1.jpg.296x216.jpg
20201223,嘉定,江桥,大虹桥版块，13号线金运站，精装大两房，自带花园。,369万,2室2厅 | 84平米 | 南 北 | 精装 | 低楼层(共5层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Gv5qXy2cI_1.jpg.296x216.jpg
20201223,嘉定,江桥,精装满五唯一 提前预约 看房方便,328万,2室2厅 | 73.79平米 | 南 北 | 精装 | 高楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/459eabf6-05f4-40d4-a142-a35123f64a9b_1000.jpg.296x216.jpg
20201223,嘉定,江桥,品质小区，近地铁，精装修带水暖，外带产权车位房主自荐,440万,2室2厅 | 85.08平米 | 南 | 精装 | 低楼层(共17层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3CmH150et_1.jpg.296x216.jpg
20201223,嘉定,江桥,地铁300米， 02年少有大四房，中间楼层房主自荐,540万,4室2厅 | 144.33平米 | 南 | 毛坯 | 中楼层(共5层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Ya8QdilGO_1.jpg.296x216.jpg
20201223,嘉定,江桥,少有3房，精装修，自住，小区位置好，看中再谈价钱房主自荐,660万,3室2厅 | 129.01平米 | 南 | 精装 | 低楼层(共17层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wt7Se5Pez_1.jpg.296x216.jpg
20201223,嘉定,江桥,小区中间 近地铁13线 万达广场配套齐全 业主诚意出售房主自荐,390万,3室2厅 | 98.65平米 | 南 北 | 精装 | 低楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/4adc1782-01b1-4622-a9bc-3ef0712b6e5d_1000.jpg.296x216.jpg
20201223,嘉定,江桥,大虹桥+14号线+满五唯一+环境好+诚心出售,430万,2室2厅 | 94.92平米 | 南 | 精装 | 低楼层(共22层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_25xCxWaRh_1.jpg.296x216.jpg
20201223,嘉定,江桥,闹中取静，正对小区花园，低价好房。近地铁，居住适宜,430万,2室2厅 | 97.84平米 | 南 北 | 毛坯 | 低楼层(共14层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZJ9VeHN0U_1.jpg.296x216.jpg
20201223,嘉定,江桥,近13号线地铁，高层视野好，采光充足，大阳台。房主自荐,260万,1室1厅 | 53.36平米 | 南 | 精装 | 高楼层(共7层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/52f77e2d-3eae-40bb-84a3-d809eeb8ee1a_1000.jpg.296x216.jpg
20201223,嘉定,江桥,满五唯一，双南户型，双阳台，采光充足，配套完善,275万,2室2厅 | 73.48平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MDJIWdNL4_1.jpg.296x216.jpg
20201223,嘉定,江桥,精装修，南北两房，近地铁和万达广场，大虹桥板块房主自荐,310万,2室2厅 | 72.36平米 | 南 | 精装 | 低楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/6992a37c-6bce-4bbe-a57b-d8591bef2e6a_1000.jpg.296x216.jpg
20201223,嘉定,江桥,恒嘉花园 2室1厅 南,235万,2室1厅 | 61.36平米 | 南 | 精装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Ad4tu0Pku_1.jpg.296x216.jpg
20201223,嘉定,江桥,精装大三房，满五唯一，南北通，采光好，业主诚心卖,610万,3室2厅 | 112.29平米 | 南 | 精装 | 高楼层(共17层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cqCA3XEaD_1.jpg.296x216.jpg
20201223,嘉定,江桥,一梯两户高层电梯房视野佳+南北通双飘窗房型好+满五年,365万,2室2厅 | 83.82平米 | 南 北 | 简装 | 高楼层(共11层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f3e58634-e69b-4b71-a933-0e125a6ce325_1000.jpg.296x216.jpg
20201223,嘉定,江桥,此房近地铁、配套齐全、户型南北通透房主自荐,355万,2室1厅 | 73.64平米 | 南 北 | 简装 | 高楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/07e1f03e-f549-4c21-aefd-321637075032_1000.jpg.296x216.jpg
20201223,嘉定,江桥,精装修三房中。央空调，中间楼层，近地铁，位置佳,428万,3室2厅 | 91.53平米 | 北 南 | 精装 | 中楼层(共11层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/98d5a4e8-ee46-4d42-b264-470eb725333e_1000.jpg.296x216.jpg
20201223,嘉定,江桥,此房满五，总价低，小户型，小区位置佳,184万,1室0厅 | 36.01平米 | 南 | 简装 | 低楼层(共7层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wqY5WKZBN_1.jpg.296x216.jpg
20201223,嘉定,江桥,大虹桥板块，14号线地铁口500米，一楼有花园，诚售新上,199万,1室1厅 | 49.35平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_YZkhA0Iq2_1.jpg.296x216.jpg
20201223,嘉定,江桥,品质社区，有花园、有地下室、精心装修、满五唯一房主自荐,695万,4室2厅 | 197.21平米 | 南 北 | 精装 | 低楼层(共21层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mbNqbitSm_1.jpg.296x216.jpg
20201223,嘉定,江桥,叠加别墅 绿化高 环境好 风光河景房主自荐,1250万,4室2厅 | 163.97平米 | 南 | 精装 | 低楼层(共3层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3WDahOweW_1.jpg.296x216.jpg
20201223,嘉定,江桥,邻万达地铁，满五年唯一，婚房装修，电梯房，随时签字房主自荐,399万,2室2厅 | 74.03平米 | 南 北 | 精装 | 中楼层(共7层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_00qMb5Pb0_1.jpg.296x216.jpg
20201223,嘉定,江桥,大虹桥板块+三轨交接+总价低+视野开阔,195万,1室1厅 | 45.02平米 | 南 北 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_eRa5UfISc_1.jpg.296x216.jpg
20201223,嘉定,江桥,看房方便，有钥匙，近地铁口和万达广场，满五唯一。房主自荐,350万,2室1厅 | 73.35平米 | 北 南 | 简装 | 中楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/4e75a720-48c6-4e45-8030-62e6857fdd05_1000.jpg.296x216.jpg
20201223,嘉定,江桥,全南户型 采光好  通风通透 毛坯房 好楼层 上学方便房主自荐,327万,2室2厅 | 80.62平米 | 南 | 毛坯 | 低楼层(共7层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/a389d032-4162-49ce-a644-f3e0180e5687_1000.jpg.296x216.jpg
20201223,嘉定,江桥,大虹桥+双轨交+大三房，业主诚心出售，家旺好宅房主自荐,475万,3室2厅 | 123平米 | 南 北 | 简装 | 高楼层(共6层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/dec8b415-b841-4663-a66a-bee4dd65edbc_1000.jpg.296x216.jpg
20201223,嘉定,江桥,江桥 沃尔玛 14号线 南北小两房 税费少房主自荐,270万,2室1厅 | 55.59平米 | 南 北 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8PQNTQiKM_1.jpg.296x216.jpg
20201223,嘉定,江桥,大虹桥板块，高品质小区，精装大三房新上,700万,3室2厅 | 117.86平米 | 南 北 | 精装 | 低楼层(共2层) | 2018年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vC9tlvmzs_1.jpg.296x216.jpg
20201223,嘉定,江桥,13号线金运路地铁，万达广场，北虹桥商务区房主自荐,224万,1室1厅 | 51.32平米 | 南 | 简装 | 低楼层(共13层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hcZhqFLNL_1.jpg.296x216.jpg
20201223,嘉定,江桥,近地铁和万达广场，精装修，户型方正新上,306万,2室2厅 | 73.58平米 | 南 北 | 精装 | 低楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rVNLaxeq6_1.jpg.296x216.jpg
20201223,嘉定,江桥,动迁分配+满五唯一两房的价格买三房，嘉怡路地铁站房主自荐,348万,3室1厅 | 105.18平米 | 南 | 简装 | 高楼层(共7层) | 2001年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_ZOg9sCUmr_1.jpg.296x216.jpg
20201223,嘉定,江桥,和万达做邻居相邻13号线，中间楼层视觉体验房主自荐,325万,2室2厅 | 75.58平米 | 南 北 | 精装 | 中楼层(共13层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_31ZubEXVL_1.jpg.296x216.jpg
20201223,嘉定,江桥,近地铁，格局好，南北通户型，带阁楼房主自荐,330万,2室2厅 | 72.94平米 | 南 北 | 毛坯 | 高楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DJUntBkuF_1.jpg.296x216.jpg
20201223,嘉定,江桥,此房一手动迁，满五唯一，南北通，一梯四户房主自荐,400万,3室2厅 | 96.1平米 | 南 | 简装 | 中楼层(共13层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/50598489-6da9-4a94-8da3-777fcb14ae94_1000.jpg.296x216.jpg
20201223,嘉定,江桥,拎包入住  小区环境好  采光好,335万,2室2厅 | 80.13平米 | 南 北 | 精装 | 中楼层(共11层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BeE8IosKa_1.jpg.296x216.jpg
20201223,嘉定,江桥,精装南北两房带阁楼 地铁13号线 万达广场 高楼层,325万,2室2厅 | 72.29平米 | 南 北 | 精装 | 高楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d72eb3d7-19f2-4d18-8a8f-77477614a378_1000.jpg.296x216.jpg
20201223,嘉定,江桥,一手动迁税少，高楼层南北户型，万达广场，地铁13号线房主自荐,380万,2室2厅 | 80.47平米 | 南 北 | 简装 | 高楼层(共13层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/1f093d05-5461-4256-929f-f8a64e558e1d_1000.jpg.296x216.jpg
20201223,嘉定,江桥,近地铁，户型南北通透，非顶楼采光好,350万,2室1厅 | 75.63平米 | 南 北 | 精装 | 高楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/e8eb85be-8753-4af7-9341-eabfc61a2a66_1000.jpg.296x216.jpg
20201223,嘉定,江桥,本房南北通 带装修 拎包住 进出方便 诚意出售房主自荐,308万,2室2厅 | 73.92平米 | 南 北 | 精装 | 低楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_V9gqLjkmr_1.jpg.296x216.jpg
