20201223,宝山,通河,目前房子是1房1厅 楼层1楼带天井，还是不错的必看好房,195万,1室1厅 | 42.26平米 | 南 | 简装 | 低楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f2f8ad3c-058d-442f-8d5c-f0e42a77fdf6_1000.jpg.296x216.jpg
20201223,宝山,通河,新四村双南房！近地铁！满五唯一！,290万,2室1厅 | 59.2平米 | 南 | 简装 | 高楼层(共5层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/734c5afe-d565-4d65-bc46-f1f6fed3b203_1000.jpg.296x216.jpg
20201223,宝山,通河,近地铁，家乐福，万达商圈，中间楼层，配套齐全房主自荐,430万,3室1厅 | 85.11平米 | 南 北 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tyJL3ZIwz.jpg.296x216.jpg
20201223,宝山,通河,近地铁，1梯2户，全明采光好，诚意出售,248万,2室1厅 | 54.3平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YesQlNCa7.jpg.296x216.jpg
20201223,宝山,通河,花园景观，双南两房，中间楼层，满五唯一，诚意出售！房主自荐,273万,2室1厅 | 55.41平米 | 南 | 简装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Hkfo89wlz_1.jpg.296x216.jpg
20201223,宝山,通河,通河新四村视野开阔 出行方便 地铁一号线 诚意出售房主自荐,275万,2室1厅 | 58.94平米 | 南 | 精装 | 高楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/85e26807-792c-4a27-888f-4a12133c1710_1000.jpg.296x216.jpg
20201223,宝山,通河,昌鑫家园 5室3厅 南,825万,5室3厅 | 198.86平米 | 南 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-7316a33c-5e83-4a26-b53c-d7602ddf9cee.jpg.296x216.jpg
20201223,宝山,通河,通河四村高区视野开阔 出行方便 诚意出售房主自荐,311万,2室1厅 | 58.18平米 | 南 | 精装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yccOvD75S_1.jpg.296x216.jpg
20201223,宝山,通河,链家优选：一号线＋万达商圈＋采光充足＋诚意出售,295万,2室1厅 | 60.92平米 | 南 北 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_f4caHNVKf_1.jpg.296x216.jpg
20201223,宝山,通河,满五年唯一 附带天井 小区中间位置房主自荐,310万,2室1厅 | 67.49平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xig085T2m_1.jpg.296x216.jpg
20201223,宝山,通河,满五年唯一 中间楼层 南北两房 业主诚意出售房主自荐,248万,2室1厅 | 52.34平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_actGzM5nh_1.jpg.296x216.jpg
20201223,宝山,通河,通河二村 近地铁 一号线 通河新村地铁站房主自荐,186万,1室1厅 | 39.15平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ksxGXNhdg_1.jpg.296x216.jpg
20201223,宝山,通河,南北通透+两南一北+产权清晰+看房方便,670万,3室2厅 | 133.2平米 | 南 北 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-235f96ac-afc5-4802-abbf-eba4e30d66e9.jpg.296x216.jpg
20201223,宝山,通河,南北通透格局，户型正气，采光充足，配套设施齐全房主自荐,750万,4室2厅 | 144.81平米 | 南 北 | 简装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZV1kDAsn7_1.jpg.296x216.jpg
20201223,宝山,通河,全明户型，拎包入住，环境优美，买一得二（使用面积）房主自荐,840万,4室2厅 | 156.93平米 | 南 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4yOg1p6u2_1.jpg.296x216.jpg
20201223,宝山,通河,高层电梯 顶楼复式,视野开阔 近地铁,635万,3室1厅 | 129.4平米 | 西 | 简装 | 高楼层(共18层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/83049810-38a4-4d33-9caf-ebd95ca805ff_1000.jpg.296x216.jpg
20201223,宝山,通河,采光好，楼层好，税费少，有大露台房主自荐,207万,1室1厅 | 45.12平米 | 南 | 毛坯 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cE1HYbFuI.jpg.296x216.jpg
20201223,宝山,通河,链家优选+小户型+中装修+采光好+配套齐全+诚心出售房主自荐,170万,1室1厅 | 37.12平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BdSh1MPbB.jpg.296x216.jpg
20201223,宝山,通河,小户型，低总价，中间楼层，满五唯一,160万,1室0厅 | 29.95平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_C2PnJqtzh.jpg.296x216.jpg
20201223,宝山,通河,近地铁一号线，小区位置好楼层好，业主人也好，诚意卖房主自荐,196万,1室1厅 | 42.19平米 | 南 | 简装 | 低楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/409d21b7-ba7b-4fc0-abb5-94cfc4b90d29_1000.jpg.296x216.jpg
20201223,宝山,通河,近地铁 低总价 适合过渡 诚意出售房主自荐,172万,1室1厅 | 39.55平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/4835d0a1-9a5b-4c40-bb92-684bd699e077_1000.jpg.296x216.jpg
20201223,宝山,通河,视野好采光佳，税费少随时看房，诚意出售点我咨询房主自荐,225万,2室1厅 | 51.26平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xs1QtAKPw.jpg.296x216.jpg
20201223,宝山,通河,通河新四村视野开阔 出行方便 地铁一号线 诚意出售,290万,2室1厅 | 58.81平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8B4e5biUd_1.jpg.296x216.jpg
20201223,宝山,通河,宝山双轨交，南北通透性好，小区位置好房主自荐,253万,2室1厅 | 56.4平米 | 南 北 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1eXgIhqGe_1.jpg.296x216.jpg
20201223,宝山,通河,低层住房 南北卧室 全明户型 近通河新村地铁 配套成熟,258万,2室1厅 | 56.3平米 | 南 | 简装 | 低楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d48181d3-3ed0-442e-a27d-eeb5e1fa9a06_1000.jpg.296x216.jpg
20201223,宝山,通河,满五年唯一，税费少，一梯两户全明户型房主自荐,379万,2室1厅 | 79.31平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1un3Bw4qv_1.jpg.296x216.jpg
20201223,宝山,通河,精装修两年，位置好，一梯两户，原始3房户型,368万,3室1厅 | 76.98平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/5af53d12-e944-498e-84b3-07596005eca7_1000.jpg.296x216.jpg
20201223,宝山,通河,急，超A+南北通户型+一梯两户+商品房房主自荐,339万,2室1厅 | 68.89平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fHKOi3Ecv.jpg.296x216.jpg
20201223,宝山,通河,电梯两房一厅 高区楼层 采光通风好 不临街 居住舒适房主自荐,290万,2室1厅 | 70.04平米 | 南 | 毛坯 | 中楼层(共13层) | 1992年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/prod-8f162524-a9da-459e-ae3b-6bfa635c1f52.jpg.296x216.jpg
20201223,宝山,通河,近地铁一号线，满五唯一，少税费，户型方正，没有浪费房主自荐,195万,1室1厅 | 39.13平米 | 南 | 精装 | 低楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mq8Q6xiVu_1.jpg.296x216.jpg
20201223,宝山,通河,中层大一房 南北全明户型  近一号地铁 配套成熟房主自荐,203万,1室1厅 | 42.43平米 | 南 | 简装 | 中楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Ezz2P4OBM_1.jpg.296x216.jpg
20201223,宝山,通河,高楼层，采光好，业主诚心出售。房主自荐,235万,2室1厅 | 57.32平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_W3GQfye9L_1.jpg.296x216.jpg
20201223,宝山,通河,电梯房的高层，满五唯一，低单价业主诚意出售房主自荐,390万,2室2厅 | 92.4平米 | 东南 | 简装 | 高楼层(共15层) | 1995年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_s9nKCTGGT_1.jpg.296x216.jpg
20201223,宝山,通河,业主诚意售房，低楼层，居住舒适,345万,2室1厅 | 65.41平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/9269f24e-4fff-4104-9036-40c8c598ee42_1000.jpg.296x216.jpg
20201223,宝山,通河,满五唯一，中间楼层，产权户口清晰房主自荐,274万,2室1厅 | 58.74平米 | 南 | 简装 | 中楼层(共7层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/33933a31-b7aa-4b1d-8292-c630b447e34d_1000.jpg.296x216.jpg
20201223,宝山,通河,南北通双南两房，采光好，户型方正，位置佳。,325万,2室1厅 | 80.28平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qJjtkyQ5w.jpg.296x216.jpg
20201223,宝山,通河,边套全明户型+非顶楼+采光视野佳+业主诚心卖房主自荐,292万,2室1厅 | 62.12平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0Pq7jXf9m_1.jpg.296x216.jpg
20201223,宝山,通河,一号线＋婚房装修＋万达商圈＋满五唯一＋价格可谈房主自荐,308万,2室1厅 | 62.87平米 | 南 | 精装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6tMjRyGLc_1.jpg.296x216.jpg
20201223,宝山,通河,非顶楼，近家乐福，稀有户型，位置好，可以拎包入住房主自荐,285万,2室1厅 | 62.99平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/8e62c615-fc19-4c77-b22f-4f0b98ca2d11_1000.jpg.296x216.jpg
20201223,宝山,通河,双卧南北两房 附阳台 中间楼层 稀有户型 可拎包入住房主自荐,289万,2室1厅 | 62.99平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_h9o5JXuKM.jpg.296x216.jpg
20201223,宝山,通河,小区中间位置  精装修拎包入住  业主诚心出售房主自荐,285万,1室1厅 | 57.32平米 | 南 | 精装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3YOTAOXVL_1.jpg.296x216.jpg
20201223,宝山,通河,底楼层，带天井，业主诚意出售，随时看房！,273万,2室1厅 | 61.5平米 | 南 | 毛坯 | 低楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/06df3c79-d0d2-4b14-9116-dc8d61cdd2f8_1000.jpg.296x216.jpg
20201223,宝山,通河,错层 动静分离  税费少，产权户口清晰,560万,2室2厅 | 111.62平米 | 南 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b70cff69-00ac-422c-a86f-a2b73ec1e967_1000.jpg.296x216.jpg
20201223,宝山,通河,新四村，楼层好，交通便利，配套齐全房主自荐,310万,2室1厅 | 64.81平米 | 东 西 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_y2ZMEAk61.jpg.296x216.jpg
20201223,宝山,通河,顶楼复式 近1号轨交通河新村地铁站 家乐福 宝山万达房主自荐,538万,2室2厅 | 93.64平米 | 南 北 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f7018a7b-c121-46eb-b7e2-46d04efa89aa_1000.jpg.296x216.jpg
20201223,宝山,通河,高区，采光通风好，近通河路。近地铁。房主自荐,259万,2室1厅 | 56.4平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/78af17fe-f838-4257-be52-47f6ae14bdd5_1000.jpg.296x216.jpg
20201223,宝山,通河,1号线商品房精装修宝山万达家乐福配套房主自荐,465万,2室1厅 | 79.65平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZmIjPNZKE_1.jpg.296x216.jpg
20201223,宝山,通河,采光通风好，公园，商超，配套设施齐全，出行方便,185万,1室1厅 | 42.43平米 | 南 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_70GYETfUK_1.jpg.296x216.jpg
20201223,宝山,通河,边套全明户型，满5年唯一，近1号线，适合多数人群！房主自荐,280万,2室1厅 | 59.7平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_86zlPN9IC_2.jpg.296x216.jpg
