20201223,普陀,真光,此房满五年唯一，楼层低采光充足，适合老人居住 。必看好房,255万,1室1厅 | 49.8平米 | 南 | 其他 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_F1faO9rPU_1.jpg.296x216.jpg
20201223,普陀,真光,真光九 好位置中等楼层 业主诚心出售 价格可谈必看好房,220万,1室1厅 | 45.19平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_s9uO9ARrt_1.jpg.296x216.jpg
20201223,普陀,真光,满五唯一，楼层好，全明户型，配套丰富必看好房,240万,1室1厅 | 48.13平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ff963af1-45c8-40fe-bb25-84a08be0ae8f_1000.jpg.296x216.jpg
20201223,普陀,真光,低总价，新小区，商圈繁华，业主置换必看好房,239万,1室2厅 | 56.47平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fsU8mO7MG_1.jpg.296x216.jpg
20201223,普陀,真光,罕见4楼，不近马路，业主急卖！小区美丽家园改造！必看好房,198万,1室0厅 | 38.13平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/213f4762-8f01-4dfc-8a6d-83d8005004e7_1000.jpg.296x216.jpg
20201223,普陀,真光,一梯两户  低楼层  满五唯一必看好房,239万,1室1厅 | 51.88平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4w1KSMgjc_1.jpg.296x216.jpg
20201223,普陀,真光,附带花园可利用，精装三开间朝南，产权车位另算必看好房,719万,3室2厅 | 140.27平米 | 南 | 简装 | 低楼层(共9层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_H2L3rI8QU.jpg.296x216.jpg
20201223,普陀,真光,400000精装修，拎包即住，买进价高，满五唯一，必看好房,488万,2室2厅 | 91.4平米 | 南 | 精装 | 低楼层(共24层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/5daac9d1-5ad5-4f9a-9277-95194bfdecc5_1000.jpg.296x216.jpg
20201223,普陀,真光,满五年唯一！全明户型！通透性强！户型正气！必看好房,439万,2室2厅 | 94.63平米 | 东 西 | 简装 | 中楼层(共16层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yaqglBfys_1.jpg.296x216.jpg
20201223,普陀,真光,中间楼层 一房 业主诚意出售原因置换必看好房,256万,1室1厅 | 50.68平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZawGxiDoO_1.jpg.296x216.jpg
20201223,普陀,真光,一梯两户++位置好+双南两房+通风采光俱佳房主自荐,320万,2室1厅 | 65.24平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UzM8zUMY2_1.jpg.296x216.jpg
20201223,普陀,真光,南北通大三房，全明户型，精装带花园。房主自荐,798万,3室2厅 | 139.15平米 | 南 北 | 精装 | 低楼层(共9层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_82sPTD253_1.jpg.296x216.jpg
20201223,普陀,真光,两室一厅+总价低+地铁口+户型正+位置好+配套完善房主自荐,280万,2室1厅 | 59.17平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_F9UuwGRvp_1.jpg.296x216.jpg
20201223,普陀,真光,精装可拎包入住，小区中间位置，楼层好，欢迎咨询房主自荐,298万,2室1厅 | 59.43平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/3b5780aa-fd5d-46b6-8b16-a7aafcbcbc9a_1000.jpg.296x216.jpg
20201223,普陀,真光,位置佳、双南两房、户型正气、采光充足、满五年唯一,337万,2室1厅 | 71.37平米 | 南 | 简装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/3da00fb9-35e7-4f26-a36a-cf9c53fd09f3_1000.jpg.296x216.jpg
20201223,普陀,真光,南北全明三房，看房方便，得房率高。,475万,3室1厅 | 89.7平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0pGZvWkoc_1.jpg.296x216.jpg
20201223,普陀,真光,真光九街坊 1室0厅 南,202万,1室0厅 | 37平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_445ZQKhHl_1.jpg.296x216.jpg
20201223,普陀,真光,一梯两户 观景房 边套全明 采光好户型正 近地铁房主自荐,370万,3室1厅 | 76.09平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Cu8At9UAA_1.jpg.296x216.jpg
20201223,普陀,真光,阳光威尼斯(三期) 2室1厅 东南,460万,2室1厅 | 90.49平米 | 东南 | 简装 | 高楼层(共26层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HBkM5nT6b_1.jpg.296x216.jpg
20201223,普陀,真光,东南西北都有窗的房子来了，高区全天采光房主自荐,470万,2室2厅 | 91.51平米 | 东 南 西 北 | 毛坯 | 高楼层(共22层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MfeHFckdv_1.jpg.296x216.jpg
20201223,普陀,真光,单价低+诚心卖房+地铁口+采光通风极好房主自荐,215万,1室1厅 | 46.48平米 | 南 | 毛坯 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NYA6wK6dx_1.jpg.296x216.jpg
20201223,普陀,真光,高区一房 景观位置 全明户型 光线充足明亮 居住舒适房主自荐,312万,1室1厅 | 61.16平米 | 东 西 | 精装 | 中楼层(共20层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AOVjzhuDL_1.jpg.296x216.jpg
20201223,普陀,真光,低楼层，满五唯一，小区改造完成，业主诚心出售。,275万,2室1厅 | 49.95平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hjf8XWMTc_1.jpg.296x216.jpg
20201223,普陀,真光,品质小区 花园洋房 宜居小区 居家必备房主自荐,330万,2室1厅 | 58.66平米 | 南 北 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gUfs4cicA_1.jpg.296x216.jpg
20201223,普陀,真光,小三房户型非顶楼，产权清晰不靠马路出行方便房主自荐,360万,3室1厅 | 71.21平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/76ef34e3-07da-48eb-a913-7981925687a8_1000.jpg.296x216.jpg
20201223,普陀,真光,总价低，税费少，近中环，商圈繁华 业主诚心出售,275万,2室1厅 | 56.67平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_h6P5KoMTy_1.jpg.296x216.jpg
20201223,普陀,真光,满五唯一 税费少 双南户型 居家装修 诚意出售房主自荐,309万,2室1厅 | 63.16平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-e6cde29e-9b53-4b69-9530-6cf7ef7adc7c.jpg.296x216.jpg
20201223,普陀,真光,楼层好、户型正气、14号线、诚意出售、采光 通风好,243万,1室2厅 | 45.35平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_drq0F4EqM_1.jpg.296x216.jpg
20201223,普陀,真光,花园住宅   南北通透  中间位置顶楼带露台房主自荐,690万,3室2厅 | 102.13平米 | 南 北 | 简装 | 高楼层(共9层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/e2bbe50f-c753-45a2-b867-a07e480d716a_1000.jpg.296x216.jpg
20201223,普陀,真光,低楼层，税费少，交通便利，配套完善房主自荐,310万,2室1厅 | 54.69平米 | 东 北 | 精装 | 低楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XHCHmlfEL_1.jpg.296x216.jpg
20201223,普陀,真光,店长推荐：中环边高层观景房 14号线零ju离,291万,2室1厅 | 56.67平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cyTNJGGjz_1.jpg.296x216.jpg
20201223,普陀,真光,电梯房，双南两房厅里带窗，看房方便房主自荐,351万,2室1厅 | 79.12平米 | 南 | 简装 | 低楼层(共24层) | 1997年建 | 板塔结合,http://image1.ljcdn.com/110000-inspection/pc1_4LLwzVuTe_1.jpg.296x216.jpg
20201223,普陀,真光,近地铁14号线，满五年唯一，精装修，诚意出售看房随时房主自荐,580万,3室2厅 | 128.1平米 | 南 北 | 精装 | 低楼层(共22层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/6da8b42c-56fd-4e39-aabc-5b6dbf9e9b1f_1000.jpg.296x216.jpg
20201223,普陀,真光,满五唯一 一梯两户 高层观景房 业主诚心出售 价格可谈房主自荐,375万,2室1厅 | 64.66平米 | 南 | 精装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5AXexFiCk_1.jpg.296x216.jpg
20201223,普陀,真光,前面无遮挡 边套采光良好 满五唯一 税费少 无抵押房主自荐,275万,2室1厅 | 59.09平米 | 西 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/334ccc32-edfa-4afa-a402-622c9e18d165_1000.jpg.296x216.jpg
20201223,普陀,真光,紧缺大两房 +高楼层+采光好+视野好,450万,2室1厅 | 92.88平米 | 南 | 毛坯 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QF3Vyyb0p_1.jpg.296x216.jpg
20201223,普陀,真光,有40平露台+在大上海拥有属于自己的后花园+独此一家房主自荐,499万,2室2厅 | 101.89平米 | 南 北 | 精装 | 低楼层(共24层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/e5185764-c764-4c1e-848c-a79156ab4f9f_1000.jpg.296x216.jpg
20201223,普陀,真光,一梯两户南北通，满五年唯一税费少，精装修拎包入住房主自荐,496万,2室2厅 | 92.08平米 | 南 北 | 精装 | 低楼层(共11层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LmyW5o8qW_1.jpg.296x216.jpg
20201223,普陀,真光,总价低，税费少，近中环，商圈繁华 业主诚心出售,310万,2室1厅 | 56.69平米 | 南 | 其他 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6LrUAKvT0_1.jpg.296x216.jpg
20201223,普陀,真光,户型正气+一梯两户+低总价三房+诚心出售+ 近金州百联,380万,3室1厅 | 68.95平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YhxjXIucS_1.jpg.296x216.jpg
20201223,普陀,真光,税少 户型好 视野开阔 交通便利,330万,1室1厅 | 59.81平米 | 南 北 | 简装 | 高楼层(共24层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/5d42636d-4005-4fc6-9681-eccbd91242fb_1000.jpg.296x216.jpg
20201223,普陀,真光,南北通透格局，精装修，近中环真如城市，花园住宅,560万,2室2厅 | 98.74平米 | 南 北 | 精装 | 低楼层(共18层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f33895b1-2a04-48bb-b5a4-372185d05b2f_1000.jpg.296x216.jpg
20201223,普陀,真光,全明+视野好+可作小.两.房+商圈成熟房主自荐,235万,1室1厅 | 48.56平米 | 南 | 毛坯 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_G24MadbmV_1.jpg.296x216.jpg
20201223,普陀,真光,全明户型+3房改成2房+满五唯一+看房联系我！房主自荐,425万,2室2厅 | 89平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ynslshAX7_1.jpg.296x216.jpg
20201223,普陀,真光,真光二街坊，满五唯一，业主置换，诚心出售,234万,1室1厅 | 51.05平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uRaOmFMFy_1.jpg.296x216.jpg
20201223,普陀,真光,真光八街坊   一梯两户 位置佳房主自荐,249万,1室1厅 | 49.82平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_m46wlkYqF_1.jpg.296x216.jpg
20201223,普陀,真光,满五唯一   中楼层两房   安家可靠,292万,2室1厅 | 61.6平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gl9rJt14R_1.jpg.296x216.jpg
20201223,普陀,真光,诚意出售，较少户型，一梯两户，高楼层，采光视野好房主自荐,221万,1室1厅 | 49.16平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/5cf4003b-10e6-4f9c-813f-51f7147e2e5b_1000.jpg.296x216.jpg
20201223,普陀,真光,双南电梯房，税费低，您值得拥有。房主自荐,340万,2室1厅 | 79.12平米 | 南 | 简装 | 低楼层(共24层) | 1998年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_MH8DafLrQ_1.jpg.296x216.jpg
20201223,普陀,真光,电梯房+满五唯一+精装修+全明户型,385万,2室1厅 | 79.12平米 | 南 | 精装 | 中楼层(共24层) | 1998年建 | 板塔结合,http://image1.ljcdn.com/110000-inspection/997871ec-7415-4095-8fb5-cd453b846172_1000.jpg.296x216.jpg
20201223,普陀,真光,高得房率+诚意出售+户型方正+全明户型新上,255万,1室1厅 | 55.73平米 | 南 | 简装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-07cbabc9-994d-4e44-be70-263dfe8bcbb6.jpg.296x216.jpg
20201223,普陀,真光,朝南大三房，中间楼层，采光没有遮挡，视野宽阔房主自荐,688万,3室2厅 | 130.81平米 | 南 | 简装 | 中楼层(共14层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jn16tLNxR_1.jpg.296x216.jpg
20201223,普陀,真光,中环旁边 真如CBD 出门即上中环 2004年商品房小区,698万,3室2厅 | 120.9平米 | 南 | 精装 | 中楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VbM07NwWx_1.jpg.296x216.jpg
20201223,普陀,真光,满五年唯一 房型正气 诚意出售 预约可看 价格有空间房主自荐,672万,3室2厅 | 130.81平米 | 南 | 简装 | 低楼层(共14层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jl8bWoT4z_1.jpg.296x216.jpg
20201223,普陀,真光,全南高区三房，保养好。小区位置好。,560万,3室2厅 | 107.56平米 | 西南 | 简装 | 高楼层(共16层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1nr68gHbf_1.jpg.296x216.jpg
20201223,普陀,真光,满五唯一、一室一厅、中间楼层、朝南、适合居住,250万,1室1厅 | 47.25平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/15dbf1af-cee9-44e8-946a-9fcd1dcb2238_1000.jpg.296x216.jpg
20201223,普陀,真光,急售好房，满五唯一，精装3年，小区中间，无遮挡全明,268万,1室2厅 | 53.22平米 | 南 | 精装 | 低楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/4d0c5529-cb72-4579-8553-d038a1d5401a_1000.jpg.296x216.jpg
20201223,普陀,真光,房子满五年唯一 装修漂亮 拎包住 户型板正 格局好房主自荐,343万,2室1厅 | 66.22平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_D5o7j9jcV_1.jpg.296x216.jpg
20201223,普陀,真光,房东诚意置换 南北通透全明户型 一梯两户,305万,2室1厅 | 65.1平米 | 南 北 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/a6fe2452-5557-4624-8072-4f02fc8095f8_1000.jpg.296x216.jpg
20201223,普陀,真光,无遮挡，视野好，满五唯一，全天采光，日照充足房主自荐,498万,2室2厅 | 93.77平米 | 南 | 简装 | 高楼层(共24层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xNjxkGWoQ.jpg.296x216.jpg
20201223,普陀,真光,房型正气，高楼层，采光全天，诚意出售，价格可以谈房主自荐,719万,3室2厅 | 128.75平米 | 南 东南 | 简装 | 高楼层(共18层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jWWXVYhAG_1.jpg.296x216.jpg
20201223,普陀,真光,一梯两户+全明南北通透+业主诚心出售+税费自付,545万,2室2厅 | 96.14平米 | 南 北 | 简装 | 高楼层(共5层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IAZX6Sxas_1.jpg.296x216.jpg
20201223,普陀,真光,边套 位置不错 房子不错 价格可谈 采光很好房主自荐,228万,1室1厅 | 49.5平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CE3TVjVts_1.jpg.296x216.jpg
20201223,普陀,真光,双南两房+全明户型厅有窗+次顶楼房主自荐,305万,2室1厅 | 63.05平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_73IkEPipo_1.jpg.296x216.jpg
20201223,普陀,真光,此房满五税少，全明南北通，厅改成卧室。采光好近地铁房主自荐,210万,2室1厅 | 45.54平米 | 南 | 毛坯 | 高楼层(共7层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QeB8Aa3vn_1.jpg.296x216.jpg
20201223,普陀,真光,采光好+业主诚意出售+小户型两房+低总价+电梯房房主自荐,308万,2室1厅 | 65.92平米 | 西南 | 简装 | 低楼层(共24层) | 1998年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_0LrkIHS7l_1.jpg.296x216.jpg
20201223,普陀,真光,南北通，楼层棒，采光足，配套全房主自荐,200万,1室1厅 | 41.2平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/310000-inspection/dfa0f200-fcf7-498a-9916-4fc6011374db_1000.jpg.296x216.jpg
20201223,普陀,真光,清涧三高楼层电梯两房 全明户型 好房子 诚心卖房主自荐,370万,2室1厅 | 79.42平米 | 南 北 | 简装 | 中楼层(共24层) | 1998年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/e1991c59-6940-45b8-8a80-007e06e15919_1000.jpg.296x216.jpg
20201223,普陀,真光,小区面积max的三房，满五唯一。,355万,3室1厅 | 76.37平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8HDE9A2ap_1.jpg.296x216.jpg
20201223,普陀,真光,一梯两户+精装修+小区中位旁边公园空气清新,338万,2室1厅 | 66.61平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yiAWIyerG_1.jpg.296x216.jpg
20201223,普陀,真光,两房朝南 客厅带朝南窗户 近利群医院 停车便利房主自荐,349万,2室1厅 | 79平米 | 南 | 精装 | 低楼层(共24层) | 1998年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_cC5rM6REC_1.jpg.296x216.jpg
20201223,普陀,真光,自带花苑小区整洁干净、一梯两户，户型方正，专属服务,308万,2室1厅 | 71.09平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BrAUdEfqp_1.jpg.296x216.jpg
20201223,普陀,真光,上海家园靠中环 精装两房 小区中间位置 正南北通户型,560万,2室2厅 | 96.27平米 | 南 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vIOD4tALw_1.jpg.296x216.jpg
20201223,普陀,真光,精装两房，拎包入住，交通便利，配套齐全，,290万,2室1厅 | 56.23平米 | 西南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PtRICi3Fc_1.jpg.296x216.jpg
20201223,普陀,真光,看房方便，高层景观房，阳台可看东方明珠房主自荐,495万,2室2厅 | 97.28平米 | 东南 南 | 简装 | 高楼层(共25层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cBIBy8LOF_1.jpg.296x216.jpg
20201223,普陀,真光,真光四街坊 一梯四户  全明户型  诚意出售,310万,2室1厅 | 59.8平米 | 东南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DoJDuE3Oh_1.jpg.296x216.jpg
20201223,普陀,真光,南北通透，视野开阔，采光充足，配套齐全房主自荐,245万,2室1厅 | 52.23平米 | 南 北 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3mSvIEOdn_1.jpg.296x216.jpg
20201223,普陀,真光,满五唯一+中间位置+边套全明+14号线真光路站+产权清晰房主自荐,320万,2室1厅 | 58平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7fXreP7Au_1.jpg.296x216.jpg
20201223,普陀,真光,真光九 一梯两户 总价低  厨卫带窗户 价格可谈,200万,1室1厅 | 42平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Wk4aS3Huk_1.jpg.296x216.jpg
20201223,普陀,真光,一梯两户+满五唯一+电梯房中等楼层+老装修+03年商品房,680万,2室2厅 | 96.33平米 | 南 | 简装 | 中楼层(共14层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TqaezUi32_1.jpg.296x216.jpg
20201223,普陀,真光,电梯房一室两厅 全明户型 高楼层 近医院 适合养老居住房主自荐,325万,1室2厅 | 72.2平米 | 南 | 简装 | 高楼层(共20层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/4d709f99-55c0-4067-8a1a-7a5177e26bbe_1000.jpg.296x216.jpg
20201223,普陀,真光,诚意出售，较少户型，位置佳采光通风效果好。,228万,2室1厅 | 47.48平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/febe6d20-0b03-40c5-9a2b-607afe9130db_1000.jpg.296x216.jpg
20201223,普陀,真光,一梯两户 两房 全明户型 业主诚意出售房主自荐,328万,2室1厅 | 56.68平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_b4W0pnTfT_1.jpg.296x216.jpg
20201223,普陀,真光,楼层好，采光通风好，配套设施齐全，交通便利,325万,2室1厅 | 61.86平米 | 东南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ys1gC2rH1_1.jpg.296x216.jpg
20201223,普陀,真光,满五不唯一   一梯两户  位置好 诚意出售,248万,1室1厅 | 49.55平米 | 南 | 毛坯 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bv11VZxi6_1.jpg.296x216.jpg
20201223,普陀,真光,中鼎园林小区，电梯房小户型您值得拥有！,268万,1室1厅 | 47.2平米 | 南 | 简装 | 低楼层(共16层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_x5YOQBeCV_1.jpg.296x216.jpg
