20201223,静安,闸北公园,主推优选+闸北公园+配套齐全，交通便利+业主诚意出售必看好房,185万,1室0厅 | 29.22平米 | 南 | 简装 | 高楼层(共5层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QkKI0qFSV_1.jpg.296x216.jpg
20201223,静安,闸北公园,精装修，双南两房，采光充足，诚意出售，看房方便,288万,2室0厅 | 40.69平米 | 南 | 精装 | 高楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UrEL3bwEH_1.jpg.296x216.jpg
20201223,静安,闸北公园,房楼层好 采光不挡 视野宽阔 配套设施齐全 交通便利房主自荐,720万,3室2厅 | 117.59平米 | 西北 | 精装 | 中楼层(共20层) | 1999年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/pc1_kFu68NaFl_1.jpg.296x216.jpg
20201223,静安,闸北公园,闸北公园 电梯房 采光好 地铁1/8号线 小区中间,680万,3室2厅 | 114.08平米 | 南 东北 | 简装 | 低楼层(共20层) | 1999年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_f4iZWyosu_1.jpg.296x216.jpg
20201223,静安,闸北公园,南北通全明两房+满五唯一双地铁+05年花园小区诚意出售房主自荐,810万,2室2厅 | 97.74平米 | 南 北 | 精装 | 低楼层(共35层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_abXui0a4g_1.jpg.296x216.jpg
20201223,静安,闸北公园,闸北公园，边套全明，电梯高区，采光很好，近地铁房主自荐,785万,2室2厅 | 118.62平米 | 南 | 简装 | 中楼层(共19层) | 2001年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_ADueVaQ5o_1.jpg.296x216.jpg
20201223,静安,闸北公园,人民广场三站精品全明两房 电梯中高区带,815万,2室2厅 | 115.45平米 | 南 | 简装 | 中楼层(共18层) | 2003年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_CXjDnjINO_1.jpg.296x216.jpg
20201223,静安,闸北公园,一梯两户得房率高，满五唯一税费少，南北通，诚意出售,560万,2室2厅 | 94.08平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_FEHJ0miJV_1.jpg.296x216.jpg
20201223,静安,闸北公园,闸北公园+中间楼层一室户+八号线西藏北路站+满五唯一房主自荐,215万,1室0厅 | 30.95平米 | 南 | 简装 | 中楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AQpiukuEI_1.jpg.296x216.jpg
20201223,静安,闸北公园,主推+边套全明+闸北公园+满五唯一+八号线地铁三站人广,213万,1室1厅 | 32.81平米 | 南 北 | 精装 | 高楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_E5a15ahYW_1.jpg.296x216.jpg
20201223,静安,闸北公园,精装修，业主诚售，采光充足，配套设施齐全，交通便利,273万,1室0厅 | 44.43平米 | 南 北 | 精装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Wljz5xiTp_1.jpg.296x216.jpg
20201223,静安,闸北公园,闸北公园 南北通 小户型 带天井 低楼层,251万,1室0厅 | 35.14平米 | 南 北 | 简装 | 低楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pHWqlodUl_1.jpg.296x216.jpg
20201223,静安,闸北公园,准电梯房，有露台面积，满五唯一，售后公房诚意出售房主自荐,360万,1室2厅 | 47.2平米 | 南 | 精装 | 高楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bPxb6eu8M_1.jpg.296x216.jpg
20201223,静安,闸北公园,满五年，售后公房无增值税，配套齐全房主自荐,208万,1室1厅 | 34.03平米 | 南 西 北 | 简装 | 低楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BLkJvypoV_1.jpg.296x216.jpg
20201223,静安,闸北公园,柳营路309弄 1室1厅 东 北,215万,1室1厅 | 34平米 | 东 北 | 其他 | 低楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8Jmm8ZMs7_1.jpg.296x216.jpg
20201223,静安,闸北公园,此房为一房一厅的标准，全明户型，配套设施齐全！房主自荐,212万,1室1厅 | 37.19平米 | 南 | 精装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_VLIbb12iu_1.jpg.296x216.jpg
20201223,静安,闸北公园,天然氧吧 看房方便 业主诚意出售房主自荐,410万,2室1厅 | 66平米 | 东北 | 毛坯 | 中楼层(共20层) | 1986年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/pc1_n5YYSQMdB_1.jpg.296x216.jpg
20201223,静安,闸北公园,边套两房，两房朝南，锐费精确诚意出售 配套成熟房主自荐,657万,2室2厅 | 107.88平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_7gjv5E0Wb_1.jpg.296x216.jpg
20201223,静安,闸北公园,此房满五唯一，视野开阔采光好，拎包入住，出行便利,243万,1室1厅 | 40.47平米 | 南 | 精装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vKfin2U7j_1.jpg.296x216.jpg
20201223,静安,闸北公园,8号线 大两室 视野好 满五唯一 小区中间 诚意出售房主自荐,320万,2室0厅 | 50.8平米 | 南 北 | 简装 | 高楼层(共7层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mFdnaaa9o_1.jpg.296x216.jpg
20201223,静安,闸北公园,精装南北通两房+双地铁+诚意出售 +配套完善房主自荐,375万,2室1厅 | 59.75平米 | 南 北 | 精装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1yRwjNqXK_1.jpg.296x216.jpg
20201223,静安,闸北公园,一 室 半 + 厅  +中间楼层+采光好+ +双轨交接房主自荐,293万,1室1厅 | 47.33平米 | 南 | 简装 | 中楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yMgIwqdjk_1.jpg.296x216.jpg
20201223,静安,闸北公园,电梯房+精装修+一梯两户+南北通,760万,2室2厅 | 121.59平米 | 南 北 | 精装 | 低楼层(共13层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_C3fZtJIjW_1.jpg.296x216.jpg
20201223,静安,闸北公园,全南全明精装2房，二手买进税费少，1楼，有垫高不潮湿房主自荐,680万,2室2厅 | 88.5平米 | 南 | 精装 | 低楼层(共36层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BaAnzC7MP_1.jpg.296x216.jpg
20201223,静安,闸北公园,带装修，大一房一厅，诚意出售，看房方便,285万,1室1厅 | 48平米 | 南 | 简装 | 高楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xFGvCxwF5_1.jpg.296x216.jpg
20201223,静安,闸北公园,带阳台朝南一室户，采光通风好，税费少,232万,1室0厅 | 36.52平米 | 南 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sr1OQtkso_1.jpg.296x216.jpg
20201223,静安,闸北公园,中楼层，低总价，大面积，诚意出售，看房方便。,280万,2室1厅 | 46.38平米 | 西南 | 简装 | 中楼层(共7层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wuD4hKCzv_1.jpg.296x216.jpg
20201223,静安,闸北公园,双南两方，满五唯一，楼层好采光充足,280万,2室0厅 | 40.69平米 | 南 | 简装 | 低楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_K3pR1wZBS_1.jpg.296x216.jpg
20201223,静安,闸北公园,精装修！！边套全明一室户，南北通，,235万,1室0厅 | 33.27平米 | 南 | 精装 | 中楼层(共5层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uzwZRBeoK_1.jpg.296x216.jpg
20201223,静安,闸北公园,和安小区 91年小区  一梯三户 全明户型 采光好房主自荐,285万,1室1厅 | 45.73平米 | 南 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_isXwFSvVR_1.jpg.296x216.jpg
20201223,静安,闸北公园,8号线地铁线 中等装修 看房方便 诚心出售 价格可谈房主自荐,240万,1室1厅 | 38.3平米 | 南 | 简装 | 高楼层(共7层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PqLton2BJ_1.jpg.296x216.jpg
20201223,静安,闸北公园,楼层好 格局方正 满五唯一税费少 看房方便,277万,1室1厅 | 40.47平米 | 南 | 精装 | 中楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NRbjGUX9S_1.jpg.296x216.jpg
20201223,静安,闸北公园,满五唯一，售后公房，精装修，南北两房,310万,2室1厅 | 52.35平米 | 南 | 精装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iT1DR5675_1.jpg.296x216.jpg
20201223,静安,闸北公园,和安小区新中层房源，业主置换新房。,298万,1室1厅 | 43.88平米 | 南 | 简装 | 中楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QFMJdCwWk_1.jpg.296x216.jpg
20201223,静安,闸北公园,低楼层，南北通透，可做普宅税费低。,342万,2室1厅 | 48.5平米 | 南 北 | 简装 | 低楼层(共6层) | 1980年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OybgrRIbQ_1.jpg.296x216.jpg
20201223,静安,闸北公园,满五唯一，配套齐全，精装修，交通便利,320万,2室1厅 | 47.67平米 | 南 北 | 精装 | 高楼层(共5层) | 1980年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LkJmtcJpM_1.jpg.296x216.jpg
20201223,静安,闸北公园,新上乐业公寓南北通大两房，一梯两户，出行便利,655万,2室2厅 | 107.03平米 | 南 北 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_ItR3H2E8p_1.jpg.296x216.jpg
20201223,静安,闸北公园,和诚公寓+近大润发+近8号线西藏北路地铁+菜市场房主自荐,835万,3室2厅 | 120平米 | 南 北 东 | 精装 | 低楼层(共18层) | 1998年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/pc1_a2NY7x0ke_1.jpg.296x216.jpg
20201223,静安,闸北公园,边套全明 8号西藏北路 采光通风好 精装修房主自荐,273万,1室1厅 | 41.13平米 | 南 北 | 精装 | 高楼层(共5层) | 1974年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_2jMDoq3uV_1.jpg.296x216.jpg
20201223,静安,闸北公园,振和公寓 +低楼层+近大润发+8号线地铁西藏北路站房主自荐,750万,2室2厅 | 115.75平米 | 南 北 | 简装 | 低楼层(共7层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0jUveuOSn_1.jpg.296x216.jpg
20201223,静安,闸北公园,洛川东路400弄 2室1厅 南 北,338万,2室1厅 | 55.7平米 | 南 北 | 简装 | 高楼层(共7层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VjUKEf7ZK_1.jpg.296x216.jpg
20201223,静安,闸北公园,闸北公园旁边新出房源  售后公房 诚心出售 采光好,190万,1室0厅 | 30.34平米 | 南 | 简装 | 高楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XmwRQkl4P_1.jpg.296x216.jpg
20201223,静安,闸北公园,一楼带院子，采光和户型都不错，交通便利，出行方便,310万,1室1厅 | 46.12平米 | 南 | 精装 | 低楼层(共5层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CUm5pvBhN_1.jpg.296x216.jpg
20201223,静安,闸北公园,闸北公园+楼层好+总价低+诚意出售,200万,1室0厅 | 28.57平米 | 南 | 简装 | 中楼层(共6层) | 1980年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fhOvNQivj_1.jpg.296x216.jpg
20201223,静安,闸北公园,近地铁+交通出行方便+采光好+通风,220万,1室1厅 | 37.95平米 | 南 | 简装 | 高楼层(共7层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_v00NKKjYG_1.jpg.296x216.jpg
20201223,静安,闸北公园,近地铁+交通方便+采光好+南北通+带阳台房主自荐,206万,1室1厅 | 37.57平米 | 南 | 简装 | 高楼层(共7层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AfbLfU0wi_1.jpg.296x216.jpg
20201223,静安,闸北公园,近地铁 交通方便 闸北公园景观房 满五唯一房主自荐,185万,1室0厅 | 29.78平米 | 南 | 简装 | 高楼层(共5层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FoeQBxUNq_1.jpg.296x216.jpg
20201223,静安,闸北公园,精装修＋视野开阔＋采光充足  配套齐全,218万,1室1厅 | 33.34平米 | 南 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VYxC06Hhy_1.jpg.296x216.jpg
20201223,静安,闸北公园,开窗闸北公园，1可2，近地铁，第十人民医院,265万,1室1厅 | 35.53平米 | 南 | 简装 | 高楼层(共6层) | 1980年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xuSnAxHYO_1.jpg.296x216.jpg
20201223,静安,闸北公园,柳营路309弄 2室1厅 南,320万,2室1厅 | 49.71平米 | 南 | 简装 | 中楼层(共5层) | 1974年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YYPHO7a6k_1.jpg.296x216.jpg
20201223,静安,闸北公园,内环边 单价低 总价低 闸北公园 8号线1 号线房主自荐,170万,1室1厅 | 29.93平米 | 西北 | 精装 | 高楼层(共7层) | 1981年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_IQe82ZQqP_1.jpg.296x216.jpg
20201223,静安,闸北公园,满五唯一+近地铁+采光好带阳台+配套成熟+诚意出售,390万,2室1厅 | 70.35平米 | 南 | 简装 | 高楼层(共7层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0CWwo0Hwh_1.jpg.296x216.jpg
20201223,静安,闸北公园,满五唯一 ，一梯两户得房率高 业主置换已经买好新房。房主自荐,600万,1室2厅 | 80.7平米 | 南 | 精装 | 低楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-83a99abb-e244-4f8c-a29f-dc269c80e78b.jpg.296x216.jpg
20201223,静安,闸北公园,新出高区户型，视野开阔，出门8号线西藏北路站房主自荐,265万,2室1厅 | 44.63平米 | 南 | 简装 | 高楼层(共7层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2NGV3mpS4_1.jpg.296x216.jpg
20201223,静安,闸北公园,此房户型方正，得房率高，地铁3站到人广。房主自荐,790万,3室2厅 | 126.28平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RfUIYGYui_1.jpg.296x216.jpg
20201223,静安,闸北公园,洛川东路352弄 1室0厅 南,198万,1室0厅 | 32平米 | 南 | 精装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-eb731d62-4a50-4c75-9364-a7c458f23262.jpg.296x216.jpg
20201223,静安,闸北公园,紫薇阁新出大平层 采光好 一梯一户 南北通透 户型方正,1290万,3室2厅 | 154.1平米 | 南 北 | 精装 | 中楼层(共13层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mjz3fzGUS_1.jpg.296x216.jpg
20201223,静安,闸北公园,锦灏佳园大三房出售，2个卫生间，低于本小区均价急售房主自荐,890万,3室2厅 | 144.25平米 | 南 | 简装 | 低楼层(共22层) | 2002年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20170512/9074d197-57b6-4765-b767-26e028445cf7.jpg.296x216.jpg
20201223,静安,闸北公园,一梯两户精装修一居室，售后公房，满五唯一税费低,262万,1室1厅 | 39.29平米 | 南 | 精装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/310000-inspection/99ae50c2-ae13-4582-9051-9dd9daed0644.jpg.296x216.jpg
20201223,静安,闸北公园,业主急出，交通便利，配套齐全，朝南一房，价格可谈，新上,269万,1室1厅 | 43.13平米 | 南 | 简装 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/79d020e7-8362-450e-972f-c0a54cf8e01e.png.296x216.jpg
20201223,静安,闸北公园,近地铁8号线+电梯房+人流量充足,130万,1室1厅 | 35.53平米 | 南 | 简装 | 中楼层(共9层) | 2010年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-ce2d7d8a-2e62-4624-ba6f-edcc80d1d031.png.296x216.jpg
