20201223,静安,永和,精装修，南北通透，楼层佳，视野开阔，采光充足必看好房,470万,2室2厅 | 76.61平米 | 南 北 | 精装 | 中楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3gpGi8Mqc_1.jpg.296x216.jpg
20201223,静安,永和,小区中间位置 户型方正 采光好,210万,1室1厅 | 44.79平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zuMHdflS4_1.jpg.296x216.jpg
20201223,静安,永和,中间楼层 边套全明 南北通 近地铁 带厅 看房方便房主自荐,245万,1室1厅 | 44.82平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AGIqrryNg_1.jpg.296x216.jpg
20201223,静安,永和,翔前小区 双卧朝南 全明户型 楼层好采光足 看房便利,295万,2室1厅 | 72.55平米 | 暂无数据 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zzCiz3YLm.jpg.296x216.jpg
20201223,静安,永和,方正一室户 10年房龄 靠彭浦公园  近地铁 动迁房,333万,1室1厅 | 52.4平米 | 南 | 毛坯 | 低楼层(共17层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5Q1E2nhNQ_1.jpg.296x216.jpg
20201223,静安,永和,满五唯一，电梯房，2010年建成，2房1厅，动迁无增值税房主自荐,445万,2室1厅 | 74.19平米 | 南 | 简装 | 低楼层(共18层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JC8DnVST3_1.jpg.296x216.jpg
20201223,静安,永和,静安区2010年电梯房 近公园 近彭浦新村站房主自荐,477万,2室2厅 | 74.71平米 | 南 | 精装 | 中楼层(共18层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YmcDMDsLs_1.jpg.296x216.jpg
20201223,静安,永和,新静安 中间楼层 精装修 采光好  中 央空调,205万,1室0厅 | 37.09平米 | 南 | 精装 | 中楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RbpCnDxCn_1.jpg.296x216.jpg
20201223,静安,永和,新静安彭浦新村站精装一房，95年房子房主自荐,196万,1室0厅 | 36.45平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1OPa7ewgV_1.jpg.296x216.jpg
20201223,静安,永和,2010年动迁房，房龄新，近地铁，诚心卖房主自荐,310万,1室1厅 | 52.53平米 | 南 | 精装 | 低楼层(共14层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/db6d588d-97b1-4d38-b91c-cb8ecc806543_1000.jpg.296x216.jpg
20201223,静安,永和,紧靠一号线 中间楼层 满五年 配套齐全 好房不等人,298万,2室1厅 | 58.58平米 | 南 北 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qva3wYWNy_1.jpg.296x216.jpg
20201223,静安,永和,翔前小区 2室1厅 东南房主自荐,320万,2室1厅 | 65.42平米 | 东南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6Lwv83Ngp_1.jpg.296x216.jpg
20201223,静安,永和,静安区 近彭浦新村站 中间楼层 南北两房 满五唯一房主自荐,310万,2室1厅 | 58.58平米 | 南 | 毛坯 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ajS4Tgjy8.jpg.296x216.jpg
20201223,静安,永和,彭浦新村 电梯房 高楼层 采光好 户型南北 环境优美新上,420万,3室1厅 | 75.31平米 | 南 | 简装 | 高楼层(共12层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pDDskF4YH_1.jpg.296x216.jpg
20201223,静安,永和,永和新小区顶楼复式经典大五房诚意出售,820万,5室2厅 | 180.83平米 | 南 北 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FNTNUWkPg_1.jpg.296x216.jpg
20201223,静安,永和,精装修、一梯三户、小区中间位置、户型方正房主自荐,420万,2室1厅 | 80.21平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UJ81mYlgZ_1.jpg.296x216.jpg
20201223,静安,永和,静安公园房近地铁一号线彭浦新村满五年唯一新上,240万,1室1厅 | 44.82平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iPCeUEGea_1.jpg.296x216.jpg
20201223,静安,永和,闸北场中公寓 1室1厅 南新上,200万,1室1厅 | 40.21平米 | 南 | 精装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_elYLKUf6k_1.jpg.296x216.jpg
20201223,静安,永和,永和三村，双南带厅中楼层两房， 看房提前预约房主自荐,360万,2室1厅 | 60.03平米 | 南 | 精装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Z2YwHpXZr_1.jpg.296x216.jpg
20201223,静安,永和,精装采光好电梯房 房龄新 配套设施齐全 看中价格可谈,325万,1室2厅 | 56.4平米 | 南 | 精装 | 低楼层(共12层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MkZ85bqaE_2.jpg.296x216.jpg
20201223,静安,永和,一 七号线双轨 边套全明户型 采光好 通透 位置中间房主自荐,295万,2室1厅 | 59.3平米 | 南 北 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9Vgiah6yR_2.jpg.296x216.jpg
20201223,静安,永和,绿雅苑 2室2厅 南,480万,2室2厅 | 86.8平米 | 南 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yGLrUod0W_1.jpg.296x216.jpg
20201223,静安,永和,龙馨嘉园 2室2厅 南 北,520万,2室2厅 | 89平米 | 南 北 | 其他 | 低楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WNflkJT4k_1.jpg.296x216.jpg
20201223,静安,永和,房子满五唯一 ，一楼带超大花园，楼间距大 设施齐,950万,4室2厅 | 143.77平米 | 南 | 精装 | 低楼层(共11层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_darK12Eb4_1.jpg.296x216.jpg
20201223,静安,永和,新静安 近中环 一楼带天井 花园位置 好房不等人房主自荐,298万,2室1厅 | 59.1平米 | 南 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_a5Uti4vpL_1.jpg.296x216.jpg
20201223,静安,永和,电梯房中间楼层，采光视野佳，近地铁，配套成熟房主自荐,445万,3室1厅 | 89.37平米 | 南 | 简装 | 中楼层(共14层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_wYZLzJGBy.jpg.296x216.jpg
20201223,静安,永和,精装修拎包入住，视野开阔，通风采光好。房主自荐,275万,2室1厅 | 59.3平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DRXWP3fyv_1.jpg.296x216.jpg
20201223,静安,永和,静安区一号线彭浦新村站 中间楼层 板式结构 得房率高房主自荐,610万,3室2厅 | 113.85平米 | 南 | 简装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_59mGGCvkZ_1.jpg.296x216.jpg
20201223,静安,永和,永和一村 3室1厅 南 北,515万,3室1厅 | 102.47平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mUZggn3Rq_1.jpg.296x216.jpg
20201223,静安,永和,户型方正，视野宽阔，窗外即花园。房主自荐,415万,2室2厅 | 77.12平米 | 南 北 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_il231JBwu_1.jpg.296x216.jpg
20201223,静安,永和,静安区一号线彭浦新村站 中间楼层 板式结构 得房率高,698万,3室2厅 | 131平米 | 南 北 | 简装 | 低楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Emx0aQSC4_1.jpg.296x216.jpg
20201223,静安,永和,静安区  中区电梯房  前面没遮挡 税费少诚意出售房主自荐,523万,2室2厅 | 93.01平米 | 南 | 精装 | 中楼层(共11层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/acd74bc5-2df4-4c06-ac74-68f364af98f2_1000.jpg.296x216.jpg
20201223,静安,永和,交城路208号 3室2厅 南 北,650万,3室2厅 | 114平米 | 南 北 | 其他 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Ahrg7q6KS_1.jpg.296x216.jpg
20201223,静安,永和,一号线 彭浦新村站 飞机户型 南北通 房龄新 环境好,660万,3室2厅 | 131.25平米 | 南 北 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Hp8nB2zBx_1.jpg.296x216.jpg
20201223,静安,永和,户型优质，采光好，税费各付，看房方便。,285万,2室1厅 | 50.34平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kHCzJTJJt_1.jpg.296x216.jpg
20201223,静安,永和,低总价电梯房 中高楼层采光视野佳，近地铁，配套成熟,318万,2室0厅 | 59.55平米 | 东北 | 简装 | 高楼层(共15层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_6Zrw49Axx_1.jpg.296x216.jpg
20201223,静安,永和,全面户型采光好 11平米天井以搭好 近地铁 无户口房主自荐,210万,1室1厅 | 36.18平米 | 南 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7rhLKz5rm_1.jpg.296x216.jpg
20201223,静安,永和,静安区 中环边 近彭浦新村站 双南两房  满五唯一房主自荐,290万,2室1厅 | 56.2平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4PnZyuSvQ.jpg.296x216.jpg
20201223,静安,永和,满五唯一，中楼层，南北精装修两房，有钥匙，诚意售,303万,2室0厅 | 50.54平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_t69Li3556_1.jpg.296x216.jpg
20201223,静安,永和,永和三村，低楼层南北两房，看房方便，业主诚意！房主自荐,305万,2室1厅 | 59.53平米 | 南 北 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Ak3ok22hy_1.jpg.296x216.jpg
20201223,静安,永和,售后公房+南北两房+非顶楼+随时看+诚意出售+低税费！,280万,2室1厅 | 50.52平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gi90swBtG_1.jpg.296x216.jpg
20201223,静安,永和,性价b高+南北两房+顶楼+随时看+低税费+诚意出售！！！,268万,2室1厅 | 54.52平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_L3KmmNflZ_1.jpg.296x216.jpg
20201223,静安,永和,精装修，花园位置，中楼层，好房出售房主自荐,405万,2室1厅 | 75.1平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Zer3esHIG_1.jpg.296x216.jpg
20201223,静安,永和,彭浦新村电梯房，婚房装修，产权户口清晰，环境优美。房主自荐,310万,1室1厅 | 54.87平米 | 东北 | 精装 | 高楼层(共14层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_RzW3SbbmS_1.jpg.296x216.jpg
20201223,静安,永和,幸福第一公寓 2室1厅 西南,370万,2室1厅 | 72.15平米 | 西南 | 精装 | 低楼层(共14层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_3DfD5Gbw2_1.jpg.296x216.jpg
20201223,静安,永和,温馨双南两房+无遮挡+房东诚意售+电联维护人随时看！房主自荐,273万,2室0厅 | 52.45平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-564bc9cf-5c3a-4c34-ac40-6ff3b2fb7c26.jpg.296x216.jpg
20201223,静安,永和,静安区白玉兰馨园电梯房一房两厅，有双阳台和飘窗,310万,1室2厅 | 56.38平米 | 南 | 精装 | 低楼层(共11层) | 2004年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-04daf110-fa4e-453e-8e38-ba62f312d7bd.jpg.296x216.jpg
20201223,静安,永和,近地铁 电梯房，户型正气，中间楼层，采光好,640万,3室1厅 | 116.62平米 | 南 | 简装 | 中楼层(共15层) | 1995年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/pc1_gwh68Rjhr_1.jpg.296x216.jpg
20201223,静安,永和,厅大，采光好，可以留下观看一下房主自荐,248万,2室1厅 | 51.5平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_3cDVmNaeJ_1.jpg.296x216.jpg
20201223,静安,永和,白玉兰馨园 2室1厅 南,404万,2室1厅 | 75.31平米 | 南 | 其他 | 低楼层(共12层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_roLzZej7z_1.jpg.296x216.jpg
20201223,静安,永和,近一号线 小区花园位置 无高楼遮挡 南北通 满五唯一房主自荐,225万,1室1厅 | 47.9平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_IKpcUi4Ir_1.jpg.296x216.jpg
20201223,静安,永和,两房两厅  精装修 诚意出售 看房提前预约 一梯三户房主自荐,450万,2室2厅 | 80.21平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NReG2WTeq_1.jpg.296x216.jpg
20201223,静安,永和,位置安静， 一梯两户， 一房做二房，税收少价可以商榷,330万,2室1厅 | 62.01平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hvDGpSynT_1.jpg.296x216.jpg
20201223,静安,永和,满五唯一，双南两房，看房方便，业主诚意，欢迎咨询房主自荐,339万,2室1厅 | 60.94平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WiIHCjYuj.jpg.296x216.jpg
20201223,静安,永和,满五唯一+精装修的风格+南北通透,490万,2室2厅 | 86.5平米 | 南 北 | 精装 | 低楼层(共13层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_E6IXKYGsm_1.jpg.296x216.jpg
20201223,静安,永和,幸福第一公寓 2室2厅 西南房主自荐,445万,2室2厅 | 89.46平米 | 西南 | 精装 | 中楼层(共15层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_yzHbfhEaG_1.jpg.296x216.jpg
20201223,静安,永和,精装修，房屋布局设计新颖，随时可以领包入住。房主自荐,240万,1室1厅 | 43.8平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fX6flccNV.jpg.296x216.jpg
20201223,静安,永和,永和一室一厅非顶楼全明户型，看房方便,242万,1室1厅 | 43.91平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RiZNj4mVB_1.jpg.296x216.jpg
20201223,静安,永和,新静安 中环旁 一楼带阳光房 满五唯一 好房不等人,305万,2室1厅 | 65.34平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PcFSd3Fb9_1.jpg.296x216.jpg
20201223,静安,永和,紧靠一号线和中环 南北两房一厅中间楼层 精装修,310万,2室1厅 | 58.58平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qJYCKtiSY_1.jpg.296x216.jpg
20201223,静安,永和,2室1厅，全明格局，低密度板楼社区，一梯两户，中楼层,420万,2室1厅 | 88.17平米 | 南 | 简装 | 中楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_U7eosh7xp_1.jpg.296x216.jpg
20201223,静安,永和,静安区  中环边  电梯房高区 采光无遮挡 诚意出售房主自荐,318万,2室1厅 | 56.4平米 | 南 | 毛坯 | 高楼层(共12层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Ff6zS0fOF_1.jpg.296x216.jpg
20201223,静安,永和,低总价电梯房 中楼层采光视野佳，近地铁，配套成熟,320万,2室1厅 | 59.49平米 | 南 西 | 精装 | 中楼层(共14层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_qJBZbMO7n_1.jpg.296x216.jpg
20201223,静安,永和,低单价一房-南北通-诚意出售-欢迎看房+房主自荐,180万,1室0厅 | 45.53平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SLPYX6Jh5_1.jpg.296x216.jpg
20201223,静安,永和,静安区 近地铁 一梯两户 一手买进商品房 层高2.85米,610万,3室2厅 | 108.58平米 | 南 | 精装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0r5y25f15.jpg.296x216.jpg
20201223,静安,永和,中间楼层，朝南两房，诚意出售，看房方便,353万,2室1厅 | 58.11平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hvodSfp8g_1.jpg.296x216.jpg
20201223,静安,永和,花园位置，满5唯一，南北通二房，置换诚意出售。,618万,2室2厅 | 97.95平米 | 南 北 | 简装 | 低楼层(共11层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_z644ix4MX_1.jpg.296x216.jpg
20201223,静安,永和,两室一厅 南北 税少 一梯两户 采光日照充足房主自荐,395万,2室1厅 | 64.55平米 | 南 | 精装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_f0DJ9mGtc_1.jpg.296x216.jpg
20201223,静安,永和,近彭浦公园，一房一厅，满五唯一环境优美，房子没户口房主自荐,248万,1室1厅 | 47.9平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/e7582b84-b244-42d4-9515-b3827ec653cd_1000.jpg.296x216.jpg
20201223,静安,永和,中间楼层 采光充足 中间位置 不靠马路！！,365万,1室2厅 | 62.23平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Fexx3mVtd_1.jpg.296x216.jpg
20201223,静安,永和,紧靠一号线和中环 ， 楼层好，南北有窗，采光充足。,220万,1室1厅 | 43.71平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cPyEUku1m_1.jpg.296x216.jpg
20201223,静安,永和,中间位置+花园旁+安逸生活+东边套全明+诚意售有钥匙,195万,1室1厅 | 41.13平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_qfbzqPLMA_1.jpg.296x216.jpg
20201223,静安,永和,满五唯一，看房方便，主卧朝南带阳台，看房约维护人房主自荐,222万,1室1厅 | 48.6平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_VmrTmkKRO_1.jpg.296x216.jpg
20201223,静安,永和,精装修20万，环境优美，全明户型，看房约维护人，，，房主自荐,188万,1室1厅 | 34.05平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6bBBw09hd.jpg.296x216.jpg
20201223,静安,永和,静安中环-宽敞大一房-中间好楼层-边套全明-小区环境好房主自荐,300万,1室1厅 | 56.45平米 | 南 | 毛坯 | 中楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bfAJIpoil_1.jpg.296x216.jpg
20201223,静安,永和,静安区 低总价 近一号线彭浦新村站 看房子方便,210万,1室1厅 | 38.55平米 | 南 北 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WMe563LRX_1.jpg.296x216.jpg
