20201223,浦东,源深,店长推荐，NEW出大三房，楼层位置好，税费低，诚售！必看好房,999万,3室1厅 | 104.83平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8Bq4K3443_1.jpg.296x216.jpg
20201223,浦东,源深,福外+进才 地铁2.4.6.9.18号线 全明电梯两房 配套完善房主自荐,820万,2室1厅 | 103.56平米 | 西南 | 精装 | 低楼层(共24层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_rTIgXOsCV_1.jpg.296x216.jpg
20201223,浦东,源深,福外+进才+中间位置佳+双南采光好+三条地铁交汇房主自荐,1363万,2室2厅 | 109.42平米 | 南 | 精装 | 低楼层(共29层) | 2006年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-e70e1795-0b5a-411a-ba6a-8692db628364.jpg.296x216.jpg
20201223,浦东,源深,满五唯一+接地气3房+业主诚意出售+有地暖可拎包入住房主自荐,1780万,3室2厅 | 148.22平米 | 南 | 精装 | 低楼层(共22层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_l1swi0VrV_1.jpg.296x216.jpg
20201223,浦东,源深,门口就是福外，接小孩方便，高区边套全明，采光好！！房主自荐,1020万,3室2厅 | 116.01平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XoavkyJO1_2.jpg.296x216.jpg
20201223,浦东,源深,内环精装大平层，楼层好，拎包入住，诚意卖方便看！房主自荐,2550万,4室2厅 | 282.35平米 | 南 | 精装 | 中楼层(共19层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ugGHTCDrY_1.jpg.296x216.jpg
20201223,浦东,源深,户型正气，全明户型，产权清晰，诚意出售总价低,1435万,3室2厅 | 161.4平米 | 南 | 精装 | 低楼层(共19层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EZ9ENKRWQ_1.jpg.296x216.jpg
20201223,浦东,源深,单价低，产权干净，诚意出售，看房子方便，房主自荐,720万,2室2厅 | 123.99平米 | 南 | 简装 | 低楼层(共26层) | 1993年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/prod-947713c2-f73d-4f4b-bfdb-81f93768355e.jpg.296x216.jpg
20201223,浦东,源深,此房满五唯一 业主诚意出售 进才未用 看房方便房主自荐,1120万,2室1厅 | 102.27平米 | 南 北 | 精装 | 高楼层(共21层) | 2009年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-1f47d7a1-a516-4a37-9715-201b6baee532.jpg.296x216.jpg
20201223,浦东,源深,新出不临街三卧室朝南 带地暖空调 有地下产权车位新上,2250万,4室2厅 | 174.05平米 | 南 | 精装 | 低楼层(共32层) | 2005年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/2403c90d-beb8-43ab-9d57-34b4351d24a7.png.296x216.jpg
20201223,浦东,源深,陆一新出，两卫户型，中间位置，中间楼层，诚意出售新上,1350万,2室2厅 | 103.3平米 | 南 | 简装 | 中楼层(共20层) | 1999年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/37d1d42e-e798-45f7-9301-31cc3d39e722.png.296x216.jpg
20201223,浦东,源深,竹园新村(浦东) 2室1厅 南,486万,2室1厅 | 53.98平米 | 南 | 精装 | 低楼层(共7层) | 1988年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/f31e5ac8-962f-4830-a301-87e85c2de43c.png.296x216.jpg
20201223,浦东,源深,地铁口精致三房，两南一北飞机户型，中间楼层视野佳,1215万,3室2厅 | 101.65平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/362cae16-9102-439e-8703-7fdedfe6375f.png.296x216.jpg
20201223,浦东,源深,小区中间 后为花园 双南大两房 带天井 采光好 诚意卖,790万,2室2厅 | 67.48平米 | 南 | 毛坯 | 低楼层(共6层) | 1995年建 | 板楼,
