20201223,徐汇,植物园,中恒苑两房，边套全明。楼层好视野佳！必看好房,428万,2室2厅 | 60.38平米 | 南 | 精装 | 中楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_098Z2mBYk_1.jpg.296x216.jpg
20201223,徐汇,植物园,少有的双阳台，南北通透，温馨舒适房主自荐,322万,2室1厅 | 62.86平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9flRhFz4G_1.jpg.296x216.jpg
20201223,徐汇,植物园,此房一手动迁，小高层得房率高，南北通风。,860万,3室2厅 | 120.03平米 | 南 北 | 毛坯 | 低楼层(共12层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XiIG1JJFn_1.jpg.296x216.jpg
20201223,徐汇,植物园,百龙小区电梯房，全明户型，看房方便房主自荐,515万,2室2厅 | 85.36平米 | 南 | 简装 | 中楼层(共15层) | 1995年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_fnPwfmVYD.jpg.296x216.jpg
20201223,徐汇,植物园,面积大，居住舒适，电梯房出行方便,395万,1室1厅 | 67.48平米 | 南 | 简装 | 中楼层(共24层) | 1999年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_kRLjGaPfm_1.jpg.296x216.jpg
20201223,徐汇,植物园,园南一村居委，双南两房中间楼层，满五唯一，看房方便房主自荐,438万,2室0厅 | 58.2平米 | 南 | 简装 | 6层 | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bgZq1COWa_1.jpg.296x216.jpg
20201223,徐汇,植物园,飞机户型，满五唯一，厨卫宽敞，双阳台采光佳，植物园房主自荐,640万,2室1厅 | 88.34平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nPPNmf6dB_1.jpg.296x216.jpg
20201223,徐汇,植物园,1改2一室户+华滨家园+小高层+精装修+业主诚意出售！！,450万,1室1厅 | 54.78平米 | 南 | 精装 | 中楼层(共15层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XcW2rqVtU_1.jpg.296x216.jpg
20201223,徐汇,植物园,动迁房没有增值税，总价低的小户型，房型好，位置安静,379万,1室1厅 | 55.55平米 | 南 | 简装 | 低楼层(共35层)  | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UwEYgzPOc_1.jpg.296x216.jpg
20201223,徐汇,植物园,电梯房 高区视野好 单价低 诚意出售,599万,3室2厅 | 125.47平米 | 南 | 简装 | 高楼层(共24层) | 1999年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_l8D32Emwt_1.jpg.296x216.jpg
20201223,徐汇,植物园,业主急售 精装婚房  大一房  采光充足   配套齐全房主自荐,255万,1室1厅 | 51.7平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vc9w4ztqY_1.jpg.296x216.jpg
20201223,徐汇,植物园,园南二村郁金香大楼，三房两厅两卫房主自荐,830万,3室2厅 | 119.57平米 | 南 | 简装 | 低楼层(共18层) | 1999年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_y0v6Kt5OI_1.jpg.296x216.jpg
20201223,徐汇,植物园,属于平福居委、精装修、户型方正、小三房,560万,3室1厅 | 86.24平米 | 南 | 精装 | 中楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dEYfJNgEk_1.jpg.296x216.jpg
20201223,徐汇,植物园,总价超低两房 满五唯一 交通方便 诚心出售,385万,2室1厅 | 54.3平米 | 南 北 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-8bdfe946-cfce-4dc6-a341-5f5fa3f7462a.jpg.296x216.jpg
20201223,徐汇,植物园,南北双阳台，采光无遮挡，看房方便，诚意出售房主自荐,325万,2室1厅 | 62.86平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4vU5rBkwe_1.jpg.296x216.jpg
20201223,徐汇,植物园,鑫隆花园 3室1厅 北,590万,3室1厅 | 104.32平米 | 北 | 简装 | 中楼层(共24层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_2jWvrDhwF_1.jpg.296x216.jpg
20201223,徐汇,植物园,罗秀三村精装三房 楼层好 户型方正 利用率高房主自荐,475万,3室1厅 | 86平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PbTYkWwKU_1.jpg.296x216.jpg
20201223,徐汇,植物园,满五唯一，小区全明户型，楼层好，配套齐全。,445万,2室1厅 | 63.64平米 | 东 西 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GaztDltIg_1.jpg.296x216.jpg
20201223,徐汇,植物园,店长力荐 近地铁 户型方正 双南大两房房主自荐,340万,2室1厅 | 63.5平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_16zab8H2f_1.jpg.296x216.jpg
20201223,徐汇,植物园,电梯大两房，满五年唯一，采光充足,560万,2室1厅 | 85.36平米 | 南 | 简装 | 中楼层(共15层) | 1995年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_oT2dwcybY_1.jpg.296x216.jpg
20201223,徐汇,植物园,低总价一房 看房方便 诚意出售房主自荐,158万,1室0厅 | 27.29平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9XC8crmMo_1.jpg.296x216.jpg
20201223,徐汇,植物园,店长力荐 此房楼层好 视野开阔 冬暖夏凉 采光佳房主自荐,210万,1室0厅 | 39.98平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GkbewvX4A_1.jpg.296x216.jpg
20201223,徐汇,植物园,中间楼层+诚意出售+售后公房+位置好+看房方便房主自荐,280万,1室1厅 | 51.77平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AManqtzVj_1.jpg.296x216.jpg
20201223,徐汇,植物园,绿邑翠苑正三房，满五不唯一带电梯景观房房主自荐,950万,3室2厅 | 130.07平米 | 南 北 | 精装 | 低楼层(共16层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/cb2e556d-f755-4bd2-ba2b-64367797d353_1000.jpg.296x216.jpg
20201223,徐汇,植物园,南北双阳台，采光、通风好，交通便利，配套成熟。房主自荐,293万,2室1厅 | 61.87平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-b510351a-eb99-42e3-a427-749fd55b70ea.png.296x216.jpg
20201223,徐汇,植物园,满五唯一，精装修，南北通的户型，配套设施齐全,720万,2室1厅 | 85平米 | 南 | 精装 | 低楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tgkSnujvm_1.jpg.296x216.jpg
20201223,徐汇,植物园,三房、精装修、视野开阔，业主诚心出售,500万,3室1厅 | 83.36平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tICZugD0s_1.jpg.296x216.jpg
20201223,徐汇,植物园,精装修带地暖 双南两房 小区位置好 采光充足,558万,2室2厅 | 73.57平米 | 南 | 精装 | 低楼层(共18层) | 1993年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_p91WHHtAA_1.jpg.296x216.jpg
20201223,徐汇,植物园,必看好房 满五唯一 双南户型 采光充足 业主诚售,320万,2室1厅 | 63.53平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-a8274741-975f-4405-8a3d-853329cf6332.jpg.296x216.jpg
20201223,徐汇,植物园,南站少见小三房，东边套全明，小区中间位置，近地铁,505万,3室1厅 | 90.34平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-a59d7a91-6329-42f5-aa82-7690582d6abc.jpg.296x216.jpg
20201223,徐汇,植物园,双南，高区景观房，装修好得房率高，看房随时房主自荐,470万,2室1厅 | 62.3平米 | 南 | 精装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-7bbb7af5-894a-4476-a277-34538ab31db6.jpg.296x216.jpg
20201223,徐汇,植物园,鑫隆花园 1室1厅 南,360万,1室1厅 | 66.98平米 | 南 | 简装 | 中楼层(共24层) | 1996年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/prod-d1ad5d06-40ff-463e-b879-69903c096a04.jpg.296x216.jpg
20201223,徐汇,植物园,精装大三房+房型正气+板式小洋房+看房方便房主自荐,1200万,3室2厅 | 141平米 | 南 | 简装 | 高楼层(共7层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Dwe2rm4WO_1.jpg.296x216.jpg
20201223,徐汇,植物园,鑫隆花园 3室1厅 南,510万,3室1厅 | 104.32平米 | 南 | 简装 | 中楼层(共24层) | 1996年建 | 塔楼,http://image1.ljcdn.com/shfdfs-image/20170528/e190e7b9-d644-4bf2-baab-5f0fd983a33e.jpg.296x216.jpg
20201223,徐汇,植物园,鑫隆花园，1房1厅，大一房，电梯房，满5年少税。,350万,1室1厅 | 67.48平米 | 东南 | 毛坯 | 低楼层(共24层) | 1999年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/rsp_pic_upload5be71b73-8426-4ea0-9e24-96671958d1e5.JPG.296x216.jpg
20201223,徐汇,植物园,满五不唯一+价格低+交通方便+精装修+采光好,455万,3室1厅 | 104.32平米 | 南 北 | 精装 | 中楼层(共24层) | 1996年建 | 塔楼,http://image1.ljcdn.com/shfdfs-image/20160924/9f6b08a9-c97a-475f-8080-e3e546577a54.jpg.296x216.jpg
20201223,徐汇,植物园,罗秀三村 3室1厅 南新上,428万,3室1厅 | 76.64平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,
20201223,徐汇,植物园,东泉小区 2室1厅 南新上,445万,2室1厅 | 59.72平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/90f60038-dfee-42a3-acbe-2d27c9cf8567.png.296x216.jpg
20201223,徐汇,植物园,售后公房，双南北户型，位置佳，实木装修。上学方便,639万,2室2厅 | 78平米 | 南 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/a7001ec0-14a7-4454-a691-983feaf96acd.png.296x216.jpg
20201223,徐汇,植物园,园南电梯大三房,99年房龄,采光通风好无遮挡,中高楼层,850万,3室2厅 | 119.57平米 | 东 南 | 简装 | 中楼层(共18层) | 1999年建 | 塔楼,
20201223,徐汇,植物园,房龄新，视野开阔，好楼层，配套好，交通方便,645万,2室2厅 | 88.94平米 | 南 | 精装 | 高楼层(共27层) | 2011年建 | 板楼,http://image1.ljcdn.com/x-se/shfdfs-image/20160819/d1db26e4-657b-443d-a49c-8cc28678ca76.jpg.296x216.jpg
20201223,徐汇,植物园,售后公房，采光充足，地铁、医院、菜市场，配套完善房主自荐,455万,2室1厅 | 63.11平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/x-se/shfdfs-image/20160628/0c4ed2aa-8a20-463b-81a6-b62107c14ec2.jpg.296x216.jpg
20201223,徐汇,植物园,鑫龙苑 2室2厅 南,800万,2室2厅 | 108.23平米 | 南 | 简装 | 低楼层(共14层) | 2002年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/7c4df74c-f5bf-4c45-8556-a601419e1746.png.296x216.jpg
20201223,徐汇,植物园,大平层大三房，一梯一户，诚意出售,825万,3室2厅 | 132.81平米 | 南 | 简装 | 高楼层(共7层) | 1998年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20160702/c37055e0-4f13-45bd-961a-11f1a765c12e.jpg.296x216.jpg
20201223,徐汇,植物园,园南一村双南双天井大两房，不靠路，安静，诚心出售,500万,2室1厅 | 57平米 | 南 | 简装 | 低楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/ad153c43-a18f-4bfa-af29-a67d2a66d78f.png.296x216.jpg
20201223,徐汇,植物园,上海植物园+园南一村居委+南北两房+精装修+总价低,420万,2室1厅 | 53.56平米 | 南 | 简装 | 6层 | 1985年建 | 板楼,http://image1.ljcdn.com/x-se/310000-frame/55b89b30-125f-4fec-a699-2b03beda58fb.png.296x216.jpg
20201223,徐汇,植物园,天然居不临街户型，使用率高，享受更大实用空间。房主自荐,3480万,5室2厅 | 307.51平米 | 南 | 简装 | 1层 | 2004年建 | 板楼,
20201223,徐汇,植物园,满五年厨卫全面，邻上海植物园，40%小区绿化,4600万,9室2厅 | 383.9平米 | 南 | 简装 | 14层 | 2004年建 | 板楼,
20201223,徐汇,植物园,电梯房中间楼层 满五年唯一 不靠马路 业主诚意出售新上,390万,2室1厅 | 66.98平米 | 南 | 简装 | 中楼层(共24层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_mMLE8oxcX_1.jpg.296x216.jpg
20201223,徐汇,植物园,业主置换，诚意出售，无抵押，近河边，采光无遮挡房主自荐,350万,1室1厅 | 46.55平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OKyn6dkT8_1.jpg.296x216.jpg
20201223,徐汇,植物园,产权满5年，南北通格局，楼层好，装修屋况保养好房主自荐,900万,2室2厅 | 108.23平米 | 南 北 | 精装 | 中楼层(共14层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_E0h9546CF_1.jpg.296x216.jpg
20201223,徐汇,植物园,全家人一致同意尽快出售 欢迎客户上门看房 价格可谈,392万,1室1厅 | 67.48平米 | 南 | 精装 | 低楼层(共24层) | 1999年建 | 塔楼,http://image1.ljcdn.com/shfdfs-image/20151228/87242da7-b420-41a8-b678-9e5bc8d46092.jpg.296x216.jpg
20201223,徐汇,植物园,电梯房,简单装修，自住，看房提前预约，基本都可以,380万,2室2厅 | 80平米 | 南 | 简装 | 低楼层(共24层) | 1996年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/57675266-7ef0-4941-9183-fe758f71e97a.JPG.296x216.jpg
20201223,徐汇,植物园,华滨家园 2室2厅 南新上,700万,2室2厅 | 89.58平米 | 南 | 精装 | 中楼层(共35层) | 2012年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/4e022c04-bb31-4215-b352-1126f2d32c6e.png.296x216.jpg
20201223,徐汇,植物园,低总价 楼层好  出行方便 诚意出售 看房方便,183万,1室0厅 | 33.98平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/b555b1d2-1897-48a7-a250-e9bd9be143fa.png.296x216.jpg
20201223,徐汇,植物园,华沁高区一房，目前由租客在租，看房还不是很方便。,414万,1室1厅 | 56.19平米 | 南 西 | 精装 | 中楼层(共34层) | 2011年建 | 板塔结合,http://image1.ljcdn.com/x-se/hdic-frame/1d43bd39-1733-4fb7-be67-404bdc5a5368.png.296x216.jpg
