20201223,静安,彭浦,格局好 楼层好 视野宽阔 采光充足 一手动迁必看好房,465万,2室1厅 | 81.32平米 | 南 | 毛坯 | 高楼层(共34层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GJZzEZTn7_1.jpg.296x216.jpg
20201223,静安,彭浦,静安区，大2房，满5年，共康路地铁必看好房,255万,2室1厅 | 59.89平米 | 南 西 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tOjw1R07R.jpg.296x216.jpg
20201223,静安,彭浦,静安区11年电梯房+边套全明+南北通户型 +诚心出售必看好房,449万,2室1厅 | 75.85平米 | 南 北 | 精装 | 低楼层(共33层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_d4JMklfKu_1.jpg.296x216.jpg
20201223,静安,彭浦,满五唯一，此房精装修，南北全明,一梯两户使用面积大必看好房,536万,3室2厅 | 111.88平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SdBbBjoZS.jpg.296x216.jpg
20201223,静安,彭浦,共康四村，精装修，南北通，边套全明，非顶楼。必看好房,308万,2室1厅 | 59.18平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/a5109aa5-c7da-4386-8507-f015aa3cc104_1000.jpg.296x216.jpg
20201223,静安,彭浦,近地铁，美丽家园，采光充足，配套齐全，交通便利必看好房,299万,2室1厅 | 65.63平米 | 南 北 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AwsXrzEyV_1.jpg.296x216.jpg
20201223,静安,彭浦,新静安彭浦 近地铁 小面积 价格美丽必看好房,155万,1室0厅 | 29.47平米 | 南 | 简装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gGs3dqEmT.jpg.296x216.jpg
20201223,静安,彭浦,新静安一室户，边套全明，近地铁，总价低必看好房,180万,1室1厅 | 40平米 | 南 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_i3YXIOn7m.jpg.296x216.jpg
20201223,静安,彭浦,新静安区，中间三楼，通透户型，美丽家园小区必看好房,255万,2室1厅 | 48.6平米 | 南 北 | 简装 | 中楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AMsNEtJl6_1.jpg.296x216.jpg
20201223,静安,彭浦,一梯三户全明户型双南两房，交通便利配套齐全诚意出售必看好房,275万,2室1厅 | 58.94平米 | 南 北 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GUxXqFJkG.jpg.296x216.jpg
20201223,静安,彭浦,边套全明，配套成熟，临汾路休闲街，处于彭浦CBD地段必看好房,200万,1室1厅 | 40.03平米 | 南 | 简装 | 高楼层(共5层) | 1978年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Hbss3Dpkt_1.jpg.296x216.jpg
20201223,静安,彭浦,地铁口精装两房全明户型带十几平花园满五唯一诚意出售必看好房,285万,2室2厅 | 48.43平米 | 南 | 精装 | 低楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PpyDuVQNZ_1.jpg.296x216.jpg
20201223,静安,彭浦,有钥匙看房方便 总价低 单价低 有点装修的必看好房,260.6万,2室1厅 | 59.23平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jartvs5IW_1.jpg.296x216.jpg
20201223,静安,彭浦,96年房龄 精装修 双南户型 近公园必看好房,255万,2室0厅 | 54.35平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0ctmidhOp.jpg.296x216.jpg
20201223,静安,彭浦,新静安 全明户型，近地铁，东边套全明，阳光充足。必看好房,308万,2室1厅 | 60.99平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ezZcNBcwD_1.jpg.296x216.jpg
20201223,静安,彭浦,示范小区，产权清晰无户口，视野开阔，房东诚意出售！必看好房,158万,1室0厅 | 35.39平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0ghR58XvV.jpg.296x216.jpg
20201223,静安,彭浦,急售急售！一楼带天井，实用性高！位置静怡适宜老年人必看好房,185万,1室1厅 | 35.25平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_eY7ZvEGeD_1.jpg.296x216.jpg
20201223,静安,彭浦,两房 婚房装修直接拎包入住！临汾街道示范小区必看好房,230万,2室0厅 | 50.2平米 | 南 北 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SVWtG85D9_1.jpg.296x216.jpg
20201223,静安,彭浦,一手动迁 +南北四房+价格便宜+看房方便必看好房,720万,4室2厅 | 143.22平米 | 南 北 | 毛坯 | 高楼层(共29层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/524972ed-3c27-481d-9b68-c0a0b5d4ab46.jpg.296x216.jpg
20201223,静安,彭浦,三泉家园，一梯两户，商品房，顶楼复式，单价便宜,760万,5室3厅 | 190.79平米 | 南 | 简装 | 高楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/47f1702c8b10d5b8b5bb29f7d1af2259-032.jpg.296x216.jpg
20201223,静安,彭浦,南北通透一房，厨卫朝北，天井搭好，诚心售,228万,1室1厅 | 44.33平米 | 南 北 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/70f23389-3ae6-42fb-ac17-b815212220bb_1000.jpg.296x216.jpg
20201223,静安,彭浦,新静安 顶楼复式 阁楼＋花园 满五年唯一 拎包入住新上,650万,4室2厅 | 157.62平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qWOppzF8o_1.jpg.296x216.jpg
20201223,静安,彭浦,中间楼层，阳光好，不靠马路，有钥匙看房方便，心诚新上,195万,1室1厅 | 37.79平米 | 南 | 简装 | 中楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ezbeKjwwT_1.jpg.296x216.jpg
20201223,静安,彭浦,近地铁、全明户型、配套齐全、业主诚意出售房主自荐,720万,3室2厅 | 145.58平米 | 南 | 简装 | 中楼层(共12层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jWTlgP6Mh_1.jpg.296x216.jpg
20201223,静安,彭浦,房子产权清晰，有钥匙，采光充足通风好，业主诚意出售,218万,1室1厅 | 43.88平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MLKhzmjXZ_1.jpg.296x216.jpg
20201223,静安,彭浦,低楼层，户型方正，采光好，适合老年人居住，房子空关新上,200万,1室0厅 | 37.85平米 | 南 | 简装 | 中楼层(共5层) | 1967年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_38afTfX5f_1.jpg.296x216.jpg
20201223,静安,彭浦,新静安次新房，非顶楼得房高，南北通采光好。,730万,3室1厅 | 120.78平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bJi9VOZNe_1.jpg.296x216.jpg
20201223,静安,彭浦,满五唯一税少，边套全明，两房双南房主自荐,360万,2室1厅 | 63.83平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fi03n525P_1.jpg.296x216.jpg
20201223,静安,彭浦,满五唯一 税费少  天井已搭好 南北2房  交通便利新上,252万,2室1厅 | 45.9平米 | 南 北 | 精装 | 低楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sFgSVeJhu_1.jpg.296x216.jpg
20201223,静安,彭浦,兴泉小区 2室1厅 西南新上,260万,2室1厅 | 51.07平米 | 西南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VpqWKY5Pe_1.jpg.296x216.jpg
20201223,静安,彭浦,两房朝南带客厅 电梯房 税费少 看房有钥匙 户型易改造,410万,2室1厅 | 73.64平米 | 南 | 简装 | 低楼层(共18层) | 1999年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_Wx1DtXXqL_1.jpg.296x216.jpg
20201223,静安,彭浦,复式带阳光房、看房随时可看、精装修、拎包入住房主自荐,958万,4室2厅 | 171.94平米 | 南 | 精装 | 高楼层(共13层) | 2007年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_HnQkC3btQ_1.jpg.296x216.jpg
20201223,静安,彭浦,满五唯一，南北通透，一梯两户，买入价高，采光充足。房主自荐,648万,2室2厅 | 94.14平米 | 南 北 | 精装 | 低楼层(共13层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iNgQYhXZr_1.jpg.296x216.jpg
20201223,静安,彭浦,东边套全明户型，满五唯一，光线充足房主自荐,269万,1室1厅 | 49.12平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cjpbbRBwN_1.jpg.296x216.jpg
20201223,静安,彭浦,新静安CBD地段中楼层精装两室户新上,263万,2室1厅 | 46.68平米 | 南 | 精装 | 中楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FKa3lI1He.jpg.296x216.jpg
20201223,静安,彭浦,新静安+全明户型+一梯两户+小区安静新上,355万,2室1厅 | 71.25平米 | 南 北 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_haqcvHmTY_1.jpg.296x216.jpg
20201223,静安,彭浦,三泉家园+顶复+带露台+精装100万+看房方便+诚意出售房主自荐,798万,4室3厅 | 181平米 | 南 北 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_q5P9TdGb9_1.jpg.296x216.jpg
20201223,静安,彭浦,每天叫醒你的是清晨的一缕阳光，精致一室半带舒适小院房主自荐,215.2万,1室1厅 | 35.9平米 | 南 | 简装 | 低楼层(共5层) | 1979年建 | 板楼,http://image1.ljcdn.com/110000-inspection/7efc5687-3238-4f47-a3d0-a450123eca59_1000.jpg.296x216.jpg
20201223,静安,彭浦,户型方正无浪费面积+一梯两户得房率高+业主诚心方便看房主自荐,195万,1室1厅 | 41.53平米 | 南 | 精装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Nun1ju8v7_1.jpg.296x216.jpg
20201223,静安,彭浦,精装修 拎包入住 小区近地铁 南北通 边套全明房主自荐,295万,2室1厅 | 50平米 | 南 | 精装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5VVrukKU1_1.jpg.296x216.jpg
20201223,静安,彭浦,双南，四年精装修，两房一厅，95年小区，诚意售房主自荐,320万,2室1厅 | 65.87平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8GxQQVHig_1.jpg.296x216.jpg
20201223,静安,彭浦,静安区，看单价，户型正，配套生活和医院，无增值税！房主自荐,456万,2室1厅 | 81.42平米 | 南 | 精装 | 低楼层(共34层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3kWNmV4he_1.jpg.296x216.jpg
20201223,静安,彭浦,客厅挑高+顶楼复式+全明带露台+近地铁和万达,880万,5室2厅 | 211.51平米 | 南 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_JyigU9MHz_1.jpg.296x216.jpg
20201223,静安,彭浦,三泉家园顶楼复式，带露台，挑高客厅，彭浦商品房。房主自荐,890万,5室2厅 | 206.17平米 | 南 北 | 精装 | 高楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bG7ho2cCD_1.jpg.296x216.jpg
20201223,静安,彭浦,共康站 一梯三户 全明 精装修 楼层视野好房主自荐,360万,2室1厅 | 72平米 | 南 北 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8Mm5w3orY_1.jpg.296x216.jpg
20201223,静安,彭浦,静安区，99年商品房， 低楼层，满五唯一，近地铁房主自荐,465万,3室2厅 | 102.63平米 | 南 北 | 简装 | 低楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/678e9a0e-a4a9-4f1c-ae0f-9dc078cc6714_1000.jpg.296x216.jpg
20201223,静安,彭浦,顶层复式，满五唯一，小区品质好，近地铁，居住方便。,780万,5室2厅 | 184.61平米 | 南 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_W1Dc2y5nq_1.jpg.296x216.jpg
20201223,静安,彭浦,一梯两户，飞机户型，南北格局，中高楼层，得房率高。房主自荐,778万,3室2厅 | 133.64平米 | 南 北 | 毛坯 | 中楼层(共18层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PWf1nzld6_1.jpg.296x216.jpg
20201223,静安,彭浦,带个大露台+楼层好+近地铁+有装修+业主诚意售房,293万,2室1厅 | 52.47平米 | 南 | 简装 | 低楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ez9mZ5XW7_1.jpg.296x216.jpg
20201223,静安,彭浦,房近地铁，次新房，交通便利，精装修，满两年，诚售,955万,3室2厅 | 126.11平米 | 南 北 | 精装 | 低楼层(共18层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SomeiEIoG_1.jpg.296x216.jpg
20201223,静安,彭浦,三泉安居苑 2室1厅 南房主自荐,440万,2室1厅 | 78.53平米 | 南 | 简装 | 高楼层(共18层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_L36aCVCeO_1.jpg.296x216.jpg
20201223,静安,彭浦,花园小区 低楼层 带露台  房东诚售,238万,2室1厅 | 44.84平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9faTffuFq_1.jpg.296x216.jpg
20201223,静安,彭浦,春去秋来惊海棠，银装素裹满屋香，别具一格小一室真棒,190万,1室0厅 | 28.29平米 | 南 | 简装 | 低楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bWKVAT957_1.jpg.296x216.jpg
20201223,静安,彭浦,静安区南北2室户，全明户型，近地铁，满五年唯一新上,240万,2室0厅 | 44.38平米 | 南 北 | 毛坯 | 高楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SLNjom9za.jpg.296x216.jpg
20201223,静安,彭浦,低楼层上下方便，南北通一房一厅，满五唯一无个税新上,220万,1室1厅 | 42.76平米 | 南 | 简装 | 低楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_okiNME6cS_1.jpg.296x216.jpg
20201223,静安,彭浦,新静安正规一室一厅，边套全明，满五唯一,210万,1室1厅 | 44.33平米 | 南 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_feHnO7LX3_1.jpg.296x216.jpg
20201223,静安,彭浦,双南电梯两房  高区视野无遮挡 看房有钥匙 税费少,433万,2室1厅 | 73.64平米 | 南 | 简装 | 中楼层(共18层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_lJWzwc6mA_1.jpg.296x216.jpg
20201223,静安,彭浦,两房朝南 《满二唯一+精装修》 随时看房房主自荐,345万,2室1厅 | 73.13平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zI3RDBDFv_1.jpg.296x216.jpg
20201223,静安,彭浦,一手动迁房+满五年税费少+南北通全明户型+没有增值税房主自荐,430万,2室1厅 | 70.78平米 | 南 北 | 毛坯 | 低楼层(共32层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UQ1BeDfNW_1.jpg.296x216.jpg
20201223,静安,彭浦,全明户型，采光不错，近地铁，交通方便，房东诚意卖房主自荐,395万,2室1厅 | 74.7平米 | 南 北 | 简装 | 中楼层(共15层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_YKVwIvaAX_1.jpg.296x216.jpg
20201223,静安,彭浦,中间楼层，一梯两户，南北房型，钥匙房随时看。,380万,2室1厅 | 71.91平米 | 南 | 毛坯 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sI7LIFTVh_1.jpg.296x216.jpg
20201223,静安,彭浦,边套全明户型 南北通风 附加10平天井 近地铁房主自荐,275万,2室0厅 | 48.43平米 | 南 | 简装 | 低楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XR66tHEgJ_1.jpg.296x216.jpg
20201223,静安,彭浦,97年房龄南北两房，全明户型，配套齐全近公园近地铁房主自荐,405万,2室2厅 | 84.01平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_j9PWJ9yl5_1.jpg.296x216.jpg
20201223,静安,彭浦,1梯2户，近地铁，双南大两房，带露台使用面积大。房主自荐,560万,2室2厅 | 96.36平米 | 南 | 精装 | 中楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UTYMgoR3S_1.jpg.296x216.jpg
20201223,静安,彭浦,兴泉小区+两房+全明户型+业主急售+看房方便+户型方正新上,239万,2室1厅 | 51.61平米 | 西南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5etBs37Ko_1.jpg.296x216.jpg
20201223,静安,彭浦,临汾路1515弄 2室1厅 南新上,298万,2室1厅 | 54.35平米 | 南 | 精装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dnTaSCkfl.jpg.296x216.jpg
20201223,静安,彭浦,新静安区 近地铁 两房一厅 中间楼层带电梯 满五唯一新上,390万,2室1厅 | 73.96平米 | 南 | 简装 | 中楼层(共13层) | 1991年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_uS8a38kNU_1.jpg.296x216.jpg
20201223,静安,彭浦,阳曲路391弄 2室1厅 南新上,265万,2室1厅 | 53.44平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OEpSMG9Tw_1.jpg.296x216.jpg
20201223,静安,彭浦,一楼带天井，天井搭好，业主诚意卖房！,224.5万,2室1厅 | 38.43平米 | 南 | 毛坯 | 低楼层(共6层) | 1975年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_z5F8ftfXQ_1.jpg.296x216.jpg
20201223,静安,彭浦,小花园前无遮挡，楼下有垫高不潮湿，进出方便房主自荐,560万,2室2厅 | 104.38平米 | 北 | 毛坯 | 低楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0wcHPXb86_1.jpg.296x216.jpg
20201223,静安,彭浦,1号线300米，一梯两户，复式的全明户型，诚意出售新上,750万,6室4厅 | 120.67平米 | 南 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tm62m6iUz_1.jpg.296x216.jpg
20201223,静安,彭浦,彭浦新村地铁口，南北通风采光好，中间楼层，诚意出售房主自荐,223万,1室1厅 | 42.39平米 | 南 | 简装 | 中楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dUsjiKHE4_1.jpg.296x216.jpg
20201223,静安,彭浦,新静安区 近地铁 上下两层大户型 配套齐全很热闹的,830万,4室1厅 | 149.57平米 | 南 | 简装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-c7011a5c-61ad-4d67-b3e2-bf40f5ee54f5.jpg.296x216.jpg
20201223,静安,彭浦,满五唯一 临地铁共康路站 全明户型，采光好，配套完善房主自荐,180万,1室0厅 | 31.63平米 | 南 北 | 精装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IVGk6l6cY_1.jpg.296x216.jpg
20201223,静安,彭浦,小区近地铁+低楼层双南两房+三天井已封,310万,2室1厅 | 55.06平米 | 南 | 毛坯 | 低楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_l0auSmpv4_1.jpg.296x216.jpg
20201223,静安,彭浦,近地铁，业主诚意出售，宽敞一房一厅房主自荐,225万,1室1厅 | 46.5平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kWpJtSb8E_1.jpg.296x216.jpg
20201223,静安,彭浦,近地铁，房东诚心，全明户型，总价低，随时可看房主自荐,360万,2室1厅 | 73.92平米 | 南 | 简装 | 低楼层(共15层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_NfG7eTbkO_1.jpg.296x216.jpg
20201223,静安,彭浦,边套全明一梯两户的房子，小区环境好交通便利,204.8万,1室1厅 | 41.12平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PIprcHJ4q.jpg.296x216.jpg
20201223,静安,彭浦,采光佳+环境佳自带公园+配套设施齐全+业主诚意出售房主自荐,170万,1室1厅 | 35.5平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DClVLIvFZ_1.jpg.296x216.jpg
20201223,静安,彭浦,房龄虽老楼层好;近地铁，出行方便;配套齐全，房主自荐,185万,1室1厅 | 34.83平米 | 南 | 精装 | 中楼层(共5层) | 1967年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Q6xU6AS8T_1.jpg.296x216.jpg
20201223,静安,彭浦,一号线 彭浦新村站 近地铁 一房一厅 采光好房主自荐,195万,1室1厅 | 42.73平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3xSt38EEc_1.jpg.296x216.jpg
20201223,静安,彭浦,新静安+全明户型+业主诚意出售+配套齐全,187万,1室1厅 | 36.13平米 | 南 | 简装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xhEOLLa1k.jpg.296x216.jpg
20201223,静安,彭浦,此房满五唯一，南北通透格局，中间楼层，采光充足房主自荐,540万,2室2厅 | 111.88平米 | 南 北 | 精装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_Sh68YuubD_1.jpg.296x216.jpg
20201223,静安,彭浦,好楼层1号线+南北通风+满5年税少，1梯2户+固定租车位房主自荐,236万,1室1厅 | 54.56平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RxVAiqT4R_1.jpg.296x216.jpg
20201223,静安,彭浦,精装南北全明户型+诚意出售+满五唯一+品质小区房主自荐,530万,2室2厅 | 92.91平米 | 南 北 | 精装 | 低楼层(共14层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5TjLkvXXD_1.jpg.296x216.jpg
20201223,静安,彭浦,满五唯一无个税+次顶层采光好+无抵押贷款放心看房,225万,1室1厅 | 47.62平米 | 南 | 精装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_y5pEgFsJb.jpg.296x216.jpg
20201223,静安,彭浦,岭南小区 双南两房一厅采光好 得房率高 业主诚心卖房主自荐,249万,2室1厅 | 53.35平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LoDETMq2n.jpg.296x216.jpg
20201223,静安,彭浦,双南双天井，三房，采光好，诚意出售房主自荐,440万,3室1厅 | 82.59平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2K9LXSoSs_1.jpg.296x216.jpg
