20201223,徐汇,康健,2000年电梯三房  飞机户型   看房有钥匙随时可看必看好房,1245万,3室2厅 | 139.43平米 | 南 北 | 简装 | 中楼层(共10层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cfGrrxVsn.jpg.296x216.jpg
20201223,徐汇,康健,自住大三房 进地铁 品质小区优雅次新房 欢迎您咨询,1238万,3室2厅 | 143.68平米 | 南 | 精装 | 中楼层(共18层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/71f1e54e-e164-4981-a2a7-2e4a59b8f2c6_1000.jpg.296x216.jpg
20201223,徐汇,康健,西街正三室一厅，附带院子可做花园，阳光不遮挡房主自荐,455万,3室1厅 | 66.17平米 | 南 | 简装 | 低楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/65d6b6ec-8143-4532-a695-aefb5ed1af61_1000.jpg.296x216.jpg
20201223,徐汇,康健,用心选房：南北通风格局， 小区中间位置，诚意出售。,380万,2室1厅 | 60.3平米 | 南 | 毛坯 | 低楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_u0F6G15bU_1.jpg.296x216.jpg
20201223,徐汇,康健,小户型两房朝南采光好 随时看房 免禾兑 南北通风房主自荐,318万,2室1厅 | 56.29平米 | 南 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f8b881b5-3bd7-46a2-99ea-eca472ee52c3_1000.jpg.296x216.jpg
20201223,徐汇,康健,双卧朝南 全明无遮挡  日照久 满五唯一 诚意出售房主自荐,390万,2室1厅 | 73.2平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uHGTKPTxb_1.jpg.296x216.jpg
20201223,徐汇,康健,南北两房 边套全明 客厅朝东有窗户 近地铁 交通便利新上,360万,2室1厅 | 57.68平米 | 南 | 简装 | 中楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Y88mnTP1y_1.jpg.296x216.jpg
20201223,徐汇,康健,两房两厅 房型好  小区出行方便  配套成熟新上,550万,2室2厅 | 73.13平米 | 南 | 简装 | 低楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GM2aail5r_1.jpg.296x216.jpg
20201223,徐汇,康健,杜鹃园 二室一厅，采光无遮挡，不靠马路新上,370万,2室1厅 | 47.61平米 | 东南 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gClwqw3dg_1.jpg.296x216.jpg
20201223,徐汇,康健,长顺坊 2室1厅 南新上,460万,2室1厅 | 55.91平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_N51z3yhJg_1.jpg.296x216.jpg
20201223,徐汇,康健,电梯房，近地铁，户型方正，采光好,765万,3室1厅 | 109平米 | 东 | 简装 | 高楼层(共20层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/511da6dc-766c-4abc-94fc-487f8846e1f3_1000.jpg.296x216.jpg
20201223,徐汇,康健,配套成熟，交通便利，看房方便。,430万,2室1厅 | 58.68平米 | 东 西 | 简装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WkskOrX65.jpg.296x216.jpg
20201223,徐汇,康健,此房满五不唯一，南北格局，通风效果好。新上,600万,2室1厅 | 74.15平米 | 南 | 精装 | 高楼层(共18层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YRqBr0j6L_1.jpg.296x216.jpg
20201223,徐汇,康健,长丰坊 一室一厅 户型方正 满五唯一 诚意出售 精装修房主自荐,315万,1室1厅 | 41.98平米 | 南 | 简装 | 6层 | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xuV8eeQbP_1.jpg.296x216.jpg
20201223,徐汇,康健,双南正气两房 采光通风棒经典设计 环境优美人杰地灵房主自荐,468万,2室1厅 | 64.23平米 | 南 | 简装 | 中楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-bc9f4509-7cdc-45a5-be3d-5c3571bb35bd.jpg.296x216.jpg
20201223,徐汇,康健,长丰坊大一坊，得房率高，中间楼层，采光通风好房主自荐,335万,1室1厅 | 46.08平米 | 南 | 简装 | 6层 | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hNHVVF0uz_1.jpg.296x216.jpg
20201223,徐汇,康健,满五唯一精装修双南户型，近地铁，视野好位置佳房主自荐,405万,2室1厅 | 64.96平米 | 南 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/06ed79e9-4f16-486f-a001-06bfc1ff1645_1000.jpg.296x216.jpg
20201223,徐汇,康健,售后公房，全明户型，1T3户，小区里面位置，房东诚售,550万,3室1厅 | 67.51平米 | 南 北 | 简装 | 高楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_44hEFAnW8_1.jpg.296x216.jpg
20201223,徐汇,康健,茶花园边套全明两房，税费低，价格好房主自荐,435万,2室1厅 | 59.39平米 | 南 | 简装 | 6层 | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5zMipepy1_1.jpg.296x216.jpg
20201223,徐汇,康健,双南两房厨卫朝北0梯三户近地铁出行便利诚意出售,405万,2室1厅 | 77.79平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-c9b3f65b-1630-4ea2-9972-e1577f3cd04e.png.296x216.jpg
20201223,徐汇,康健,一房朝南带阳台，采光好遮挡，小区中间位置，近1号线新上,206万,1室0厅 | 33.92平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gDQaZ94FT.jpg.296x216.jpg
20201223,徐汇,康健,A+电梯全明双南，中间楼层，1号线锦江乐园，低总价,438万,2室1厅 | 77.75平米 | 南 | 简装 | 28层 | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_M1350yrlo_2.jpg.296x216.jpg
20201223,徐汇,康健,附带精装！双南两房中间楼层，房东诚意出售！价到签字新上,570万,2室1厅 | 67.89平米 | 南 | 精装 | 中楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_x4BAH5Pw8_1.jpg.296x216.jpg
20201223,徐汇,康健,地铁沿线 温馨小区 玉兰园C位边套三房 等您来看,550万,3室1厅 | 78.7平米 | 南 北 | 精装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lNtgbYQDW_1.jpg.296x216.jpg
20201223,徐汇,康健,梓树园 3室2厅 东南,1100万,3室2厅 | 128.73平米 | 东南 | 精装 | 中楼层(共23层) | 1998年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_kwTAIdZ26_1.jpg.296x216.jpg
20201223,徐汇,康健,新挂牌 中楼层双南两房 小区花园位置 户型正气 采光好房主自荐,488万,2室1厅 | 58.71平米 | 南 | 精装 | 中楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FndAgRbMY_1.jpg.296x216.jpg
20201223,徐汇,康健,鸟语花香 全明户型 小区中间位置 近地铁1号线新上,380万,2室1厅 | 67.96平米 | 南 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_OZonhthm0_2.jpg.296x216.jpg
20201223,徐汇,康健,中间楼层，满五年二分之一唯一，厨卫朝北，采光好，新上,345万,1室1厅 | 36792平米 | 南 | 精装 | 6层 | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_remhNMjPC_1.jpg.296x216.jpg
20201223,徐汇,康健,诚意售 挂牌单价低于市场成交价 花园位置 产权清晰,3800万,5室3厅 | 495.47平米 | 南 | 简装 | 3层 | 1994年建 | 板楼 | 双拼别墅,http://image1.ljcdn.com/110000-inspection/pc1_BpcZDiVug_1.jpg.296x216.jpg
20201223,徐汇,康健,长丰坊 1室1厅 南,308万,1室1厅 | 41.99平米 | 南 | 简装 | 6层 | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/468f61cc-c740-400d-9791-95919a34dd65_1000.jpg.296x216.jpg
20201223,徐汇,康健,长丰坊大一房，精装修全明户型，房东诚意出售房主自荐,324万,1室1厅 | 45.8平米 | 南 | 精装 | 6层 | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WUcF0bSde_2.jpg.296x216.jpg
20201223,徐汇,康健,近1号线锦江乐园、满五唯一、2001年板式房，双厨房房主自荐,1160万,2室2厅 | 141.34平米 | 南 | 精装 | 11层 | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZcKvOcUmC_1.jpg.296x216.jpg
20201223,徐汇,康健,一进来就喜欢的优雅小区，小区户型有艺术感 全明房型房主自荐,445万,2室1厅 | 68.03平米 | 南 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wok6Oasbv_1.jpg.296x216.jpg
20201223,徐汇,康健,此房满五年，精装修，楼层好，南北户型，随时可看房主自荐,390万,2室1厅 | 59.86平米 | 南 北 | 精装 | 低楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d9b8dec1-bc4e-4ec5-90f4-8144f33df16d_1000.jpg.296x216.jpg
20201223,徐汇,康健,近地铁，看房方便，诚意出售，房型正气,1060万,2室1厅 | 102.34平米 | 南 | 简装 | 高楼层(共5层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Nxqvcn65m_1.jpg.296x216.jpg
20201223,徐汇,康健,近锦江乐园站、南北通风、一梯两户、房型正气。,468万,2室1厅 | 77.4平米 | 南 | 简装 | 低楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FbLaqP7Lr_2.jpg.296x216.jpg
20201223,徐汇,康健,全明户型  售后公房  满五唯一,270万,1室1厅 | 46.07平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_oBSz8NqM1_1.jpg.296x216.jpg
20201223,徐汇,康健,康健板块，独栋别墅，自带83平围绕式花园房主自荐,2000万,5室3厅 | 209.44平米 | 南 | 简装 | 2层 | 1997年建 | 板楼 | 独栋别墅,http://image1.ljcdn.com/110000-inspection/2a93083f-ed8a-4e7a-a501-b6c78532cd40_1000.jpg.296x216.jpg
20201223,徐汇,康健,带地下产权车位，近地铁，满五唯一，诚意出售新上,960万,3室2厅 | 155.16平米 | 西南 | 其他 | 中楼层(共24层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_Uo80lgsmN_1.jpg.296x216.jpg
20201223,徐汇,康健,售后公房满五不唯一，采光前后无遮挡，南北通风,430万,2室1厅 | 59.47平米 | 南 北 | 简装 | 6层 | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_69V2Lezd9_1.jpg.296x216.jpg
20201223,徐汇,康健,大一房一厅，业主诚意出售 税费少 中间楼层 诚意出售,390万,1室1厅 | 51.78平米 | 南 | 简装 | 6层 | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AiXeEr2CW_1.jpg.296x216.jpg
20201223,徐汇,康健,双南户型 南北通风 采光充足 视野宽阔  满五不唯一房主自荐,440万,2室1厅 | 71.38平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7Nui0bjgu_1.jpg.296x216.jpg
20201223,徐汇,康健,业主急售，中间楼层，看房预约，加装电梯新上,440万,2室1厅 | 49.12平米 | 南 | 简装 | 中楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fXb18hHwQ_1.jpg.296x216.jpg
20201223,徐汇,康健,满五年唯一，高区采光好，产权清晰，到价签字,730万,2室2厅 | 118.84平米 | 南 | 简装 | 中楼层(共28层) | 2000年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_RV76a8A2I_3.jpg.296x216.jpg
20201223,徐汇,康健,精装！精装三房，楼层舒适，一家三代其乐其乐融融！房主自荐,520万,3室2厅 | 68.85平米 | 南 | 精装 | 中楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_3tbqddmvm_1.jpg.296x216.jpg
20201223,徐汇,康健,中间楼层 双南两房 近地铁一号线  绿树成荫 环境优美,360万,2室1厅 | 64.89平米 | 南 | 简装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_24U21R9Vx_1.jpg.296x216.jpg
20201223,徐汇,康健,双南双天井，客厅朝北带窗，99年，一梯两户位置好房主自荐,445万,2室1厅 | 61.15平米 | 南 | 简装 | 低楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bIUnfW9xn_1.jpg.296x216.jpg
20201223,徐汇,康健,全明户型，超好楼层！大户型居住体验超棒！不容错过房主自荐,460万,2室1厅 | 63.03平米 | 西南 | 简装 | 6层 | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0U3quYPWf.jpg.296x216.jpg
20201223,徐汇,康健,地铁1号线锦江乐园站 三柏万左右的精装两房 南北通透房主自荐,325万,2室1厅 | 53.02平米 | 南 北 | 精装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_374p1QELR_1.jpg.296x216.jpg
20201223,徐汇,康健,南北通透，不靠马路，高层采光好房主自荐,530万,3室1厅 | 79.89平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iHYTaCvFO_1.jpg.296x216.jpg
20201223,徐汇,康健,A+好房 双南电梯外销房 总价低 精装修 视野开阔房主自荐,525万,2室1厅 | 95.38平米 | 南 | 精装 | 28层 | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_oxjhb1dqu_1.jpg.296x216.jpg
20201223,徐汇,康健,楼层好，产权清晰，满五唯一，售后公房，看房方便！,425万,2室1厅 | 61.12平米 | 南 | 精装 | 中楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_R9RtbDdPy_1.jpg.296x216.jpg
20201223,徐汇,康健,2002年小区，环境优美，边套全明，中间楼层，房东诚售,535万,1室1厅 | 61.57平米 | 南 | 简装 | 中楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/4ca01bbc-b111-4d19-9994-8acd521e7cae_1000.jpg.296x216.jpg
20201223,徐汇,康健,用心选房：  正规三房 户型方正 格局好房主自荐,530万,3室1厅 | 72.33平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5D45AbvWK_1.jpg.296x216.jpg
20201223,徐汇,康健,此房满四唯一,房型正，楼层好，业主诚心出售,366万,2室1厅 | 64.89平米 | 南 | 精装 | 低楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bR3z8KkIc_1.jpg.296x216.jpg
20201223,徐汇,康健,正三房，满五唯一，户型方正，产权清晰，小区位置好,495万,3室1厅 | 78.37平米 | 南 北 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HYgdVmYRu_1.jpg.296x216.jpg
20201223,徐汇,康健,东边套，99年房龄，2南1北，大客厅，近地铁，环境优雅,640万,3室1厅 | 95.89平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_aNsw9rVi6_1.jpg.296x216.jpg
20201223,徐汇,康健,金桂苑大三房，近地铁，满五不唯一，诚意出售房主自荐,950万,3室2厅 | 155.16平米 | 西北 | 精装 | 低楼层(共24层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_jqVOqz6aG_1.jpg.296x216.jpg
20201223,徐汇,康健,满五唯一 两室一厅带院子 生活便捷 面积大实惠,485万,2室1厅 | 70.73平米 | 南 | 简装 | 低楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mWFCywqx8_1.jpg.296x216.jpg
20201223,徐汇,康健,近地铁，满五唯一，户型方正，双公园，精装修房主自荐,448万,2室1厅 | 45.94平米 | 南 | 精装 | 低楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tX5uUP1M2_1.jpg.296x216.jpg
20201223,徐汇,康健,寿祥双南户型两房   中间楼层 不靠路不临街,393万,2室1厅 | 55.38平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_98NxFCw8B.jpg.296x216.jpg
20201223,徐汇,康健,售后公房 满五唯一 税费少 中间楼层 业主诚意出售房主自荐,410万,2室1厅 | 61.87平米 | 南 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GXjFTJbYo_1.jpg.296x216.jpg
