20201223,嘉定,嘉定老城,05年户型方正，两房朝南一房朝北，南北精装修，急卖！必看好房,363万,3室2厅 | 128.61平米 | 南 北 | 简装 | 低楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/2c7ba34f-8b32-4054-b7d6-c731da9852d8_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,南门低总价，小两房，看房方便，生活便利，店长推荐必看好房,165万,2室1厅 | 71.99平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/1ce26c7a-9379-49c9-ab4a-94e73e69136c_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,满五唯一 精装修 楼层好 距离嘉定北800米距离 总价低必看好房,160万,2室1厅 | 53.86平米 | 南 | 精装 | 低楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/310000-inspection/70d0270a-7ea6-4f75-b0b7-7406c0d02143_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,两房朝南 小户型 总价低 诚意出售 公积金首付30万必看好房,153万,2室1厅 | 57.41平米 | 南 | 简装 | 中楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/eae710d1-6a82-4eb2-b5e0-59a7dc13a30b_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,满五唯一，户型正气双南房间，双阳台，不靠马路安静必看好房,238万,3室1厅 | 92.49平米 | 南 | 精装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/310000-inspection/5538fc35-0b83-4f6c-98f4-4fac3cb2da77_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,此房满五唯一  户型正气 视野开阔  保养良好必看好房,280万,2室2厅 | 96.73平米 | 南 北 | 精装 | 高楼层(共14层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/fadabc72-005c-4ff6-bcbd-757d841c82a0_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,满五唯一，11号线地铁800米，嘉定老城核xin位置。必看好房,179万,2室1厅 | 66.28平米 | 南 | 简装 | 中楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/75735f8b-2044-435e-afd8-73be4a7e5d09_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,首付2成+低楼层+总价低+诚心卖+配套好+急卖必看好房,115万,1室1厅 | 34.99平米 | 南 | 简装 | 低楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/6f0abbc5-e7be-4da3-a007-e519ee5bdb87_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,希缺房来袭：好楼层，精装修，边套，总价低先到先得新上,185万,2室1厅 | 62.03平米 | 南 | 精装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/12f7f6bf-b86c-4a17-bf88-b3f3f5c9bb69_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,李园一村   精装一房   边套全明户型新上,145万,1室1厅 | 41.46平米 | 南 | 精装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ePZm96Uaz_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,中间楼层 近地铁 诚意出售 配套好新上,165万,2室1厅 | 56.5平米 | 西 | 简装 | 中楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/baba6491-3a71-4a4c-ba24-c9caf4b5049e_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,低总价 两房朝南  视野开阔 采光好 交通便利 配套全新上,145万,2室1厅 | 57.27平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VXF80HY9H_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,11号嘉定三房两卫，满五唯一 南北通，楼层好  配套全房主自荐,410万,3室2厅 | 134.98平米 | 南 北 | 简装 | 中楼层(共10层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GIfwH1AxU_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,店长推荐，三房两厅两卫，低单价，好楼层，满五唯一房主自荐,322万,3室2厅 | 118.78平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/c25f0089-68fd-4eae-ad2a-8d43af38b438_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,仿佛置身桃花源+大三房双卫带67平地下室+满五唯一房主自荐,425万,3室2厅 | 139.94平米 | 南 北 | 简装 | 低楼层(共14层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/be0c47e5-0335-4256-9064-017b28d198f1_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,店长推荐 精装修 总价低 诚意出售新上,117万,1室1厅 | 39.77平米 | 南 北 | 精装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/6115127e-3b38-4dd6-acc4-e7ef9b5f5f9e_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,品质小区 南北大三房 地铁 楼层好 沿河景观房 急售！房主自荐,410万,3室2厅 | 142.81平米 | 南 | 简装 | 低楼层(共14层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Sc5PbMAaZ_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,桃园双南大2室。边套采光好  拎包入住地铁800米房主自荐,180万,2室1厅 | 69.86平米 | 南 | 精装 | 中楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/a57e5371-00d5-42ff-8282-050721dea792_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,首付45万+满五不唯一+装修保养好+位置好+诚心卖,145万,1室1厅 | 45.29平米 | 南 北 | 毛坯 | 中楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/142cf471-de92-4f87-a01c-c60e5c430da5_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,首付67万+诚心卖+带阁楼+装修保养好+小区中间位置房主自荐,185万,2室1厅 | 71.01平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/8b70e800-783f-40aa-8243-5e07e09b8436_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,近地铁  小区位置中间  不靠马路房主自荐,150万,2室2厅 | 53.06平米 | 南 北 | 简装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/c2ffb5be-2686-4202-b435-59c4588f0cb1_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,本周必看好房  临河景观房  诚心出售房主自荐,333万,3室2厅 | 104.96平米 | 南 | 精装 | 高楼层(共18层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/e46f8fcb-18b9-45bc-9633-245097b747a6_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,南北通大三房  楼层好  视野开阔房主自荐,420万,3室2厅 | 142.81平米 | 南 | 精装 | 中楼层(共14层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/364f7dee-3a6a-4862-8238-50817ae04538_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,满五唯一税费少 南北通房型 中间楼层 配套齐全 环境好,335万,2室2厅 | 106平米 | 南 北 | 简装 | 中楼层(共5层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/5343bc85-707b-43c5-a804-21db91a96488_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,看房方便，有钥匙，非顶楼，配套成熟,175万,2室1厅 | 57.17平米 | 西 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/c82ff89d-0460-4a37-855e-d6dadc301c22_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,双南户型 小区中间不临街 采光好 配套齐全 交通便利房主自荐,166万,2室1厅 | 68.8平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XzF7UAXHE_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,两房一厅，双南卧室，独立客厅，上学近，明亮通透少税房主自荐,168万,2室1厅 | 58.17平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-c00cfbb2-ba21-4f4c-8d69-99d8f140d80f.png.296x216.jpg
20201223,嘉定,嘉定老城,位置好 户型好  两房 业主自住 采光好 满五 唯一房主自荐,200万,2室2厅 | 80.03平米 | 南 北 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qEHL0K8Ik_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,品质小区 近地铁 交通便利 配套设施完善  环境好房主自荐,214万,2室2厅 | 83.09平米 | 南 北 | 毛坯 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_X67d4hq5q_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,南苑八村新上小两房，采光充足，业主诚意出售房主自荐,172万,2室1厅 | 68.01平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YvnyrDCoG_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,小区出门就有公交站台，旁边就是菜场，距离地铁站房主自荐,158万,2室1厅 | 57.23平米 | 南 | 精装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_aQBVAdRfq_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,中间楼层 边套户型 南北通 业主诚意出售房主自荐,140万,1室1厅 | 47.29平米 | 南 | 简装 | 中楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ae55231e-c1cc-467b-959b-b17219df361f_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,11号线嘉定北+中间楼层+不靠马路+值得拥有,178万,2室1厅 | 57.86平米 | 南 | 毛坯 | 中楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d7b31ce9-bcc9-48e3-be14-946a137f0c37_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,楼层好，适合老人孩子居住，配套齐全，交通便利,185万,2室1厅 | 69.22平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vVoq08Xvd_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,双南户型采光好 房东诚意出售  配套齐全 方便生活房主自荐,170万,2室1厅 | 69.5平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/89d5b8a7-6369-450e-898a-e8ffe26160ae_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,嘉定北地铁900米 大两套 边套全明户型房主自荐,168万,2室2厅 | 69.21平米 | 西南 | 简装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Z3KkyWThf_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,满五唯一，税费低，边套全明户型，位置好。房主自荐,178万,2室1厅 | 71.05平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9iI3vr3N0_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,户型正气，有阁楼，视野好，价格可谈房主自荐,210万,2室2厅 | 86.98平米 | 南 北 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/5bd80bec-d18b-45dc-b5dc-8d92de41feb9_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,低楼层  位置好  生活方便  两房朝南房主自荐,193万,2室1厅 | 78.04平米 | 南 北 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Q4AA66s9z_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,配套成熟 楼层好 采光无遮挡 诚心卖 近地铁房主自荐,145万,2室1厅 | 48.53平米 | 南 | 简装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WzKaWXF01_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,一房一厅，小户型，精装修，拎包入住，配套完善,128万,1室1厅 | 39.31平米 | 南 | 精装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ewq6bC8ix_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,一梯两户，两房朝南，户型方正，楼层好 位置佳房主自荐,190万,2室1厅 | 72.32平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_RVHFEAAka_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,11号线嘉定老城精装两房，生活配套齐全，上学出行方便房主自荐,230万,2室2厅 | 85.5平米 | 南 | 精装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/edf58f83-ee80-4ac7-bc08-2fd976d35710_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,此房满五唯一  精装修 南北通风  保养良好房主自荐,265万,3室1厅 | 91.63平米 | 南 | 精装 | 低楼层(共14层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/67ec904a-d985-4fe8-b0ce-aa34e288a955_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,急卖大三房 付款方式快的优先  价格看情况房主自荐,350万,3室2厅 | 113.26平米 | 南 北 | 精装 | 低楼层(共18层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/4a3882a6-2c48-4607-9bdc-f8fdb3b4a3a7_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,满五唯一，看房方便，边套，采光充足，户型方正房主自荐,142万,2室1厅 | 50.45平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KukU9HYhI_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,精装3房 带客厅  比同面积段的户型套内面积都大房主自荐,175万,3室1厅 | 54.15平米 | 南 | 精装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/41336c68-f4b3-452a-841d-3335900c12c0_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,近地铁+非顶楼+两房朝南+户型方正+生活便利房主自荐,164万,2室1厅 | 60.73平米 | 南 | 简装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jnZF37nBp_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,南北三房，动静分离，视野宽阔，采光充足房主自荐,265万,3室2厅 | 106.03平米 | 南 北 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kAAOEuQis_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,中间楼层 两房朝南 近地铁 诚意出售,155万,2室1厅 | 49.93平米 | 南 | 简装 | 中楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f4ea5631-c187-456b-ae6c-436904a9ca55_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,满五唯一，中间楼层，边套，价可刀，诚心出售！,180万,2室1厅 | 71.05平米 | 南 北 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/82e8444d-2428-47b1-82a1-d1f46a1c4593_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,顶楼复式，业主自住，双露台，保养好房主自荐,400万,5室2厅 | 174.89平米 | 南 北 | 精装 | 高楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hemRqv8eJ_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,双南房，户型方正，采光好，产权清晰，近地铁房主自荐,160万,2室1厅 | 67.01平米 | 南 | 简装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/62f2ebdf-67ea-4bda-a022-0704a0e516d3_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,此房视野宽阔，采光充足配套设施齐全，交通便利房主自荐,199万,2室1厅 | 78.04平米 | 南 北 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MAMZmYuY2_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,中间楼层，户型方正，双阳台,全明户型房主自荐,260万,3室1厅 | 92.49平米 | 南 | 精装 | 中楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/0583968d-0173-432b-869f-049e60e0cdf4_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,双南两房 格局方正 诚意出售 有租的固定车位带充电桩房主自荐,200万,2室1厅 | 79.47平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wYGzIHg1n_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,精装修  经典小两房 业主急卖  可谈房主自荐,162万,2室1厅 | 58.86平米 | 南 | 精装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mYInh2E78_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,户型好，位置佳，满五唯一，业主诚意出售，采光好房主自荐,200万,2室2厅 | 80平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qqt4Iw1G3_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,店长推荐+满五唯一+位置好+楼层好+总价低+看房随时房主自荐,158万,2室1厅 | 58.86平米 | 南 | 简装 | 中楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MWJGYxl9W_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,店长力荐房源，精装修可以直接拎包入住，诚心售价可谈房主自荐,180万,1室1厅 | 63.35平米 | 南 | 精装 | 低楼层(共24层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qY4OXq7zQ_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,李园一村非顶楼小两居室，适宜自住，生活方便房主自荐,165万,2室1厅 | 54.69平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/a489e76c-5cb8-4faf-939a-b2e251bc338d_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,南苑八村，位置靠河环境好，户型方正房主自荐,215万,2室1厅 | 80.03平米 | 南 北 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/046525bd-2718-41c3-830a-4008549e682b_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,位置好 总价低 诚意出售 看房方便房主自荐,188万,2室2厅 | 78.04平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_R6VPpfurn_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,南北通户型 精装修 拎包入住 设施齐全 采光好房主自荐,286万,2室2厅 | 98.15平米 | 南 | 精装 | 低楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6XOWjopAs_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,采光充足+次顶楼+小区位置好+看房方便,138万,2室1厅 | 45.36平米 | 南 | 毛坯 | 高楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AYXVd3kkK_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,精装修 户型好 南北通 拎包入住设施齐全 看房提前约房主自荐,293万,2室2厅 | 98.24平米 | 南 北 | 精装 | 中楼层(共5层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/c02bfe46-4b27-408a-8f83-e41e4c1c35fb_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,满五唯一，税费低，边套全明户型，位置好。诚心出售,180万,2室2厅 | 71.32平米 | 南 北 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ExsB6sod7_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,老城区小两房  有厅  视野佳  业主诚意出售房主自荐,148万,2室1厅 | 51.85平米 | 南 | 简装 | 高楼层(共6层) | 1980年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d7079e2f-f048-4b25-bb93-fc5b5e7fdc8b_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,两房一厅，独立客厅，上学近，明亮通透少税房主自荐,152万,2室1厅 | 57.17平米 | 南 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/bf89421a-91e7-4eeb-9fc7-fad9d5599d5a_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,两房一厅，双南卧室，独立客厅，居住舒适房主自荐,185万,2室1厅 | 66.22平米 | 南 | 精装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d11379d1-bf9d-4824-808f-13304b3aced1_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,户型方正 两房一厅 楼层好视线佳房主自荐,165万,2室1厅 | 57.29平米 | 南 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/9c3ca5a0-357d-4d73-bafd-0725f9447f9d_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,两室，独立客厅，户型方正精装修，业主诚意价格好谈房主自荐,170万,2室1厅 | 57.71平米 | 南 | 精装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/4d09a9a9-12bd-4ce7-9570-5130d91aa02f_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,两房朝南+双阳台+采光充足+ 得房率高+配套完善房主自荐,163万,3室1厅 | 68平米 | 南 | 简装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-abd0fe3c-dc67-4aaa-9884-b7c305b21157.jpg.296x216.jpg
20201223,嘉定,嘉定老城,此房满五，税费低，边套全明户型，位置好。诚心出售,185万,2室1厅 | 70平米 | 南 北 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/3da6a1b4-dd98-47de-883f-1d0a5849c297_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,中间楼层 总价低 诚意出售  看房方便,200万,2室1厅 | 78.04平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/03bb1ffb-b84b-4f28-b59c-e313e327ccf3_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,楼层好，视野开阔，采光通风好，户型方正房主自荐,138万,1室1厅 | 41.19平米 | 南 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CSQZKDaQu_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,楼层好，视野开阔，采光通风好，户型方正,145万,1室1厅 | 46.18平米 | 南 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/22fbcb46-a5ae-423e-adcd-20b11a632617_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,户型好，位置佳，满五年，业主诚意出售，采光好房主自荐,165万,2室1厅 | 68.01平米 | 南 北 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_btVN3wUyi_1.jpg.296x216.jpg
20201223,嘉定,嘉定老城,中间楼层 户型好 采光好  小区中间安静房主自荐,235万,2室1厅 | 93.52平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-e9152943-1360-4a51-a78a-40c25da6f6c8.jpg.296x216.jpg
20201223,嘉定,嘉定老城,动迁房交易  视野开阔 小区环境好 品质小区房主自荐,285万,2室2厅 | 86.3平米 | 南 北 | 毛坯 | 低楼层(共18层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/9751d44c-8cbd-4f5d-bc55-ad307d1b38e4_1000.jpg.296x216.jpg
