20201223,徐汇,田林,南北边套全明两房，次顶楼，视野通风采光都hen好。必看好房,395万,2室1厅 | 50.12平米 | 北 南 | 精装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VussfzuhP_1.jpg.296x216.jpg
20201223,徐汇,田林,电梯房双南采光视野好前排无遮挡配套成熟生活方便必看好房,445万,2室1厅 | 66.79平米 | 南 | 简装 | 低楼层(共18层) | 1988年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_TORwUD8gV_1.jpg.296x216.jpg
20201223,徐汇,田林,精装修电梯大一房，满五唯一，近地铁近六院必看好房,365万,1室1厅 | 45.97平米 | 南 | 精装 | 中楼层(共18层) | 1989年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_NN7HTUKLu_1.jpg.296x216.jpg
20201223,徐汇,田林,2016年精装修，大两房，新风，暖气，家具家电都不要必看好房,399万,2室1厅 | 61平米 | 南 | 精装 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rjEuuXEMd_1.jpg.296x216.jpg
20201223,徐汇,田林,房龄新+地铁近+实际使用面积大+配套三甲医院必看好房,610万,2室1厅 | 73.07平米 | 南 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Pbr1i1pip_1.jpg.296x216.jpg
20201223,徐汇,田林,交通方便，诚意出售，小区安静。必看好房,262万,1室0厅 | 29.91平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MNTATITU9_1.jpg.296x216.jpg
20201223,徐汇,田林,(店长推荐）满五唯一，南北通透，双轨交通高层景观房必看好房,640万,2室2厅 | 102.58平米 | 南 北 | 精装 | 中楼层(共29层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_1TGD7IlId_1.jpg.296x216.jpg
20201223,徐汇,田林,满五唯一+税费少+采光无遮挡+近地铁必看好房,309万,2室1厅 | 48.31平米 | 南 北 | 简装 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1TtwAck9M_1.jpg.296x216.jpg
20201223,徐汇,田林,东边套，满五年，内环边上，房龄新，采光视野无遮挡必看好房,725万,2室2厅 | 86.95平米 | 南 | 精装 | 低楼层(共18层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fqO0Ds9wG_1.jpg.296x216.jpg
20201223,徐汇,田林,精装两房，视野开阔，满五唯一，正对小区绿化景观必看好房,475万,2室1厅 | 70.31平米 | 西南 南 | 精装 | 低楼层(共28层) | 1994年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_vymRGUEZX_1.jpg.296x216.jpg
20201223,徐汇,田林,南北户型 高区精装两房 近 3 4 9号线必看好房,469万,2室1厅 | 77.73平米 | 南 | 精装 | 高楼层(共30层) | 1993年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_zkkoQWvh6_1.jpg.296x216.jpg
20201223,徐汇,田林,田林村房置换之手选，高层精装修2房，全明户型必看好房,598万,2室2厅 | 84.74平米 | 东北 | 精装 | 高楼层(共24层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_r8h0zoGdw_2.jpg.296x216.jpg
20201223,徐汇,田林,此房税少，南北通透，婚房装修，全明户型，得房率85%必看好房,608万,2室1厅 | 73.29平米 | 南 北 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_A6LRmqrJs_1.jpg.296x216.jpg
20201223,徐汇,田林,全明户型，可 改造性高，1995年商品房必看好房,385万,2室0厅 | 44.16平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JY2X98e0u.jpg.296x216.jpg
20201223,徐汇,田林,田林十三村边套唯一中间楼层，全明户型，精装修前排必看好房,283万,1室1厅 | 34.3平米 | 南 | 精装 | 中楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nCSBXm0fH_1.jpg.296x216.jpg
20201223,徐汇,田林,双卧朝南   总价低    3条轨交宜山路地铁站必看好房,448万,2室1厅 | 86.3平米 | 南 | 简装 | 低楼层(共29层) | 1991年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/prod-a6c0cf28-3bd8-4833-ac81-53748800b248.jpg.296x216.jpg
20201223,徐汇,田林,9号线15号线桂林路站500米，双轨交通，99平电梯大两房必看好房,599万,2室1厅 | 99平米 | 东南 | 简装 | 高楼层(共28层) | 1995年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_K1ggb1Wsw_1.jpg.296x216.jpg
20201223,徐汇,田林,邻双轨交通|中低楼层|南北边套互通|模范小区必看好房,412万,2室1厅 | 50.79平米 | 南 | 简装 | 低楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5XwpJdDva_1.jpg.296x216.jpg
20201223,徐汇,田林,精装修+夜景房+采光好+近地铁+高品质小区必看好房,828万,2室2厅 | 87.12平米 | 南 | 精装 | 高楼层(共17层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rkNSczrPf_1.jpg.296x216.jpg
20201223,徐汇,田林,房东诚意出售，随时可签！交通方便，配套齐全，位置好必看好房,378万,2室1厅 | 49.8平米 | 南 | 简装 | 中楼层(共5层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Y0EUW5PgJ_1.jpg.296x216.jpg
20201223,徐汇,田林,99年商品房，9号线地铁口近医院，西  位，采光无遮挡房主自荐,630万,2室1厅 | 91.83平米 | 南 | 精装 | 低楼层(共20层) | 1999年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_AB6w8Ks4g_1.jpg.296x216.jpg
20201223,徐汇,田林,产权清晰，2梯4户，2002年的板式住宅，近地铁房主自荐,670万,2室1厅 | 77.23平米 | 南 北 | 简装 | 低楼层(共22层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UmU9ZJj8i_1.jpg.296x216.jpg
20201223,徐汇,田林,桂林路地铁口纯商品房 内环边 2000年后精装修两房,708万,2室2厅 | 88.9平米 | 南 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QjgBj7vNr_2.jpg.296x216.jpg
20201223,徐汇,田林,新苑大两房+全明户型+花园位置+满五年+可约可看可签新上,550万,2室1厅 | 79.98平米 | 南 | 简装 | 低楼层(共28层) | 1994年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_Pl9gykp2p_1.jpg.296x216.jpg
20201223,徐汇,田林,双南两房带大院，近九号线桂林路地铁，宜山路菜市场房主自荐,440万,2室1厅 | 55.24平米 | 南 | 简装 | 低楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tgfU1yqUR_2.jpg.296x216.jpg
20201223,徐汇,田林,经典大一房+大卫生间 +单价低+总价低+非顶楼+有钥匙新上,289万,1室0厅 | 41.96平米 | 南 | 精装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cXSvz2ec7_1.jpg.296x216.jpg
20201223,徐汇,田林,精装修，全明户型，中间楼层，满五唯一，得房率高房主自荐,1530万,3室2厅 | 139.66平米 | 南 北 | 精装 | 中楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_A5kkf2ziH_1.jpg.296x216.jpg
20201223,徐汇,田林,2014年次新小区，全南房型，总价美丽，看房提前预约新上,820万,2室1厅 | 94.88平米 | 南 | 简装 | 低楼层(共35层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GSXLw6uXW_1.jpg.296x216.jpg
20201223,徐汇,田林,此房满五不唯一，双南双阳台，9、15号双轨交通房主自荐,620万,2室2厅 | 90.72平米 | 南 | 精装 | 中楼层(共29层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_JBQanwKpi_1.jpg.296x216.jpg
20201223,徐汇,田林,房改售房 税费少 中间楼层 生活配套齐全 交通便捷房主自荐,300万,2室1厅 | 49.49平米 | 南 北 | 简装 | 中楼层(共6层) | 1958年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_E65x27QWQ_1.jpg.296x216.jpg
20201223,徐汇,田林,位置优越 南北通透 高区看景 两卫 得房率高房主自荐,1060万,3室2厅 | 136.19平米 | 南 北 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_apiLd5Mje_1.jpg.296x216.jpg
20201223,徐汇,田林,9/15号线双轨交汇，精装修，楼层好，全明户型,680万,2室1厅 | 95.9平米 | 南 北 | 精装 | 中楼层(共28层) | 1995年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_Wn9obqCGL_1.jpg.296x216.jpg
20201223,徐汇,田林,它是一套价值房，是那个时代逐梦温馨的起点房主自荐,298万,1室1厅 | 36.56平米 | 南 | 简装 | 中楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/310000-inspection/e92afe58-08a2-445b-8baa-d537af6e63a1_1000.jpg.296x216.jpg
20201223,徐汇,田林,兰桂坊稀有四房，配套成熟，双轨交会，拎包入住,1290万,4室3厅 | 151.58平米 | 南 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hAknQalxe_1.jpg.296x216.jpg
20201223,徐汇,田林,田林地段 精装修双南两房 业主诚意 可接受置换,480万,2室1厅 | 89.11平米 | 南 | 精装 | 低楼层(共30层) | 1993年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_bGKF2IRay_1.jpg.296x216.jpg
20201223,徐汇,田林,品质外销房，通透性佳，房型方正，满五唯一精装修房主自荐,580万,2室1厅 | 81.54平米 | 东北 | 精装 | 低楼层(共24层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/28acd953-7df2-4e66-9b64-8c3b39833176_1000.jpg.296x216.jpg
20201223,徐汇,田林,婚房装修拎包入住，铂金地段地铁3,4,9号线出行方便。新上,490万,2室1厅 | 81.17平米 | 西南 | 精装 | 中楼层(共29层) | 1995年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_Z1KKy2Hnx_1.jpg.296x216.jpg
20201223,徐汇,田林,此房视野采光好，近9号线，出行比较方便，配套齐全新上,450万,2室1厅 | 72.42平米 | 南 | 简装 | 高楼层(共5层) | 1959年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BYRLrExMM_1.jpg.296x216.jpg
20201223,徐汇,田林,一梯两户 老干部分房 双南两房 售后公房税少新上,560万,2室1厅 | 69.22平米 | 南 | 简装 | 中楼层(共5层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FpT1wMOdL_1.jpg.296x216.jpg
20201223,徐汇,田林,南北通 复式4房、带三个露台 、视野宽阔、有固定车位房主自荐,1580万,4室2厅 | 223.56平米 | 南 | 精装 | 高楼层(共11层) | 2001年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-cda82cd3-781e-4e5b-8f16-c7fe0076114a.jpg.296x216.jpg
20201223,徐汇,田林,高区景观楼层 南北通透 近内环 采光充足 交通便利房主自荐,476万,2室1厅 | 77.73平米 | 南 北 | 精装 | 中楼层(共30层) | 1993年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_UTlMYne76_1.jpg.296x216.jpg
20201223,徐汇,田林,高品质小区+采光好+生活便利+近地铁房主自荐,2000万,5室2厅 | 211.51平米 | 南 | 简装 | 高楼层(共17层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lqeXt4HEU_1.jpg.296x216.jpg
20201223,徐汇,田林,三开间朝南！户型方正，高楼层视野通风好！,1030万,3室2厅 | 134.22平米 | 南 | 精装 | 高楼层(共14层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_At9TyZEHx_1.jpg.296x216.jpg
20201223,徐汇,田林,中间楼层，位置好，学，区未用过，业主诚意卖房主自荐,425万,2室1厅 | 50.09平米 | 南 | 简装 | 中楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5maFudL1M_1.jpg.296x216.jpg
20201223,徐汇,田林,中间楼层，户型方正，采光通风好房主自荐,258万,1室0厅 | 35.89平米 | 南 | 简装 | 中楼层(共5层) | 1959年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nyk25XE1o_1.jpg.296x216.jpg
20201223,徐汇,田林,精装修，非顶楼，房东急售，采光无遮挡房主自荐,275万,1室1厅 | 31.74平米 | 南 | 精装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HIw36YEP3_1.jpg.296x216.jpg
20201223,徐汇,田林,此房处于好楼层，精装修，业主诚意出售房主自荐,298万,1室0厅 | 33.16平米 | 南 | 精装 | 中楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EuQrXVuww_1.jpg.296x216.jpg
20201223,徐汇,田林,它位于中间楼层，是一套利用率高，业主诚售房房主自荐,280万,1室0厅 | 29.26平米 | 南 | 简装 | 中楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CnllMMQRO_2.jpg.296x216.jpg
20201223,徐汇,田林,万科品质 大四房  近地铁 小区物业管理好  看房有钥匙,1650万,4室2厅 | 162.94平米 | 南 | 简装 | 低楼层(共9层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JJNBd0FuE_1.jpg.296x216.jpg
20201223,徐汇,田林,田林体育公寓三房，楼层好，视野佳,800万,3室2厅 | 112.62平米 | 东南 | 毛坯 | 中楼层(共20层) | 1997年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/prod-bab18f31-c2c9-47a6-9509-5ed60945843c.jpg.296x216.jpg
20201223,徐汇,田林,满五唯一，房东诚意出售，拎包入住 价格可谈；房主自荐,300万,2室0厅 | 46.89平米 | 南 | 精装 | 高楼层(共5层) | 1983年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-dae84f8f-637d-4060-83bc-c722a0ddf2bb.png.296x216.jpg
20201223,徐汇,田林,全明一室户，总价低，位置安静，看房方便房主自荐,305万,1室0厅 | 33.32平米 | 南 | 精装 | 高楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uliUwpkkh_2.jpg.296x216.jpg
20201223,徐汇,田林,高区采光好 老干部小区 环境好 配套齐全 诚心出售房主自荐,270万,1室1厅 | 40.44平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8i0RXqeiu_1.jpg.296x216.jpg
20201223,徐汇,田林,售后公房 满五唯一 业主诚心出售 有大院子 户型正气房主自荐,700万,3室1厅 | 83平米 | 南 北 | 简装 | 低楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/12b2ac37-75f3-4b06-a6af-3d1f05f237b9_1000.jpg.296x216.jpg
20201223,徐汇,田林,满五唯一，边套全明，楼层好，99年商品房，双轨交汇。房主自荐,510万,1室1厅 | 61.21平米 | 南 | 精装 | 中楼层(共20层) | 1999年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_P8ae1jyPq_1.jpg.296x216.jpg
20201223,徐汇,田林,00房龄 双轨汇交 双卧朝南 边套全明采光好 位置安静房主自荐,527万,2室1厅 | 71.25平米 | 南 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MjgbXrsNM_1.jpg.296x216.jpg
20201223,徐汇,田林,南北两房   采光好    3、4、9号线宜山路站房主自荐,475万,2室1厅 | 79.84平米 | 南 | 简装 | 低楼层(共29层) | 1995年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_IboDGCvQw_1.jpg.296x216.jpg
20201223,徐汇,田林,精装修 售后公房 地铁9号线 六院旁边 诚心出售房主自荐,335万,2室1厅 | 48.56平米 | 南 | 精装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JmSOGfiJL_1.jpg.296x216.jpg
20201223,徐汇,田林,仪表新村 2室1厅 南 北,410万,2室1厅 | 50.05平米 | 南 北 | 简装 | 高楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_K620iQklD_1.jpg.296x216.jpg
20201223,徐汇,田林,园林小区  近地铁三 四 九号线 看房方便房主自荐,1360万,4室2厅 | 142.87平米 | 南 | 精装 | 低楼层(共20层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9rynVjfUr_1.jpg.296x216.jpg
20201223,徐汇,田林,2014年次新房、无暗间，有产权车位，9.15双轨交汇房主自荐,835万,2室2厅 | 94.88平米 | 南 | 精装 | 低楼层(共35层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7Km09exFV_1.jpg.296x216.jpg
20201223,徐汇,田林,内环边上 房龄新 一南一北 厅南北通房主自荐,929万,3室2厅 | 124.75平米 | 南 | 精装 | 高楼层(共28层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_c2r0QhIEL_1.jpg.296x216.jpg
20201223,徐汇,田林,此房满五唯一，免征个税！前排无遮挡，视野 采光好,475万,2室1厅 | 69.76平米 | 东南 | 毛坯 | 中楼层(共18层) | 1995年建 | 板塔结合,http://image1.ljcdn.com/110000-inspection/pc1_2B5xh3T9Q_1.jpg.296x216.jpg
20201223,徐汇,田林,2014年的商品房，婚房精装修，高层景观，双轨交房主自荐,910万,2室2厅 | 94.73平米 | 南 | 精装 | 中楼层(共35层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6d3CIfXTj_1.jpg.296x216.jpg
20201223,徐汇,田林,吴中公寓  全明户型  交通便利,470万,1室1厅 | 71.54平米 | 南 西南 | 精装 | 中楼层(共22层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_BGrKSX8Va_1.jpg.296x216.jpg
20201223,徐汇,田林,南北边套全明，视野开阔。采光好，位置好。,490万,2室1厅 | 79.98平米 | 南 北 | 简装 | 低楼层(共28层) | 1993年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_vHnMfmu1g_1.jpg.296x216.jpg
20201223,徐汇,田林,内环边电梯大一房，视野宽阔，品质装修，近3/4/9号线房主自荐,393万,1室1厅 | 67.15平米 | 南 | 精装 | 中楼层(共29层) | 1991年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_PvIG1BHmv_1.jpg.296x216.jpg
20201223,徐汇,田林,南北户型，内环旁，2000年小区，交通便利诚心出售房主自荐,849万,3室2厅 | 120.79平米 | 南 | 毛坯 | 低楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_A8YP3m66G_1.jpg.296x216.jpg
20201223,徐汇,田林,单价低，面积大，楼层位置佳，视野辽阔，有产权车位房主自荐,1500万,4室2厅 | 168平米 | 南 | 简装 | 中楼层(共18层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Q3hha60yx_2.jpg.296x216.jpg
20201223,徐汇,田林,内环旁、全明双南两房、10+15号线双轨交汇、税费少,472万,2室1厅 | 69.7平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-85e3574d-cdbe-475a-82cf-4f61f8b81e93.jpg.296x216.jpg
20201223,徐汇,田林,售后公房，带电梯，上海市文明小区房主自荐,384万,1室1厅 | 61.77平米 | 东南 | 简装 | 高楼层(共22层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_IwjHRw5nt_1.jpg.296x216.jpg
20201223,徐汇,田林,大一房，精装修，生活配套齐全，居住舒适,350万,1室0厅 | 39.75平米 | 南 | 简装 | 低楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_s7CQ618F5_1.jpg.296x216.jpg
20201223,徐汇,田林,满五唯一，高区采光充足，视野宽阔，配套设施齐全,425万,2室0厅 | 52.35平米 | 南 | 精装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_n3xgTcKH6_1.jpg.296x216.jpg
20201223,徐汇,田林,业主诚意，中间楼层，南北户型。房主自荐,415万,2室1厅 | 50.3平米 | 南 | 简装 | 中楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1W5QHAuw7_1.jpg.296x216.jpg
20201223,徐汇,田林,近六院，一梯两户花园小区，南北通户型得房率高,650万,2室1厅 | 74.73平米 | 南 北 | 简装 | 低楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gyQWRTZBZ_1.jpg.296x216.jpg
20201223,徐汇,田林,从未入住！全明户型，采光充足，开发商统一精装修！,1800万,3室2厅 | 154.51平米 | 南 | 精装 | 低楼层(共25层) | 2018年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LR1wiwXUB_1.jpg.296x216.jpg
20201223,徐汇,田林,稀有电梯朝南三房，采光好，通风性好，房东诚心出售！,610万,3室1厅 | 71.85平米 | 南 | 简装 | 高楼层(共14层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CNyDndCjh.jpg.296x216.jpg
20201223,徐汇,田林,采光好的一房  业主诚意出售   电梯房房主自荐,345万,1室1厅 | 54.56平米 | 南 北 | 精装 | 低楼层(共29层) | 1991年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_Jz1ZEOgq1_1.jpg.296x216.jpg
20201223,徐汇,田林,店长推荐，满五无房，精装一楼带小院，独门独户近地铁房主自荐,266万,1室0厅 | 37.31平米 | 南 | 精装 | 低楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/310000-inspection/e6f1296d-2f9e-4140-a871-5f0c6eefc862_1000.jpg.296x216.jpg
20201223,徐汇,田林,田林六村 边套大一房，近地铁 西边套全明，税少新上,265万,1室1厅 | 40.11平米 | 南 | 简装 | 高楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f66e7894-3b8c-4be6-8cb8-d0b9b4865644_1000.jpg.296x216.jpg
20201223,徐汇,田林,楼层好采光充足，花园景观，客厅宽敞房主自荐,990万,3室2厅 | 128平米 | 南 | 精装 | 中楼层(共12层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZpuMK8NeU_1.jpg.296x216.jpg
20201223,徐汇,田林,精装修四房，空调带地暖，秘密大花园房主自荐,1580万,4室2厅 | 183.63平米 | 南 北 | 精装 | 低楼层(共12层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sGMPATAuX.jpg.296x216.jpg
20201223,徐汇,田林,满五年不唯一，楼层好，小区中后排，双南两房。,430万,2室1厅 | 47.53平米 | 南 | 简装 | 低楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dcvLDPDMF_1.jpg.296x216.jpg
20201223,徐汇,田林,田林新苑南北两房，面积大，看房方便，有钥匙房主自荐,532万,2室1厅 | 79.98平米 | 南 | 简装 | 低楼层(共28层) | 1993年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/8740eeb5-4525-4275-933c-d671c4328883_1000.jpg.296x216.jpg
20201223,徐汇,田林,徐汇二梯队 电梯一房 近内环 近地铁 诚心出售房主自荐,309万,1室1厅 | 55.5平米 | 南 | 简装 | 低楼层(共29层) | 1995年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_c52dj5Qb6_1.jpg.296x216.jpg
20201223,徐汇,田林,地铁小区+六院一街之隔+南北通风+边套全明+业主诚意卖房主自荐,540万,2室1厅 | 80.26平米 | 南 | 简装 | 低楼层(共20层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_FgTM5kWq8_1.jpg.296x216.jpg
20201223,徐汇,田林,南北两房，中间楼层，采光无遮挡,小区中间位置,360万,2室1厅 | 46.51平米 | 南 | 简装 | 中楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CaOmyyMPW_1.jpg.296x216.jpg
20201223,徐汇,田林,房龄新，满五不唯一，售后公房，近医院配套成熟。,419万,2室1厅 | 48.25平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9oGrtBHt4_1.jpg.296x216.jpg
