20201223,闵行,梅陇,精装一房，安全环保，楼层好，视野开阔，采光无遮挡必看好房,245万,1室0厅 | 39.3平米 | 南 | 精装 | 中楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_F9pggrzBl_1.jpg.296x216.jpg
20201223,闵行,梅陇,西班牙唯一两房，户型好，南北通透，满五唯一，税费少必看好房,780万,2室2厅 | 108.42平米 | 南 北 | 简装 | 低楼层(共12层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jgzLFoEQs_1.jpg.296x216.jpg
20201223,闵行,梅陇,一梯两户，满五唯一，中间楼层，看房随时，业主诚售必看好房,475万,2室2厅 | 93.93平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hS2G9HnqX_1.jpg.296x216.jpg
20201223,闵行,梅陇,此房正南北西边套，高区电梯景观房，南面遥望淀浦河必看好房,616万,2室2厅 | 96.63平米 | 南 | 简装 | 高楼层(共14层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QZnKZfyNr_1.jpg.296x216.jpg
20201223,闵行,梅陇,满五唯一南北两房，带双天井花园，诚意出售，配套齐全必看好房,370万,2室1厅 | 76.21平米 | 南 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_D4ZBky0Yy_1.jpg.296x216.jpg
20201223,闵行,梅陇,满五年 精装修 三层复式 居住舒适 诚意出售必看好房,725万,3室2厅 | 155.74平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KE9LI1q4I_1.jpg.296x216.jpg
20201223,闵行,梅陇,房东有产权车位可转+南北直通+商品小区+诚意出售必看好房,568万,2室2厅 | 92.67平米 | 南 | 简装 | 低楼层(共14层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kDJvzG1aT_1.jpg.296x216.jpg
20201223,闵行,梅陇,全明飞机户型+优势楼层+南北双阳台必看好房,698万,3室2厅 | 125.66平米 | 南 | 简装 | 中楼层(共17层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_huMUT2jEr_1.jpg.296x216.jpg
20201223,闵行,梅陇,次顶南北大两房，满五唯一税费少必看好房,326万,2室1厅 | 75.27平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_eVmh2BxuI_1.jpg.296x216.jpg
20201223,闵行,梅陇,南北户型，视野宽阔，采光充足，配套齐全，交通便利必看好房,245万,2室1厅 | 51.22平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_T5Jp5vTfH_1.jpg.296x216.jpg
20201223,闵行,梅陇,次新房  带产权车位  地铁口 品质之选必看好房,748万,3室2厅 | 98.77平米 | 南 北 | 精装 | 低楼层(共18层) | 2016年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7eSAEYu4A_1.jpg.296x216.jpg
20201223,闵行,梅陇,全明户型，朝南三房，居家装修，采光充足必看好房,468万,3室1厅 | 91.52平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5twZS3uFp.jpg.296x216.jpg
20201223,闵行,梅陇,《满五唯一》《沿公园景观》《双南南北通》接受置换%必看好房,718万,2室2厅 | 109.84平米 | 南 | 精装 | 低楼层(共8层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7Y55Hnfpj_1.jpg.296x216.jpg
20201223,闵行,梅陇,晶欣坊 2室1厅 南 北必看好房,493万,2室1厅 | 74.08平米 | 南 北 | 简装 | 中楼层(共26层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9Iz0uj7VY_1.jpg.296x216.jpg
20201223,闵行,梅陇,近地铁+大一房+精装修+拎包入住必看好房,255万,1室1厅 | 54.1平米 | 南 | 精装 | 中楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_V3Pt4XGQI_1.jpg.296x216.jpg
20201223,闵行,梅陇,近地铁500米+精装修+双南两房必看好房,260万,2室1厅 | 52.26平米 | 南 | 精装 | 高楼层(共5层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_oFMdg9UNm_1.jpg.296x216.jpg
20201223,闵行,梅陇,店长推荐，小区花园位置，诚意出售，随时可以入住必看好房,498万,3室1厅 | 95.43平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WGoku6mHm_1.jpg.296x216.jpg
20201223,闵行,梅陇,近地铁低总价大一房，高层采光好，满五唯一税少诚售必看好房,245万,1室1厅 | 48.6平米 | 南 | 精装 | 低楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_axx2A6Cjy_1.jpg.296x216.jpg
20201223,闵行,梅陇,边套全明+中间楼层+精装大三房必看好房,525万,3室2厅 | 106.08平米 | 南 北 | 精装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JKDuSWdIx_1.jpg.296x216.jpg
20201223,闵行,梅陇,精致装修，南北通透，业主诚意出售，价格包含产权车位必看好房,648万,3室2厅 | 94.02平米 | 南 北 | 精装 | 低楼层(共16层) | 2016年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vgfeQm8so_1.jpg.296x216.jpg
20201223,闵行,梅陇,新上房源！出门见地铁，转角见复旦，环境优美！必看好房,753万,2室2厅 | 93.56平米 | 南 | 简装 | 低楼层(共11层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uJkhwnTZw_1.jpg.296x216.jpg
20201223,闵行,梅陇,满五唯一，南北通2+1户型，总价低必看好房,765万,3室2厅 | 99.27平米 | 南 | 精装 | 中楼层(共11层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1tsaAHu83_1.jpg.296x216.jpg
20201223,闵行,梅陇,双南两房，交通便利，业主诚意出售，随时看房必看好房,335万,2室1厅 | 70.53平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zyXYwz79m_1.jpg.296x216.jpg
20201223,闵行,梅陇,绿梅公寓(罗阳路111弄) 3室2厅 南必看好房,390万,3室2厅 | 103.35平米 | 南 | 简装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-af61137e-f25f-40c3-8f9a-76654f135214.jpg.296x216.jpg
20201223,闵行,梅陇,好房来袭！房源滚滚来，谁住谁开怀，楼层低，户型好！新上,390万,2室2厅 | 83.83平米 | 南 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qkbdDh4CA_1.jpg.296x216.jpg
20201223,闵行,梅陇,大三房 全明户型   中间楼层  税费低新上,550万,3室2厅 | 100.62平米 | 南 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Ar35diT3R_1.jpg.296x216.jpg
20201223,闵行,梅陇,底层带院子+婚房精装+固定车位+南北通风格局！新上,348万,2室2厅 | 69.08平米 | 南 北 | 精装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pRZlfddT3_1.jpg.296x216.jpg
20201223,闵行,梅陇,楼层好，前面无遮挡，视野开阔诚意出售,738万,2室2厅 | 88.38平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qdvMosar4_1.jpg.296x216.jpg
20201223,闵行,梅陇,中梅苑商品房+电梯高层+大一房,465万,1室2厅 | 75.74平米 | 南 | 简装 | 高楼层(共17层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mMMjdRYAb_1.jpg.296x216.jpg
20201223,闵行,梅陇,近地铁+一梯两户+户型方正+产权清晰新上,400万,2室1厅 | 75.27平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_phwzROCYZ_1.jpg.296x216.jpg
20201223,闵行,梅陇,新上房源 三开间朝南 南北通客厅 视野采光好房主自荐,598万,3室2厅 | 113.3平米 | 南 | 精装 | 中楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zRZwHiFRR_1.jpg.296x216.jpg
20201223,闵行,梅陇,沿河景观+带产权车位+南北直通+全明带窗+一梯两户,699万,2室2厅 | 96.4平米 | 南 | 精装 | 低楼层(共14层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bJOPnDIZn_1.jpg.296x216.jpg
20201223,闵行,梅陇,位置安静，飞机户型，采光好，诚意出售,930万,3室2厅 | 154.03平米 | 南 | 简装 | 低楼层(共11层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OBECD1DqS_1.jpg.296x216.jpg
20201223,闵行,梅陇,邻近一号线地铁，免增值税、带大花园、精装修新上,469万,2室2厅 | 81.72平米 | 南 | 精装 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QbQQpFMEa_1.jpg.296x216.jpg
20201223,闵行,梅陇,双南双阳台，精装两房，楼层位置佳，配套齐全交通便利新上,468万,2室1厅 | 79.35平米 | 南 | 精装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Zru2fg5HP_1.jpg.296x216.jpg
20201223,闵行,梅陇,户型好，楼层好，楼层好。看房方便新上,380万,2室1厅 | 73.75平米 | 南 | 精装 | 中楼层(共5层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4a9INuwPT_1.jpg.296x216.jpg
20201223,闵行,梅陇,景观大两房，楼层好，视野开阔，交通便利,430万,2室1厅 | 88.92平米 | 东 | 简装 | 中楼层(共26层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_Obcec9yFd_1.jpg.296x216.jpg
20201223,闵行,梅陇,美丽家园+精装修+地暖+南北两房+采光好,362万,2室1厅 | 66.57平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SEPMkbdVw_1.jpg.296x216.jpg
20201223,闵行,梅陇,两房朝南 全明户型 业主诚意出售 随时可看房房主自荐,430万,2室2厅 | 82.52平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_W7QcGUpP3_1.jpg.296x216.jpg
20201223,闵行,梅陇,户型方正，环境安静，采光无遮挡，不靠路，出门是地铁,870万,3室1厅 | 124.71平米 | 南 | 简装 | 低楼层(共11层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7YcEiHUmu_1.jpg.296x216.jpg
20201223,闵行,梅陇,一梯两户，两房朝南，近地铁，位置安静房主自荐,320万,2室1厅 | 60.5平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kzMG9GkI4_1.jpg.296x216.jpg
20201223,闵行,梅陇,《新上房源》《视野开阔》《采光充足》《户型全明》房主自荐,778万,2室2厅 | 102.85平米 | 南 | 精装 | 低楼层(共17层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GAQXzgm7s_1.jpg.296x216.jpg
20201223,闵行,梅陇,高区大三房，采光好，视野佳，二手买入，精装修房主自荐,1030万,3室2厅 | 165.47平米 | 南 西南 | 精装 | 高楼层(共12层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UgW7fSMla_1.jpg.296x216.jpg
20201223,闵行,梅陇,电梯顶楼复式，奢华大户型，楼上落地窗，带大露台房主自荐,1450万,5室2厅 | 196.44平米 | 南 | 精装 | 高楼层(共9层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5TjDi5kd4.jpg.296x216.jpg
20201223,闵行,梅陇,梅陇一村 2室1厅 南,265万,2室1厅 | 48.92平米 | 南 | 简装 | 中楼层(共4层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vPwGudQMq_1.jpg.296x216.jpg
20201223,闵行,梅陇,罗秀苑 2室2厅 南,430万,2室2厅 | 84.14平米 | 南 | 简装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AQuxJhCif_1.jpg.296x216.jpg
20201223,闵行,梅陇,满五年，采光通风好，动静分明，错落有致房主自荐,960万,3室2厅 | 140.12平米 | 南 北 | 精装 | 中楼层(共10层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3WrIMJfeE_1.jpg.296x216.jpg
20201223,闵行,梅陇,精装大两房+电梯中层+满五唯一房主自荐,640万,2室2厅 | 134.81平米 | 南 | 精装 | 中楼层(共16层) | 2001年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_g1jsdNaFo_1.jpg.296x216.jpg
20201223,闵行,梅陇,中间楼层！东边套全明户型，采光通风性好，看房方便房主自荐,310万,2室1厅 | 67.61平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-e28985ec-d377-4352-bdaf-bebcdb92f088.jpg.296x216.jpg
20201223,闵行,梅陇,全明户型,无遮挡视野好,位置好,实用三房新上,490万,3室2厅 | 97.95平米 | 南 北 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9nfpqJNUh_1.jpg.296x216.jpg
20201223,闵行,梅陇,满五年唯一   位置安静    总价低 小区交通配套好,352万,2室1厅 | 70.07平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_aOsVBR8BU_1.jpg.296x216.jpg
20201223,闵行,梅陇,两房朝南 中间楼层 税费少 业主急售,450万,2室2厅 | 82.52平米 | 南 | 简装 | 中楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4fKx1ZYM8_1.jpg.296x216.jpg
20201223,闵行,梅陇,满五年1/2唯一，采光好，视野开阔，配套成熟，近地铁,208万,1室1厅 | 41.78平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OFt6g8hK5_1.jpg.296x216.jpg
20201223,闵行,梅陇,高区三房+买进价高省税费+诚意出售,399万,3室1厅 | 90.01平米 | 东 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EwFunPhdk_1.jpg.296x216.jpg
20201223,闵行,梅陇,全明通透，视野开阔，采光好，诚意出售，价格可谈！房主自荐,363万,2室2厅 | 88.22平米 | 东北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xBg8OwQY7_1.jpg.296x216.jpg
20201223,闵行,梅陇,西边套全明大两房，大客厅采光超好，原始三房房主自荐,415万,2室2厅 | 80.96平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_aBb0Ob1Gv_1.jpg.296x216.jpg
20201223,闵行,梅陇,满五唯一+户型正气+一楼带花园房主自荐,398万,2室1厅 | 73.37平米 | 南 北 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pMYyqAPug_1.jpg.296x216.jpg
20201223,闵行,梅陇,店长主推！稀有精装三房两卫，一梯一户，总价低房主自荐,498万,3室2厅 | 116.72平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1uIACDMme_1.jpg.296x216.jpg
20201223,闵行,梅陇,此房南北通透+户型方正+采光充足+产权清晰+交通便利房主自荐,313万,2室1厅 | 66.35平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6NO1muPcS_1.jpg.296x216.jpg
20201223,闵行,梅陇,三房朝南 全明户型 位置安静 楼层好,588万,3室2厅 | 109.48平米 | 南 | 精装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_J34rsaYql_1.jpg.296x216.jpg
20201223,闵行,梅陇,满五唯一，中间楼层，全明户型，诚意出售房主自荐,191万,1室1厅 | 39.65平米 | 南 | 简装 | 中楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6hUNlbLAb_1.jpg.296x216.jpg
20201223,闵行,梅陇,新婚夫妻 买房 装修 精装两房一步到位 捡漏好房,365万,2室2厅 | 74.84平米 | 南 | 精装 | 高楼层(共7层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qsRkyYbUx_1.jpg.296x216.jpg
20201223,闵行,梅陇,满五税少+成熟小区+轨交房+采光透亮+”红色物业“房主自荐,230万,1室1厅 | 53.17平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yUNjYqFd3_1.jpg.296x216.jpg
20201223,闵行,梅陇,精装大两房+电梯高层视野好+满五唯一+户型正气,618万,2室2厅 | 124.95平米 | 南 | 精装 | 高楼层(共16层) | 2001年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_XJZe1LuAl_1.jpg.296x216.jpg
20201223,闵行,梅陇,墙裂推荐，近地铁双南中层，满五税少，精装全配诚售房主自荐,372万,2室1厅 | 73.57平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2dIKrESnB_1.jpg.296x216.jpg
20201223,闵行,梅陇,2000年商品房+非顶楼+全明南北大两房+现浇钢混结构房主自荐,420万,2室2厅 | 101.19平米 | 南 | 简装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EnJjT9Imz_1.jpg.296x216.jpg
20201223,闵行,梅陇,稀有三房带花园 户型正气 看房方便 得房率高房主自荐,485万,3室1厅 | 92.66平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_O0bfQJuj3_1.jpg.296x216.jpg
20201223,闵行,梅陇,大三房业主诚意位置安静不要吵闹视野好房主自荐,900万,3室2厅 | 146.98平米 | 南 北 | 简装 | 低楼层(共11层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_g1bOuopL2_1.jpg.296x216.jpg
20201223,闵行,梅陇,南北通+全明大三房+沿河景观+很安静+满五唯一房主自荐,818万,3室2厅 | 126平米 | 南 | 简装 | 低楼层(共14层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_p4pcxw1OY_1.jpg.296x216.jpg
20201223,闵行,梅陇,装修精致，视野好，南北通透，价格包含产权车位房主自荐,755万,3室2厅 | 97.97平米 | 南 北 | 精装 | 中楼层(共18层) | 2016年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gvPj7zRJC_1.jpg.296x216.jpg
20201223,闵行,梅陇,南北双阳台，采光通风好，小区里面位置，位置安静房主自荐,499万,3室2厅 | 101.4平米 | 南 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_91A4iYY2z_1.jpg.296x216.jpg
20201223,闵行,梅陇,大平层，气派客厅，小区安静品质高，南北三阳台房主自荐,1050万,3室2厅 | 145平米 | 南 北 | 精装 | 中楼层(共4层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1509Fly8q_1.jpg.296x216.jpg
20201223,闵行,梅陇,沿河位置 采光好 近轨交 出行方便 商场500米房主自荐,839万,3室2厅 | 125.34平米 | 南 | 精装 | 低楼层(共7层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ceT8wT8HN_1.jpg.296x216.jpg
20201223,闵行,梅陇,房子位置安静，视野开阔，朝南看小区花园，靠 近地铁房主自荐,768万,2室2厅 | 108.54平米 | 南 | 精装 | 低楼层(共11层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZJH1NXUlF_1.jpg.296x216.jpg
20201223,闵行,梅陇,买入价高 税费少 精装修全明户型 安静 不临街,750万,2室2厅 | 112.32平米 | 南 北 | 简装 | 低楼层(共8层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4zeKuVlU8_1.jpg.296x216.jpg
20201223,闵行,梅陇,价格可谈，边套全明精装大三房，无遮挡采光通风好房主自荐,610万,3室2厅 | 122.84平米 | 南 | 精装 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xJ2ShNA1c_1.jpg.296x216.jpg
20201223,闵行,梅陇,三开间朝南+中间楼层+沿河景观+两房两卫+拎包入住新上,750万,2室2厅 | 107.93平米 | 南 | 精装 | 低楼层(共24层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_65emUHqHW_1.jpg.296x216.jpg
20201223,闵行,梅陇,四村经典南北两房，中间位置户型方正新上,255万,2室1厅 | 51.99平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ybleKrGfc_1.jpg.296x216.jpg
20201223,闵行,梅陇,中楼层全明两房，税费少，交通便利房主自荐,365万,2室1厅 | 71.08平米 | 南 | 精装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_i7OWAAvlb_1.jpg.296x216.jpg
20201223,闵行,梅陇,满五唯一 +全明户型+精装修双南两房+交通方便+楼层好房主自荐,375万,2室1厅 | 68.56平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tikK5XTWg_1.jpg.296x216.jpg
20201223,闵行,梅陇,店主力荐！看房有钥匙+好楼层+双南全明户型！房主自荐,389万,2室2厅 | 80.2平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DfcQK86ZC.jpg.296x216.jpg
20201223,闵行,梅陇,业主诚心!现浇楼板！户型方正！房主自荐,500万,2室2厅 | 96.16平米 | 南 | 精装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qMAPOt0Kq_1.jpg.296x216.jpg
20201223,闵行,梅陇,采光视野好，双南户型方正，拎包入住，诚意出售房主自荐,308万,2室1厅 | 73.66平米 | 南 北 | 简装 | 高楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_z7UxHJonF_1.jpg.296x216.jpg
20201223,闵行,梅陇,高区采光，通风效果好，南北两房，出入便利房主自荐,280万,2室1厅 | 59.27平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8BbbyazOp_1.jpg.296x216.jpg
20201223,闵行,梅陇,户型方正精装修，边套全明景观好，满五唯一税费少房主自荐,249万,2室1厅 | 53.81平米 | 南 北 | 精装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PL3rIMxHq_1.jpg.296x216.jpg
20201223,闵行,梅陇,梅陇一村，满五，地铁一号线锦江乐园。看房提前约房主自荐,328万,3室1厅 | 85.03平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_89SuuJxcJ_1.jpg.296x216.jpg
20201223,闵行,梅陇,户型好，南北通透；精装修；采光好；视野无遮挡,368万,2室1厅 | 71.4平米 | 北 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NXIdAMiBo_1.jpg.296x216.jpg
20201223,闵行,梅陇,满五唯一+南北直通+中间楼层+公园式居住环境房主自荐,499万,2室2厅 | 91.24平米 | 南 | 简装 | 中楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cWjFotbdk_1.jpg.296x216.jpg
20201223,闵行,梅陇,采光好，南北通三房，通风性强，简单装修，拎包住,500万,3室2厅 | 97.51平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KhAU5o0xr_1.jpg.296x216.jpg
