20201223,宝山,月浦,刚需一居室 诚心出售  随时可看 非顶楼必看好房,135万,1室1厅 | 41.85平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4Yzk3i7LX_1.jpg.296x216.jpg
20201223,宝山,月浦,您是不是在上海想要有个家？它来咯！户型好，还不贵！房主自荐,181万,2室1厅 | 55.16平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7WzN6j3DO_1.jpg.296x216.jpg
20201223,宝山,月浦,月浦新城板块 次新房 顶楼带阁楼房主自荐,340万,2室2厅 | 91.28平米 | 南 北 | 简装 | 高楼层(共14层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_M9XExZkAO_1.jpg.296x216.jpg
20201223,宝山,月浦,月浦七村中间楼层一房，小区门口，看房方便有钥匙！,126万,1室1厅 | 41.47平米 | 南 | 简装 | 中楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LzUZhYrqT.jpg.296x216.jpg
20201223,宝山,月浦,惠阳苑 2室1厅 南,268万,2室1厅 | 89.52平米 | 南 | 简装 | 中楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iPFIgrCzD.jpg.296x216.jpg
20201223,宝山,月浦,满五唯一，简单装修，拎包入住，随时可看房主自荐,300万,3室1厅 | 89.56平米 | 南 北 | 简装 | 中楼层(共11层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9p5RN6KTb.jpg.296x216.jpg
20201223,宝山,月浦,中冶祥腾宝月花园 3室2厅 南房主自荐,330万,3室2厅 | 95.06平米 | 南 | 精装 | 中楼层(共14层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_P074PxTUR.jpg.296x216.jpg
20201223,宝山,月浦,电梯房看房随时  满五唯一 小区前排,270万,3室2厅 | 86.73平米 | 南 | 其他 | 高楼层(共14层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Z3RcTm9e9.jpg.296x216.jpg
20201223,宝山,月浦,带车位，居家装修三房，电梯房，楼层好,270万,3室2厅 | 84平米 | 南 北 | 精装 | 中楼层(共11层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sB5kwzYRU.jpg.296x216.jpg
20201223,宝山,月浦,次新房，精装修，通透通风，诚意出售，可以看房房主自荐,258万,3室1厅 | 78.14平米 | 南 北 | 精装 | 中楼层(共7层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fg7LwvZUc_1.jpg.296x216.jpg
20201223,宝山,月浦,婚房装修 电梯高楼层 视野好 采光好 全套美凯龙家具房主自荐,260万,2室1厅 | 74.51平米 | 南 北 | 精装 | 高楼层(共11层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_X1t5OmHiA.jpg.296x216.jpg
20201223,宝山,月浦,满五唯一，小房型大阳台，看房方便，诚心出售房主自荐,199万,1室1厅 | 61.21平米 | 南 | 简装 | 低楼层(共11层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gfps33g6G.jpg.296x216.jpg
20201223,宝山,月浦,月浦次新房 大两房 楼层好 自住可直接入住房主自荐,265万,2室2厅 | 94.02平米 | 南 | 精装 | 中楼层(共13层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iC09SoZ2I_1.jpg.296x216.jpg
20201223,宝山,月浦,月浦好房，双南方厅大卧室，全明正气户型房主自荐,199.5万,2室1厅 | 69.83平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_44qlLC1fC.jpg.296x216.jpg
20201223,宝山,月浦,满五唯一、精装修拎包入住，非顶楼房主自荐,128万,1室1厅 | 39.34平米 | 南 北 | 精装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vVA16lIRy.jpg.296x216.jpg
20201223,宝山,月浦,此房满五唯一，双南户型，采光充足房主自荐,136万,2室0厅 | 48.12平米 | 南 | 简装 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jWWFbtI6c_1.jpg.296x216.jpg
20201223,宝山,月浦,双南户型！采光好！位置佳！出行便利！满五唯一！房主自荐,176万,2室1厅 | 56.1平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YIoeqE9p9_1.jpg.296x216.jpg
20201223,宝山,月浦,乐业一村南北两居室 高楼层采光好 优质两居室,178万,2室1厅 | 54.98平米 | 南 北 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UAVUPHHNw.jpg.296x216.jpg
20201223,宝山,月浦,房子在中上楼层，视野好，繁华地段，总价低的电梯房房主自荐,190万,2室1厅 | 67.16平米 | 南 | 简装 | 中楼层(共14层) | 1993年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_E6qqmlhBw.jpg.296x216.jpg
20201223,宝山,月浦,此房满五唯一，南北户型，单价低，近地铁，看房方便房主自荐,185万,2室1厅 | 61.91平米 | 南 | 毛坯 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_oldneRGO5.jpg.296x216.jpg
20201223,宝山,月浦,月浦八村 业主诚心出售 满五唯一 楼层视野开阔房主自荐,172万,2室1厅 | 52.67平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_x8ZmeCyyR.jpg.296x216.jpg
20201223,宝山,月浦,月浦七村双南户型，采光好，视野好，精装修房主自荐,160万,2室1厅 | 50.94平米 | 南 | 精装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8lKMrNRz8.jpg.296x216.jpg
20201223,宝山,月浦,满五唯一  南北户型 厨卫全明 单价不到3万房主自荐,160万,2室1厅 | 54.9平米 | 南 | 简装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TUeinhy2o.jpg.296x216.jpg
20201223,宝山,月浦,方正户型诚意出售 采光充足居住舒适房主自荐,258万,3室1厅 | 85.28平米 | 南 | 简装 | 低楼层(共7层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ziDbUZWB5_1.jpg.296x216.jpg
20201223,宝山,月浦,花园洋房，户型方正，业主诚意出售，可以看房,253万,3室2厅 | 84.75平米 | 南 | 精装 | 中楼层(共7层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SpQITl0uM_1.jpg.296x216.jpg
20201223,宝山,月浦,近地铁  南北户型  低楼层 带院子新上,195万,2室1厅 | 53平米 | 南 北 | 简装 | 低楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_StkGLFTmd_1.jpg.296x216.jpg
20201223,宝山,月浦,满五唯一，户型正气，精装修，拎包入住。房主自荐,290万,3室2厅 | 89.72平米 | 南 | 简装 | 中楼层(共11层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mr4UY3J9S.jpg.296x216.jpg
20201223,宝山,月浦,德都路165弄 2室1厅 南,212万,2室1厅 | 60.28平米 | 南 | 精装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MulJ33ODO_1.jpg.296x216.jpg
20201223,宝山,月浦,近地铁，双南方厅，精装业主自住，诚意出售，可以看房房主自荐,208万,2室1厅 | 55.66平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AftZShRh7.jpg.296x216.jpg
20201223,宝山,月浦,月浦七村，中间楼层，大一房，户型全明，近小区大门！,138万,1室1厅 | 41.47平米 | 南 | 简装 | 中楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7mkn0qh7X.jpg.296x216.jpg
20201223,宝山,月浦,房龄1996年 双南大厅 全明 双阳台,280万,2室2厅 | 99.47平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JUWrNYq21_1.jpg.296x216.jpg
20201223,宝山,月浦,2012年次新小区电梯房 精装修 南北通 两房一厅房主自荐,248万,2室1厅 | 78.43平米 | 南 | 精装 | 低楼层(共14层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mqGcjP4bC_1.jpg.296x216.jpg
20201223,宝山,月浦,双南户型  产权清晰  低楼层,153万,2室1厅 | 47.21平米 | 南 | 简装 | 中楼层(共5层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8CuJfUQlJ.jpg.296x216.jpg
20201223,宝山,月浦,满五唯一 精装修 双南户型 采光好房主自荐,255万,2室2厅 | 88平米 | 南 | 精装 | 中楼层(共11层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YgtRsNiVC_1.jpg.296x216.jpg
20201223,宝山,月浦,满五唯一 双南户型 中间楼层 全明户型房主自荐,193万,2室1厅 | 53.45平米 | 南 | 精装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sV90YQzf1.jpg.296x216.jpg
20201223,宝山,月浦,近地铁方正双南房 正气户型居住舒适房主自荐,273万,2室1厅 | 76.79平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VWm5tv3GK.jpg.296x216.jpg
20201223,宝山,月浦,2015年次新房  满五唯一 精装修房主自荐,225万,2室1厅 | 74.06平米 | 南 | 精装 | 高楼层(共13层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RmLfGIoar.jpg.296x216.jpg
20201223,宝山,月浦,近地铁，三房两厅，全明，采光好，诚心卖，价格好商量房主自荐,360万,3室2厅 | 123.8平米 | 南 北 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fcacV5rmg.jpg.296x216.jpg
20201223,宝山,月浦,三房两卫，户型方正，格局好，业主诚意出售，可看房房主自荐,400万,3室2厅 | 141.89平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NZUBpR4TI.jpg.296x216.jpg
20201223,宝山,月浦,阳光美林低楼层大面积大三房好房子,320万,3室2厅 | 122.07平米 | 南 | 毛坯 | 低楼层(共11层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_j1UMCllYr_1.jpg.296x216.jpg
20201223,宝山,月浦,三房，精装修，总计低，2014年小区，电梯房房主自荐,265万,3室2厅 | 85.2平米 | 南 北 | 精装 | 中楼层(共7层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DC7NBJhH6.jpg.296x216.jpg
20201223,宝山,月浦,楼层好！满五年唯一！户型方正！房主自荐,260万,2室2厅 | 89.52平米 | 南 北 | 简装 | 中楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AaAPxXELV_1.jpg.296x216.jpg
20201223,宝山,月浦,有钥匙看房方便 中等楼层 满五年 可拎包入住房主自荐,265万,2室2厅 | 96.28平米 | 南 | 其他 | 中楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qzZXFIFdm_1.jpg.296x216.jpg
20201223,宝山,月浦,新月时代家园！精装修！户型方正！得房率高！随时看房房主自荐,310万,2室2厅 | 88.94平米 | 南 | 精装 | 中楼层(共11层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_y3jWS2Jq0.jpg.296x216.jpg
20201223,宝山,月浦,次新房小区 环境优美 交通便利户型正气,410万,4室2厅 | 137平米 | 南 | 其他 | 高楼层(共11层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_S5c4luRvH.jpg.296x216.jpg
20201223,宝山,月浦,拎包入住！采光好！精装修!三房改两房!满五唯一,248万,2室2厅 | 69.16平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8KaXb4zAk.jpg.296x216.jpg
20201223,宝山,月浦,满五唯一，楼层好，采光足。诚意出售，随时可以看房房主自荐,390万,2室2厅 | 109.03平米 | 南 | 精装 | 高楼层(共13层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VqN7ZSlHm.jpg.296x216.jpg
20201223,宝山,月浦,买房就要买实惠 刚需客 不要错过了房主自荐,258万,2室2厅 | 93.94平米 | 南 | 精装 | 低楼层(共13层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2IAWUzmba_1.jpg.296x216.jpg
20201223,宝山,月浦,近地铁，大三房，户型方正，格局好，业主诚意出售房主自荐,455万,3室2厅 | 129.54平米 | 南 | 简装 | 中楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4o5QoIzVq.jpg.296x216.jpg
20201223,宝山,月浦,小区居中大三房两厅近地铁，全明采光好，户型正气房主自荐,415万,3室2厅 | 134平米 | 南 北 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_esvnUomGJ.jpg.296x216.jpg
20201223,宝山,月浦,满五唯一，毛坯房，任你装修。全明格局。,330万,2室2厅 | 101.8平米 | 南 北 | 毛坯 | 低楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OxeStrMfc.jpg.296x216.jpg
20201223,宝山,月浦,新月时代家园 2室2厅 南,330万,2室2厅 | 95平米 | 南 | 精装 | 低楼层(共12层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XDzBnPp3I.jpg.296x216.jpg
20201223,宝山,月浦,满五唯一，拎包入住，电梯房，近地铁，预约看房房主自荐,484万,3室2厅 | 121.43平米 | 南 | 精装 | 低楼层(共11层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_u4p9BJrWu.jpg.296x216.jpg
20201223,宝山,月浦,满五唯一，楼层好，采光足。诚意出售，随时可以看房房主自荐,400万,2室2厅 | 109.03平米 | 南 | 精装 | 高楼层(共13层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1xjjuXkED_1.jpg.296x216.jpg
20201223,宝山,月浦,房子是本小区经典四房 户型正气 精装带车位,438万,4室2厅 | 137.14平米 | 南 | 精装 | 高楼层(共11层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EmjYkpOSv_1.jpg.296x216.jpg
20201223,宝山,月浦,满五年唯一，居家装修，拎包入住，经典三房，看房方便,272万,3室2厅 | 89.5平米 | 南 | 精装 | 中楼层(共11层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sAuLW58Rr.jpg.296x216.jpg
20201223,宝山,月浦,新城物业，次新房，花园洋房带电梯，诚意出售，可看房房主自荐,280万,3室1厅 | 85.28平米 | 南 北 | 精装 | 低楼层(共7层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_08v0BoqC1.jpg.296x216.jpg
20201223,宝山,月浦,红房子2001年，满五唯一  ，近3号线江杨北路站房主自荐,350万,2室2厅 | 103.11平米 | 南 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QYL33Nb7u.jpg.296x216.jpg
20201223,宝山,月浦,南北通透，中间楼层，小区位置好，看房方便。房主自荐,185万,2室1厅 | 54.16平米 | 南 北 | 毛坯 | 中楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dc7WBjU1H.jpg.296x216.jpg
20201223,宝山,月浦,中冶尚园  1号线  一室两厅 精装修房主自荐,205万,1室2厅 | 62平米 | 南 | 精装 | 高楼层(共11层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rr8bCfOd8_1.jpg.296x216.jpg
20201223,宝山,月浦,新城物业，次新小区，花园洋房带电梯，低密度社区,260万,3室2厅 | 83.22平米 | 南 北 | 简装 | 低楼层(共8层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DACA4wIve_1.jpg.296x216.jpg
20201223,宝山,月浦,满五唯一，精装修，拎包入住，看房提前联系房主自荐,412万,4室2厅 | 125.33平米 | 南 北 | 精装 | 高楼层(共11层) | 2012年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-82a5646f-50b7-445e-8f2b-4c797e0c3f8a.jpg.296x216.jpg
20201223,宝山,月浦,复式带阁楼 使用面积大 产权清晰 南北通,280万,2室2厅 | 92.29平米 | 南 | 其他 | 高楼层(共5层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nttf7j4eT_1.jpg.296x216.jpg
20201223,宝山,月浦,满五唯一，精装修，拎包入住，总价低。房主自荐,200万,1室1厅 | 61平米 | 南 | 精装 | 中楼层(共11层) | 2012年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_BVBqfczXA_1.jpg.296x216.jpg
20201223,宝山,月浦,少有复式精装修，满五唯一，业主诚心出售，欢迎咨询。,230万,2室1厅 | 59.6平米 | 南 | 简装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_P4pgRGxNA.jpg.296x216.jpg
20201223,宝山,月浦,南北格局，精装修，拎包入住，诚心出售,205万,2室1厅 | 62.45平米 | 南 | 简装 | 中楼层(共11层) | 2012年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_lwDG5W8cA.jpg.296x216.jpg
20201223,宝山,月浦,富锦路1659弄  双南两房 厨卫全明 户型方正房主自荐,240万,2室2厅 | 70.8平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CFkWqrywW.jpg.296x216.jpg
20201223,宝山,月浦,宝月花园 满五唯一 业主诚心出售 看房方便房主自荐,240万,2室2厅 | 79.25平米 | 南 | 简装 | 高楼层(共14层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_f6FCnwXV4_1.jpg.296x216.jpg
20201223,宝山,月浦,看房方便，户型正气的两房，无增值税房主自荐,255万,2室2厅 | 91.37平米 | 南 | 毛坯 | 高楼层(共14层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kVtyXPtl1.jpg.296x216.jpg
