20201223,青浦,夏阳,近地铁 中间楼层 诚心出售 价格可以谈 满五必看好房,168万,1室1厅 | 63.92平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_c5ewENbAU_1.jpg.296x216.jpg
20201223,青浦,夏阳,大花园，急售 原始2室改3室  满。五唯，一 采光好房主自荐,299万,3室1厅 | 91.02平米 | 南 | 简装 | 低楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vYX1mxMKa_1.jpg.296x216.jpg
20201223,青浦,夏阳,金地经典复式户型，房东自住精装修，看房方便采光好,325万,2室2厅 | 110.78平米 | 南 | 精装 | 低楼层(共11层) | 2007年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-6fe1d142-881c-4b4e-b206-cfa8c5445ded.jpg.296x216.jpg
20201223,青浦,夏阳,保安大三房，采光通风俱佳，中间楼层，配套齐全房主自荐,265万,3室1厅 | 97.27平米 | 南 | 简装 | 中楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VRr6FWvH2_1.jpg.296x216.jpg
20201223,青浦,夏阳,17号青浦新城站，大四房，自住装修楼层好，看房方便,460万,4室2厅 | 139.61平米 | 南 | 简装 | 中楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jQoeLSyRt_1.jpg.296x216.jpg
20201223,青浦,夏阳,城东新村，中装三房，边套全明户型，诚心出售，随时看,194万,3室1厅 | 61.63平米 | 南 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FfKiOGzpM_1.jpg.296x216.jpg
20201223,青浦,夏阳,中铁二期 楼层好精装修拎包入住,415万,3室2厅 | 98.9平米 | 南 | 精装 | 高楼层(共13层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_N6FbKU1rS_1.jpg.296x216.jpg
20201223,青浦,夏阳,景观楼层 近地铁 看房方便 精装修,448万,3室2厅 | 160.31平米 | 南 | 简装 | 高楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DQhmDzJ4X_1.jpg.296x216.jpg
20201223,青浦,夏阳,进地铁  户型方正 宜居宜住 品质生活,370万,3室1厅 | 121.5平米 | 南 | 精装 | 高楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sgt1akdnZ.jpg.296x216.jpg
20201223,青浦,夏阳,5复6楼还带一个阁楼  商品房  近地铁 诚意出售。,460万,4室2厅 | 176.22平米 | 南 | 简装 | 高楼层(共5层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_e81auYYWf_1.jpg.296x216.jpg
20201223,青浦,夏阳,中低楼层，满五唯一，临河景观，全明户型,220万,2室2厅 | 68.94平米 | 南 | 简装 | 低楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jL5lgG87l_1.jpg.296x216.jpg
20201223,青浦,夏阳,《金地格林郡》错层花园洋房 品质高、端住宅随时可看,380万,3室2厅 | 136.59平米 | 南 | 毛坯 | 中楼层(共5层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ktZ6z5e8w_1.jpg.296x216.jpg
20201223,青浦,夏阳,全明双南两房，一梯两户，位置好采光佳。看房便利,195万,2室1厅 | 66.67平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Vn1PMi5HQ_1.jpg.296x216.jpg
20201223,青浦,夏阳,大虹桥辐射区小户型  地铁900米  毓秀  看房方便房主自荐,195万,2室1厅 | 51.67平米 | 南 | 精装 | 低楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8t4dE2Wgn_1.jpg.296x216.jpg
20201223,青浦,夏阳,满五唯一，精装修，位置好，顶楼带阁楼,288万,2室1厅 | 77.81平米 | 南 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AOdCv2lcy_1.jpg.296x216.jpg
20201223,青浦,夏阳,近地铁，花园好房，房东诚心出售房主自荐,190万,1室1厅 | 49.52平米 | 南 北 | 精装 | 低楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SzyJBHu8c_1.jpg.296x216.jpg
20201223,青浦,夏阳,满五唯一 中楼层 低总价 蓬莱仙品  安家直选 手慢无哦房主自荐,203万,2室1厅 | 68.04平米 | 南 | 简装 | 中楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ADOzikYou_1.jpg.296x216.jpg
20201223,青浦,夏阳,华骥苑 南北通 户型方正 精装两房 房东诚心卖房主自荐,238万,2室1厅 | 89.7平米 | 南 | 精装 | 高楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Uql5Pzx6V_1.jpg.296x216.jpg
20201223,青浦,夏阳,夏阳湖双南两房，高楼层，景观房,325万,2室1厅 | 99.32平米 | 南 北 | 简装 | 高楼层(共17层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KpMNh3DlQ_1.jpg.296x216.jpg
20201223,青浦,夏阳,爱阁楼的朋友请不要错过了，满五唯一还全明房主自荐,220万,2室1厅 | 79.32平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1IskdjX0S_1.jpg.296x216.jpg
20201223,青浦,夏阳,此房满五年唯一税费少，楼栋位置好小区绿化尽收眼底,338万,2室1厅 | 98.28平米 | 南 | 简装 | 低楼层(共21层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mvH95AxOP_1.jpg.296x216.jpg
20201223,青浦,夏阳,蓬莱山庄小三房，刚需户型，总价低房主自荐,235万,3室2厅 | 82.02平米 | 南 | 简装 | 中楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_A9x9J16aX_1.jpg.296x216.jpg
20201223,青浦,夏阳,户型 方正拎包入住 近地铁 近宝龙房主自荐,335万,3室2厅 | 101.26平米 | 南 | 简装 | 低楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UCEBEuPdW_1.jpg.296x216.jpg
20201223,青浦,夏阳,飞机户型 带露台 佳佳幼儿园 毓秀，有钥匙看房随时,398万,3室2厅 | 146.57平米 | 南 北 | 简装 | 低楼层(共10层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rVJLF5Mvv_1.jpg.296x216.jpg
20201223,青浦,夏阳,房东诚心出售，楼层好采光好，视野宽阔！,350万,3室2厅 | 124平米 | 南 | 简装 | 高楼层(共11层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_z4eGxQl2Y.jpg.296x216.jpg
20201223,青浦,夏阳,新装修 中间楼层，青浦新城地铁，满五唯一，税费少房主自荐,290万,3室1厅 | 102.37平米 | 南 | 简装 | 中楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-cd71cc88-7d5a-496a-966c-b748e9c2eef4.jpg.296x216.jpg
20201223,青浦,夏阳,阁楼+阳台+精装+满五唯一+离地铁近+小区新,360万,3室2厅 | 77.34平米 | 南 | 精装 | 高楼层(共5层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CftJcK8bQ_1.jpg.296x216.jpg
20201223,青浦,夏阳,梦丹苑 大三房 全明户型 一手动迁 看房提前约 诚卖,265万,3室1厅 | 96.7平米 | 南 北 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rRH3COZ0z_1.jpg.296x216.jpg
20201223,青浦,夏阳,运杰城市花园 精装修小三房  南北通透 生活配套齐全,350万,3室2厅 | 124.2平米 | 南 北 | 精装 | 低楼层(共14层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KlvgYcbrG_1.jpg.296x216.jpg
20201223,青浦,夏阳,满五唯一，户型正气，采光很好，配套设施齐全,255万,3室1厅 | 110.61平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gdJeUsNsX_1.jpg.296x216.jpg
20201223,青浦,夏阳,蓬莱山庄大三房，正气干净清爽。,315万,3室2厅 | 133.16平米 | 南 | 精装 | 中楼层(共5层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_H6U3cPJs2_1.jpg.296x216.jpg
20201223,青浦,夏阳,新城盛景园 3室2厅 南,608万,3室2厅 | 119.74平米 | 南 | 精装 | 高楼层(共4层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_C6r8cZuYa_1.jpg.296x216.jpg
20201223,青浦,夏阳,一手动迁 税费低 少有中间楼层 南北通户型,263万,2室2厅 | 69.23平米 | 南 北 | 简装 | 低楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TzxOBPDpI_1.jpg.296x216.jpg
20201223,青浦,夏阳,地铁900米，毓秀，带阁楼60平，婚房精装修，拎包入住,340万,3室2厅 | 92.11平米 | 南 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_U9zqPtBVF_1.jpg.296x216.jpg
20201223,青浦,夏阳,全明大户型 诚意出售价格可谈 看房随时业主诚意出售,240万,2室2厅 | 81.54平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_L5jaoaE3z_1.jpg.296x216.jpg
20201223,青浦,夏阳,汇金地铁300米，总价低小户型，毓秀,190万,1室1厅 | 63.41平米 | 东 西 | 简装 | 中楼层(共7层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XQCJ8usbt_1.jpg.296x216.jpg
