20201223,长宁,天山,地铁口、二手买进满五少税，楼层好，采光足户型通透必看好房,1295万,3室2厅 | 142.15平米 | 南 北 | 精装 | 中楼层(共24层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZSVtC10N7_1.jpg.296x216.jpg
20201223,长宁,天山,2011年园林住宅，南北通两房，满五唯一，苏州河景观必看好房,1050万,2室1厅 | 88.64平米 | 南 | 精装 | 中楼层(共32层) | 2011年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/ff5b4c6b-7a80-4472-8b4c-a023b78b513e.png.296x216.jpg
20201223,长宁,天山,隔壁是公园，每天呼吸着氧离子，还有鸟儿叫您起床新上,650万,2室2厅 | 94.71平米 | 南 北 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0VTft33NP_1.jpg.296x216.jpg
20201223,长宁,天山,河风丽景 3室2厅 南,1498万,3室2厅 | 175.38平米 | 南 | 精装 | 低楼层(共18层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RdZKDox1D_1.jpg.296x216.jpg
20201223,长宁,天山,稀有舒适复式+威宁路地铁400米+高得房率+全明卧室全南,1350万,3室3厅 | 185.4平米 | 南 | 简装 | 中楼层(共5层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/7156fdf71c1cc1c662162b7cc897e0db-032.jpg.296x216.jpg
20201223,长宁,天山,地铁口  四房   采光通透  业主自住,1299万,4室2厅 | 152.93平米 | 南 北 | 精装 | 低楼层(共18层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iPdfjx0vw_1.jpg.296x216.jpg
20201223,长宁,天山,顶楼复式带露台+近威宁地铁站300米、满五年唯一、税少,1820万,5室3厅 | 226.14平米 | 南 北 | 精装 | 高楼层(共11层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HXfzeda1O_1.jpg.296x216.jpg
20201223,长宁,天山,满五唯一，单价低，带天井，业主诚意卖,295万,2室1厅 | 54.51平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EGs9ZaIHR_1.jpg.296x216.jpg
20201223,长宁,天山,品质小区，中间楼层，通透户型，带产权车位，看房可约,1335万,3室2厅 | 137.83平米 | 南 北 | 精装 | 中楼层(共26层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_baVgobK9E_1.jpg.296x216.jpg
20201223,长宁,天山,带车位，价格可谈，看房方便，诚意出售，视野开阔。新上,1720万,4室2厅 | 171.31平米 | 南 北 | 精装 | 低楼层(共28层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BrA3PMhEl_1.jpg.296x216.jpg
20201223,长宁,天山,近地铁，精装修，户型好，采光好，税费低,1398万,3室2厅 | 166.39平米 | 南 | 精装 | 低楼层(共18层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Kjji8lIGG_1.jpg.296x216.jpg
20201223,长宁,天山,新式装修，中环内，近地铁，户型方正，全明房主自荐,560万,2室2厅 | 96.73平米 | 南 北 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YdKCngcPM_1.jpg.296x216.jpg
20201223,长宁,天山,售后公房无增值税，超大阳台，威宁路精致一房,469万,1室1厅 | 54.41平米 | 南 | 简装 | 低楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UIFomdbu8_1.jpg.296x216.jpg
20201223,长宁,天山,满五唯一 房型方正 采光好 近地铁 看房方便,450万,2室2厅 | 72.91平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uDl0TcTJu_1.jpg.296x216.jpg
20201223,长宁,天山,内中环三房，房型好，税费少，拎包入住,860万,3室2厅 | 124.69平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jy3PTXPGz_1.jpg.296x216.jpg
20201223,长宁,天山,三期高区大平层 精装带地暖 满五唯一 带车位 急售,2650万,4室2厅 | 246.69平米 | 西南 | 精装 | 中楼层(共32层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jnNbc54nK_1.jpg.296x216.jpg
20201223,长宁,天山,河风丽景 3室2厅 南,1698万,3室2厅 | 205.36平米 | 南 | 精装 | 高楼层(共18层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_aMDTnNTBW_1.jpg.296x216.jpg
20201223,长宁,天山,独立电梯一梯一户 满五年唯一 税费少,1350万,3室2厅 | 171.02平米 | 南 北 | 精装 | 低楼层(共11层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KJCGlN4Oh_1.jpg.296x216.jpg
20201223,长宁,天山,2号线威宁500米，新出朝南三房，户型方正，空间好利用房主自荐,730万,3室2厅 | 123.74平米 | 南 | 精装 | 低楼层(共20层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_AOhibbcII_1.jpg.296x216.jpg
20201223,长宁,天山,业主诚意出售 两梯两户 小区中间位置 采光视野好,1250万,3室2厅 | 130.94平米 | 南 | 简装 | 低楼层(共16层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qm2vMFTRQ_1.jpg.296x216.jpg
20201223,长宁,天山,河风丽景 3室2厅 南,900万,3室2厅 | 155平米 | 南 | 精装 | 低楼层(共18层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_W8OBOfV2t_1.jpg.296x216.jpg
20201223,长宁,天山,小区房龄新 地铁2号线  位置好靠花园，采光无遮挡新上,715万,2室2厅 | 79.58平米 | 南 | 精装 | 低楼层(共18层) | 2009年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-76521c85-f553-4902-907c-2408eae829ff.jpg.296x216.jpg
20201223,长宁,天山,少有楼栋房源 大金空调 带产权车位 满五年 唯一 税少,1980万,3室2厅 | 185平米 | 南 | 精装 | 低楼层(共31层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EBs4UVYvE_1.jpg.296x216.jpg
20201223,长宁,天山,新上好房 房东诚意出售 房子采光视野好,620万,2室1厅 | 89.55平米 | 西南 | 精装 | 低楼层(共24层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_udLtKG7SC_1.jpg.296x216.jpg
20201223,长宁,天山,安龙大楼近地铁大一房，南北，诚意出售，欢迎实地看。,290万,1室1厅 | 47.9平米 | 南 | 简装 | 低楼层(共12层) | 1991年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_yar6n7k3e_1.jpg.296x216.jpg
20201223,长宁,天山,小户型，总价低，楼层好，近地铁，自住保养好,280万,1室1厅 | 41.61平米 | 北 | 精装 | 中楼层(共17层) | 1999年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_NXzE2m7zB_1.jpg.296x216.jpg
20201223,长宁,天山,对于上海资深剁手达人来说，住在商场边能一站式解决房主自荐,1280万,4室2厅 | 155.64平米 | 南 北 | 精装 | 低楼层(共11层) | 2001年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-37c76ad5-88cd-40d4-baaf-6214f1d413d0.jpg.296x216.jpg
20201223,长宁,天山,此房满五唯一，南北通户型，阳光充足，带34平米大花园,1250万,3室2厅 | 131.06平米 | 南 | 简装 | 低楼层(共24层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cUgUuX75e_1.jpg.296x216.jpg
20201223,长宁,天山,二房朝南户型，售后公房 出行方便近滨谷广场房主自荐,330万,2室1厅 | 53.24平米 | 南 | 简装 | 中楼层(共4层) | 1965年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HhTLifDMc_1.jpg.296x216.jpg
20201223,长宁,天山,二房朝南户型，售后公房唯一 出行方便近滨谷广场,425万,2室2厅 | 68.05平米 | 南 | 毛坯 | 高楼层(共4层) | 1965年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gAtcOwYKP_1.jpg.296x216.jpg
20201223,长宁,天山,单价低朝南户型，售后公房 出行方便近滨谷广场,260万,1室1厅 | 44.39平米 | 南 | 简装 | 中楼层(共4层) | 1965年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qG7UMJXff_1.jpg.296x216.jpg
20201223,长宁,天山,店长推荐:业主诚意出售，一梯一户私密性好，刷卡入户,970万,2室2厅 | 123.92平米 | 南 | 精装 | 低楼层(共11层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_e8z36HTgF_1.jpg.296x216.jpg
20201223,长宁,天山,唯一税少+精装修拎包入住+近地铁2号线15号线+配套成熟,330万,2室1厅 | 57.78平米 | 南 | 精装 | 低楼层(共12层) | 1991年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_ziTLl3k9D_1.jpg.296x216.jpg
20201223,长宁,天山,高区93平大两房+全明户型+房型正+诚意出售，看房方便房主自荐,585万,2室2厅 | 93.11平米 | 东南 | 精装 | 中楼层(共20层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_bzRmwo8eU_1.jpg.296x216.jpg
20201223,长宁,天山,2条地铁加持，南北2房，唯一一套,336万,2室1厅 | 54.62平米 | 南 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0GbpVjWvp_1.jpg.296x216.jpg
20201223,长宁,天山,满五唯一，税费少，高区，保养佳，诚意出售，可看,1050万,2室2厅 | 103.04平米 | 南 | 精装 | 高楼层(共26层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_q12E54xzL_1.jpg.296x216.jpg
20201223,长宁,天山,店长推荐；户型好+税费少+楼层好+得房率高+配套完善,850万,3室2厅 | 124.69平米 | 南 北 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ylwoZ477n_1.jpg.296x216.jpg
20201223,长宁,天山,少有楼栋房源 大金空调 带产权车位 满五年   税少哦,2300万,4室2厅 | 228.44平米 | 南 | 精装 | 中楼层(共32层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KsSeUOa0h_1.jpg.296x216.jpg
20201223,长宁,天山,地铁口，电梯房，高区，总价低大2房.新上,650万,2室1厅 | 101.19平米 | 南 | 简装 | 高楼层(共17层) | 1999年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/pc1_PvIFsCK45_1.jpg.296x216.jpg
20201223,长宁,天山,满五唯一，格局好，宽阔复式，少见户型，房东诚售,1150万,4室2厅 | 164.03平米 | 南 | 简装 | 高楼层(共11层) | 2004年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_6JjhYdGpj_1.jpg.296x216.jpg
20201223,长宁,天山,顶楼复式房   地铁口  精装带zhongyang空调 地暖房主自荐,1499万,5室2厅 | 218平米 | 南 | 精装 | 高楼层(共18层) | 2005年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_VEt8DFyp7_1.jpg.296x216.jpg
20201223,长宁,天山,南北通大四房，满五唯一，东边套看小区花园,1200万,4室2厅 | 155.64平米 | 南 | 精装 | 中楼层(共12层) | 2001年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_XToCiHymN_1.jpg.296x216.jpg
20201223,长宁,天山,一期高区三房 满五年  看Center绿化景观,1850万,3室2厅 | 179.24平米 | 西北 | 精装 | 高楼层(共21层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_koa9Z6JoA_1.jpg.296x216.jpg
20201223,长宁,天山,仁恒河滨花园三期高区景观房！视野开阔，景观棒,1880万,3室2厅 | 183.83平米 | 东南 | 精装 | 高楼层(共32层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Yju2wL1UW_1.jpg.296x216.jpg
20201223,长宁,天山,仁恒三期，全屋 中 央 空调带地暖，景观好，视野好！,1830万,3室2厅 | 184.58平米 | 南 | 精装 | 低楼层(共32层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LQNzUjfjD_1.jpg.296x216.jpg
20201223,长宁,天山,仁恒三期带个大花园、 带产权车位、 满五唯一。,2250万,4室2厅 | 246.69平米 | 南 | 简装 | 低楼层(共31层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mEOHaLNNX_1.jpg.296x216.jpg
20201223,长宁,天山,全明三房，业主诚意出售，交易条件清晰，位置好,1314万,3室2厅 | 141.32平米 | 南 | 精装 | 低楼层(共27层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0vBLVkTtT_1.jpg.296x216.jpg
20201223,长宁,天山,四房朝南，小区中间位置，位置安静，采光没有遮挡,1650万,4室2厅 | 192.7平米 | 南 | 精装 | 低楼层(共11层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vM5Oyxw3l_1.jpg.296x216.jpg
20201223,长宁,天山,小区中间位置 高区楼层 产权清晰,1350万,3室2厅 | 134.91平米 | 南 北 | 精装 | 高楼层(共16层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_e7k5yGgNP_1.jpg.296x216.jpg
20201223,长宁,天山,泰荣苑高区大四房带产权车位（另算），精装修视野开阔,1290万,4室2厅 | 161.49平米 | 南 | 精装 | 高楼层(共33层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dJFs6kgCk_1.jpg.296x216.jpg
20201223,长宁,天山,好房子，不多说，看了就知道，业主诚意出售,1350万,3室2厅 | 148.57平米 | 南 | 精装 | 中楼层(共28层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_V4RDlntGq_1.jpg.296x216.jpg
20201223,长宁,天山,楼层好，视野开阔，阳光充足，配套设施齐全，交通方便,480万,1室2厅 | 68.49平米 | 南 | 精装 | 中楼层(共24层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_j8wmJ3Edh_1.jpg.296x216.jpg
20201223,长宁,天山,单价低，1995年竣工的房子，全明户型，小区重新改造,340万,2室1厅 | 69.47平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-1415e38b-11c5-4ac0-b492-af75d83f5e2e.jpg.296x216.jpg
20201223,长宁,天山,中间楼层南北通，低总价，有钥匙方便看,270万,1室1厅 | 52.39平米 | 南 | 毛坯 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7oVuJKRtF_1.jpg.296x216.jpg
20201223,长宁,天山,单价便宜总价低，满五唯一税费低，楼层位置双佳,365万,2室1厅 | 71.82平米 | 南 | 毛坯 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UuqvH8OsG_1.jpg.296x216.jpg
20201223,长宁,天山,三期带大花园 层高三米 多重绿化隐私墙  带子母车位房主自荐,2145万,4室2厅 | 238平米 | 东南 | 精装 | 低楼层(共32层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tYqY5GiOc_1.jpg.296x216.jpg
20201223,长宁,天山,单价低，户型好，顶楼采光佳，看房方便,210万,1室1厅 | 37.4平米 | 南 | 精装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wOfEvvEgK_1.jpg.296x216.jpg
20201223,长宁,天山,中环内，近地铁，全明户型，看房方便,560万,2室2厅 | 96.73平米 | 南 北 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_ZcC5fvqZP_1.jpg.296x216.jpg
20201223,长宁,天山,满五唯一，经典小户型，屋况保养好。,1050万,2室2厅 | 84.84平米 | 西 | 简装 | 高楼层(共27层) | 2005年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_fekqTj768.jpg.296x216.jpg
20201223,长宁,天山,全新精装，业主方税少，南北通户型，高区视野开阔,1450万,3室2厅 | 139.1平米 | 南 | 精装 | 高楼层(共24层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LMM8mjvAT_1.jpg.296x216.jpg
20201223,长宁,天山,新出两房 满五唯一，高楼层，配套齐全，地铁口,660万,2室1厅 | 81.48平米 | 南 | 精装 | 高楼层(共18层) | 2007年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_BUbXvYOlW_1.jpg.296x216.jpg
20201223,长宁,天山,全明户型，通风好，近地铁，满五年唯一，税费少！,728万,2室2厅 | 81.48平米 | 南 | 精装 | 中楼层(共18层) | 2007年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_SSBCKc0oB_1.jpg.296x216.jpg
20201223,长宁,天山,精装修，绿化好，无遮挡，采光无影响,800万,2室1厅 | 74.72平米 | 南 | 精装 | 低楼层(共33层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RHYa2psui_1.jpg.296x216.jpg
20201223,长宁,天山,近地铁，南北通户型，通风好，生活配套成熟，诚意出售,315万,2室1厅 | 54.98平米 | 南 北 | 简装 | 低楼层(共12层) | 1991年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_m8S1dhel8_1.jpg.296x216.jpg
20201223,长宁,天山,朝南一房一厅、采光光照足，出行方便近滨谷广场,262万,1室1厅 | 38.03平米 | 南 | 简装 | 中楼层(共6层) | 1958年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qhwSf9OzL_1.jpg.296x216.jpg
20201223,长宁,天山,地铁口大1房  高层景观房   诚意出售,780万,1室1厅 | 71.73平米 | 南 | 精装 | 高楼层(共30层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_oTV7PFpXZ_1.jpg.296x216.jpg
20201223,长宁,天山,南北通，飞机户型，满五唯一，商品房，有地下产权车位,1430万,3室2厅 | 152.23平米 | 南 | 精装 | 中楼层(共22层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0pHH0c16m_1.jpg.296x216.jpg
20201223,长宁,天山,新天地河滨花园 3室2厅 南,1410万,3室2厅 | 143.48平米 | 南 | 精装 | 低楼层(共33层) | 2011年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-9f108d6b-7ff0-4926-959c-511c443407f6.png.296x216.jpg
20201223,长宁,天山,近地铁2号线威宁路站，买进价高，税费很少，小区高层,340万,2室0厅 | 54.98平米 | 南 | 毛坯 | 高楼层(共12层) | 1991年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_wwl11ghnx_1.jpg.296x216.jpg
20201223,长宁,天山,业主诚意出售，户型方正，看房方便房主自荐,248万,1室1厅 | 47.21平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_LpIB5Va0l_1.jpg.296x216.jpg
20201223,长宁,天山,后排大三房一梯一户，三房朝南采光好房主自荐,1250万,3室2厅 | 147平米 | 南 | 精装 | 低楼层(共11层) | 2009年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-2926ee03-57ff-4229-a4fb-f91d6b561c8b.jpg.296x216.jpg
20201223,长宁,天山,东边套全明采光好 17.5平大花园  装修好拎包入住房主自荐,268万,1室0厅 | 39.5平米 | 南 | 精装 | 低楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PQhfVSOsh_1.jpg.296x216.jpg
20201223,长宁,天山,地铁口 电梯房，9平花园别有天地，普通住宅更省成本房主自荐,280万,2室1厅 | 49.47平米 | 南 | 精装 | 低楼层(共12层) | 1991年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/pc1_l9BmsxzwZ_1.jpg.296x216.jpg
20201223,长宁,天山,五三小区 1室1厅 南房主自荐,253万,1室1厅 | 34.32平米 | 南 | 简装 | 中楼层(共5层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mjEf1q8wt_1.jpg.296x216.jpg
20201223,长宁,天山,店长强烈推荐；户型好、总价低、小区位置好、闹中取静,1030万,4室2厅 | 187.17平米 | 南 北 | 精装 | 低楼层(共10层) | 2007年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20170503/977341fb-d3e3-4d2d-aa17-4d2af71e68fe.jpg.296x216.jpg
20201223,长宁,天山,天山新苑 3室2厅 南新上,928万,3室2厅 | 124.69平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/7e1c3060-e63e-4fd9-b394-c611454ed190.png.296x216.jpg
20201223,长宁,天山,诚意出售，大两房，全明两卫，视野开阔，采光充足。新上,1100万,2室2厅 | 108.59平米 | 南 | 精装 | 低楼层(共28层) | 2006年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/922d16a3-babb-49ff-adeb-18dd197d7270.png.296x216.jpg
20201223,长宁,天山,近地铁，户型方正，视野宽阔，采光充足，设施齐全新上,760万,2室2厅 | 83平米 | 南 | 精装 | 低楼层(共18层) | 2007年建 | 板楼,http://image1.ljcdn.com/x-se/310000-frame/f85fd523-153f-4bd0-897b-0a9c65fedde5.png.296x216.jpg
20201223,长宁,天山,新天地河滨花园 2室1厅 南新上,1028万,2室1厅 | 90.27平米 | 南 | 精装 | 中楼层(共26层) | 2011年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/ff5b4c6b-7a80-4472-8b4c-a023b78b513e.png.296x216.jpg
20201223,长宁,天山,天山星城 2室2厅 南新上,960万,2室2厅 | 104.9平米 | 南 | 精装 | 低楼层(共14层) | 2008年建 | 板楼,
20201223,长宁,天山,满五年 业主诚意出售户型方正 产证清晰 采光好新上,580万,1室1厅 | 57.58平米 | 南 | 精装 | 低楼层(共18层) | 2009年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/test-dbf720a6-e0cf-4915-a009-8e07b171bb25.png.296x216.jpg
20201223,长宁,天山,小区中间位置，中间楼层，满五年唯一，南北通透随时约房主自荐,1285万,4室2厅 | 164.23平米 | 南 北 | 精装 | 中楼层(共12层) | 2002年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20170218/b7da4a76-32e7-4a6f-97f1-98b327c03b61.jpg.296x216.jpg
20201223,长宁,天山,《满五唯一》《距地铁口500米》，自住保养好房主自荐,260万,1室1厅 | 43.6平米 | 北 | 精装 | 高楼层(共18层) | 1999年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/a5dc8a47-5c56-474d-b8a4-eca56eb7ff31.png.296x216.jpg
20201223,长宁,天山,近地铁，观景房，高区采光好，配套齐全，税费少。,1400万,4室2厅 | 172.84平米 | 南 | 精装 | 高楼层(共18层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/76f39966acbc32ec3720abab61800b6c-069.jpg.296x216.jpg
20201223,长宁,天山,海逸公寓 3室2厅 南,1520万,3室2厅 | 144.79平米 | 南 | 精装 | 中楼层(共18层) | 2005年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/26841914-15f8-4e80-853b-8c3309033d65.png.296x216.jpg
20201223,长宁,天山,满5唯一，视野开阔 对小区绿化，整体屋况较好,950万,2室2厅 | 87.5平米 | 南 | 精装 | 低楼层(共33层) | 2011年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/31F959689B264DA88CBDBEF67C4F24B1___ccd34a23c22d730b37c3e97c195edb86.png.296x216.jpg
20201223,长宁,天山,满五唯一，小区中间位置，采光好，保养佳，诚意出售。,1030万,2室1厅 | 104.49平米 | 南 | 精装 | 低楼层(共24层) | 2006年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-efebfb90-229e-4b94-86a5-f38de18c0345.png.296x216.jpg
20201223,长宁,天山,天山华庭 1室1厅 南新上,610万,1室1厅 | 57.58平米 | 南 | 精装 | 高楼层(共18层) | 2009年建 | 板楼,http://image1.ljcdn.com/x-se/shfdfs-image/20141211/bb4d19c0-314e-4e45-915f-5669385ecc46.jpg.296x216.jpg
20201223,长宁,天山,精装修，整套家具全留下，小区中间，采光好新上,1000万,3室2厅 | 124.38平米 | 南 北 | 精装 | 低楼层(共7层) | 1998年建 | 板楼,
20201223,长宁,天山,新天地顶复  次新房  高区景观 带车位  南北通 装修好,2450万,6室4厅 | 285.25平米 | 南 | 精装 | 高楼层(共34层) | 2011年建 | 板楼,http://image1.ljcdn.com/x-se/310000-frame/9f6eeabb-c100-4117-adbb-23770d36e8d9.jpg.296x216.jpg
