20201223,嘉定,丰庄,笋盘出售+满五唯一+看房方便+采光充足必看好房,220万,1室1厅 | 50.84平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5toI4RLT6_1.jpg.296x216.jpg
20201223,嘉定,丰庄,双南大两房，14号地铁线，一梯两户，户型方正，采光好必看好房,335万,2室2厅 | 77.51平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xglJfe9oT_1.jpg.296x216.jpg
20201223,嘉定,丰庄,此房满五 税费少 采光通风好 交通便利必看好房,215万,1室1厅 | 47.43平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vBTpZlPrb_1.jpg.296x216.jpg
20201223,嘉定,丰庄,次新小区，中间楼层，车位充足，采光视野无遮挡。必看好房,470万,2室2厅 | 91.72平米 | 南 | 精装 | 中楼层(共18层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/9e2e97bf-c11e-4e4a-8a70-208ab36ebca5_1000.jpg.296x216.jpg
20201223,嘉定,丰庄,地铁品质小区全明户型楼层佳中间排安静无遮挡满五唯一必看好房,339万,2室1厅 | 65.92平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_oxm8ZiE8Z_1.jpg.296x216.jpg
20201223,嘉定,丰庄,满五唯一，楼层低，居家装修，带车位，房东诚心出售必看好房,288万,2室1厅 | 64.44平米 | 南 西南 西 西北 北 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CWW879VdQ_1.jpg.296x216.jpg
20201223,嘉定,丰庄,HOT地铁咫尺+满五唯一+精装带阁楼+看房方便+到价签字必看好房,272万,2室1厅 | 56.73平米 | 南 北 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Wda2TcJ0E_1.jpg.296x216.jpg
20201223,嘉定,丰庄,满五唯一 地铁口 低总价 户型塑造行强 手枪户型必看好房,235万,1室2厅 | 56.14平米 | 南 | 毛坯 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IX7nee3PS_1.jpg.296x216.jpg
20201223,嘉定,丰庄,一楼双南双天井 无遮挡 采光好 看房方便 业主诚意出售必看好房,339万,2室1厅 | 65.99平米 | 南 | 毛坯 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XkVyxQkS8_1.jpg.296x216.jpg
20201223,嘉定,丰庄,精装一室，一梯两户，满五唯一税费少，高层采光佳必看好房,185万,1室1厅 | 46.71平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cmUHxPH0J_1.jpg.296x216.jpg
20201223,嘉定,丰庄,近地铁、中间楼层、精装修拎包入住、配套齐全交通便利必看好房,310万,2室2厅 | 61.14平米 | 南 | 精装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lR01B9cSs_1.jpg.296x216.jpg
20201223,嘉定,丰庄,烫金楼层 地铁200米 满五唯一 精装修 总价低诚意出售必看好房,335万,2室1厅 | 71.41平米 | 南 北 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pMjMwe8Mk_1.jpg.296x216.jpg
20201223,嘉定,丰庄,近地铁 婚房装修 拎包入住 满五唯一 交通便利 采光好必看好房,204万,1室1厅 | 45.66平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_aov6C5pAE_1.jpg.296x216.jpg
20201223,嘉定,丰庄,笋盘推荐！板式南北通！99年商品房！近地铁带花园！必看好房,398万,2室1厅 | 74.8平米 | 南 | 简装 | 低楼层(共5层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MiqaVVOO3_1.jpg.296x216.jpg
20201223,嘉定,丰庄,南北套+精装修+高楼层+地铁14号线+业主急售+价格可谈新上,440万,2室2厅 | 83.85平米 | 南 北 | 精装 | 中楼层(共16层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/9dfe8e41-d21a-4376-ade7-6728d1de20fb_1000.jpg.296x216.jpg
20201223,嘉定,丰庄,边套，户型正气，楼层好，客厅有窗，带双露台新上,335万,3室1厅 | 75平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3kIVzhQBy_1.jpg.296x216.jpg
20201223,嘉定,丰庄,HOT3/4动迁税少+不靠马路+低楼层+key房房主自荐,489万,2室2厅 | 87.13平米 | 南 北 | 简装 | 低楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/c414bde7-c2cd-40bd-8e08-b889f1e5cbdc_1000.jpg.296x216.jpg
20201223,嘉定,丰庄,新上房源+近地铁+满五唯一+南北通+户型整齐+全明户型新上,238万,2室1厅 | 45.63平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/87174872-4bf1-4b2b-b24f-3a2b8a147969_1000.jpg.296x216.jpg
20201223,嘉定,丰庄,步行街上精致三房 楼层好视野开阔 总价低 满五唯一房主自荐,495万,3室2厅 | 92.03平米 | 南 | 简装 | 低楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ICvzDppAU_1.jpg.296x216.jpg
20201223,嘉定,丰庄,新上复式+小区位置好+大虹桥辐射区+采光好诚售,430万,4室1厅 | 104.26平米 | 南 | 简装 | 高楼层(共7层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/1e980732-8917-487d-8a8d-0bd93fc21db7_1000.jpg.296x216.jpg
20201223,嘉定,丰庄,小户型带天井，配套齐近中环百联梅川路步行街，诚意售房主自荐,218万,1室1厅 | 41.11平米 | 南 | 毛坯 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AUKvCwM5J_1.jpg.296x216.jpg
20201223,嘉定,丰庄,精装修，地铁口，满五唯一，看房方便，诚意出售房主自荐,555万,3室2厅 | 104.8平米 | 南 | 精装 | 低楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_enm1t4gsQ_1.jpg.296x216.jpg
20201223,嘉定,丰庄,四村中间位置三房+动迁房税少+诚意出售+配套成熟房主自荐,369万,3室1厅 | 75.55平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/4ff3f4b5-cf19-4358-b07f-c560f610f945_1000.jpg.296x216.jpg
20201223,嘉定,丰庄,笋盘出售+飞机户型湖景房+06年花园小区+交通配套齐全房主自荐,680万,3室2厅 | 118.24平米 | 南 北 | 简装 | 中楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/afccb7f1-b4c3-4957-b832-84e9d870d061_1000.jpg.296x216.jpg
20201223,嘉定,丰庄,小三房，满五年唯一，采光好位置好新上,408万,3室1厅 | 83.28平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tj4Frfv5u_1.jpg.296x216.jpg
20201223,嘉定,丰庄,此房户型方正，通风好，业主诚售。,599万,3室2厅 | 128.37平米 | 南 北 | 简装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CnvaCnwb3_1.jpg.296x216.jpg
20201223,嘉定,丰庄,此房满五，南北通秀，飞机户型，诚意出售。房主自荐,630万,3室2厅 | 134.92平米 | 南 北 | 精装 | 低楼层(共10层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fHgEDvACj_1.jpg.296x216.jpg
20201223,嘉定,丰庄,房型方正，两房朝南南北通，有朝南大花园，看房方便房主自荐,645万,3室2厅 | 109.11平米 | 南 北 | 简装 | 低楼层(共11层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sCdKe05u7_1.jpg.296x216.jpg
20201223,嘉定,丰庄,笋尖好房精装修 全明户型 双天井 带花园 三房户型,378万,3室2厅 | 69.76平米 | 南 | 精装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6ClMzmNM0_1.jpg.296x216.jpg
20201223,嘉定,丰庄,精装修  近地铁 配套齐全 交通便利 户型方正 采光好房主自荐,273万,2室1厅 | 63.92平米 | 东南 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_F5k4WvbOo_1.jpg.296x216.jpg
20201223,嘉定,丰庄,近地铁 居家精装 拎包入住  一梯两户房主自荐,285万,2室1厅 | 60.17平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_E5btBFEEW_1.jpg.296x216.jpg
20201223,嘉定,丰庄,金祥坊 1室1厅 南新上,240万,1室1厅 | 47.56平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YMX5Tby3H_1.jpg.296x216.jpg
20201223,嘉定,丰庄,低总价南北两房，近中环百联和梅川路步行街，诚意出售房主自荐,285万,2室1厅 | 59.5平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wg8VaN5NA_1.jpg.296x216.jpg
20201223,嘉定,丰庄,店长推荐：必看！正气两房！看房联系童经理！房主自荐,276万,2室1厅 | 63.78平米 | 南 北 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_INyKmzGiO_1.jpg.296x216.jpg
20201223,嘉定,丰庄,满五全明大窗，带天井，楼栋位置好，大虹桥商务板块房主自荐,262万,1室1厅 | 56.73平米 | 南 西北 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/5585c6ba-de4d-4526-ade1-d571a8904c09_1000.jpg.296x216.jpg
20201223,嘉定,丰庄,近地铁，售后公房税费少，全明户型，采光无遮挡房主自荐,340万,2室1厅 | 74.09平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8FVAjQWb0_1.jpg.296x216.jpg
20201223,嘉定,丰庄,此房满五年 双南两房采光好 看房方便 业主诚意出售新上,450万,2室2厅 | 81.66平米 | 南 | 简装 | 低楼层(共12层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_N91ROCw07_1.jpg.296x216.jpg
20201223,嘉定,丰庄,今日推荐+满五唯一+少有边套复式+精装修+诚意出售房主自荐,1020万,4室2厅 | 172平米 | 东南 | 精装 | 高楼层(共17层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SbGshCJaG_1.jpg.296x216.jpg
20201223,嘉定,丰庄,房子满五年 正规复式 2000年商品房 适合一大家子住房主自荐,760万,4室2厅 | 186.85平米 | 南 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bSd3scZQS_1.jpg.296x216.jpg
20201223,嘉定,丰庄,地铁边上的正气双南两房 中间楼层房主自荐,330万,2室1厅 | 66.5平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ssqAdtMDo_1.jpg.296x216.jpg
20201223,嘉定,丰庄,精装两房全明户型，采光视野优良，看房方便房主自荐,235万,2室1厅 | 63平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_82m5VniQ2_1.jpg.296x216.jpg
20201223,嘉定,丰庄,板式三房+花园位置+业主诚售+有钥匙,650万,3室2厅 | 133.24平米 | 南 | 简装 | 低楼层(共12层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/464edf8b-26c8-48a8-a627-fc63725427b2_1000.jpg.296x216.jpg
20201223,嘉定,丰庄,一村笋盘！精装精装！随时看房！购物方便！房主自荐,289万,2室1厅 | 64.44平米 | 南 西南 西北 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hdMtksqJW_1.jpg.296x216.jpg
20201223,嘉定,丰庄,好房，全明户型，采光充足，诚心出售，看房方便房主自荐,210万,1室1厅 | 47.34平米 | 南 北 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xcfcF1JPb_1.jpg.296x216.jpg
20201223,嘉定,丰庄,南北户型，双南一北双卫生间，飞机户型，采光通风很好,610万,3室2厅 | 124.76平米 | 南 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iQ9qK8g67_1.jpg.296x216.jpg
20201223,嘉定,丰庄,看房联系安经理 中间楼层 地铁口 户型好 诚心出售房主自荐,235万,1室1厅 | 48.49平米 | 南 | 精装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Mmav21ebg_1.jpg.296x216.jpg
20201223,嘉定,丰庄,精装两房，出租自住皆宜，业主诚意出售。房主自荐,338万,2室1厅 | 67.36平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AOhRpWtZ4_1.jpg.296x216.jpg
20201223,嘉定,丰庄,原始大三房,采光很好，位置方便，看房方便，全明户型房主自荐,370万,3室1厅 | 82.61平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/5001d9c9-e794-4dd1-aa14-c9899f966923_1000.jpg.296x216.jpg
20201223,嘉定,丰庄,hot房源+双南全明两房+可做南北通+采光好+诚心出售房主自荐,328万,2室1厅 | 66.77平米 | 南 | 简装 | 高楼层(共7层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rH6M7PYWD_1.jpg.296x216.jpg
20201223,嘉定,丰庄,小区位置好，采光无遮挡业主诚意出售房主自荐,272万,2室1厅 | 63.94平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8zYoiZYhN_1.jpg.296x216.jpg
20201223,嘉定,丰庄,此房满五唯一，一梯三户，采光无遮挡，诚意出售房主自荐,273万,2室1厅 | 64.3平米 | 南 北 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wkZqeqxQP_1.jpg.296x216.jpg
20201223,嘉定,丰庄,小区位置好，楼层佳，满五唯一，诚意出售,298万,2室1厅 | 60.51平米 | 南 | 精装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_O7Qop9sSJ_1.jpg.296x216.jpg
20201223,嘉定,丰庄,满五唯一，精装南北通三房，小区环境好，车位充足,586万,3室2厅 | 112.83平米 | 南 北 | 精装 | 低楼层(共16层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nQK6aCeHi_1.jpg.296x216.jpg
20201223,嘉定,丰庄,Open your eyes 环视丰庄  近地铁  小区绿化高,799万,3室2厅 | 126.45平米 | 南 | 简装 | 高楼层(共14层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PpWWvlXVV_1.jpg.296x216.jpg
20201223,嘉定,丰庄,1T2H精装修，采光好，中间位置，买进高,700万,3室2厅 | 128.3平米 | 南 北 | 精装 | 低楼层(共14层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/1f93fe25-c1c8-4a7a-bf16-4039bae26fe5_1000.jpg.296x216.jpg
20201223,嘉定,丰庄,中间楼层双南两房，一梯两户，诚意出售,315万,2室1厅 | 64.11平米 | 南 北 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Ai7d5rHYQ_1.jpg.296x216.jpg
20201223,嘉定,丰庄,HOT两室半+装修好+大虹桥+近地铁+适合居家+诚售,360万,2室2厅 | 78.82平米 | 南 北 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_L238eL6AE_1.jpg.296x216.jpg
20201223,嘉定,丰庄,次新小区，高区景观，南北通透，车位充足，采光无挡房主自荐,475万,2室2厅 | 89.41平米 | 南 北 | 精装 | 高楼层(共18层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rzlyc3Iy1_1.jpg.296x216.jpg
20201223,嘉定,丰庄,丰庄十四街坊 1室1厅 南,228万,1室1厅 | 47.68平米 | 南 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rKJtviNXh_1.jpg.296x216.jpg
20201223,嘉定,丰庄,房子满五年唯一，没有贷款，没有抵押，诚心出售房主自荐,185万,1室1厅 | 48.66平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hWboffV9P_1.jpg.296x216.jpg
20201223,嘉定,丰庄,南北通透 飞机户型 业主诚意出售 精装修 采光充足新上,780万,3室1厅 | 134.58平米 | 南 北 | 精装 | 中楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JKMdyatVE_1.jpg.296x216.jpg
20201223,嘉定,丰庄,2房朝南，一梯两户，不靠马路，低楼层房主自荐,325万,2室1厅 | 66.26平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lIyxDm6RW_1.jpg.296x216.jpg
20201223,嘉定,丰庄,HOT  简单清爽+key房+中间位置+近地铁房主自荐,196万,1室1厅 | 44.78平米 | 南 北 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jqPeIFDim_1.jpg.296x216.jpg
20201223,嘉定,丰庄,01年商品房，总高5楼顶楼带阁楼，满五唯一，产权清晰房主自荐,586万,3室2厅 | 130.41平米 | 南 | 精装 | 高楼层(共5层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qsiae4WfW_1.jpg.296x216.jpg
20201223,嘉定,丰庄,售后公房，低楼层大两房，随时可看，价格低房主自荐,370万,2室1厅 | 80.06平米 | 南 北 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XIenhgF2K_1.jpg.296x216.jpg
20201223,嘉定,丰庄,满五年唯一  小区高楼层  税费少房主自荐,318万,2室2厅 | 68.57平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rNp1A64Sx_1.jpg.296x216.jpg
20201223,嘉定,丰庄,这套房子位置好，采光完全没有遮挡的，税费低。房主自荐,323万,2室1厅 | 71.55平米 | 南 | 毛坯 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PEwq9K2Vi_1.jpg.296x216.jpg
20201223,嘉定,丰庄,2001年商品房+中间楼层+全明户型,269万,1室1厅 | 55.74平米 | 南 | 简装 | 低楼层(共14层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qRO6LUamT_1.jpg.296x216.jpg
20201223,嘉定,丰庄,2003年一梯两户商品房+大花园+南北通,510万,2室2厅 | 94.22平米 | 南 北 | 简装 | 低楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IgqcTgmdj_1.jpg.296x216.jpg
20201223,嘉定,丰庄,丰庄一村，购物便捷，2房朝南户。免增值税，1%个税房主自荐,295万,2室1厅 | 66.7平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_K4suHozKp_1.jpg.296x216.jpg
20201223,嘉定,丰庄,HOT!业主自住+干净清爽+诚心出售+采光充足,273万,2室1厅 | 60.21平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GXLTQmg92_1.jpg.296x216.jpg
20201223,嘉定,丰庄,通风采光好   诚意出售   小区正在翻新房主自荐,225万,1室1厅 | 45.96平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_suummeWdc_1.jpg.296x216.jpg
20201223,嘉定,丰庄,你没看过的房子！附带阳光房 朝南两房 业主诚意出售！房主自荐,490万,2室2厅 | 90.96平米 | 南 | 精装 | 低楼层(共18层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7euLv5gBN_1.jpg.296x216.jpg
20201223,嘉定,丰庄,主卧客厅朝南+全明户型+诚意出售+看房方便房主自荐,780万,3室2厅 | 139.87平米 | 南 北 | 精装 | 高楼层(共20层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jTWr2FHyT_1.jpg.296x216.jpg
20201223,嘉定,丰庄,原始小三房+双南双天井+房东诚意出售+地铁口+一梯两户,440万,2室2厅 | 90.41平米 | 南 北 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sALKEmAJQ_1.jpg.296x216.jpg
20201223,嘉定,丰庄,店长推荐：新上！精装双南两房！看房联系童经理！新上,279万,2室1厅 | 66.5平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-cfa012c5-0ad4-4838-aa8a-e5adb1b46203.png.296x216.jpg
20201223,嘉定,丰庄,户型方正+业主诚心出售+看房方便+总价合适！！！房主自荐,210万,1室1厅 | 41.9平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qNd1QVMS3_1.jpg.296x216.jpg
20201223,嘉定,丰庄,南北全明户型，户型正气，中间楼层，近地铁房主自荐,325万,2室1厅 | 67.6平米 | 南 北 | 精装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jA8UvGY8c_1.jpg.296x216.jpg
20201223,嘉定,丰庄,HOT+小两房+非顶楼+不靠马路+满五唯一房主自荐,259万,2室1厅 | 54.02平米 | 南 北 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pHASaMibO_1.jpg.296x216.jpg
20201223,嘉定,丰庄,中间楼层精装一房+近地铁+看房方便+诚心出售！房主自荐,214万,1室1厅 | 44.78平米 | 南 | 精装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wJTqAqO5L_1.jpg.296x216.jpg
20201223,嘉定,丰庄,商品房 ，低楼层，小区位置好，房东诚心出售房主自荐,260万,1室1厅 | 51.96平米 | 南 | 简装 | 低楼层(共7层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AotSXMziM_1.jpg.296x216.jpg
20201223,嘉定,丰庄,小区中间位置，采光好，动迁房免增值税，钥匙随时可看房主自荐,295万,2室1厅 | 67.17平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PBeqFUGhS_1.jpg.296x216.jpg
