20201223,浦东,川沙,妙栏小区两房出售中间楼层有钥匙看房方便必看好房,320万,2室1厅 | 73.39平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pMpUiZ3Pp_1.jpg.296x216.jpg
20201223,浦东,川沙,此房交通便利,总价低 ，房东诚意出售必看好房,215万,2室1厅 | 59.36平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OANtPlbhy_1.jpg.296x216.jpg
20201223,浦东,川沙,申华公寓 诚意出售 配套丰富 交通便利必看好房,229万,1室1厅 | 69.5平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LhJz6vHSW_1.jpg.296x216.jpg
20201223,浦东,川沙,全权委托，轨交通边，俯瞰东方明珠 带阳光房 精装，必看好房,1180万,4室2厅 | 170.88平米 | 南 | 精装 | 高楼层(共18层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KGco7wzm5_1.jpg.296x216.jpg
20201223,浦东,川沙,近地铁，带院子，无违章，使用面积大必看好房,222万,2室1厅 | 51.94平米 | 南 | 简装 | 低楼层(共5层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/1f369f04-5595-4736-a10e-d4a848a93a69_1000.jpg.296x216.jpg
20201223,浦东,川沙,华夏西校新上大两房，户型好，位置佳必看好房,287万,2室1厅 | 75.48平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Yn03HB0IZ_1.jpg.296x216.jpg
20201223,浦东,川沙,青厦小区，满五唯一，一楼带天井，带两卫，看房方便必看好房,316万,2室2厅 | 80.93平米 | 南 | 精装 | 低楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4Rxj0JmrB_1.jpg.296x216.jpg
20201223,浦东,川沙,近地铁，满五唯一，楼层好，配套设施齐全，诚意出售必看好房,275万,2室2厅 | 90.53平米 | 南 西南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MufMDlipa_1.jpg.296x216.jpg
20201223,浦东,川沙,06年商品房，精装修，位置好，南北通必看好房,465万,3室2厅 | 117.01平米 | 南 | 精装 | 高楼层(共7层) | 2006年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-4f27f539-c9fb-4a5f-9f63-34513407e7aa.jpg.296x216.jpg
20201223,浦东,川沙,这套房子是 位置好，比较安静，刚需和自住都不错必看好房,290万,1室1厅 | 59平米 | 南 | 简装 | 低楼层(共15层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jjf6hM1F9_1.jpg.296x216.jpg
20201223,浦东,川沙,12年动迁房小区 自住精装15万 南北通户型 位置安静必看好房,368万,2室2厅 | 78.23平米 | 南 北 | 精装 | 低楼层(共15层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fFbSUJKvl_1.jpg.296x216.jpg
20201223,浦东,川沙,自住精装修+六楼带阁楼+阁楼已经打通+中间位置必看好房,429万,3室2厅 | 100.46平米 | 南 | 精装 | 高楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_esKR5wriR_1.jpg.296x216.jpg
20201223,浦东,川沙,次新房带阁楼，户型方正，随时看房必看好房,482万,2室2厅 | 95.13平米 | 南 | 简装 | 高楼层(共6层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AJaTW2EEm_1.jpg.296x216.jpg
20201223,浦东,川沙,带双天井 近地铁  配套齐全得房率高 产权清晰诚心售卖必看好房,259万,3室1厅 | 78.95平米 | 南 | 简装 | 低楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wi99z8DZM_1.jpg.296x216.jpg
20201223,浦东,川沙,观澜+可谈价+中间楼层+全明正气的3房+总价低+紧俏房源必看好房,288万,3室1厅 | 84.15平米 | 南 | 简装 | 低楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_x9B5bA3lx_1.jpg.296x216.jpg
20201223,浦东,川沙,小区为次新房 户型正气 7房2卫  客厅明亮受欢迎必看好房,820万,7室2厅 | 250平米 | 北 南 | 简装 | 低楼层(共13层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/25dd8b38-e369-4030-b5b9-6cbcd2235a25_1000.jpg.296x216.jpg
20201223,浦东,川沙,天和湖滨家园 中间楼层 电梯房采光好 近2号线凌空路站必看好房,310万,2室2厅 | 94.16平米 | 南 | 简装 | 中楼层(共13层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jg3Z2ueS1_1.jpg.296x216.jpg
20201223,浦东,川沙,妙栏小区新出房 两房朝南 交通便利 配套齐全必看好房,315万,3室1厅 | 74.85平米 | 南 北 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b37aede3-cac1-47c1-b4be-944beb5c1fd5_1000.jpg.296x216.jpg
20201223,浦东,川沙,60多平大阁楼比楼下还高，  复式，满五年。必看好房,225万,2室2厅 | 77.76平米 | 南 北 | 简装 | 高楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GXxxeEdMx_1.jpg.296x216.jpg
20201223,浦东,川沙,绿海家园 两房朝南 满五唯一免个税 诚意出售价格可谈必看好房,215万,2室1厅 | 63.76平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cbS8bQIkX_1.jpg.296x216.jpg
20201223,浦东,川沙,园西双南户型，精装可随时入住，看房基本随时方便必看好房,239万,2室1厅 | 54.91平米 | 南 | 精装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_K1ssFpGOR_1.jpg.296x216.jpg
20201223,浦东,川沙,低于市场价格，中间楼层，两房朝南户型正，全明户型！必看好房,225万,2室1厅 | 67.18平米 | 东 | 简装 | 中楼层(共5层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OZXlhyPUV_1.jpg.296x216.jpg
20201223,浦东,川沙,1999年大两房+满五唯一+两房朝南+采光充足、交通便利必看好房,298万,2室2厅 | 90.96平米 | 南 | 精装 | 低楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yPFK2dbai_1.jpg.296x216.jpg
20201223,浦东,川沙,满五唯一，刚需一房楼层高户型好，采光好，楼层敞亮必看好房,213万,1室1厅 | 66.19平米 | 南 | 精装 | 中楼层(共13层) | 2010年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_rHYaNDaBC_1.jpg.296x216.jpg
20201223,浦东,川沙,精装自住，南北通双阳台，楼间距超宽，采光足满五唯一必看好房,335万,2室2厅 | 97.86平米 | 南 北 | 精装 | 低楼层(共13层) | 2010年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_xuEmi24av_1.jpg.296x216.jpg
20201223,浦东,川沙,观澜，五三，双天井，满五年，看房方便！必看好房,275万,2室1厅 | 68.79平米 | 南 | 其他 | 低楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jBj2PrdvH_1.jpg.296x216.jpg
20201223,浦东,川沙,东妙城公寓 园西 满五唯一税费少 房东诚心出售必看好房,252万,1室1厅 | 53.85平米 | 南 | 简装 | 低楼层(共6层) | 2000年建 | 板楼,
20201223,浦东,川沙,业主诚意出售 满五唯一 三开朝南  房型正气 中间位置必看好房,460万,3室2厅 | 125.23平米 | 南 | 其他 | 中楼层(共5层) | 1998年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/48c6a169-50a0-4a84-996f-47b6724f8c08.png.296x216.jpg
20201223,浦东,川沙,04年商品房，正南北通大两房，配套齐全交通方便必看好房,430万,2室2厅 | 99.5平米 | 南 北 | 简装 | 中楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/6b9f5149-5664-4280-aefd-7e7e7324b78e.png.296x216.jpg
20201223,浦东,川沙,满五唯一税费少，南北朝向 税费低 简单装修新上,195万,1室1厅 | 42.65平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ErlFXiFOb_1.jpg.296x216.jpg
20201223,浦东,川沙,川沙09年大3房顺馨佳苑。。。。。。。。。。。。,598万,3室2厅 | 121.29平米 | 南 | 毛坯 | 高楼层(共6层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JAA7Ie32C_1.jpg.296x216.jpg
20201223,浦东,川沙,此房户型正气，楼层好，配套设施齐全，交通便利新上,225万,1室1厅 | 58.74平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_eMYFzR3An_1.jpg.296x216.jpg
20201223,浦东,川沙,6楼复式7楼，独立楼梯，精装修。拎包入住,405万,3室2厅 | 105.32平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ci7UcEZ9A_1.jpg.296x216.jpg
20201223,浦东,川沙,此房近地铁站，南北通透户型好，一手动迁，位置好,530万,3室1厅 | 121.34平米 | 南 北 | 毛坯 | 低楼层(共6层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wW18cTNjD_1.jpg.296x216.jpg
20201223,浦东,川沙,王桥苑满五唯一精装修南北通业主自住的税费少诚心出售新上,395万,2室2厅 | 87.72平米 | 南 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_W4LduRWZh_1.jpg.296x216.jpg
20201223,浦东,川沙,川沙宜居大三房,户型方正,诚意出售。房主自荐,535万,3室2厅 | 126.01平米 | 南 | 精装 | 低楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CpKbIlb4q_1.jpg.296x216.jpg
20201223,浦东,川沙,居住适宜，生活交通便利，小区安静，适合人口多的家庭,430万,3室2厅 | 91平米 | 南 北 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XTXFSB422_1.jpg.296x216.jpg
20201223,浦东,川沙,交通便利 小区环境好 双南户型 税费少房主自荐,300万,2室1厅 | 65.55平米 | 南 北 | 简装 | 低楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0Z3ZdhGqK_1.jpg.296x216.jpg
20201223,浦东,川沙,川沙唯一电梯复式  满五唯一  税少房主自荐,399万,3室2厅 | 132平米 | 南 | 精装 | 中楼层(共18层) | 1999年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-c5bb1a9e-4b70-4174-ab47-d46893c67e74.jpg.296x216.jpg
20201223,浦东,川沙,满五唯一，精装修可拎包入住，户型方正,270万,2室1厅 | 61.61平米 | 南 | 精装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_y9QcqkYSF_1.jpg.296x216.jpg
20201223,浦东,川沙,顶楼阁楼 自住精装修 房子位置佳房主自荐,475万,3室2厅 | 118.89平米 | 南 | 精装 | 高楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/de79c0ee-b5b2-44e4-bd57-46eabe693eff_1000.jpg.296x216.jpg
20201223,浦东,川沙,鸿基公寓 98年商品房 户型方正 业主诚心出售房主自荐,425万,3室2厅 | 129.6平米 | 南 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/e325e18c-ecd5-4cc2-8bfb-73524f63d286_1000.jpg.296x216.jpg
20201223,浦东,川沙,精装4房，电梯复式，近地铁，满五唯一房主自荐,377万,4室2厅 | 131.53平米 | 南 | 简装 | 低楼层(共20层) | 1999年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_lNajnbCqJ_1.jpg.296x216.jpg
20201223,浦东,川沙,地铁2号线华夏东路站联排别墅+品质小区,970万,5室3厅 | 200.28平米 | 南 | 精装 | 3层 | 2000年建 | 板楼 | 联排别墅,http://image1.ljcdn.com/110000-inspection/14e49276-7812-4ca3-9936-2e1b21b47577_1000.jpg.296x216.jpg
20201223,浦东,川沙,两房朝南，小区中间位置，房子通风采光好房主自荐,275万,2室1厅 | 64.92平米 | 南 | 简装 | 低楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_xOl9CqVgP_1.jpg.296x216.jpg
20201223,浦东,川沙,两房朝南，全明户型，采光好，华夏西房主自荐,235万,2室1厅 | 64.93平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_van2vh12S_1.jpg.296x216.jpg
20201223,浦东,川沙,川沙精装小2房，中间楼层、刚需可选新上,265万,2室1厅 | 67.12平米 | 南 | 精装 | 中楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NqABhjhkT_1.jpg.296x216.jpg
20201223,浦东,川沙,鸿基公寓  户型方正 诚意出售 配套丰富房主自荐,530万,6室3厅 | 205.13平米 | 南 北 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/1a739af0-ddd9-4d78-97ab-5f7165053f57_1000.jpg.296x216.jpg
20201223,浦东,川沙,一手动迁，房龄新，位置佳，税费少，诚心出售。,250万,1室1厅 | 55.66平米 | 南 北 | 简装 | 低楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_G8AkuY0Ho_1.jpg.296x216.jpg
20201223,浦东,川沙,园西  近地铁 满五唯一 精装修 业主诚心出售价可谈房主自荐,268万,2室1厅 | 61.07平米 | 南 | 精装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CKVAm8OzX_1.jpg.296x216.jpg
20201223,浦东,川沙,配套设施齐全，交通便利，中间楼层，拎包入住房主自荐,350万,2室1厅 | 84.74平米 | 南 | 简装 | 中楼层(共5层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Se9isqEk2_1.jpg.296x216.jpg
20201223,浦东,川沙,玉兰苑137平大三房，电梯中高层,410万,3室2厅 | 137平米 | 西 | 简装 | 高楼层(共18层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZD7CY5p3h_1.jpg.296x216.jpg
20201223,浦东,川沙,房子满五唯一，产权清晰。大四房，房主自荐,495万,4室2厅 | 140.32平米 | 南 | 精装 | 高楼层(共6层) | 2002年建 | 平房,http://image1.ljcdn.com/110000-inspection/6098471a-2df7-4f81-9286-c422f99a7882_1000.jpg.296x216.jpg
20201223,浦东,川沙,满五年三分之二唯一 全明户型 主卧独卫 诚心出售房主自荐,470万,3室2厅 | 140.14平米 | 南 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HfLdjD7QN_1.jpg.296x216.jpg
20201223,浦东,川沙,三阳台，双露台，12米大开间，三南一北，空中叠加房主自荐,645万,4室3厅 | 207.95平米 | 南 | 精装 | 高楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_aHsRuP9iN_1.jpg.296x216.jpg
20201223,浦东,川沙,近地铁，户型方正，复式，业主自住,420万,4室2厅 | 129.6平米 | 南 | 简装 | 中楼层(共18层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_V4rCCpp2i_1.jpg.296x216.jpg
20201223,浦东,川沙,此房 一手动迁  满五唯一，一手动迁，毛坯，带院子,290万,1室2厅 | 55.31平米 | 南 | 简装 | 低楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-14a53c2a-c0c6-4ee8-896d-ec3c461205f0.jpg.296x216.jpg
20201223,浦东,川沙,园西  近地铁 近公园 配套齐全 随时可看！房主自荐,220万,2室1厅 | 54.53平米 | 南 | 简装 | 中楼层(共5层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/10e0a61c-2283-49b0-befd-ad4ed7ccfcd2_1000.jpg.296x216.jpg
20201223,浦东,川沙,诚心出售，南北格局好，楼层好采光充足，配套设施齐全,230万,2室1厅 | 64.27平米 | 南 北 | 毛坯 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ka94ehPDG_1.jpg.296x216.jpg
20201223,浦东,川沙,此房 一手动迁 满五唯一，税费少，毛坯，带院子, 通风房主自荐,265万,1室1厅 | 55.31平米 | 南 | 简装 | 低楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lClxfJDHJ_1.jpg.296x216.jpg
20201223,浦东,川沙,两房朝南，全明户型，华夏西，采光充足新上,240万,2室1厅 | 64.9平米 | 南 北 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Ale4F6Pjv_1.jpg.296x216.jpg
20201223,浦东,川沙,两房朝南，户型好，中间楼层， 配套齐全新上,300万,2室1厅 | 75.5平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2MFOzURib_1.jpg.296x216.jpg
20201223,浦东,川沙,妙境公寓大四房出售带有产权车库两卫,550万,4室2厅 | 146.61平米 | 南 | 简装 | 低楼层(共5层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_h0Slo46bs_1.jpg.296x216.jpg
20201223,浦东,川沙,2002年欧式商品电梯房，精装修，飞机户型，视野好新上,620万,3室1厅 | 142.25平米 | 南 | 精装 | 高楼层(共11层) | 2002年建 | 板楼,http://image1.ljcdn.com/310000-inspection/02df77eb-fb91-41ac-bb8c-9b3dada1f1a9_1000.jpg.296x216.jpg
20201223,浦东,川沙,满五唯一，税费少，带阁楼，阁楼的利用率高房主自荐,380万,3室1厅 | 121.82平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/1ffb957b-1ecb-47f0-8e04-a85b48073df1_1000.jpg.296x216.jpg
20201223,浦东,川沙,此房已售动迁，满五不唯一中等装修，随时看房,428万,2室2厅 | 88.47平米 | 南 北 | 简装 | 低楼层(共6层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/e53d81ce-1e8f-4910-be8f-b4c8bf68e4d9_1000.jpg.296x216.jpg
20201223,浦东,川沙,06年商品房 精装修 满五唯一 位置好 随时看房房主自荐,330万,2室1厅 | 76.55平米 | 南 | 简装 | 中楼层(共7层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_X3RFcKGx6_1.jpg.296x216.jpg
20201223,浦东,川沙,一手动迁，满五唯一，税费少，靠河,430万,3室2厅 | 99.65平米 | 南 北 | 毛坯 | 中楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AxrIrws5U_1.jpg.296x216.jpg
20201223,浦东,川沙,南北通，满五唯一，税少，6年左右装修，看房可约,320万,2室2厅 | 88.69平米 | 南 | 精装 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_O3YL9pSBd_1.jpg.296x216.jpg
20201223,浦东,川沙,园西双南户型，小区央座，中间楼层，看房基本方便房主自荐,230万,2室1厅 | 56.26平米 | 南 | 简装 | 中楼层(共5层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ggKJk5CMI_1.jpg.296x216.jpg
20201223,浦东,川沙,采光好 视野开阔，交通方便，业主诚心出售 看中可谈房主自荐,265万,2室1厅 | 72平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_t73hBCDaw_1.jpg.296x216.jpg
20201223,浦东,川沙,小两房，自住装修，满五唯一，随时看小区中间位置,300万,2室1厅 | 65.5平米 | 南 | 精装 | 低楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rJUNEYiKH_1.jpg.296x216.jpg
20201223,浦东,川沙,中间楼层 户型三房朝南 满五唯一税费低,530万,3室2厅 | 135.74平米 | 南 | 毛坯 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uux5hnhI9_1.jpg.296x216.jpg
20201223,浦东,川沙,06年商品房，自住精装+靠河一排，采光无遮挡房主自荐,320万,2室1厅 | 76.51平米 | 南 | 精装 | 低楼层(共7层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_woSmX0NOH_1.jpg.296x216.jpg
20201223,浦东,川沙,满五唯一、户型方正、视野开阔、采光充足、交通便利。,370万,3室1厅 | 101.29平米 | 南 | 简装 | 高楼层(共15层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3YJyUsbQz_1.jpg.296x216.jpg
20201223,浦东,川沙,月亮湾园2004年商品房大三房出售，简单装修看房方便,500万,3室2厅 | 132.74平米 | 南 | 其他 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3lq8fFxpL_1.jpg.296x216.jpg
20201223,浦东,川沙,适宜孩子上学+楼层好+采光好+业主诚意出售房主自荐,530万,3室2厅 | 153.44平米 | 南 北 | 毛坯 | 低楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nZ9j1bw40_1.jpg.296x216.jpg
20201223,浦东,川沙,晨光公寓  95年商品房  房型正气  业主自住装修 诚售,330万,3室1厅 | 94.38平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Vf6HN1QrD_1.jpg.296x216.jpg
20201223,浦东,川沙,万馨佳园  小区位置好 交通便利  业主诚心卖房主自荐,390万,2室1厅 | 77.16平米 | 南 | 简装 | 低楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NGt7fcZcN_1.jpg.296x216.jpg
20201223,浦东,川沙,妙境一村 中间楼层 通风采光好 全明户型,368万,2室1厅 | 76.65平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_J6MIcawAT_1.jpg.296x216.jpg
20201223,浦东,川沙,妙境家园 大两房 近地铁 业主自住房主自荐,500万,2室2厅 | 112.51平米 | 南 | 简装 | 低楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1P3GTHJI9_1.jpg.296x216.jpg
20201223,浦东,川沙,3房大小匀称，户型正气，南北全明，中间层,358万,3室1厅 | 96.51平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1BE07doj5_1.jpg.296x216.jpg
20201223,浦东,川沙,妙境公寓精装大两房，生活便利，拎包入住。房主自荐,328万,2室1厅 | 83.42平米 | 南 | 精装 | 低楼层(共5层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/2d7dfab1-2e9e-4573-a1fc-670d09eb36f4_1000.jpg.296x216.jpg
20201223,浦东,川沙,电梯房，房龄新，一手动迁，税费少，诚心出售。房主自荐,450万,3室2厅 | 108.7平米 | 南 | 毛坯 | 低楼层(共15层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/45fb48bf-566d-4550-a3a0-6fd7c30ed62e_1000.jpg.296x216.jpg
20201223,浦东,川沙,园西笋盘 精装修 南北通大两房 房东诚心出售 产权清晰房主自荐,275万,2室1厅 | 66.7平米 | 南 北 | 精装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/2004a832-9aa3-417d-bc44-614ee69ee70f_1000.jpg.296x216.jpg
20201223,浦东,川沙,电梯满五唯一 婚房装修  中高楼层采光佳房主自荐,650万,2室2厅 | 109.72平米 | 南 | 精装 | 中楼层(共11层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EvpE6QboX_1.jpg.296x216.jpg
20201223,浦东,川沙,中间楼层 华夏西 精装自住 满五唯一房主自荐,249万,2室1厅 | 67.56平米 | 南 北 | 精装 | 低楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/da431414-2635-4fc4-a638-97c3d315f8c9_1000.jpg.296x216.jpg
