20201223,普陀,桃浦,新杨和苑 2室2厅 南必看好房,334万,2室2厅 | 92.86平米 | 南 | 毛坯 | 中楼层(共14层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1Fw1bFBzo_1.jpg.296x216.jpg
20201223,普陀,桃浦,桃浦十村（紫藤苑小区白丽路701弄） 3室1厅 南必看好房,351万,3室1厅 | 80.52平米 | 南 | 精装 | 低楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/a3b0ef97-507f-4e04-bc7f-ae05ef7dca77_1000.jpg.296x216.jpg
20201223,普陀,桃浦,中间套 ，朝南好户型，采光好，满五唯一税费少必看好房,179万,1室1厅 | 46.76平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/61b3d307-b4cd-45bf-ad4d-ba32384734e8_1000.jpg.296x216.jpg
20201223,普陀,桃浦,婚房装修两年，近地铁，10年房龄，电梯房，户型方正必看好房,760万,3室2厅 | 128.13平米 | 南 北 | 精装 | 低楼层(共17层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3AcMb6TwZ_1.jpg.296x216.jpg
20201223,普陀,桃浦,中楼层，边套全明，客厅窗，户型正，精装，拎包入住必看好房,268万,2室1厅 | 59.88平米 | 南 | 精装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/6f071fbe-5dbb-4b33-a4c7-54b41adae178_1000.jpg.296x216.jpg
20201223,普陀,桃浦,满五+精装修+花园式小区+产权清晰必看好房,358万,2室2厅 | 78.46平米 | 南 | 精装 | 低楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wfMeK9VY6.jpg.296x216.jpg
20201223,普陀,桃浦,桃浦七村雪松苑，采光好，可拎包入住，诚意出售必看好房,148万,1室0厅 | 34.95平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uRYTxwVHm.jpg.296x216.jpg
20201223,普陀,桃浦,采光好，满五唯一，看房方便，交通便利必看好房,163万,1室1厅 | 37.38平米 | 南 | 精装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/a8a5244d-4a6a-4568-9ae1-d7c08f28ca51_1000.jpg.296x216.jpg
20201223,普陀,桃浦,一直漂泊的您，这里是您心灵的港湾，进来有惊喜必看好房,215万,2室1厅 | 53.99平米 | 南 北 | 精装 | 中楼层(共5层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sy0AwzEUs_1.jpg.296x216.jpg
20201223,普陀,桃浦,满五年唯一，中高楼层，全明户型，采光好，诚意出售必看好房,218万,2室0厅 | 54.1平米 | 南 | 简装 | 中楼层(共7层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/c2e9bd73-1b5f-4425-853d-fdbf8da14866_1000.jpg.296x216.jpg
20201223,普陀,桃浦,满五+精装修+花园式小区+产权清晰必看好房,419万,2室2厅 | 92.74平米 | 南 | 精装 | 低楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/250115dc-74df-47f6-962e-67158603039d_1000.jpg.296x216.jpg
20201223,普陀,桃浦,采光好  户型好 小区中间位置  配套成熟   交通便利必看好房,235万,2室1厅 | 59.27平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5o6c5H2DM_1.jpg.296x216.jpg
20201223,普陀,桃浦,小区中间位置，中间楼层，满五唯一，视野环境好必看好房,199万,1室1厅 | 45.31平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ca43c258-3c60-4371-b285-96944b9b7cd5_1000.jpg.296x216.jpg
20201223,普陀,桃浦,STAR COMMUNITY ，地铁明星小区 低楼层 户型采光巨佳必看好房,285万,2室1厅 | 63.5平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hNZjSEuq1_1.jpg.296x216.jpg
20201223,普陀,桃浦,桃浦三村石榴苑，采光好，诚意出售必看好房,198万,1室1厅 | 52.98平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dfXuusxZC_1.jpg.296x216.jpg
20201223,普陀,桃浦,一家人居住，空间大，格局好，舒适大三房！新上,540万,3室2厅 | 146.85平米 | 南 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ad241fec-8c38-4a3c-9299-bb957a7af137_1000.jpg.296x216.jpg
20201223,普陀,桃浦,注意！中间楼层，南北双阳台，户型方正,420万,2室2厅 | 88.93平米 | 南 | 简装 | 中楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/0666b601-272c-45dc-8c60-9ec09fbe76ad_1000.jpg.296x216.jpg
20201223,普陀,桃浦,杨桥第一小区 2室1厅 南新上,355万,2室1厅 | 67.29平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/01be5cd2-6861-444e-8758-c3c3ae6233c4_1000.jpg.296x216.jpg
20201223,普陀,桃浦,桃浦六村绿春苑 2室1厅 南,300万,2室1厅 | 74.36平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/73482b65-83af-4e5c-9608-7730f449b4b6_1000.jpg.296x216.jpg
20201223,普陀,桃浦,品质小区 中间楼层 您的优质选择房主自荐,305万,2室1厅 | 68.32平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/6ee7441a-0d8a-4f5e-b817-d50b829a1fdf_1000.jpg.296x216.jpg
20201223,普陀,桃浦,桃浦六村樱花苑 1室1厅 南新上,190万,1室1厅 | 46.46平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Z0EAHPcTi.jpg.296x216.jpg
20201223,普陀,桃浦,双南双阳台三房 满五年唯一  简单装修离地铁一路之隔房主自荐,318万,3室1厅 | 80.61平米 | 南 | 简装 | 中楼层(共5层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/fc85ec23-0f27-4f00-bc03-719d07cea3a9_1000.jpg.296x216.jpg
20201223,普陀,桃浦,急售急售急售！诚意出售近地铁商场生活交通便利！房主自荐,179万,2室1厅 | 49.62平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GZByGcmVC.jpg.296x216.jpg
20201223,普陀,桃浦,满五不唯一 钥匙房毛坯无装修 全明中间套 经典一室半房主自荐,165万,1室1厅 | 41.96平米 | 南 | 毛坯 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/a5c8f018-7145-4af8-b425-e26a583cec32_1000.jpg.296x216.jpg
20201223,普陀,桃浦,阳光水岸苑 2室1厅 南,470万,2室1厅 | 100.26平米 | 南 | 简装 | 中楼层(共18层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0R8nmvKo1_1.jpg.296x216.jpg
20201223,普陀,桃浦,楼层佳，位置好，出行方便，看房方便房主自荐,253万,2室1厅 | 63.94平米 | 南 | 精装 | 中楼层(共7层) | 1999年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-83dfce77-c1f0-48c8-a9b5-c3808ea008b6.png.296x216.jpg
20201223,普陀,桃浦,顶楼复式 简单装修 税费少 优质选择,305万,2室1厅 | 79.02平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/a9d09443-cf83-4bae-83bf-22d3157cd7e3_1000.jpg.296x216.jpg
20201223,普陀,桃浦,全明通透|精装满五|两南户型诚意售,255万,2室1厅 | 61.2平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YmTUzogUk_1.jpg.296x216.jpg
20201223,普陀,桃浦,满五唯一，税费少，小区电梯大三房房主自荐,880万,3室2厅 | 149.31平米 | 南 | 简装 | 17层 | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_h0Mq2uoGz_1.jpg.296x216.jpg
20201223,普陀,桃浦,朝南大一房 非顶楼 业主诚售 小区离地铁仅马路之隔房主自荐,162万,1室1厅 | 42.74平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BjveewOmC_1.jpg.296x216.jpg
20201223,普陀,桃浦,诚意出售，近地铁，精装修，低楼层新上,255万,3室1厅 | 54.97平米 | 南 | 精装 | 低楼层(共5层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/35088b39-d3d2-499f-ab9f-982685155538_1000.jpg.296x216.jpg
20201223,普陀,桃浦,三开间朝南，交通便利，前面无遮挡，得房高,位置好房主自荐,680万,3室2厅 | 118平米 | 南 | 简装 | 中楼层(共5层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b3425958-2d5b-4289-82e7-6ee3783b2031_1000.jpg.296x216.jpg
20201223,普陀,桃浦,一梯两户，双阳光房，精装美式风格，保养好，拎包居住房主自荐,470万,3室3厅 | 132.8平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/37fd3298-3020-4c71-a327-7b0f56faaa68_1000.jpg.296x216.jpg
20201223,普陀,桃浦,南北两房   采光好 近地铁 出行方便  位置安静房主自荐,220万,2室1厅 | 53.43平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/3b2ed331-7e4b-4c87-b7b6-5352855c8e55_1000.jpg.296x216.jpg
20201223,普陀,桃浦,满五唯一，楼层好，精装修，业主诚意出售！房主自荐,182万,1室1厅 | 43.1平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/8f296c7a-e43f-4684-b41e-fe9c0afc2ef7_1000.jpg.296x216.jpg
20201223,普陀,桃浦,交通便利，边套通风采光好，非顶楼，交通便利房主自荐,178万,1室2厅 | 42.74平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JCyBbuuXd_1.jpg.296x216.jpg
20201223,普陀,桃浦,税费少，楼层佳，户型方正，刚需好选择,230万,2室1厅 | 57.33平米 | 南 | 简装 | 低楼层(共7层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qfwbzJ6Kw_1.jpg.296x216.jpg
20201223,普陀,桃浦,近地铁 双南高楼层两房 可直接入住 户型方正 配套好,250万,2室1厅 | 62.29平米 | 南 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/a96ccaf1-82cb-464d-b9a9-100f423c0846_1000.jpg.296x216.jpg
20201223,普陀,桃浦,经典两居室 满五年税费少 诚意出售 刚需户型房主自荐,252万,2室1厅 | 61.73平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jq8WJQ1zH_1.jpg.296x216.jpg
20201223,普陀,桃浦,近地铁一房，出行方便，视野开阔，采光好房主自荐,173万,1室1厅 | 40.56平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/4867eb09-514d-415d-86ed-93a7520ff8b7_1000.jpg.296x216.jpg
20201223,普陀,桃浦,桃浦七村雪松苑，采光好，诚意出售房主自荐,195万,2室1厅 | 52.49平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ae4e9965-5a3b-4d2d-8d18-fbc1b569ceec_1000.jpg.296x216.jpg
20201223,普陀,桃浦,满五唯一税费少，中间楼层老少皆宜房主自荐,263万,2室1厅 | 64.98平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/6e394168-0730-42b6-93fb-cd95a7115eea_1000.jpg.296x216.jpg
20201223,普陀,桃浦,桃浦一村合欢苑  地铁200米  南北两房  全明户型,200万,2室1厅 | 50.87平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pZLn6Uion_1.jpg.296x216.jpg
20201223,普陀,桃浦,精装修 双朝南 大阳台 无遮挡 地铁15号线 无忧换乘房主自荐,668万,2室2厅 | 96.69平米 | 南 | 精装 | 低楼层(共15层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LR4F2JgvV_1.jpg.296x216.jpg
20201223,普陀,桃浦,满五唯一 精装3年  小区改造中 看房方便房主自荐,178万,1室1厅 | 43.77平米 | 西南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/4edbae08-8e57-4f15-ba60-a8dfd0fdea4c_1000.jpg.296x216.jpg
20201223,普陀,桃浦,四村精装低楼层双南两房，业主诚心，临河临公园房主自荐,279万,2室1厅 | 63.69平米 | 南 | 精装 | 低楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_aITRPtWzV_1.jpg.296x216.jpg
20201223,普陀,桃浦,全明户型+地铁口出行方便+花园小区+楼层 房东诚意出售房主自荐,580万,3室2厅 | 128.03平米 | 南 | 精装 | 低楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/7a2a102d-a6c0-4a26-81c3-6ea956315212_1000.jpg.296x216.jpg
20201223,普陀,桃浦,普陀区+两室+边套全明+好房不错过,343万,2室1厅 | 93.29平米 | 南 北 | 简装 | 中楼层(共14层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/4f48f95a-38bf-4630-ad72-b6de88f38cc7_1000.jpg.296x216.jpg
20201223,普陀,桃浦,祥和星宇花园(一期) 3室2厅 南 北房主自荐,810万,3室2厅 | 151.6平米 | 南 北 | 简装 | 17层 | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HrrQFjah1_1.jpg.296x216.jpg
20201223,普陀,桃浦,一梯两户，品质小区，带天井，低总价，业主诚心房主自荐,225万,1室1厅 | 48.78平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/3399957c-3e88-4dbd-b9bc-e66aa1621de5_1000.jpg.296x216.jpg
20201223,普陀,桃浦,近地铁，中间楼层，生活交通便利！房主自荐,208万,2室0厅 | 53.83平米 | 南 | 简装 | 中楼层(共5层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/80eea4ff-887e-4605-ae1d-b13e89642942_1000.jpg.296x216.jpg
20201223,普陀,桃浦,南北两房，位置好，近地铁，中楼层，税少,252万,2室1厅 | 62.4平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_s2Obteb1H.jpg.296x216.jpg
20201223,普陀,桃浦,无个税，楼层好，高性能低价格，小区环境优美房主自荐,190万,1室1厅 | 46平米 | 南 | 毛坯 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/006ff246-570c-40c5-8361-64957e919e9d_1000.jpg.296x216.jpg
20201223,普陀,桃浦,桃浦十村 楼层好户型佳，精装修可拎包入住。,229万,2室1厅 | 54.05平米 | 南 | 精装 | 中楼层(共7层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/62e64ed9-7f21-4e9a-b2dd-81f826959d64_1000.jpg.296x216.jpg
20201223,普陀,桃浦,The only one of its kind ！！！罕见 地铁房主自荐,235万,2室2厅 | 58.13平米 | 南 | 简装 | 中楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/10d5b39d-2255-4015-a3cb-c7fa48cd7eca_1000.jpg.296x216.jpg
20201223,普陀,桃浦,安居精选两房，楼层佳，总价低，南北通,335万,2室1厅 | 77.55平米 | 南 | 简装 | 高楼层(共26层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Ui5ALKWLA_1.jpg.296x216.jpg
20201223,普陀,桃浦,尊客请留步 阳光水岸苑 价格美丽的2房在这 小陈实勘,389万,2室2厅 | 90.01平米 | 南 | 毛坯 | 低楼层(共17层) | 2011年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/7f88e91a-06f7-487b-bc7a-dc0712bbf2da_1000.jpg.296x216.jpg
20201223,普陀,桃浦,顶楼复式，大阳台，全明户型，精装修！拎包入住！房主自荐,460万,5室3厅 | 113平米 | 南 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IE2XSsPER.jpg.296x216.jpg
20201223,普陀,桃浦,桃浦三村石榴苑 南北两房 采光充足 视野开阔房主自荐,238万,2室1厅 | 59.54平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/5176c5c0-ecf8-42d1-aa20-d48cd6669d2c_1000.jpg.296x216.jpg
20201223,普陀,桃浦,本房满五唯一+罕见三房带天井+全明户型+业主诚心出售,410万,3室2厅 | 86.23平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/150d2a3d-67bb-4a00-9409-61e38a42d194_1000.jpg.296x216.jpg
20201223,普陀,桃浦,西阙大4房，满五年，精装修，看房随时方便，业主急售,990万,4室2厅 | 118.28平米 | 南 北 | 精装 | 低楼层(共38层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WyasTHqkj_1.jpg.296x216.jpg
20201223,普陀,桃浦,满五唯一，小户型适合小情侣居住~房主自荐,162万,1室1厅 | 40.89平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/3ca3ee6f-0f05-4044-9ef9-184b5f002f3d_1000.jpg.296x216.jpg
20201223,普陀,桃浦,空中花园洋房，人车分流，高品质小区房主自荐,1119万,4室4厅 | 159.82平米 | 南 | 精装 | 低楼层(共29层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3DMIxlvRh_1.jpg.296x216.jpg
20201223,普陀,桃浦,非顶楼一室一厅，精装修，适合您安家房主自荐,177万,1室1厅 | 43.39平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/dd4f260e-2f62-46ee-87ba-fcdf32b1b2d3_1000.jpg.296x216.jpg
20201223,普陀,桃浦,桃浦七村雪松苑，采光好，诚意出售房主自荐,225万,2室1厅 | 54.92平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fSnqWJki6_1.jpg.296x216.jpg
20201223,普陀,桃浦,电梯房一手动迁，税费少，南北通，通风采光好,355万,2室1厅 | 77.54平米 | 南 北 | 其他 | 中楼层(共26层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/dd402ee5-1cd7-4b6f-abb3-2d4a4be59333_1000.jpg.296x216.jpg
20201223,普陀,桃浦,此房采光良好，双南两房，厨房间是全明，心动不如行动房主自荐,199万,2室0厅 | 49.78平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4iDnAZT54_1.jpg.296x216.jpg
20201223,普陀,桃浦,精品小区，满五唯一，产权清晰，通风好，顶楼复式房主自荐,310万,3室1厅 | 82平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OXQCix4rD.jpg.296x216.jpg
20201223,普陀,桃浦,商品房小区的品质，动迁房的价格,375万,2室1厅 | 90.4平米 | 南 | 毛坯 | 低楼层(共17层) | 2011年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_BlVd9fuar.jpg.296x216.jpg
20201223,普陀,桃浦,四村全明房型，中楼层，房型正，看房方便房主自荐,268万,2室1厅 | 62.76平米 | 南 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_g6OD4Depj_1.jpg.296x216.jpg
20201223,普陀,桃浦,婚房装修，正对小区绿化，交通便利，税费各付,228万,1室1厅 | 43.61平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Kei8Os9fb.jpg.296x216.jpg
20201223,普陀,桃浦,售后公房， 2/3满五年唯一！中间楼层西边套，全明户型,325万,3室1厅 | 80.52平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/5b4e8937-3b7c-41e9-991f-24152d0202a7_1000.jpg.296x216.jpg
20201223,普陀,桃浦,满五唯一，距离11号线李子园2号口400米，业主诚意出售房主自荐,225万,1室1厅 | 47.99平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_H8vvWRvH7_1.jpg.296x216.jpg
20201223,普陀,桃浦,中等楼层看房随时，距离地铁李子园300米，交通便利,230万,1室1厅 | 47.63平米 | 南 | 毛坯 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LPztrJu6P_1.jpg.296x216.jpg
20201223,普陀,桃浦,大一房，高楼层，采光通风便利，交通方便房主自荐,233万,1室1厅 | 57.06平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_l0ecz0Qez_1.jpg.296x216.jpg
20201223,普陀,桃浦,地铁口   花园小区 户型正气  楼层好 房东诚意出售。,355万,2室1厅 | 79.57平米 | 南 | 简装 | 低楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/15d761b4-3040-49d8-a575-e0c3425e47d5_1000.jpg.296x216.jpg
20201223,普陀,桃浦,满五唯一+精装修+楼层好+近地铁房主自荐,185万,1室1厅 | 42.5平米 | 南 | 精装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xhdepdkxz_1.jpg.296x216.jpg
20201223,普陀,桃浦,地铁口精装次新房，高楼层，采光视野好新上,740万,2室1厅 | 87.03平米 | 南 | 精装 | 高楼层(共38层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TqPnpv5Cm_1.jpg.296x216.jpg
20201223,普陀,桃浦,近地铁优质低层小两房，居中楼户型正，朝南采光好房主自荐,270万,2室1厅 | 59.11平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_npWfbjUqV_1.jpg.296x216.jpg
20201223,普陀,桃浦,满五唯一售后公房税少，三房一厅一梯两户，近地300米,415万,3室1厅 | 92.07平米 | 南 北 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9ypjdRnKS_1.jpg.296x216.jpg
20201223,普陀,桃浦,小区环境好近地铁，业主诚意出售,190万,2室1厅 | 49.91平米 | 南 北 | 简装 | 高楼层(共6层) | 1979年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d9b35cb5-16cc-4722-8708-2e10373071a5_1000.jpg.296x216.jpg
20201223,普陀,桃浦,顶楼复式，利用空间大，采光通风好房主自荐,385万,4室1厅 | 116.37平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fsK6fSRDf.jpg.296x216.jpg
20201223,普陀,桃浦,真建一街坊   精装南北两房  满五唯一  诚意出售房主自荐,237万,2室1厅 | 59.43平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lM3bBI7Mm.jpg.296x216.jpg
20201223,普陀,桃浦,地铁口 经典小二房 楼层好 采光好无遮挡 小区已经改造房主自荐,235万,2室1厅 | 54.1平米 | 南 北 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/22c2df25-4336-4678-9daf-9a94d01299a8_1000.jpg.296x216.jpg
