20201223,杨浦,中原,店长推荐独栋全明户型，配套齐全必看好房,317万,2室1厅 | 60.84平米 | 东南 | 精装 | 低楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/3ce7afd1-058d-4ed5-9cb8-85faeadd665f_1000.jpg.296x216.jpg
20201223,杨浦,中原,近地铁，低楼层，精装修，厨卫朝北，生活方便必看好房,237万,1室1厅 | 37.51平米 | 南 | 精装 | 低楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Tjfzk80ig_1.jpg.296x216.jpg
20201223,杨浦,中原,精装修拎包入住 产权清晰  业主诚心出售  看房方便必看好房,330万,2室1厅 | 67.63平米 | 东南 | 精装 | 低楼层(共18层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/d19dd470-5ac3-48dc-8a5b-2e798b067098_1000.jpg.296x216.jpg
20201223,杨浦,中原,精装修  低楼层 大三房  双朝南必看好房,520万,3室1厅 | 96.31平米 | 南 | 精装 | 低楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EP9Qo2Bzh_1.jpg.296x216.jpg
20201223,杨浦,中原,中间楼层 全明两房 看房随时方便 业主诚心出售必看好房,287万,2室1厅 | 54.5平米 | 南 | 毛坯 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PdMErdpL0_1.jpg.296x216.jpg
20201223,杨浦,中原,厅房同宽+地铁+精装修拎包入住+采光好必看好房,193万,1室1厅 | 41.1平米 | 南 | 精装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UVNi8ybpx_1.jpg.296x216.jpg
20201223,杨浦,中原,近地铁，双南全明户型，格局好，业主诚心出售。必看好房,430万,2室1厅 | 69.86平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b1150a33-089d-4d50-a309-9bf333aa5c2e_1000.jpg.296x216.jpg
20201223,杨浦,中原,近地铁  世博小区  满五唯一 前后花园  双南全明必看好房,325万,2室1厅 | 57.49平米 | 南 | 其他 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b341eaea-b8ec-4f91-a911-2123b5a6e5cc_1000.jpg.296x216.jpg
20201223,杨浦,中原,双南双阳台+97年商品房+一梯两户+出门8号线+配套齐全必看好房,403万,2室1厅 | 70.24平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qg5wef2ID_1.jpg.296x216.jpg
20201223,杨浦,中原,东边套+不靠马路+厅房同宽+近欧尚+近地铁+生活便利必看好房,265万,2室1厅 | 47.95平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/264bcb88-8a87-485b-ad4d-86906e516c97_1000.jpg.296x216.jpg
20201223,杨浦,中原,好房推荐 满五唯一 非顶楼 视野开阔  采光好 出行方便必看好房,175万,1室1厅 | 39.76平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/941e7fbc-25f9-4f19-8c8f-451665c50d9c_1000.jpg.296x216.jpg
20201223,杨浦,中原,满五唯一 精装修 近地铁 厨卫全明必看好房,255万,1室1厅 | 41.32平米 | 南 北 | 精装 | 低楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f90b0d48-2dca-4815-8594-0bd7aa895f69_1000.jpg.296x216.jpg
20201223,杨浦,中原,满五年唯一，双南全明户型，业主诚心出售。必看好房,389万,2室1厅 | 69.86平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/2500f6b7-a2ea-41d0-b121-4400797094de_1000.jpg.296x216.jpg
20201223,杨浦,中原,满五唯一，售后公房，诚意出售，看房方便。必看好房,360万,2室1厅 | 68.66平米 | 南 | 简装 | 高楼层(共18层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/502eda1b-cba9-4dbe-918b-86ea5feb9383_1000.jpg.296x216.jpg
20201223,杨浦,中原,厅房同宽，楼龄新，长海医院，万达，采光无遮挡必看好房,223万,1室1厅 | 45.26平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/8c2eaef3-3af5-42c2-8036-681023967ac7_1000.jpg.296x216.jpg
20201223,杨浦,中原,两房朝南格局好，采光好 交通便利 看房方便，视野好必看好房,405万,2室1厅 | 70.48平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/9013d86d-f049-4ea9-878b-66be6ddef730_1000.jpg.296x216.jpg
20201223,杨浦,中原,主卧朝南厅朝南，精装修拎包入住，一手动迁免增值税必看好房,343万,2室1厅 | 69.81平米 | 南 | 精装 | 中楼层(共34层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/6c047669-9248-4812-8042-0027183ca13b_1000.jpg.296x216.jpg
20201223,杨浦,中原,电梯房，双南两房，非顶楼，产权清晰必看好房,395万,2室1厅 | 72.68平米 | 南 | 简装 | 高楼层(共13层) | 1995年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/7193a148-97ee-4146-8075-e61a6b45d12d_1000.jpg.296x216.jpg
20201223,杨浦,中原,11年次新小区，一手动迁免增值税，小区前排全南户型必看好房,350万,2室2厅 | 70.26平米 | 南 | 毛坯 | 中楼层(共33层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rdAxr8AQs_1.jpg.296x216.jpg
20201223,杨浦,中原,精装修拎包入住，品质生活，满五唯一，无个税~必看好房,370万,2室1厅 | 61.42平米 | 南 | 精装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/123eb413-6bb9-4ef4-b5a1-2d178b327a9d_1000.jpg.296x216.jpg
20201223,杨浦,中原,精装交付，双南两房，采光充足，通风好。必看好房,336万,2室1厅 | 58.4平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/fa37baa3-b177-4b86-b68e-781fb168ea04_1000.jpg.296x216.jpg
20201223,杨浦,中原,双南次顶楼，采光充足，交通便利，房型正气。必看好房,345万,2室1厅 | 61平米 | 南 北 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_drqXiCSDG_1.jpg.296x216.jpg
20201223,杨浦,中原,婚房装修，交通便利，配套设施齐全，近地铁8号线必看好房,205万,1室1厅 | 38.4平米 | 南 | 精装 | 中楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/efe7c09a-b10f-4dcf-b656-e892153e53bc_1000.jpg.296x216.jpg
20201223,杨浦,中原,满五唯一 南北通透 中间楼层 视野开阔 采光充足必看好房,252万,2室1厅 | 47.49平米 | 南 北 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/e10cab2e-fcaa-455d-a3af-e405a4ab0e4d_1000.jpg.296x216.jpg
20201223,杨浦,中原,一梯两户，满五唯一，诚意出售，全款优先必看好房,315万,2室1厅 | 55.21平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/45de3aa8-6927-43e2-a511-70ebfeace4bb.jpeg.296x216.jpg
20201223,杨浦,中原,同小区优质房源，公交地铁距离近，厅房同宽，南北通,222万,1室1厅 | 43.49平米 | 南 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-36a51f7b-2363-4b21-9936-d84cb3506706.png.296x216.jpg
20201223,杨浦,中原,房源户型方正，双楠户型，大面积两房，居住舒适性高,428万,2室1厅 | 73.98平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d68f22e0-7498-41c2-a1ab-0989fd606e84_1000.jpg.296x216.jpg
20201223,杨浦,中原,国和一村欣益绿苑，半年出一套，01年商品房，满五唯一新上,509万,2室1厅 | 86.3平米 | 南 | 简装 | 中楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/8941ce40-cd29-4714-877b-47851a65842f_1000.jpg.296x216.jpg
20201223,杨浦,中原,精装修 近地铁 小区环境好 厨卫朝北 单价低房主自荐,228万,1室2厅 | 48.36平米 | 南 | 精装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/90371f7b-f1aa-427b-852f-cd76d0e6c900_1000.jpg.296x216.jpg
20201223,杨浦,中原,精装修，近地铁，业主诚意出售，看房方便，可拎包入住房主自荐,211万,1室1厅 | 44.14平米 | 南 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EoNKSUSWQ_1.jpg.296x216.jpg
20201223,杨浦,中原,此房精装修，全明户型，采光通风好房主自荐,440万,2室2厅 | 69.03平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PkDCDLYsv_1.jpg.296x216.jpg
20201223,杨浦,中原,正规两居室 好楼层 满五年唯一 8号线 诚意出售 位置好,320万,2室1厅 | 54.13平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ea2951f7-6a8a-44d2-aa8f-0d20f64493b5_1000.jpg.296x216.jpg
20201223,杨浦,中原,紫气东来大三房+带双天井两卫全明+近花园不靠马路房主自荐,558万,3室2厅 | 100.06平米 | 南 北 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/bece0053-9bc5-441d-a24b-13f4365f7c14_1000.jpg.296x216.jpg
20201223,杨浦,中原,中环   户型正气 视野好 采光好 全明,720万,3室1厅 | 111.3平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/5e2b609f-9b67-4a17-8322-9957e346d504_1000.jpg.296x216.jpg
20201223,杨浦,中原,次顶楼+近地铁+南北通风+ 近地铁8号线+光线好，无遮挡新上,196万,1室1厅 | 42.07平米 | 南 | 毛坯 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/369898ff-b62e-49d3-8122-4cb20a9a4644_1000.jpg.296x216.jpg
20201223,杨浦,中原,低总价电梯小户型，满五年唯一，生活配套齐全新上,250万,1室1厅 | 48.22平米 | 南 | 简装 | 低楼层(共18层) | 1993年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/6f5a23fa-0b94-42f0-acc1-b67e1bc85299_1000.jpg.296x216.jpg
20201223,杨浦,中原,市光三村 2室0厅 南新上,210万,2室0厅 | 40.48平米 | 南 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/0f4c6bf5-3a16-4878-b422-3e708eabae4a_1000.jpg.296x216.jpg
20201223,杨浦,中原,店长推荐：婚房装修两年，全自动智能家居，中yang空调新上,370万,2室1厅 | 70.06平米 | 南 | 精装 | 高楼层(共33层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d26bd930-248f-4c09-9260-65742932e917_1000.jpg.296x216.jpg
20201223,杨浦,中原,精装修 近地铁 中间楼层 世博小区 采光无遮挡房主自荐,200万,1室1厅 | 36.58平米 | 南 | 精装 | 中楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NEgzlMLDh_1.jpg.296x216.jpg
20201223,杨浦,中原,国和一村大一房，花园房，满五唯一，无个税房主自荐,245万,1室1厅 | 49.35平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2QLAr0K4k_1.jpg.296x216.jpg
20201223,杨浦,中原,地铁200米+售后公房+满五唯一+一梯两户+非顶楼正三房房主自荐,455万,3室1厅 | 76.92平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/8dc97de6-ef4e-4592-a7a1-2374b45f8188_1000.jpg.296x216.jpg
20201223,杨浦,中原,近地铁+满五唯一+低楼层南北两房+生活便利房主自荐,305万,2室1厅 | 51.5平米 | 南 | 简装 | 低楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0obOH4VpW_1.jpg.296x216.jpg
20201223,杨浦,中原,不靠马路，电梯全明两房，产权清晰，南北全明房主自荐,490万,2室1厅 | 70.82平米 | 南 | 简装 | 低楼层(共17层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3m97b6yy6_1.jpg.296x216.jpg
20201223,杨浦,中原,【满五 唯一】【朝南带花园】【07年次新房】【地铁8】,698万,2室2厅 | 105.64平米 | 南 北 | 简装 | 低楼层(共8层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6PukOdluI_1.jpg.296x216.jpg
20201223,杨浦,中原,非顶楼 采光视野佳 南北两室型通风性好 房东诚意出售,430万,2室2厅 | 67.95平米 | 南 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Vk6zknShU_1.jpg.296x216.jpg
20201223,杨浦,中原,2020-5-20你答应她的大露台！,1380万,5室2厅 | 201平米 | 南 北 | 精装 | 高楼层(共10层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZVcWPwGde.jpg.296x216.jpg
20201223,杨浦,中原,无遮挡 厨卫朝北  近地铁500多米美丽家园已经做好房主自荐,215万,1室1厅 | 41.45平米 | 南 | 精装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/925a1267-88c1-4f9a-a7b0-7ff48975455a_1000.jpg.296x216.jpg
20201223,杨浦,中原,市光三村 2室0厅 南 北房主自荐,265万,2室0厅 | 48.47平米 | 南 北 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b900a4a9-4f32-4940-99c6-98d67fe997e0_1000.jpg.296x216.jpg
20201223,杨浦,中原,总价低 人文社区 小户型 配套齐全 满五唯一房主自荐,162万,1室0厅 | 32.47平米 | 南 | 简装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/adf45d20-8452-459e-a803-e2f011097d06_1000.jpg.296x216.jpg
20201223,杨浦,中原,低楼层一房，精装修，朝向好，满五唯一房主自荐,220万,1室1厅 | 37.75平米 | 南 | 精装 | 低楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/20248cd2-3f0e-4b6d-9e3b-fde95e3b8198_1000.jpg.296x216.jpg
20201223,杨浦,中原,此房南北通格局，中间楼层，视野宽阔，采光充足。新上,438万,1室2厅 | 82.78平米 | 南 | 简装 | 中楼层(共30层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/14c98154-93cb-4ab8-880f-87d449e51a7d_1000.jpg.296x216.jpg
20201223,杨浦,中原,近地铁+产权清晰+正对小花园，适合买进出租+刚需置业新上,169万,1室0厅 | 31.45平米 | 南 | 简装 | 高楼层(共5层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/cc4f4f6d-c86b-4a6b-81f3-75f3059f16a1_1000.jpg.296x216.jpg
20201223,杨浦,中原,开鲁二村 2室1厅 南 北,298万,2室1厅 | 58.39平米 | 南 北 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7U2p9OKcJ_1.jpg.296x216.jpg
20201223,杨浦,中原,精装家具附带，厨卫朝北，通风效果好。业诚意出售。新上,212万,1室1厅 | 39.25平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/fa4e28b1-7514-42d4-ba9c-8cfe67a25526_1000.jpg.296x216.jpg
20201223,杨浦,中原,厅房同宽+厨卫朝北+全明户型+采光好+满五唯一新上,235万,1室1厅 | 49.2平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/33647f0b-d307-4359-9680-ba25d8b911ec_1000.jpg.296x216.jpg
20201223,杨浦,中原,电梯景观房，满五唯一，精装修，近地铁新上,410万,2室1厅 | 71.93平米 | 东南 | 精装 | 高楼层(共18层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_3U2QlGJZ4_1.jpg.296x216.jpg
20201223,杨浦,中原,买进价高330万，税费低，精装修，前无遮挡，店长推荐新上,660万,2室2厅 | 89平米 | 南 北 | 精装 | 低楼层(共18层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AdaQzrGqU_1.jpg.296x216.jpg
20201223,杨浦,中原,中间楼层 平改坡 近地铁 采光好 视野开阔,320万,1室1厅 | 57.26平米 | 南 | 毛坯 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d16d7f64-6296-477f-aba4-194303c29053_1000.jpg.296x216.jpg
20201223,杨浦,中原,近地铁  采光无遮挡 视野开阔 近大花园房主自荐,218万,1室1厅 | 40.9平米 | 南 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mmMmyVYI8_1.jpg.296x216.jpg
20201223,杨浦,中原,此方满五唯一，没有个税，低楼层新上,225万,1室1厅 | 41.49平米 | 南 | 精装 | 低楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/2bc9c639-700d-4682-be51-039559f319f9_1000.jpg.296x216.jpg
20201223,杨浦,中原,满五唯一售后公房 近地铁配套好电梯三房 采光无遮挡房主自荐,518万,3室1厅 | 92.3平米 | 南 | 简装 | 低楼层(共18层) | 1991年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/3fcece8f-2a57-4157-9152-c9b16944fcc3_1000.jpg.296x216.jpg
20201223,杨浦,中原,长海一村，1梯2户，南北套，三楼，满五唯一，格局好,318万,2室1厅 | 52.99平米 | 南 北 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_baCRqp2Df_1.jpg.296x216.jpg
20201223,杨浦,中原,国和一村，双南，超高得房率，平改坡，位置优越近地铁房主自荐,372万,2室1厅 | 62.75平米 | 南 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PMgrDjWMl_1.jpg.296x216.jpg
20201223,杨浦,中原,非顶楼+独栋两房朝南+位置安静+近地铁+售后公房房主自荐,328万,2室1厅 | 57.01平米 | 南 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/492d282b-85d2-4afe-86fc-7626acaf0ea1_1000.jpg.296x216.jpg
20201223,杨浦,中原,急急 前看花园+后有跑道+出门地铁+足不出行逛超市,240万,1室1厅 | 43.23平米 | 南 | 简装 | 中楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/156eb993-6866-4693-818b-84d27cae4d46_1000.jpg.296x216.jpg
20201223,杨浦,中原,南北通厨卫带窗，距地铁近，采光很好，可二次装修。,220万,1室1厅 | 39.91平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_htoCRmxQW_1.jpg.296x216.jpg
20201223,杨浦,中原,高区一房采光好，有个小厅很舒服,228万,1室1厅 | 41.96平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_oH7a25sHS_1.jpg.296x216.jpg
20201223,杨浦,中原,适合多口之家居住面积大顶楼复式利用率高房主自荐,950万,5室3厅 | 165.96平米 | 南 | 简装 | 高楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f34ece9b-d557-4e90-b112-37012ca49561_1000.jpg.296x216.jpg
20201223,杨浦,中原,市光二村 1室1厅 南,200万,1室1厅 | 37.1平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f0f1ced6-9b5e-4aaa-be7e-5170203ad945_1000.jpg.296x216.jpg
20201223,杨浦,中原,满五、全明两房 近地铁 精装修 拎包入住,294万,2室1厅 | 56.55平米 | 东南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f069a71a-f318-404d-bf93-c3b13b2a444b_1000.jpg.296x216.jpg
20201223,杨浦,中原,房东诚意出售  产权清晰   采光通风好,180万,1室1厅 | 36.06平米 | 南 | 简装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/7981d6ad-9036-458c-ab4d-ffecab791857_1000.jpg.296x216.jpg
20201223,杨浦,中原,近8号地铁终点站+楼层好+业主诚售,220万,1室1厅 | 41.58平米 | 南 | 简装 | 中楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rC7YhOtls_1.jpg.296x216.jpg
20201223,杨浦,中原,边套全明  04年商品房 无遮挡 品质小区房主自荐,615万,2室2厅 | 103.51平米 | 南 北 | 精装 | 低楼层(共17层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/4cf2058f-b62a-40c6-94fe-4bd9228d2bc4_1000.jpg.296x216.jpg
20201223,杨浦,中原,房子满五唯一  中间楼层 产权清晰 新上房源,310万,2室1厅 | 57.9平米 | 西南 | 其他 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/461544fe-0de4-491b-b12c-89e9246139bd_1000.jpg.296x216.jpg
20201223,杨浦,中原,次新房小区，顶楼复式带阁楼，使用面积超大房主自荐,998万,4室2厅 | 123.23平米 | 南 | 精装 | 高楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FdLshBaLB_1.jpg.296x216.jpg
20201223,杨浦,中原,15年次新房+电梯入户+无增值税+三房两厅+客厅朝北全明,560万,3室2厅 | 92.18平米 | 南 北 | 简装 | 高楼层(共27层)  | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_EviNZtuaN_1.jpg.296x216.jpg
20201223,杨浦,中原,满五唯一 一手动迁没有增值税  前排无遮挡 采光好,340万,2室1厅 | 69.74平米 | 南 | 毛坯 | 中楼层(共34层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_i3WDGi3VD_1.jpg.296x216.jpg
20201223,杨浦,中原,电梯高区大三房 精装修 满五年唯一 房龄新位置好,820万,3室2厅 | 129.64平米 | 南 | 精装 | 中楼层(共18层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/e9faefa8-3666-4ae8-8056-68bd5b7e65cd_1000.jpg.296x216.jpg
20201223,杨浦,中原,05年次新电梯房，全明户型，满五唯一税费少,620万,3室2厅 | 115.07平米 | 南 北 | 精装 | 低楼层(共24层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9gqvQNAwc_1.jpg.296x216.jpg
20201223,杨浦,中原,想要30平的院子16平的客厅吗？无增值税无个税，近地铁房主自荐,419万,2室1厅 | 70.74平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tGW9R8bl7_1.jpg.296x216.jpg
20201223,杨浦,中原,售后公房  满五唯一  全明双南房主自荐,460万,2室2厅 | 79.59平米 | 南 北 | 简装 | 中楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d6a31743-3336-406f-8499-6d90fdced1b7_1000.jpg.296x216.jpg
20201223,杨浦,中原,市光四村  双南  全明户型 地铁口 房东诚意卖房主自荐,297万,2室1厅 | 57.67平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/1c58ec32-3be0-4cc5-bb14-4c705bfe470c_1000.jpg.296x216.jpg
20201223,杨浦,中原,正气房源 楼层好 8、10号线 杨浦图书馆 邻近五角场,248万,2室0厅 | 45.26平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_soPbtC9R5_1.jpg.296x216.jpg
