20201223,普陀,中远两湾城,诚售！内环06年+楼层高区+50精装拎包入住+超低税费必看好房,900万,2室2厅 | 111.93平米 | 南 | 精装 | 高楼层(共34层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/99112943-82ce-4c1f-a41f-2f9b9250a095_1000.jpg.296x216.jpg
20201223,普陀,中远两湾城,业主诚售+刷卡入户+18年新装+税费ji低+正看小区花园房主自荐,830万,2室2厅 | 104.37平米 | 南 | 精装 | 中楼层(共34层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yBt3JwTUp_1.jpg.296x216.jpg
20201223,普陀,中远两湾城,四期沿河南北通四房，诚意出售，满五年唯一，位置安静房主自荐,1300万,4室2厅 | 169平米 | 南 北 | 毛坯 | 27层 | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xv35KEC6i_1.jpg.296x216.jpg
20201223,普陀,中远两湾城,房中轰20！高区苏州河景观房+阳光炸裂+《本月必售》房主自荐,1320万,5室2厅 | 172.55平米 | 南 北 | 毛坯 | 中楼层(共34层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LGdBNSWqX_1.jpg.296x216.jpg
20201223,普陀,中远两湾城,业主置换急售，高区全南，苏梦一线景观，看房随时,1223万,3室2厅 | 164.64平米 | 南 | 精装 | 高楼层(共32层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_soN2HC1me_1.jpg.296x216.jpg
20201223,普陀,中远两湾城,位置安静+看小区绿化+带双大阳台+双面采光+两卧室朝南,1200万,3室2厅 | 149.04平米 | 南 北 | 精装 | 低楼层(共34层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MCEThVQbS_1.jpg.296x216.jpg
20201223,普陀,中远两湾城,地铁口，看房方便，税费少。到价签字,诚意出售,240万,1室1厅 | 43.4平米 | 南 | 简装 | 低楼层(共15层) | 1982年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/pc1_3SBbI7GDv_1.jpg.296x216.jpg
20201223,普陀,中远两湾城,内环内小户型+精装朝南一房+近地铁+电梯房房主自荐,253万,1室1厅 | 46.87平米 | 南 | 精装 | 低楼层(共22层) | 1988年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_oUqxp6E21_1.jpg.296x216.jpg
20201223,普陀,中远两湾城,满五唯一，户型正气，视野开阔，小区醉好的景观两房房主自荐,850万,2室2厅 | 101.84平米 | 南 | 精装 | 高楼层(共32层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DADPz9Xt2_1.jpg.296x216.jpg
20201223,普陀,中远两湾城,急！小区出入口+06年房龄+南北通+满五唯一+看房钥匙！,699万,2室2厅 | 98.99平米 | 南 | 精装 | 低楼层(共34层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_x2WCUQMQz_1.jpg.296x216.jpg
20201223,普陀,中远两湾城,友谊大楼 1室1厅 东南 南房主自荐,268万,1室1厅 | 43.4平米 | 东南 南 | 精装 | 中楼层(共15层) | 1982年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/pc1_NLcqbWbQf_1.jpg.296x216.jpg
20201223,普陀,中远两湾城,苏州河景观房！大于6小时采光！近地铁房主自荐,1200万,3室2厅 | 137平米 | 南 北 | 简装 | 高楼层(共36层) | 2001年建 | 板塔结合,http://image1.ljcdn.com/shfdfs-image/20170802/e0741863-9611-40fd-9e49-fa1001f9742e.jpg.296x216.jpg
20201223,普陀,中远两湾城,万业新阶 3室1厅 西南,385万,3室1厅 | 78.68平米 | 西南 | 精装 | 中楼层(共20层) | 2014年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-caeda0f0-bc02-444b-a224-829c327f4a6a.png.296x216.jpg
20201223,普陀,中远两湾城,朝南看苏州河，采光好全明户型，诚意出售,397万,4室2厅 | 44平米 | 暂无数据 | 精装 | 高楼层(共20层) | 2014年建 | 板楼,
20201223,普陀,中远两湾城,万业新阶 2室2厅 北,320万,2室2厅 | 66.58平米 | 北 | 精装 | 低楼层(共20层) | 2014年建 | 板楼,
20201223,普陀,中远两湾城,急！急！品质楼栋+阳光炸裂+《本月必售》新上,842万,2室2厅 | 107.65平米 | 南 | 精装 | 低楼层(共33层) | 2006年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/3717706c-9bd1-49dc-9c2d-7dc98b727157.png.296x216.jpg
20201223,普陀,中远两湾城,急售，安静，边套，全屋落地窗朝南采光足,350万,2室2厅 | 82平米 | 西南 | 其他 | 低楼层(共20层) | 2014年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-74da8677-cbca-47e0-a32a-85dc6eb959a7.png.296x216.jpg
20201223,普陀,中远两湾城,万业新阶 2室2厅 西,308万,2室2厅 | 47平米 | 西 | 精装 | 中楼层(共20层) | 2014年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-a46de8e3-a32e-4f8d-a540-c288c3029e6d.png.296x216.jpg
20201223,普陀,中远两湾城,万业新阶 3室2厅 南,405万,3室2厅 | 70.6平米 | 南 | 精装 | 低楼层(共20层) | 2014年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-f0faf7ac-9320-428f-a311-0e5d65561f9b.png.296x216.jpg
20201223,普陀,中远两湾城,多三倍的面积：楼上有四个房间全明+两南两北+诚意出售房主自荐,420万,4室2厅 | 44.09平米 | 南 北 | 精装 | 高楼层(共20层) | 2014年建 | 板楼,
20201223,普陀,中远两湾城,万业新阶 2室1厅 南,400万,2室1厅 | 50.09平米 | 南 | 其他 | 中楼层(共20层) | 2014年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-56a9cc99-6072-4e5a-b421-e06b871ea3c1.png.296x216.jpg
20201223,普陀,中远两湾城,酒店式公寓，可贷款，楼下是3/4号线中潭路地铁站,520万,4室2厅 | 100.47平米 | 南 | 精装 | 低楼层(共20层) | 2014年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/071c4043-acfd-4500-8db3-0293254c775f.png.296x216.jpg
20201223,普陀,中远两湾城,万业新阶 2室3厅 东 南 北,750万,2室3厅 | 130.54平米 | 东 南 北 | 精装 | 低楼层(共20层) | 2014年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-bcbdea04-172c-4a82-b845-af191e940cfb.png.296x216.jpg
20201223,普陀,中远两湾城,3/4号线中潭路地铁口，精装修,360万,2室2厅 | 55平米 | 南 | 其他 | 中楼层(共20层) | 2014年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/518e0110-330f-4390-ba0b-b71842b31bfc.png.296x216.jpg
20201223,普陀,中远两湾城,此房朝南，楼层好，视野宽阔，采光充足，交通便利,528万,3室2厅 | 99平米 | 南 北 | 精装 | 低楼层(共20层) | 2014年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-98ab7a60-7365-43c8-9744-fe9a9aa5a83e.png.296x216.jpg
20201223,普陀,中远两湾城,中远两湾城 4室2厅 南 北房主自荐,1359万,4室2厅 | 159.96平米 | 南 北 | 精装 | 低楼层(共34层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vj9DqZMXy_1.jpg.296x216.jpg
20201223,普陀,中远两湾城,二手买进高+满五唯一+超壕华主卧+全屋壁暖+3开间朝南,1200万,3室2厅 | 164.45平米 | 南 | 精装 | 低楼层(共34层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kcaMeKixr_1.jpg.296x216.jpg
20201223,普陀,中远两湾城,中远两湾城 3室1厅 南 北,866万,3室1厅 | 127.42平米 | 南 北 | 精装 | 低楼层(共35层) | 2002年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_1DLrjtNK2_1.jpg.296x216.jpg
20201223,普陀,中远两湾城,万业新阶 1室2厅 西南,1340万,1室2厅 | 192.6平米 | 西南 | 其他 | 低楼层(共20层) | 2014年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-68052ebe-b754-4743-8c04-8e186e7ecea0.png.296x216.jpg
20201223,普陀,中远两湾城,房子是复式结构，三个房间，采光好，看房很方便,355万,3室2厅 | 79.81平米 | 西南 | 精装 | 低楼层(共20层) | 2014年建 | 塔楼,
20201223,普陀,中远两湾城,中远两湾城 3室2厅 南,1122万,3室2厅 | 132.04平米 | 南 | 精装 | 低楼层(共25层) | 2002年建 | 板楼,http://image1.ljcdn.com/x-se/shfdfs-image/20170701/c70c4c41-484e-47e5-8375-bb1575b24f02.jpg.296x216.jpg
20201223,普陀,中远两湾城,3/4号线中潭路 此房朝西南，视野宽阔，边套，采光好,435万,2室2厅 | 78.68平米 | 西南 西 | 精装 | 中楼层(共20层) | 2014年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-6f6aa886-f89b-42fb-96c6-da80f463afb9.png.296x216.jpg
20201223,普陀,中远两湾城,万业新阶 1室2厅 南,469万,1室2厅 | 100.57平米 | 南 | 精装 | 低楼层(共20层) | 2014年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/6f2ff5d3-8e4b-468b-ab2d-9e591cd269f3.png.296x216.jpg
20201223,普陀,中远两湾城,高区正南两房，户型好，房型正，税费少，少有在售两房新上,770万,2室2厅 | 101.97平米 | 南 | 精装 | 高楼层(共33层) | 2001年建 | 板楼,
20201223,普陀,中远两湾城,万业精装朝南大两房，特殊户型，视野开阔，带大露台,415万,2室1厅 | 63.93平米 | 南 | 精装 | 低楼层(共20层) | 2014年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-55021cbe-558b-4518-8488-b76932354fa1.png.296x216.jpg
20201223,普陀,中远两湾城,视野宽阔，采光充足，配套齐全，交通便利,400万,2室2厅 | 61.59平米 | 西南 | 精装 | 中楼层(共20层) | 2014年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-fab84333-18ae-49b6-bfbe-6d172834a499.png.296x216.jpg
20201223,普陀,中远两湾城,万业新阶 3室2厅 北,350万,3室2厅 | 53.1平米 | 北 | 其他 | 中楼层(共20层) | 2014年建 | 塔楼,
20201223,普陀,中远两湾城,酒店式公寓，可贷款，楼下是3号线，4号线中潭路,333万,1室1厅 | 48.83平米 | 西南 | 精装 | 中楼层(共20层) | 2014年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/9c0252ac-6bfb-45c5-a9e6-ae1575bac75d.png.296x216.jpg
20201223,普陀,中远两湾城,总价低 楼层高 三个房间 采光好 视野佳,350万,3室1厅 | 69.8平米 | 南 | 精装 | 低楼层(共20层) | 2014年建 | 塔楼,
20201223,普陀,中远两湾城,酒店式公寓，可贷款，楼下3.4号线中潭路地铁站方便,480万,3室2厅 | 100.47平米 | 南 | 精装 | 低楼层(共20层) | 2014年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/5e660286-dc64-4f3d-8d63-af1ab79da632.png.296x216.jpg
20201223,普陀,中远两湾城,万业新阶，精装修，采光充足，配套齐全，交通便利,650万,4室2厅 | 108平米 | 南 | 精装 | 低楼层(共20层) | 2014年建 | 板楼,
20201223,普陀,中远两湾城,视野开阔 位置安静 交通便利 诚意出售,340万,2室2厅 | 58平米 | 东北 | 精装 | 中楼层(共20层) | 2014年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/050d1e3c-6915-47f7-8d56-3b9961240e6b.png.296x216.jpg
20201223,普陀,中远两湾城,万业新阶 精装修 采光好 交通便利房主自荐,368万,2室2厅 | 50平米 | 南 | 精装 | 高楼层(共20层) | 2014年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-d87499d0-ac29-4467-90b5-48795610b49f.png.296x216.jpg
20201223,普陀,中远两湾城,视野宽阔，采光充足，配套齐全，交通便利,478万,2室2厅 | 60平米 | 南 | 精装 | 中楼层(共20层) | 2014年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-fc047f9c-c176-4d2d-8230-61e55b549c45.png.296x216.jpg
20201223,普陀,中远两湾城,此房朝南，视野开阔，看苏州河景，陆家嘴3件套,350万,2室1厅 | 51平米 | 南 | 精装 | 中楼层(共20层) | 2014年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-7f031a73-64f7-46a6-b978-c986b36aebd4.png.296x216.jpg
20201223,普陀,中远两湾城,万业新阶 2室2厅 北,310万,2室2厅 | 59.03平米 | 北 | 其他 | 低楼层(共20层) | 2014年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-350b9245-62b5-4fa4-923a-40b3799d1aa5.png.296x216.jpg
20201223,普陀,中远两湾城,万业新阶 2室2厅 南,388万,2室2厅 | 52.74平米 | 南 | 精装 | 中楼层(共20层) | 2014年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-584c38ee-ad3e-4781-a905-5e5959720f91.png.296x216.jpg
20201223,普陀,中远两湾城,万业新阶 3室2厅 南,465万,3室2厅 | 100.47平米 | 南 | 其他 | 低楼层(共20层) | 2014年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-5c2605c0-04e2-4816-b26c-9bc1d585abf3.png.296x216.jpg
20201223,普陀,中远两湾城,万业新阶 2室1厅 南,335万,2室1厅 | 54平米 | 南 | 精装 | 中楼层(共20层) | 2014年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-36430f3c-67a4-471e-b50d-1fdad38861e7.png.296x216.jpg
20201223,普陀,中远两湾城,万业新阶 2室2厅 南,390万,2室2厅 | 52.15平米 | 南 | 其他 | 高楼层(共20层) | 2014年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-0209efba-479b-4b67-aa4e-1bccb952d32a.png.296x216.jpg
20201223,普陀,中远两湾城,万业新阶 2室1厅 东北,350万,2室1厅 | 60.98平米 | 东北 | 其他 | 中楼层(共20层) | 2014年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-9348f6ec-1df1-4d38-a78a-e2514a7ac71d.png.296x216.jpg
20201223,普陀,中远两湾城,亲民价！景观视野倍儿棒+全南+全明+满5唯1,1313万,4室2厅 | 166.96平米 | 南 | 其他 | 中楼层(共33层) | 2004年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/050797fa-f433-4d2a-b913-6ef572c9346b.png.296x216.jpg
20201223,普陀,中远两湾城,高区南北通，看苏州河景观，满五唯一，税费少，诚售,950万,2室2厅 | 112.79平米 | 南 | 精装 | 高楼层(共34层) | 2003年建 | 板楼,
20201223,普陀,中远两湾城,万业新阶 2室2厅 南,400万,2室2厅 | 57平米 | 南 | 其他 | 低楼层(共20层) | 2014年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-fa039eb6-57a0-42a2-a9b9-4f8858d4ef16.png.296x216.jpg
20201223,普陀,中远两湾城,万业新阶 3室1厅 南,580万,3室1厅 | 100.23平米 | 南 | 其他 | 低楼层(共20层) | 2014年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-0f3ac763-4cec-4367-bd49-4ca6db2927ad.png.296x216.jpg
20201223,普陀,中远两湾城,万业新阶 2室2厅 南,370万,2室2厅 | 53平米 | 南 | 其他 | 低楼层(共20层) | 2014年建 | 塔楼,
20201223,普陀,中远两湾城,全南精装三房+中高区视野+苏州河一线景观+地铁口,1250万,3室2厅 | 162.92平米 | 南 | 精装 | 中楼层(共27层) | 2004年建 | 塔楼,http://image1.ljcdn.com/x-se/310000-frame/rsp_pic_upload4ccba45a-973c-48d7-aa4c-52c285fb81f7.jpg.296x216.jpg
