20201223,宝山,高境,三开间朝南两房,电梯商品房,小区花园位置,采光无遮挡必看好房,565万,2室2厅 | 105.03平米 | 南 | 简装 | 高楼层(共11层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0vX4FBOF9_1.jpg.296x216.jpg
20201223,宝山,高境,满五唯一 精装修 诚意出售 楼层好 南北通风必看好房,280万,2室1厅 | 58.31平米 | 南 | 精装 | 低楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bBwNUgecu_1.jpg.296x216.jpg
20201223,宝山,高境,高境一村 满两年唯一 小区中间位置 南北通 户型好必看好房,225万,1室1厅 | 45.52平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dAgoPrPob_1.jpg.296x216.jpg
20201223,宝山,高境,泰禾红御，高层电梯，人车分流，高品质,精装修必看好房,865万,3室2厅 | 114平米 | 南 | 精装 | 高楼层(共20层) | 2016年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CICVyIoX4_1.jpg.296x216.jpg
20201223,宝山,高境,好房出售 ,楼栋位置好,南北通风,精装修保养好满五唯一必看好房,516万,2室2厅 | 90.74平米 | 南 | 精装 | 中楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tfLw3OHNt_1.jpg.296x216.jpg
20201223,宝山,高境,房子产权清晰，精装修两年，没有住过 房东诚心出售必看好房,198万,1室1厅 | 43.93平米 | 南 北 | 其他 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_l2kd1EmoE_1.jpg.296x216.jpg
20201223,宝山,高境,此房户型正气，产权清晰，交通便利必看好房,265万,1室1厅 | 46.61平米 | 南 | 毛坯 | 高楼层(共18层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_N8SMZF9hA_1.jpg.296x216.jpg
20201223,宝山,高境,业主诚售，一梯两户，南北两房 ，看房方便必看好房,260万,2室1厅 | 55.08平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_23bTrAudP_1.jpg.296x216.jpg
20201223,宝山,高境,精装一房 全明户型 出入方便 配套齐全 位置好 采光佳必看好房,218万,1室1厅 | 46.05平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8YaiBALJ8_1.jpg.296x216.jpg
20201223,宝山,高境,房屋雅致，业主北大学子，家族书香门第！必看好房,560万,2室2厅 | 110平米 | 南 | 精装 | 低楼层(共16层) | 2009年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-cd84c5ec-971e-4be9-bd03-e996557f550d.jpg.296x216.jpg
20201223,宝山,高境,此房满五唯一，户型好，格局佳，采光充足，适宜居住必看好房,247万,1室1厅 | 55.84平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VIe23NAN8_1.jpg.296x216.jpg
20201223,宝山,高境,精装修，南北通透，通风采光好，高买进价税低必看好房,228万,2室1厅 | 49.98平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vUnHqRP6v_1.jpg.296x216.jpg
20201223,宝山,高境,南北户型，楼层好，视野宽阔，交通方便，近地铁必看好房,630万,2室2厅 | 95.95平米 | 南 | 精装 | 中楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bXJoYCZGW_1.jpg.296x216.jpg
20201223,宝山,高境,三房+三房+三房朝南客厅带窗户+随时看房+满五年必看好房,430万,3室1厅 | 84.14平米 | 南 北 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_D4oKSyQxc_1.jpg.296x216.jpg
20201223,宝山,高境,全明户型，两房朝南，精装修，配套成熟，看房钥匙。新上,525万,2室1厅 | 85.21平米 | 南 | 简装 | 高楼层(共18层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QqiUFtemm_1.jpg.296x216.jpg
20201223,宝山,高境,明厨明卫的南北两房，近20平的客厅，L户型无浪费空间新上,330万,2室1厅 | 65.25平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wybdMqFzX_1.jpg.296x216.jpg
20201223,宝山,高境,税费少 房子位子好 无遮挡 采光佳新上,520万,2室2厅 | 89.5平米 | 南 | 简装 | 低楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3wdD7k886_1.jpg.296x216.jpg
20201223,宝山,高境,双南两房 少见户型 楼层好 楼间距大 采光好新上,280万,2室1厅 | 51.88平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4XH6FW6bp_1.jpg.296x216.jpg
20201223,宝山,高境,三花现代城(二期香梅苑) 2室2厅 南新上,620万,2室2厅 | 88.24平米 | 南 | 简装 | 低楼层(共17层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_trO7pF7DT_1.jpg.296x216.jpg
20201223,宝山,高境,高境一村 1室1厅 南新上,220万,1室1厅 | 45.6平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QYfpzt3WL_1.jpg.296x216.jpg
20201223,宝山,高境,中环小三房 13年小区 品质物业 采光不挡 出行方便,575万,3室2厅 | 86.29平米 | 南 | 精装 | 低楼层(共13层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Gd3lqhGyC_1.jpg.296x216.jpg
20201223,宝山,高境,满五唯一，南北通透，一梯两户，09年商品房，诚意出售,468万,2室2厅 | 89.38平米 | 南 北 | 精装 | 低楼层(共14层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5zax73oGA_1.jpg.296x216.jpg
20201223,宝山,高境,买进价高税费极低 诚心出售 无遮挡 观景楼层房主自荐,580万,3室2厅 | 89.3平米 | 南 | 精装 | 高楼层(共12层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GNC7EBHJf_1.jpg.296x216.jpg
20201223,宝山,高境,品质小区，南北双阳台，通风效果好，看房方便，满五年房主自荐,535万,2室2厅 | 101.41平米 | 南 | 精装 | 低楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4yjLEcbEo_1.jpg.296x216.jpg
20201223,宝山,高境,高境三开间朝南大两房，采光充足，两梯三户，看房随时房主自荐,619万,2室2厅 | 135.01平米 | 南 | 简装 | 低楼层(共20层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GW8O832wo_1.jpg.296x216.jpg
20201223,宝山,高境,婚房装修 健康层 诚意出售 采光充足 近地铁 厅房同宽房主自荐,188万,1室1厅 | 41.9平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XimKRa0iq_1.jpg.296x216.jpg
20201223,宝山,高境,吉浦路615弄 2室1厅 南新上,328万,2室1厅 | 62.83平米 | 南 | 简装 | 中楼层(共7层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TwHqNCGTs_1.jpg.296x216.jpg
20201223,宝山,高境,多层大复式 一梯两户 小区环境好 采光充足,720万,3室2厅 | 136.82平米 | 南 | 简装 | 高楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HsaCNyZ0v_1.jpg.296x216.jpg
20201223,宝山,高境,交通便利，边套毛坯好装修 近地铁，配套成熟新上,210万,1室1厅 | 45.6平米 | 南 | 毛坯 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TpfUT01kY_1.jpg.296x216.jpg
20201223,宝山,高境,满五唯一，诚意出售，精装修，三轨交,770万,4室3厅 | 133.13平米 | 南 北 | 精装 | 高楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vzkb5aAs1_1.jpg.296x216.jpg
20201223,宝山,高境,楼层高，采光通风好，有产权车位,440万,1室1厅 | 71.19平米 | 南 | 简装 | 高楼层(共18层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BcnCg5Pqj_1.jpg.296x216.jpg
20201223,宝山,高境,2013年的次新小区 总价低的小三房  业主诚心出售,565万,3室2厅 | 86.3平米 | 南 | 精装 | 高楼层(共13层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Z4QrurQVe_1.jpg.296x216.jpg
20201223,宝山,高境,小区花园位置  视野开阔 精装修 满五唯一 房型正气房主自荐,500万,2室2厅 | 88.04平米 | 南 | 简装 | 高楼层(共6层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Q6vi4pKkp_1.jpg.296x216.jpg
20201223,宝山,高境,一室一厅 满五唯一 视野好格局方正 近18号线房主自荐,200万,1室1厅 | 45.71平米 | 南 | 简装 | 高楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PyG18IrMn_1.jpg.296x216.jpg
20201223,宝山,高境,前后无挡视野好，高区楼层采光棒！诚意出售！房主自荐,480万,2室1厅 | 85.13平米 | 南 北 | 简装 | 中楼层(共16层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LQD58R15K_1.jpg.296x216.jpg
20201223,宝山,高境,高境顶楼复式房，视野开阔，户型正气，附带露台!,1200万,4室2厅 | 205.6平米 | 南 | 简装 | 高楼层(共16层) | 2007年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_ZEeZ17q9s_1.jpg.296x216.jpg
20201223,宝山,高境,本房满五年唯一，自住，小区中间位置房主自荐,630万,3室2厅 | 131.86平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WzFd1ANtC_1.jpg.296x216.jpg
20201223,宝山,高境,三轨交汇，空中别墅顶复带露台，户型正气，实用面积高房主自荐,980万,5室2厅 | 159.1平米 | 南 | 精装 | 高楼层(共11层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_15eehPYyF_1.jpg.296x216.jpg
20201223,宝山,高境,前排无遮挡 精致小三房 看房方便 交通便利房主自荐,566万,3室2厅 | 86.29平米 | 南 北 | 精装 | 低楼层(共13层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7gFfiZg44_1.jpg.296x216.jpg
20201223,宝山,高境,一梯两户，三房两位，房型正气，精装修，小区环境好,730万,3室2厅 | 129.65平米 | 南 | 精装 | 高楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_eYhbZIgkX_1.jpg.296x216.jpg
20201223,宝山,高境,正规复式好房，实现您三代同堂的梦想，位置好不靠高架房主自荐,760万,3室2厅 | 111.76平米 | 南 | 精装 | 高楼层(共18层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gl7aBmIxO_1.jpg.296x216.jpg
20201223,宝山,高境,高境近地铁 全明精装大三房 好楼层 出行方便 采光好房主自荐,545万,3室2厅 | 109.87平米 | 南 北 | 精装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_x3ZSCUg74_1.jpg.296x216.jpg
20201223,宝山,高境,好房出售 嘉骏花苑大三房 一梯两户 看房方便,599万,3室2厅 | 122.18平米 | 南 北 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_En0vEbYQ4_1.jpg.296x216.jpg
20201223,宝山,高境,逸仙华庭带花园三房，南北通透，采光好，配套齐全房主自荐,750万,3室2厅 | 115.13平米 | 南 北 | 简装 | 低楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TszWIBkMv_1.jpg.296x216.jpg
20201223,宝山,高境,小区环境好，6楼复式，实用面积大，房型正，居住舒适房主自荐,650万,5室2厅 | 117.52平米 | 南 | 简装 | 高楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DXuonrSX6_1.jpg.296x216.jpg
20201223,宝山,高境,正气小三房 精装修 楼层佳 看房方便 配套成熟房主自荐,575万,3室2厅 | 89.68平米 | 南 | 精装 | 中楼层(共12层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_n4ybt6MIU_1.jpg.296x216.jpg
20201223,宝山,高境,两房朝南，满五年，拎包入住，出门殷高西路，看房方便房主自荐,360万,2室2厅 | 73.24平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_aB2NQNrOW_1.jpg.296x216.jpg
20201223,宝山,高境,满五唯一 有动迁协议少税 看房方便 南北户型,450万,2室2厅 | 80.71平米 | 南 | 简装 | 低楼层(共14层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Zu6CISIlg_1.jpg.296x216.jpg
20201223,宝山,高境,三花现代城 一室一厅 精装小户型 总价低 次新小区房主自荐,450万,1室1厅 | 61.41平米 | 南 | 精装 | 低楼层(共24层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_30t1kpgp0_1.jpg.296x216.jpg
20201223,宝山,高境,新房从未入住，电梯舒适大两房，两梯三户。房主自荐,675万,2室2厅 | 106.33平米 | 南 | 毛坯 | 低楼层(共26层)  | 板楼,http://image1.ljcdn.com/310000-inspection/test-2c908972-74c5-4bb5-a846-0318b84bdd80.png.296x216.jpg
20201223,宝山,高境,满五年唯一，采光视野吉佳小区，安静交通配套便利。房主自荐,345万,2室1厅 | 71.86平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QLOucfLXA_1.jpg.296x216.jpg
20201223,宝山,高境,中间层一居室，看房有钥匙，业主诚心出售,220万,1室1厅 | 42.54平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7J7oomhod_1.jpg.296x216.jpg
20201223,宝山,高境,南北通格局，带花园，有动迁协议，免增值税，,535万,2室2厅 | 90.74平米 | 南 | 简装 | 低楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zXBn3Eoa4_1.jpg.296x216.jpg
20201223,宝山,高境,逸仙二村少有大户型  房子户型方正  业主诚意出售房主自荐,460万,2室2厅 | 89平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TF4EUwAxV_1.jpg.296x216.jpg
20201223,宝山,高境,正气四房 电梯高区 满五唯一 品质小区 配套成熟,760万,4室2厅 | 123.23平米 | 南 | 精装 | 高楼层(共13层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_32EdP3UYf_1.jpg.296x216.jpg
20201223,宝山,高境,电梯小高层 商品房3房 好位置 业主诚心卖 看房方便新上,685万,3室2厅 | 128.82平米 | 南 北 | 简装 | 低楼层(共11层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YKf5C67hK_1.jpg.296x216.jpg
20201223,宝山,高境,满五年唯一，税费少，低楼层，适宜居住房主自荐,330万,2室1厅 | 66.54平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_z95Iu7mW7_1.jpg.296x216.jpg
20201223,宝山,高境,产权人一个，全明户型，两房朝南，精装修房主自荐,495万,2室2厅 | 85.21平米 | 南 | 简装 | 高楼层(共18层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Fev8fkn7l_1.jpg.296x216.jpg
20201223,宝山,高境,精装一房户型+南北通+品质小区+满五唯一房主自荐,212万,1室1厅 | 42.88平米 | 南 | 精装 | 高楼层(共5层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9oUJLAvcX_1.jpg.296x216.jpg
20201223,宝山,高境,商品房小区 诚意置换 十八号线覆盖小区,498万,2室2厅 | 90.84平米 | 南 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NKqv0Yjhh_1.jpg.296x216.jpg
20201223,宝山,高境,低头俯视小区 抬头享受天空 出门地铁公交 商场加广场房主自荐,260万,1室1厅 | 54.09平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YGpLAnMbq_1.jpg.296x216.jpg
20201223,宝山,高境,满二唯一，地铁三号线，空间大，户型好房主自荐,749万,3室2厅 | 122.73平米 | 南 | 简装 | 低楼层(共17层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_X8fNBQQ81_1.jpg.296x216.jpg
20201223,宝山,高境,06年小区 满五年唯一 无增值税 户型好 看房方便房主自荐,695万,3室2厅 | 119.43平米 | 南 北 | 简装 | 高楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZgRgRvCUj_1.jpg.296x216.jpg
20201223,宝山,高境,高境双南双天井，满五唯一，楼栋好出行方便房主自荐,395万,2室1厅 | 72.8平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iGa0wv2yY_1.jpg.296x216.jpg
20201223,宝山,高境,大复式，总共三层，六复七附八，带大露台，一梯两户,630万,4室3厅 | 126.04平米 | 南 | 简装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RAjwHY0jj_1.jpg.296x216.jpg
20201223,宝山,高境,高境二村地铁一房，小区中间位置，精装修领包入住房主自荐,200万,1室1厅 | 42.62平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BSRzQvYB1_1.jpg.296x216.jpg
20201223,宝山,高境,二手230买进，满五唯一税费很低，南北户型，拎包入住房主自荐,485万,2室2厅 | 88.54平米 | 南 | 精装 | 低楼层(共14层) | 2010年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_CwDzHBcRV_1.jpg.296x216.jpg
20201223,宝山,高境,婚房装修，户型方正，品牌家具家电，交通方便。房主自荐,415万,1室1厅 | 71.11平米 | 南 | 精装 | 低楼层(共18层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_u7UiNWXyv_1.jpg.296x216.jpg
20201223,宝山,高境,通透南北两房 产权清晰 近18号线 诚意售房房主自荐,245万,2室1厅 | 58.35平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_d1XKQ58NP_1.jpg.296x216.jpg
20201223,宝山,高境,边套全明，视野开阔，拎包入住，可塑性强。诚意出售！房主自荐,253万,2室1厅 | 54.56平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6oRE2NE9C_1.jpg.296x216.jpg
20201223,宝山,高境,精装修 拎包即住 位置安静 双轨交汇！房主自荐,385万,1室2厅 | 68.19平米 | 南 | 精装 | 低楼层(共17层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4bcZ7G2By_1.jpg.296x216.jpg
20201223,宝山,高境,地铁边上的小区，户型方正，采光好，业主诚意出售房主自荐,180万,1室1厅 | 38.58平米 | 南 | 精装 | 高楼层(共5层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XPxH9sxNy_1.jpg.296x216.jpg
20201223,宝山,高境,房子满五唯一，楼层居中，采光通透，看房方便房主自荐,600万,2室2厅 | 89.78平米 | 南 北 | 精装 | 中楼层(共16层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YAGdcuwk8_1.jpg.296x216.jpg
20201223,宝山,高境,品质小区，满五唯一，一梯两户，房型正气，视野开阔.,425万,2室1厅 | 76.94平米 | 南 | 精装 | 低楼层(共11层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2wftmbMdH_1.jpg.296x216.jpg
20201223,宝山,高境,此房南北通，视野采光充足，无抵押无贷款十分诚心卖房房主自荐,207万,1室1厅 | 46.18平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZlGisvdO9_1.jpg.296x216.jpg
20201223,宝山,高境,三花一期丹桂苑精品一房，楼层好，视野开阔！房主自荐,430万,1室1厅 | 58.73平米 | 南 | 精装 | 高楼层(共16层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MggumWyUU.jpg.296x216.jpg
20201223,宝山,高境,中间楼层 少见L型房型整齐  近18号线 南北通 诚意出售,340万,2室1厅 | 65.25平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_13PmB4632_1.jpg.296x216.jpg
20201223,宝山,高境,满五唯一 视野开阔  看房方便 近地铁,213万,1室1厅 | 45.6平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yLqzjpO8O_1.jpg.296x216.jpg
20201223,宝山,高境,精装修标准一居室 3/18双规交接 业主诚意出售,450万,2室1厅 | 71.19平米 | 南 | 精装 | 中楼层(共18层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_26jrdl7w9_1.jpg.296x216.jpg
20201223,宝山,高境,满五年唯一，视野宽阔，采光好，诚意出售。房主自荐,195万,1室1厅 | 43.93平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_oR8RG3sfw_1.jpg.296x216.jpg
20201223,宝山,高境,满五唯一，税费少，轨交3号18号，咫尺新江湾，五角场,465万,1室2厅 | 67.43平米 | 南 | 精装 | 中楼层(共18层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2kClUQOWb_1.jpg.296x216.jpg
20201223,宝山,高境,此房已经满五年，税费少，配套完善，出行方便房主自荐,265万,1室1厅 | 54.09平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3ZzF44Z9y_1.jpg.296x216.jpg
20201223,宝山,高境,此房已经满五年，税费少，配套完善，出行方便房主自荐,265万,1室1厅 | 54.09平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rkFhuDm6w_1.jpg.296x216.jpg
20201223,宝山,高境,蝴蝶楼全明一房 天井已改阳光房 看房预约我 诚心出售房主自荐,272万,1室1厅 | 54.65平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MT3dpcr3P_1.jpg.296x216.jpg
20201223,宝山,高境,满4年，双南户型业主诚心出售，业主只在链家卖,320万,2室1厅 | 63.16平米 | 南 | 简装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KPzjoxMkW_1.jpg.296x216.jpg
20201223,宝山,高境,高层南北两房  生活配套成熟  交通方便,265万,2室1厅 | 57.91平米 | 南 | 简装 | 高楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_STavTNoUy_1.jpg.296x216.jpg
20201223,宝山,高境,近地铁 高境两房 中间楼层 全明户型 楼层好佳采佳房主自荐,398万,2室1厅 | 74.09平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zu2Lp2nnQ_1.jpg.296x216.jpg
20201223,宝山,高境,近地铁交通方便满五年。楼层适中诚心出售房主自荐,243万,1室1厅 | 47.57平米 | 南 北 | 简装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ciDKxgaNS_1.jpg.296x216.jpg
20201223,宝山,高境,满五唯一，格局好，采光好，视野好，交通便利。房主自荐,185万,1室1厅 | 42.88平米 | 南 | 简装 | 高楼层(共5层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_o0SYRcUdE_1.jpg.296x216.jpg
20201223,宝山,高境,厅房同宽，精装修近地铁，中间楼层采光好房主自荐,280万,1室1厅 | 57.77平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4mbnWm0MV_1.jpg.296x216.jpg
